malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.3669120	1.0000000	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.3233091	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9492607	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0921301	0.8505401	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.8768098	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.2986751	0.9128474	0.2972372	0.2125102	0.1562670	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9723206	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.8670064	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.2922454	0.0339966	0.0555763	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9102003	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.5268413	0.6193790	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928675	0.4533668	0.6389351	0.9645778	0.7981035	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.0890099	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7346423	0.5000099	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.5732684	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9893777	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0993852	0.9585871	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9654075	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.3999546	0.9128474	0.2972372	0.2125102	0.3842191	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9994264	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9495652	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.7642731	0.0339966	0.3336081	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9946616	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.6789405	0.6193790	0.0199679	0.2432840	0.0107635	0.0371597	0.4948543	0.9928675	0.4631845	0.6389351	0.9645778	0.8518996	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.2636211	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.3496204	1.0000000	0.4771380	0.5668355	0.7855766	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.9341253	0.9422737	0.8059436	0.6238965	0.5379143	0.9418230	0.5600735	0.0586370	0.8844648	0.4530538	0.4157934	0.7470111	0.2144742	0.0862179	0.3094778	0.6674203	0.1864755	0.4169430	0.6040334	0.9068535	0.2440234	0.4454897	0.8800256	0.9908652	0.9858737	0.9436264	0.2977913	0.6151220	0.9174553	0.9992383	0.5716407	0.3807673	0.0921301	0.8377819	0.7471877	0.9115732	0.1825025	0.5867979	0.9209280	0.8662163	0.7819518	0.0601616	0.4876552	1.0000000	0.9994784	0.8097434	0.2986751	0.9128474	0.2972372	0.2147792	0.1455654	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.6474895	0.2233698	0.0971076	0.9171614	0.8213401	0.2246363	0.9613766	0.1440992	0.8202570	0.6719766	0.5926953	0.9579486	0.9640272	0.5439271	0.7813747	0.9592384	0.0397710	0.2304761	0.1792287	0.5567259	0.1032490	0.8583610	0.1629014	0.5254572	0.3626843	0.7418569	0.9445789	0.8185557	0.4091565	0.1912933	0.7842520	0.2722749	0.2671547	0.0495765	0.0491715	0.3625727	0.6131424	0.1567516	0.1406753	0.5886370	0.7854585	0.5978657	0.4823865	0.6852983	0.9210571	0.5454595	0.4814221	0.4676671	0.4842480	0.8923036	0.9129371	0.4046760	0.0921567	0.9940438	0.7176282	0.9361060	0.7791236	0.0964458	0.5707837	0.6407314	0.3297937	0.9042739	0.5268413	0.3179637	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9456743	0.4533668	0.2704448	0.9286360	0.7981035	0.5190202	0.1414235	0.9743951	0.2541013	0.6558777	0.7937604	0.6025618	0.3668027	0.3006620	0.7094158	0.9999672	0.0890099	0.4127534	0.4550095	0.0521171	0.7427698	0.5272740	0.7335506	0.9500302	0.8280719	0.3062636	0.7413249	0.7350443	0.3672010	0.9079002	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7338238	1.0000000	0.9542753	0.4330878	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.5728344	0.6674203	0.1090577	0.2540208	0.8900627	0.3951285	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9893507	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0921301	0.9584974	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9653343	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.2986751	0.9128474	0.2972372	0.2125102	0.3837565	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9994228	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9494833	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451763	0.4091565	0.0494561	0.4869411	0.1399246	0.7636400	0.0339966	0.3327984	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9946367	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.5268413	0.6193790	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928675	0.4533668	0.6389351	0.9645778	0.7981035	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.0890099	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765062	0.7413249	0.7350443	0.5734444	0.4321977	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7338238	1.0000000	0.9542753	0.8660946	0.4870363	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.5728346	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9893507	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0921301	0.9584974	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9653343	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.2986751	0.9128474	0.2972372	0.2125102	0.3837565	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9994228	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9494833	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.7636400	0.0339966	0.3327985	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9946367	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.5268413	0.6193790	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928675	0.4533668	0.6389351	0.9645778	0.7981035	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.0890099	0.7417771	0.4550095	0.1805740	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.7028827	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.6821545	1.0000000	0.8606636	0.8360243	0.9636929	0.3854029	1.0000000	0.6835622	0.3165359	1.0000000	0.1476652	0.6177996	0.6122096	0.5251534	0.4666493	0.3154144	0.9903326	0.5544891	0.0586361	0.4821741	0.8676402	0.0651096	0.5274308	0.0992946	0.0743155	0.5443250	0.4911632	0.1181358	0.2749930	0.8630398	0.4891581	0.6944505	0.1939214	0.2735714	0.9850349	0.9858737	0.9874199	0.1598681	0.7569084	0.7128061	0.9992383	0.1674352	0.1193452	0.0921301	0.9522053	0.4407678	0.9115732	0.4611500	0.1066411	0.9647663	0.9601998	0.8756926	0.0396062	0.3987726	1.0000000	0.9994784	0.3761885	0.2986751	0.9128474	0.2972372	0.0749793	0.3539519	0.9995862	0.3783229	0.9964938	0.6165365	0.7223188	0.5153790	0.5225590	0.2229880	0.0654015	0.9529659	0.4962464	0.2232666	0.8263468	0.0442924	0.5527468	0.4560961	0.5926953	0.8996573	0.9991309	0.1269988	0.5830422	0.9470790	0.0354382	0.2234854	0.0290941	0.3064068	0.1032453	0.9438365	0.1166019	0.3445597	0.2836274	0.3380574	0.6344120	0.0845077	0.4082648	0.0603997	0.5367254	0.1496792	0.7198053	0.0344434	0.2822041	0.1637570	0.1142552	0.0897293	0.0858280	0.4334566	0.4933856	0.1447877	0.4818944	0.3138815	0.5092365	0.3147646	0.1863847	0.1346734	0.3673395	0.9927326	0.9129371	0.8688338	0.0921548	0.9986632	0.9128264	0.9793467	0.5777954	0.4031468	0.5707837	0.8468819	0.3297937	0.9715643	0.5268413	0.5718841	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9903030	0.4533668	0.5826552	0.9606201	0.7981035	0.5190202	0.1414235	0.6177522	0.2273847	0.8387016	0.2808472	0.8111983	0.2073648	0.4908160	0.5050811	0.9999988	0.0890099	0.2785615	0.2816648	0.0405009	0.3601080	0.2923715	0.3846637	0.6248428	0.5450389	0.1816400	0.7413249	0.7350443	0.5422109	0.5237303	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7333882	1.0000000	0.9533979	0.8658496	0.9739945	0.7621726	0.5000004	0.5032367	0.3168265	1.0000000	0.1476652	0.5261984	0.5141563	0.4687859	0.6215467	0.2827550	0.9929639	0.3428503	0.0586360	0.3956362	0.9042138	0.0472427	0.4891267	0.0901309	0.0779328	0.5726082	0.6641527	0.1091351	0.2542012	0.8898448	0.3959252	0.7620513	0.4998688	0.2061189	0.9907767	0.8896634	0.9893364	0.1445584	0.7777775	0.9155721	0.9931715	0.4391102	0.0966936	0.0921301	0.9584499	0.3864562	0.4024072	0.5222451	0.0761231	0.9694731	0.9652958	0.8879389	0.0372970	0.4870206	1.0000000	0.9704692	0.3017957	0.2986751	0.7048858	0.2972372	0.2095657	0.3835133	0.9162937	0.5405381	0.9570159	0.8666097	0.9603803	0.5153790	0.5013130	0.2233689	0.0634404	0.9574473	0.4386460	0.2232322	0.9603621	0.0379574	0.4978238	0.4183991	0.1677798	0.9608314	0.9994209	0.5345374	0.5441568	0.9872547	0.0351130	0.2231611	0.0222402	0.2698628	0.1032451	0.9494400	0.1153501	0.5223093	0.2728242	0.2800831	0.5402619	0.0454310	0.4091544	0.0495428	0.4873830	0.1400015	0.7633062	0.0339997	0.3323726	0.1400222	0.0833672	0.0824901	0.0799365	0.4073415	0.4363368	0.1057106	0.4823853	0.2619350	0.4086545	0.2805144	0.4751037	0.1203301	0.3524593	0.9946236	0.5823517	0.9088209	0.0921547	0.9989688	0.9305254	0.9830906	0.5419540	0.4913007	0.5707837	0.8707431	0.3297937	0.9771202	0.5268413	0.6189633	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928481	0.4533668	0.6384490	0.9645444	0.7981035	0.5190202	0.1414235	0.4836567	0.2254219	0.8609173	0.7874822	0.8376172	0.1871406	0.5265330	0.7064751	0.9999993	0.0890099	0.2723786	0.4518987	0.0401403	0.2986732	0.5231268	0.7287160	0.9481020	0.8248111	0.1765433	0.7413249	0.7350443	0.5731686	0.4329895	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7338060	1.0000000	0.9542380	0.8660846	0.9740693	0.7704564	1.0000000	0.3417935	0.3168272	1.0000000	0.1476652	0.5253949	0.5133006	0.4683047	0.6237952	0.2824849	0.9929831	0.2990427	0.0586360	0.3949200	0.9044852	0.0471180	0.4888037	0.0900609	0.0754994	0.5728265	0.6672791	0.1090609	0.2540281	0.8900539	0.3951608	0.7625856	0.5054881	0.2056503	0.9908614	0.9858737	0.9893501	0.1444361	0.7779514	0.9173744	0.9992383	0.4459748	0.0965212	0.0921301	0.9584956	0.3860017	0.9115732	0.5227717	0.0759096	0.9695107	0.9653329	0.8880395	0.0372784	0.4875388	1.0000000	0.9994784	0.3011960	0.2986751	0.9128474	0.2972372	0.2123824	0.3837475	0.9995862	0.5432130	0.9964938	0.8691825	0.9617067	0.5153790	0.5011320	0.2233698	0.0634258	0.9574841	0.4381725	0.2232320	0.9613332	0.0379103	0.4973543	0.4180794	0.5926953	0.9614288	0.9994227	0.5435207	0.5438218	0.9875279	0.0351105	0.2231588	0.0221918	0.2695623	0.1032451	0.9494817	0.1153417	0.5253217	0.2727348	0.2796242	0.5394344	0.0451867	0.4091564	0.0494596	0.4869591	0.1399278	0.7636276	0.0339967	0.3327826	0.1398314	0.0831530	0.0824322	0.0798894	0.4071200	0.4358516	0.1054234	0.4823864	0.2615202	0.4078201	0.2802312	0.4811484	0.1202325	0.3523382	0.9946362	0.9129371	0.9091120	0.0921547	0.9989711	0.9306619	0.9831197	0.5416514	0.4920737	0.5707837	0.8709339	0.3297937	0.9771630	0.5268413	0.6193621	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928667	0.4533668	0.6389154	0.9645765	0.7981035	0.5190202	0.1414235	0.4824876	0.2254070	0.8610966	0.7934919	0.8378309	0.1869760	0.5268400	0.7092890	0.9999993	0.0890099	0.2723347	0.4548748	0.0401378	0.2981740	0.5270945	0.7333421	0.9499484	0.8279317	0.1765075	0.7413249	0.7350443	0.5734330	0.4322300	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7331230	1.0000000	0.9528600	0.8657007	0.9739467	0.7569791	1.0000000	0.6835622	0.1584131	1.0000000	0.1476652	0.5267090	0.5147014	0.4690916	0.8597422	0.2829272	0.9929517	0.5526338	0.0586360	0.3960917	0.9040409	0.0473224	0.4893324	0.0901754	0.0714941	0.5724780	0.6772742	0.1091823	0.2543110	0.8897123	0.3964100	0.7617121	0.4963129	0.2064160	0.9994623	0.9858737	0.9893280	0.1446361	0.7776670	0.9144142	0.9992383	0.4707110	0.0968033	0.0921301	0.9584215	0.3867456	0.9115732	0.5219115	0.0762582	0.9694492	0.9652731	0.8878748	0.0373089	0.5489892	1.0000000	0.9994784	0.3021769	0.2986751	0.9128474	0.2972372	0.2082236	0.3833702	0.9995862	0.5388467	0.9964938	0.8649616	0.9595192	0.5153790	0.5014283	0.0694909	0.0634497	0.9574239	0.4389475	0.2232323	0.9597362	0.0379874	0.4981190	0.4186019	0.5926953	0.9604493	0.9994198	0.5288517	0.5443688	0.9870788	0.0351146	0.2231626	0.0222712	0.2700529	0.1032451	0.9494144	0.1153555	0.5204071	0.2728810	0.2803728	0.5407858	0.0455870	0.0519739	0.0495953	0.4876518	0.1400485	0.7631087	0.0340016	0.3321211	0.1401430	0.0835037	0.0825268	0.0799664	0.4074812	0.4366448	0.1058929	0.1891834	0.2621980	0.4091818	0.2806938	0.4712921	0.1203921	0.3525359	0.9946158	0.9129371	0.9086355	0.0921547	0.9989673	0.9304388	0.9830720	0.5421452	0.4908105	0.5707837	0.8706213	0.3297937	0.9770930	0.5268413	0.6187107	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.9928363	0.4533668	0.6381538	0.9645241	0.7981035	0.5190202	0.1414235	0.4844012	0.2254314	0.8608030	0.7836185	0.8374816	0.1872453	0.5263379	0.7046881	0.9999993	0.0890099	0.2724054	0.4500195	0.0401418	0.2989902	0.5206178	0.7257657	0.9469020	0.8228152	0.1765650	0.7413249	0.7350443	0.5730005	0.4334720	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7340207	1.0000000	0.9546875	0.8662048	0.9741081	0.7750421	1.0000000	0.6835622	0.3563150	0.5000000	0.6839872	0.5249792	0.5128545	0.4680562	0.5425894	0.2823442	0.9929931	0.5647266	0.0586360	0.3945496	0.9046255	0.0470531	0.4886356	0.0900248	0.0924894	0.5729255	0.6615678	0.1090224	0.2539392	0.8901609	0.3947688	0.7628602	0.5085577	0.2054118	0.9854536	0.9858737	0.9893566	0.1443732	0.7780412	0.9183450	0.9992383	0.4410343	0.0964323	0.0921301	0.9585178	0.3857657	0.9115732	0.5230417	0.0758012	0.9695300	0.9653502	0.8880916	0.0372686	0.4717228	1.0000000	0.9994784	0.3008868	0.2986751	0.9128474	0.8668298	0.2138905	0.3838576	0.9995862	0.5446728	0.9964938	0.8705681	0.9624122	0.8850069	0.5010377	0.2769810	0.0634182	0.9575033	0.4379270	0.2232319	0.9618533	0.0378858	0.4971174	0.4179151	0.5926953	0.9617508	0.9994235	0.5484202	0.5436504	0.9876741	0.0351093	0.2231575	0.0221666	0.2694090	0.1032451	0.9495015	0.1153374	0.5269585	0.2726885	0.2793914	0.5390102	0.0450606	0.5263296	0.0494173	0.4867411	0.1398896	0.7637798	0.0339951	0.3329768	0.1397338	0.0830427	0.0824025	0.0798653	0.4070077	0.4356014	0.1052764	0.5455319	0.2613077	0.4073952	0.2800862	0.4844530	0.1201826	0.3522765	0.9946422	0.9129371	0.9092622	0.0921547	0.9989723	0.9307318	0.9831348	0.5414971	0.4924713	0.9491483	0.8710336	0.5086509	0.9771851	0.5268413	0.6195666	0.0298495	0.1252200	0.0071580	0.1079827	0.8302153	0.9928762	0.4533668	0.6391539	0.9645930	0.7981035	0.7683002	0.3026649	0.4818790	0.2253994	0.8611896	0.7967156	0.8379406	0.1868908	0.5269988	0.7108165	0.9999993	0.0890099	0.2723142	0.4565009	0.0401366	0.2979172	0.5292601	0.7358502	0.9509277	0.8296167	0.1764910	0.5017097	0.2699674	0.5735699	0.4318382	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
