malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.6809592	1.0000000	0.8679191	0.8379289	0.9348091	0.8279648	0.8041737	0.6052119	0.0022096	0.8592673	0.1143466	0.6105161	0.6043798	0.1970200	0.6280552	0.3126489	0.9919624	0.4535973	0.0000000	0.4749165	0.8304586	0.0633669	0.5242463	0.0984637	0.0000000	0.4430899	0.6938172	0.1173705	0.2732461	0.8780582	0.4463248	0.6873105	0.5178579	0.1390493	0.9536997	0.9207486	0.9238043	0.1004344	0.7898256	0.8732434	0.9986407	0.6785410	0.0828191	0.0000912	0.9013930	0.4359259	0.8277951	0.6386544	0.1036863	0.9490420	0.9762768	0.8174722	0.0126878	0.2641833	0.9929811	0.9982964	0.2331285	0.2986751	0.9296423	0.4144273	0.6814921	0.5264346	0.9987447	0.6237458	0.9930625	0.9265349	0.9587063	0.5239547	0.5208063	0.5439270	0.0652195	0.9553700	0.3044697	0.2232631	0.9605755	0.0208356	0.4309235	0.2459879	0.5050159	0.9733746	0.9992911	0.5628950	0.4063212	0.9885799	0.0354087	0.2234544	0.0205515	0.3033112	0.0000004	0.8209617	0.1164755	0.4710993	0.2827126	0.3330042	0.3568963	0.0803822	0.0000003	0.0594218	0.5327025	0.0389712	0.7004556	0.0343991	0.3309870	0.1617011	0.0753286	0.0890990	0.0853152	0.3890276	0.4886920	0.1411488	0.0655693	0.3093702	0.5008735	0.2794702	0.4573801	0.0301607	0.3660667	0.9555639	0.8422285	0.8901704	0.0921548	0.9743719	0.8933186	0.9479063	0.5748315	0.4317413	0.4555507	0.8542163	0.2215998	0.9768098	0.3954069	0.4895047	0.0208728	0.1216157	0.0060409	0.0174756	0.4846680	0.9962111	0.4741500	0.6408555	0.9170115	0.7981035	0.5748039	0.1688326	0.6071381	0.0084998	0.8546800	0.8292913	0.8509771	0.2056287	0.7531502	0.7260985	0.9670531	0.0825389	0.2501635	0.5350520	0.0416374	0.3548529	0.5148982	0.7966446	0.9396049	0.8839234	0.1970428	0.6642954	0.6137730	0.8333606	0.1145860	0.8636520	1.0000000	0.8292574	0.9910862	0.8098909	1.0000000	0.9334325	0.9967853	1.0000000	1.0000000	0.9529118	1.0000000	0.9560586	0.7721675	1.0000000	1.0000000	0.2219818	0.0415489	0.0017598	0.4704363	0.5313210	0.0118951	0.4137068	0.0081658	0.1297779	0.0452908	0.0970347	0.2217533	0.2243198	0.0036740	0.5606371	1.0000000	0.2267196
0.6886275	1.0000000	0.9831815	0.8731517	0.9466349	0.9172294	0.7151859	0.5748285	0.4643161	0.4788508	0.7204666	0.3260356	0.2314635	0.2103979	0.5897798	0.1697659	0.9956348	0.5341480	0.0586360	0.2469186	0.9251312	0.0226517	0.4779117	0.0205155	0.3172152	0.5884816	0.7905955	0.1065741	0.1607955	0.9502375	0.2755539	0.7672013	0.5759963	0.1907226	0.9258650	0.9611526	0.9447314	0.0622083	0.7172179	0.9145919	0.9984065	0.7496947	0.0453383	0.0921301	0.9024131	0.2977698	0.6802824	0.5522569	0.0690727	0.9546309	0.9637577	0.8321466	0.0034924	0.4746670	1.0000000	0.9978735	0.1648920	0.2986751	0.8627689	0.8870465	0.1745728	0.3539116	0.9946543	0.5141785	0.8938515	0.8689392	0.9851357	0.8970954	0.3418608	0.3935938	0.0044648	0.9539481	0.2493557	0.2071024	0.9674972	0.0363802	0.3478960	0.3513434	0.5004468	0.9736346	0.9420488	0.8164193	0.3334099	0.9469564	0.0350289	0.2230836	0.0083630	0.2594764	0.0019072	0.8218611	0.1150766	0.5767499	0.2697337	0.1975009	0.4751213	0.0345448	0.9523481	0.0318405	0.4161981	0.0215372	0.7480852	0.0005066	0.2774169	0.1334770	0.0763179	0.0805050	0.0347149	0.2958657	0.4194456	0.0961044	0.6349649	0.2477461	0.3798784	0.2707158	0.6071653	0.1171284	0.3482827	0.9558944	0.7680228	0.8513353	0.0444964	0.9992583	0.9397287	0.9523044	0.5314225	0.6579763	0.6797324	0.8953259	0.4099242	0.9860586	0.4540938	0.5837898	0.0312932	0.0937919	0.0071580	0.0665234	0.8438888	0.9256807	0.3966524	0.6584442	0.9217041	0.7981035	0.7815634	0.2495136	0.3839933	0.0054328	0.8970893	0.8518900	0.8590541	0.0541488	0.6237623	0.7508794	0.9670537	0.0365737	0.2892079	0.6367621	0.0063983	0.2815243	0.5520055	0.8051814	0.9807621	0.9407604	0.1301940	0.6810645	0.1813661	0.6143227	0.3301663	1.0000000	0.8856762	1.0000000	0.8613313	1.0000000	0.8315104	0.9494645	1.0000000	0.9395897	1.0000000	1.0000000	1.0000000	0.7478015	1.0000000	1.0000000	1.0000000	0.1523926	0.0413368	0.0091185	0.6095953	0.5313210	0.0118951	0.5745742	0.0386755	0.1263822	0.0010555	0.0980789	0.2513562	0.0809414	0.0038817	0.6563892	1.0000000	0.2267196
0.4989055	0.7646517	0.9783912	0.8719070	0.9462547	0.9999862	0.8065266	0.6059513	0.7654034	0.2800461	0.9587316	0.5025239	0.3527611	0.4039219	0.2150702	0.2748902	0.9322123	0.7249219	0.0000000	0.2486693	0.9056359	0.0251358	0.3763185	0.0881290	0.0990835	0.3241053	0.4512878	0.0852692	0.1793147	0.8510151	0.2711370	0.9368113	0.6168754	0.1930296	0.8618977	0.9763496	0.9765039	0.1410213	0.7162691	0.8962030	0.9577031	0.6594433	0.0917677	0.0259620	0.8629711	0.3731907	0.8642335	0.6601807	0.0701343	0.9741593	0.8962280	0.8316019	0.0367571	0.0119341	0.9929810	0.9598040	0.2692436	0.1204824	0.9025249	0.8528575	0.3722987	0.2365792	0.9979654	0.7338362	0.9962243	0.9297157	0.9857757	0.9762417	0.2949261	0.7057364	0.0030384	0.9537497	0.3156059	0.0000348	0.9722125	0.0366216	0.2980936	0.3838887	0.6892301	0.9799848	0.9378380	0.7025166	0.5342903	0.9481718	0.0350419	0.2230954	0.0208781	0.2044123	0.1032451	0.9357025	0.0017134	0.6859577	0.2702194	0.2668396	0.5158569	0.0198198	0.9467167	0.0471562	0.4290091	0.1378937	0.4233703	0.0006118	0.1156331	0.1114164	0.0773774	0.0808143	0.0785728	0.3244318	0.4221145	0.0975683	0.8824017	0.2499525	0.3843783	0.2722546	0.5630078	0.1176078	0.1662617	0.9417637	0.8188849	0.8498608	0.0921547	0.9991369	0.9515210	0.9864793	0.5330841	0.5308364	0.5435724	0.8776129	0.6683559	0.9794788	0.8205345	0.5443877	0.0726607	0.1145474	0.0103109	0.2347300	0.8205820	0.9942076	0.5042660	0.6535965	0.9775567	0.8432345	0.8417776	0.4973040	0.4494204	0.0069570	0.8555795	0.8807008	0.7875102	0.1823622	0.6174042	0.8189103	0.9999997	0.1342771	0.2633494	0.4981843	0.0070810	0.2691986	0.7359823	0.7943951	0.9570926	0.9678522	0.1230939	0.2366684	0.0390874	0.5498887	0.4108636	0.7221108	0.7800724	1.0000000	0.9492372	0.5425694	0.8063737	0.6493976	0.9029265	1.0000000	0.9510276	1.0000000	1.0000000	1.0000000	1.0000000	0.7368315	0.9183377	0.2505651	0.1329092	0.0015646	0.4503230	0.4212147	0.0000001	0.3291925	0.0161468	0.2880246	0.0015675	0.0679026	0.2970767	0.2243562	0.0032508	0.4686293	0.9696710	0.1499678
0.6686511	1.0000000	0.9813925	0.8726853	0.9464933	0.8644222	1.0000000	0.6590384	0.3893276	0.9665990	0.1082366	0.4997287	0.4860413	0.3403391	0.2028026	0.2739720	0.9322737	0.5197268	0.0586360	0.2226553	0.9189316	0.0422434	0.3896931	0.0879005	0.4548801	0.6412113	0.5803147	0.1067244	0.2115644	0.8941330	0.2130309	0.7661465	0.6619883	0.1915843	0.9812746	0.9341190	0.9924850	0.1406128	0.7924574	0.9400770	0.9584473	0.4662150	0.0607607	0.0921301	0.9561316	0.3336776	0.8624419	0.5209420	0.0694698	0.9545555	0.9261859	0.9451059	0.0366944	0.5859718	1.0000000	0.9996207	0.2824587	0.3691501	0.9487294	0.3023445	0.2158788	0.3420999	0.9996140	0.4996324	0.9980348	0.9074259	0.9760270	0.4141628	0.3037792	0.5417500	0.0629785	0.9538741	0.4232944	0.0827294	0.9636834	0.0364701	0.4823814	0.4079222	0.5086118	0.9688427	0.9991301	0.7295834	0.4362943	0.9920169	0.0009565	0.2230880	0.0122897	0.2600881	0.0908418	0.8194457	0.0014014	0.6505184	0.2699153	0.1209206	0.2599753	0.0380415	0.5990589	0.0379271	0.4734493	0.0175737	0.8009460	0.0339066	0.2581425	0.0526419	0.0767123	0.0297832	0.0784154	0.4000699	0.4204452	0.0966514	0.6049783	0.1620928	0.3317506	0.2064455	0.6445499	0.1173072	0.0841201	0.9929547	0.8932608	0.9189315	0.0000002	0.9991305	0.9137972	0.9522473	0.5320472	0.5006758	0.3715762	0.8511171	0.2798843	0.9557195	0.2471661	0.6400055	0.0018798	0.0853493	0.0111511	0.0383656	0.3789354	0.9954741	0.3215123	0.6940338	0.9687252	0.9050351	0.5312879	0.1472003	0.2801331	0.2342805	0.9071240	0.9556263	0.8712626	0.1155458	0.5729639	0.7640619	0.9999995	0.0580813	0.2892992	0.4574633	0.0411559	0.2825261	0.7117199	0.7445034	0.9734292	0.8892516	0.1607648	0.6859630	0.8317746	0.7291539	0.4082867	0.8321990	1.0000000	1.0000000	0.8980137	1.0000000	0.9893761	0.7770331	0.8328971	1.0000000	0.5992092	1.0000000	1.0000000	0.9864294	0.7643374	1.0000000	1.0000000	0.1229015	0.1221218	0.0144352	0.7662645	0.5313210	0.0118951	0.2178167	0.0164180	0.1846609	0.0452908	0.0980789	0.2714179	0.1558408	0.0031286	0.7430763	0.6841728	0.2633741
0.7174006	1.0000000	0.9224327	0.8649106	0.9411684	0.8867022	1.0000000	0.6590379	0.2155393	0.9990453	0.1480109	0.5562534	0.4912072	0.3785150	0.7495506	0.1934265	0.9309076	0.9424043	0.0000000	0.4229381	0.8529454	0.0367099	0.2246263	0.0928626	0.0063523	0.4634945	0.5813304	0.1119584	0.2607761	0.8368863	0.3103921	0.7283315	0.5557273	0.2250440	0.9983293	0.9895597	0.9904885	0.1492655	0.7916721	0.9400734	0.9993285	0.4372293	0.1034326	0.0921301	0.9059888	0.3013847	0.8624419	0.4715180	0.0606952	0.9518902	0.9646056	0.8598262	0.0380112	0.6166514	0.9929811	0.9995581	0.2511441	0.2302401	0.8951269	0.1954852	0.0019520	0.4804174	0.9688248	0.5856939	0.9965898	0.8355800	0.9646909	0.5038378	0.4469615	0.2549882	0.0640144	0.9512828	0.2776440	0.2232415	0.9740090	0.0398087	0.5155543	0.4304707	0.9232845	0.8922947	0.9422187	0.6168843	0.3318191	0.9453310	0.0012984	0.2232538	0.0241785	0.2360926	0.0000004	0.9652260	0.0566970	0.6799212	0.1177004	0.1978434	0.3498096	0.0556026	0.1189046	0.0527917	0.5033255	0.1428816	0.7259268	0.0005509	0.5919365	0.1473515	0.0919979	0.0847178	0.0346748	0.1566430	0.3961331	0.1170786	0.2480630	0.2779196	0.2676311	0.2301441	0.4961838	0.1242867	0.2393513	0.9569930	0.8835908	0.8300843	0.0000002	0.9992095	0.9345898	0.9501862	0.4953777	0.4318790	0.3075760	0.8984198	0.3300074	0.9526842	0.4422700	0.5176280	0.0199725	0.0601194	0.0005817	0.0371921	0.4954076	0.9243146	0.1464933	0.5967074	0.9193759	0.6267966	0.5192890	0.1415831	0.4064051	0.0074579	0.8621109	0.8916300	0.8630477	0.0642955	0.5512777	0.7428585	0.9999993	0.0537639	0.2881502	0.6863753	0.0082316	0.3178002	0.6248859	0.8334365	0.9398084	0.8551524	0.1935317	0.8390449	0.8673878	0.6576417	0.4618483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8142911	1.0000000	1.0000000	0.6151018	0.9651125	1.0000000	1.0000000	0.0644753	0.1221218	0.0016176	0.5274545	0.3831114	0.0118951	0.5745742	0.0386755	0.1890873	0.0007065	0.0980789	0.1484906	0.2243198	0.0700883	0.5606371	1.0000000	0.2267196
0.5285128	0.7717526	0.8614829	0.8426444	0.9339451	0.7587319	1.0000000	0.6590379	0.4672534	0.6786911	0.3939818	0.6169964	0.3743264	0.5246429	0.0540641	0.1735673	0.9959396	0.5321976	0.0586361	0.4813700	0.8896742	0.0649126	0.2642137	0.0992020	0.0411057	0.4592429	0.5316555	0.0726614	0.2748010	0.8910272	0.4686175	0.6820507	0.4730929	0.2728528	0.9581898	0.9341185	0.9911236	0.1597205	0.8144629	0.8595385	0.9585546	0.4701419	0.1191161	0.0653374	0.8717438	0.4402629	0.8624419	0.5785507	0.1014921	0.9486775	0.9591205	0.8165448	0.0395838	0.2167790	0.9950066	0.9995044	0.3389913	0.3337265	0.9147093	0.5393365	0.4858821	0.2555274	0.9688248	0.6285640	0.9983556	0.7985362	0.9687443	0.6205367	0.3826357	0.5068548	0.0653811	0.9482443	0.3230121	0.2232662	0.9680259	0.0442259	0.5522704	0.4479897	0.7708043	0.8844066	0.9966545	0.4910470	0.5826973	0.9537719	0.0354349	0.0862108	0.0207926	0.3060692	0.1032453	0.7964007	0.1165875	0.4467500	0.1009457	0.3375096	0.6335997	0.0619122	0.7892285	0.0493139	0.3302452	0.1495809	0.5459360	0.0344384	0.1369104	0.1370361	0.1139170	0.0207705	0.0857717	0.4332247	0.4928679	0.1443854	0.6380086	0.3133853	0.5083290	0.2813304	0.4082156	0.0521993	0.1174819	0.9419650	0.9133522	0.8717687	0.0000002	0.9743470	0.8919063	0.9907034	0.3918794	0.3734215	0.8488314	0.8213394	0.4249433	0.9719304	0.4905334	0.5584830	0.0026048	0.2677084	0.0254979	0.0609466	0.7064420	0.9936219	0.4363430	0.6435125	0.9356254	0.7815190	0.6631740	0.2201356	0.5917750	0.1961852	0.8283816	0.8705169	0.8642438	0.2071719	0.4604074	0.7037760	0.9670531	0.1323154	0.2223192	0.6957004	0.0416743	0.2376055	0.6755917	0.6918102	0.9706032	0.8323170	0.1725556	0.6746720	0.3944139	0.5114491	0.3140163	0.9190154	0.7530145	0.8809279	1.0000000	0.9970442	1.0000000	0.8794443	1.0000000	0.7694383	0.5666843	1.0000000	1.0000000	0.8665155	0.6305203	0.9262511	0.6779356	0.2784620	0.1952320	0.0036892	0.3795358	0.7700226	0.0000007	0.7115331	0.0369878	0.7230094	0.0052635	0.1229332	0.5172442	0.0004273	0.0118722	0.1858356	1.0000000	0.1881739
0.6731368	1.0000000	0.8595941	0.8931915	0.9336873	0.7411135	1.0000000	0.6942944	0.3082203	0.7567459	0.2801497	0.5487727	0.6133786	0.5258504	0.8336586	0.3158303	0.9883043	0.5158668	0.0586361	0.4832689	0.8740613	0.0653757	0.4614763	0.0334556	0.0153021	0.4385842	0.6841832	0.0947897	0.2324931	0.8178317	0.4903516	0.6804971	0.4609713	0.2745819	0.9512210	0.9860358	0.9882250	0.0689790	0.7703299	0.9108834	0.9993642	0.5066227	0.0948331	0.0921301	0.9003148	0.2276766	0.9384866	0.4294683	0.1071005	0.9485699	0.9749362	0.8584186	0.0190103	0.1368575	0.9929811	0.9611218	0.3771580	0.2179922	0.9738202	0.4987147	0.1860664	0.3448444	0.9996094	0.4616175	0.9457141	0.8784756	0.9670076	0.3080756	0.5228220	0.1759144	0.0068740	0.9481437	0.4969821	0.2023927	0.9510707	0.0443817	0.4326882	0.4565680	0.5118745	0.9614938	0.9990722	0.6363481	0.5117914	0.9885334	0.0354427	0.0467962	0.0291952	0.3068805	0.0139884	0.8200141	0.1166212	0.4402125	0.1591750	0.2018653	0.6355381	0.0537162	0.4614957	0.0605509	0.4068821	0.0418745	0.7831192	0.0344502	0.2625505	0.1640710	0.0585754	0.0322645	0.0859064	0.4337870	0.4302469	0.1453475	0.4206864	0.1768193	0.3010905	0.2583208	0.4479709	0.1348940	0.3675349	0.9928896	0.8835908	0.8844211	0.0000002	0.9988149	0.8914881	0.9798183	0.5782481	0.3715980	0.7869563	0.8207922	0.3966611	0.9790544	0.7400985	0.8135512	0.0037006	0.0920313	0.0051343	0.0515174	0.4486397	0.9946471	0.7340787	0.6546198	0.9743382	0.7981035	0.6225858	0.1269631	0.5734259	0.2006403	0.8278772	0.8866951	0.7545465	0.1406760	0.5567508	0.7974583	0.9670531	0.0890099	0.2527378	0.6144612	0.0416852	0.3609059	0.5307037	0.7951540	0.9138986	0.8070926	0.1944128	0.6698195	0.5718617	0.6082902	0.5248658	1.0000000	0.6740141	0.6831437	0.7642625	1.0000000	0.6316902	1.0000000	1.0000000	0.6786843	0.7827107	1.0000000	0.7071262	1.0000000	1.0000000	0.7210410	1.0000000	0.1455088	0.1221218	0.0144352	0.5541196	0.4289354	0.0118951	0.3701559	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.1944774	0.0034010	0.6903058	1.0000000	0.1370955
0.7416464	1.0000000	0.9702663	0.8697544	0.9455913	0.8501469	1.0000000	0.7660224	0.0639357	0.8392507	0.2314818	0.5101604	0.2703950	0.3314286	0.9528624	0.1457859	0.9474314	0.5240958	0.0586360	0.3814724	0.9554156	0.0407930	0.4827134	0.0302318	0.3175101	0.4764948	0.8105522	0.0710382	0.0865423	0.9227432	0.3112388	0.7594997	0.5854075	0.1970915	0.9970461	0.9770201	0.9917806	0.0578012	0.7146411	0.8769759	0.9584473	0.3086850	0.0933228	0.0000678	0.9284689	0.2190043	0.8624419	0.5018161	0.0719989	0.9540822	0.9335672	0.8306657	0.0369293	0.6678992	0.9929811	0.9611218	0.2899775	0.1821885	0.9330851	0.2986394	0.2299215	0.3844187	0.9997647	0.4955346	0.9972345	0.9061400	0.9742044	0.5385381	0.4070479	0.0028165	0.0359038	0.9534086	0.2285344	0.2232278	0.9764748	0.0370416	0.4884501	0.4120373	0.6384281	0.9380119	0.9996672	0.5840635	0.3846418	0.9917263	0.0350644	0.1021985	0.0134327	0.2639071	0.0183126	0.9527972	0.1151894	0.6030958	0.2710535	0.1298734	0.4794516	0.0407978	0.0009241	0.0479112	0.4541591	0.0210729	0.7204480	0.0006782	0.3296208	0.1362584	0.0406102	0.0254898	0.0790072	0.1392640	0.2231251	0.0754001	0.0646010	0.2537639	0.3472968	0.1050551	0.4904936	0.1184519	0.3500619	0.9973667	0.8835908	0.8582071	0.0000001	0.9992588	0.9664424	0.9889713	0.2947098	0.4762461	0.7143777	0.9206053	0.2697885	0.9551903	0.6688516	0.6784520	0.0210501	0.1252200	0.0000545	0.0448417	0.5952385	0.9951746	0.3173818	0.8164792	0.9212335	0.7981035	0.5836431	0.1420470	0.4604150	0.2251299	0.8669133	0.8208709	0.7855329	0.1838880	0.5019211	0.7326444	0.9999995	0.0514858	0.1773163	0.5014670	0.0066216	0.2082182	0.5245385	0.8212469	0.9477956	0.8449213	0.1608723	0.7182323	0.5580189	0.7231939	0.2863822	0.3225687	0.9217821	1.0000000	1.0000000	1.0000000	1.0000000	0.6520970	1.0000000	0.7745371	1.0000000	0.4909409	1.0000000	1.0000000	1.0000000	0.9206231	1.0000000	0.2219818	0.1221218	0.0017531	0.6416375	0.5313210	0.0118951	0.3837104	0.0386755	0.1402480	0.0007129	0.0980789	0.2714179	0.2243198	0.0022636	0.5606371	1.0000000	0.2267196
0.6816337	1.0000000	0.8598272	0.8836058	0.9337196	0.7432234	0.7157748	0.5750445	0.3804232	1.0000000	0.1476652	0.6186559	0.4839441	0.2662303	0.8089393	0.3157399	0.9290074	0.8683901	0.0000001	0.3717360	0.8266675	0.0653178	0.3472646	0.0574408	0.1368818	0.4435125	0.4713990	0.0707553	0.2390869	0.8194428	0.4900939	0.6806919	0.4624400	0.1712225	0.9804850	0.9673381	0.9238339	0.0925049	0.7736173	0.9415403	0.9570112	0.3794320	0.1008589	0.0921301	0.9014864	0.4413025	0.6809264	0.5316954	0.0808848	0.9485834	0.9736708	0.8163053	0.0150636	0.3570587	1.0000000	0.9579454	0.3149405	0.2078416	0.8695529	0.2246772	0.1098829	0.3498694	0.9636703	0.4893087	0.9907764	0.7934728	0.9591251	0.2670816	0.3663693	0.4332242	0.0654231	0.9693114	0.2147850	0.2232670	0.9632084	0.0194604	0.2672443	0.2674753	0.2475787	0.9714094	0.9420011	0.4738666	0.5834191	0.9395411	0.0015041	0.2092316	0.0291732	0.3067785	0.1032453	0.9515710	0.1166170	0.4410055	0.2837356	0.2634005	0.6352952	0.0850066	0.5765744	0.0500097	0.4749152	0.1497839	0.6469608	0.0010247	0.2707380	0.1640032	0.1146184	0.0898047	0.0330097	0.3522003	0.4516423	0.1452266	0.6903286	0.2379101	0.5102398	0.3151102	0.4898418	0.1348463	0.3674928	0.9555952	0.7684103	0.9140253	0.0000002	0.9743405	0.8915406	0.9475318	0.5781507	0.3718262	0.5707837	0.8830340	0.3297937	0.9487353	0.4624005	0.4851570	0.0013531	0.0990901	0.0071023	0.0083362	0.4039159	0.9224801	0.3710845	0.5580694	0.9166356	0.7806357	0.3031371	0.1192186	0.4364500	0.0074014	0.8488281	0.7513947	0.8992850	0.2075706	0.4597405	0.6983467	0.9874788	0.0890099	0.1131139	0.5050400	0.0416838	0.2714423	0.6663244	0.8087174	0.9144365	0.8079489	0.1976482	0.6682056	0.7654780	0.5108670	0.3344303	0.6321498	1.0000000	1.0000000	0.9042855	1.0000000	1.0000000	1.0000000	1.0000000	0.8846244	0.8618005	1.0000000	0.9359473	1.0000000	0.6828260	0.8008199	1.0000000	0.1068797	0.1221218	0.0144352	0.4704363	0.5313210	0.0118951	0.5050915	0.0154617	0.1148318	0.0008971	0.0216540	0.2424884	0.2243198	0.0700883	0.5606371	0.9666811	0.1247340
0.7319229	1.0000000	0.9504645	0.9586724	0.9438737	0.7268990	0.7028184	0.6391822	0.1590618	1.0000000	0.1476652	0.5290092	0.5171502	0.3626549	0.8512034	0.2269268	0.9934163	0.8656935	0.0000000	0.3981470	0.9096512	0.0321774	0.4383003	0.0903769	0.0017788	0.5140915	0.5673921	0.0616856	0.2548078	0.8442669	0.2787218	0.7471222	0.4561108	0.1046740	0.9994341	0.9069972	0.9923410	0.1449877	0.8107772	0.8519800	0.9568803	0.3519835	0.0972997	0.0897640	0.9583881	0.1940773	0.7489839	0.7590092	0.0530088	0.9532071	0.9327071	0.8932461	0.0160974	0.6243255	0.9929811	0.9975762	0.3039000	0.3082630	0.8137148	0.2972372	0.1442776	0.3838639	0.9952625	0.4568265	0.8930718	0.7878509	0.9900893	0.4216894	0.3733747	0.1610790	0.0054448	0.9525540	0.4403062	0.2232330	0.9491591	0.0170727	0.4049184	0.4195186	0.7273014	0.8819751	0.9995312	0.4933687	0.5453291	0.9862959	0.0351217	0.2231693	0.0224111	0.2709165	0.1032451	0.8265681	0.1153797	0.4348303	0.0664670	0.2137808	0.5063414	0.0462961	0.0374046	0.0359290	0.4888666	0.0322959	0.7044106	0.0340103	0.3204779	0.0851563	0.0841230	0.0349088	0.0801019	0.2924693	0.4380354	0.1067218	0.2599569	0.2633907	0.3713608	0.1959668	0.4057883	0.1206747	0.2558236	0.9574666	0.8457745	0.9271105	0.0000001	0.9992216	0.9335613	0.9512132	0.5430137	0.6141113	0.5707837	0.8442974	0.3297937	0.9542005	0.6779004	0.5313025	0.0016965	0.1336245	0.0073272	0.0371597	0.4059323	0.9893220	0.3362786	0.7848403	0.9651423	0.8144068	0.5190202	0.1414235	0.3885437	0.2264485	0.8497540	0.8131485	0.7805624	0.1877177	0.4947274	0.6924422	0.9670536	0.0890099	0.2909606	0.4095872	0.0066336	0.2054816	0.4671754	0.6889690	0.9101128	0.8011855	0.1558398	0.7143288	0.7558418	0.5411993	0.1806286	1.0000000	1.0000000	1.0000000	1.0000000	0.9659708	0.8255988	0.7913018	0.9646533	0.9454807	0.8430595	0.9566078	0.9456666	1.0000000	0.9088520	0.7785849	1.0000000	0.2219818	0.0351136	0.0019650	0.4704363	0.4973741	0.0118951	0.5745742	0.0150936	0.1890873	0.0011921	0.0214975	0.2714179	0.0000639	0.0700883	0.5606371	0.9468266	0.0934736
