malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0577990	1.0000000	0.0915602	0.0289315	0.0428299	0.0000000	1.0000000	0.6835622	0.0000000	1.0000000	0.1476652	0.9998396	0.9999144	0.9943922	0.5923316	0.9447788	0.1355167	0.5521679	0.0634333	0.9996771	0.0425135	0.9987241	0.9837763	0.9231134	0.0692447	0.1120801	0.3717615	0.5344143	0.8201365	0.0681103	0.9998683	0.0142114	0.0191383	0.9999858	1.0000000	0.9858737	0.2458283	0.8662229	0.2267079	0.0552680	0.9992383	0.4965191	0.9833752	0.0921301	0.1564401	0.9922490	0.9115732	0.0339440	0.9995439	0.5186753	0.1792681	0.3681857	0.2690300	0.1522757	0.9999346	0.9994784	0.9990600	0.2986751	0.9128474	0.2972372	0.5258988	0.0105370	0.9995862	0.0719863	0.9964938	0.0669823	0.0108028	0.5153790	0.9000771	0.0362804	0.8224657	0.6714414	0.9981415	0.8622243	0.0066644	0.9475741	0.9947913	0.9625934	0.5926953	0.0761340	0.0581110	0.0397220	0.9817573	0.0444933	0.2248025	0.7963248	0.9911151	0.9608122	0.1051183	0.3354892	0.9935352	0.0742947	0.6935568	0.9979425	0.9999062	0.9999958	0.0151658	0.9197768	0.9890113	0.9417865	0.0730553	0.9637851	0.0110199	0.9186651	0.9996909	0.6486846	0.5905140	0.8950313	0.9933305	0.9986608	0.0470096	0.9952395	0.9999096	0.9486272	0.0643592	0.9993969	0.8788550	0.0410927	0.9129371	0.0678673	0.0937222	0.7176880	0.0642329	0.3659288	0.9864384	0.0306669	0.5707837	0.0895949	0.3297937	0.2188507	0.5268413	0.0967850	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.1627543	0.4533668	0.0309769	0.6942141	0.7981035	0.5190202	0.1414235	0.9999961	0.7695415	0.1101657	0.0216073	0.1174345	0.8705854	0.0641598	0.0015142	0.7566363	0.0890099	0.9997317	0.0293266	0.9999081	0.9966295	0.0385617	0.0349531	0.0291138	0.0094240	0.9999267	0.7413249	0.7350443	0.0914249	0.9998062	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.9999978	0.0000034	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.6895919	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9947683	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.9999996	0.9774033	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9808591	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.9999169	0.9128474	0.2972372	0.2125102	0.5178990	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9998985	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9680114	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.8964403	0.0339966	0.5810322	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9985313	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.4581763	0.6193790	0.0199679	0.8324659	0.3279845	0.0371597	0.4948543	0.9928675	0.5397349	0.6389351	0.9645778	1.0000000	0.5190202	0.1414235	0.4824372	0.9999944	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.9999990	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	0.0000001	0.9999987
0.0505864	1.0000000	0.0000000	0.0007197	0.0298571	0.0000000	1.0000000	0.6835622	0.0007920	1.0000000	0.1476652	1.0000000	1.0000000	1.0000000	0.5923316	1.0000000	0.0612957	0.5521679	0.9999995	1.0000000	0.0405684	1.0000000	1.0000000	1.0000000	0.0692447	0.1096478	0.3717615	0.9999994	0.9999999	0.0448435	1.0000000	0.0130530	0.0191383	1.0000000	1.0000000	0.9858737	0.2045906	1.0000000	0.0665864	0.0552680	0.9992383	0.5056424	1.0000000	0.0921301	0.1335175	1.0000000	0.9115732	0.0309306	1.0000000	0.0161339	0.1493176	0.0592640	0.9999997	0.5925833	0.0070251	0.9994784	1.0000000	0.2986751	0.9128474	0.2972372	0.5258988	0.0091153	0.9995862	0.0719862	0.9964938	0.0669823	0.0108028	0.5153790	0.9999998	0.0362804	1.0000000	0.0047662	1.0000000	0.9999999	0.0066643	1.0000000	0.9999999	1.0000000	0.5926953	0.0761325	0.0575751	0.0397220	1.0000000	0.0444932	0.9999994	1.0000000	1.0000000	1.0000000	0.9999981	0.3039790	1.0000000	0.0742943	0.9999988	1.0000000	1.0000000	1.0000000	0.0151658	1.0000000	1.0000000	1.0000000	0.0727992	1.0000000	0.0109854	1.0000000	0.9999999	0.9999998	0.9999999	0.9999998	1.0000000	1.0000000	0.0470107	1.0000000	1.0000000	1.0000000	0.0643591	1.0000000	1.0000000	0.0393881	0.9129371	0.0671855	0.9999999	0.0243194	0.0210950	0.0317753	1.0000000	0.0304925	0.5707837	0.0257761	0.3297937	0.0227693	0.5268413	0.0862645	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.0677949	0.4533668	0.0240295	0.0439461	0.7981035	0.5190202	0.1414235	1.0000000	1.0000000	0.0105340	0.0216073	0.0563052	1.0000000	0.0307312	0.0015142	0.0329457	0.0890099	0.9999084	0.0293266	0.9999841	1.0000000	0.0385617	0.0349531	0.0291138	0.0094232	0.9999808	0.7413249	0.7350443	0.0310438	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.9999998	0.0000006	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.6897384	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9947694	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	1.0000000	0.9774042	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9808633	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.6412131	0.9128474	0.2972372	0.2125102	0.5179210	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9998987	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9680127	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.8964540	0.0339966	0.5810646	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9985316	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.9771676	0.6193790	0.0199679	0.4149415	0.9993435	0.0371597	0.4948543	0.9928675	0.8628050	0.6389351	0.9645778	1.0000000	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.9999999	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	0.9999991	0.9999990	1.0000000	0.0764740	1.0000000	0.9999967	0.9999999	1.0000000	1.0000000	0.9999999	0.9999969	0.9999999	0.9999994	0.9999998	0.0423670	1.0000000	0.2267196
0.0505864	1.0000000	0.0000000	0.0007197	0.0298571	0.7513227	1.0000000	0.6835622	0.0000000	1.0000000	0.1476652	1.0000000	1.0000000	1.0000000	0.8634384	1.0000000	0.0612957	0.5521679	0.9999995	1.0000000	0.0405684	1.0000000	1.0000000	1.0000000	0.0692447	0.1096478	0.6769530	0.9999994	0.9999999	0.0448435	1.0000000	0.0130530	0.0191383	1.0000000	1.0000000	0.9858737	0.2045906	1.0000000	0.0665864	0.9131269	0.9992383	0.7671242	1.0000000	0.0921301	0.1335175	1.0000000	0.9115732	0.0309306	1.0000000	0.0161339	0.1493176	0.0592640	0.9999997	0.9827132	0.0070251	0.9994784	1.0000000	0.2986751	0.9128474	0.2972372	0.7078691	0.0091153	0.9995862	0.5369895	0.9964938	0.8631321	0.9585528	0.5153790	0.9999998	0.0362804	1.0000000	0.0047662	1.0000000	0.9999999	0.9590378	1.0000000	0.9999999	1.0000000	0.5926953	0.0761325	0.0575751	0.5226069	1.0000000	0.0444933	0.9999994	1.0000000	1.0000000	1.0000000	0.9999981	0.3039790	1.0000000	0.5183139	0.9999988	1.0000000	1.0000000	1.0000000	0.0151658	1.0000000	1.0000000	1.0000000	0.0727992	1.0000000	0.0109854	1.0000000	0.9999999	0.9999998	0.9999999	0.9999998	1.0000000	1.0000000	0.0470096	1.0000000	1.0000000	1.0000000	0.4671154	1.0000000	1.0000000	0.0393881	0.9129371	0.0671855	0.9999999	0.0243194	0.0210950	0.0317753	1.0000000	0.0304925	0.5707837	0.0257761	0.3297937	0.0227693	0.5268413	0.0862645	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.0677949	0.4533668	0.0240295	0.0439461	0.7981035	0.5190202	0.1414235	1.0000000	1.0000000	0.0105340	0.7793168	0.0563052	1.0000000	0.0307312	0.7027178	0.0329457	0.0890099	0.9999084	0.4479584	0.9999841	1.0000000	0.5178630	0.7225052	0.9455531	0.8206033	0.9999808	0.7413249	0.7350443	0.0310438	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0707773	1.0000000	0.1394309	0.0718246	0.0811847	0.0288349	0.0000000	0.0000000	0.0032539	1.0000000	0.1476652	0.9992446	0.9995433	0.9855141	0.5938579	0.8956967	0.2891980	0.0457737	0.0591921	0.9985097	0.0492877	0.9924178	0.9651591	0.8128925	0.0692447	0.1168833	0.3731589	0.4302240	0.7388284	0.1071548	0.9992812	0.0178083	0.0193753	0.9998550	1.0000000	0.0517555	0.3244907	0.7590264	0.3026306	0.0626164	0.0407910	0.4840529	0.9482853	0.0921301	0.2017137	0.9799630	0.0491313	0.0394119	0.9970480	0.6632194	0.2361720	0.4762489	0.1837735	0.0309839	0.9999896	0.0383566	0.9961719	0.2986751	0.0177207	0.2972372	0.5255873	0.0134352	0.0307616	0.0999042	0.0942210	0.0727428	0.0113177	0.5153790	0.8559119	0.0362812	0.5971853	0.7585650	0.9937155	0.5247640	0.0161573	0.8421893	0.9866122	0.9309581	0.0840840	0.0884876	0.0601163	0.0397340	0.9641074	0.0494699	0.1187303	0.5366779	0.9575929	0.9198586	0.1036403	0.3899769	0.9555621	0.0907730	0.6056305	0.9924101	0.9995164	0.9999354	0.0151659	0.8090027	0.9754435	0.8511119	0.0737300	0.8063509	0.0111127	0.8406199	0.9978743	0.4983543	0.4417113	0.8437292	0.9830350	0.9934993	0.0470351	0.9848627	0.9994835	0.9017990	0.0646216	0.9957633	0.8026849	0.0463752	0.0293463	0.0708854	0.0924437	0.8802675	0.1314488	0.5635618	0.9706501	0.0312973	0.5707837	0.1588467	0.3297937	0.3998939	0.5268413	0.1107187	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3346294	0.4533668	0.0423463	0.7793084	0.7981035	0.5190202	0.1414235	0.9999641	0.5851780	0.1952729	0.0216630	0.1781629	0.7805091	0.0903155	0.0388460	0.9697763	0.0890099	0.9982399	0.0461952	0.9984683	0.9891108	0.0450945	0.0367508	0.0292744	0.0156488	0.9993041	0.7413249	0.7350443	0.1293031	0.9990446	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0739859	1.0000000	0.1481773	0.0816662	0.0921112	0.0318800	0.0000000	0.0245246	0.0000000	1.0000000	0.1476652	0.9990548	0.9994182	0.9833969	0.5941815	0.8860178	0.3236813	0.0457737	0.0590430	0.9981410	0.0513885	0.9902007	0.9611518	0.7896414	0.0692447	0.1181747	0.3734443	0.4155139	0.7253198	0.1163987	0.9990813	0.0188837	0.0194573	0.9997966	1.0000000	0.0517555	0.3442507	0.7395744	0.3153879	0.0644056	0.0407910	0.4815400	0.9393216	0.0921301	0.2135083	0.9770398	0.0491313	0.0407760	0.9961323	0.6824847	0.2505958	0.4926830	0.1735925	0.0244339	0.9999920	0.0383566	0.9953117	0.2986751	0.0177207	0.2972372	0.5263160	0.0142178	0.0307616	0.1029545	0.0942210	0.0740835	0.0115183	0.5153790	0.8483770	0.0362804	0.5578112	0.7697823	0.9925092	0.4736518	0.0186986	0.8173446	0.9846626	0.9247035	0.0840840	0.0959195	0.0609527	0.0397390	0.9604645	0.0511742	0.1087817	0.4989734	0.9471531	0.9113842	0.1035606	0.4029022	0.9418546	0.0928499	0.5925162	0.9908386	0.9993869	0.9999034	0.0151658	0.7857636	0.9724439	0.8312166	0.0739462	0.7612667	0.0111429	0.8252992	0.9971843	0.4762149	0.4207728	0.8348228	0.9806003	0.9918368	0.0470096	0.9821284	0.9993351	0.8924830	0.0646938	0.9943875	0.7894181	0.0482486	0.0293463	0.0719084	0.0923810	0.8955809	0.1466475	0.5924260	0.9672332	0.0314965	0.5707837	0.1729657	0.3297937	0.4310689	0.5268413	0.1138581	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3707521	0.4533668	0.0450806	0.7901448	0.7981035	0.5190202	0.1414235	0.9999502	0.5573203	0.2113897	0.0216854	0.1903344	0.7643643	0.0954139	0.0436657	0.9782741	0.0890099	0.9974477	0.0482246	0.9972861	0.9871093	0.0461684	0.0371954	0.0293428	0.0170344	0.9989077	0.7413249	0.7350443	0.1362772	0.9987968	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0707773	1.0000000	0.1394309	0.0718246	0.0811846	0.0288349	1.0000000	0.0000000	0.0000000	1.0000000	0.1476652	0.9992446	0.9995433	0.9855141	0.5938579	0.8956967	0.2891979	0.0457737	0.0591921	0.9985097	0.0492877	0.9924178	0.9651591	0.8128925	0.0692447	0.1168831	0.3731589	0.4302240	0.7388284	0.1071548	0.9992812	0.0178083	0.0193753	0.9998550	1.0000000	0.9858737	0.3244900	0.7590266	0.3026306	0.0626164	0.9992383	0.4842841	0.9482853	0.0921301	0.2017135	0.9799630	0.9115732	0.0394119	0.9970480	0.6632193	0.2361715	0.4762489	0.1837735	0.0309840	0.9999896	0.9994784	0.9961719	0.2986751	0.9128474	0.2972372	0.5262376	0.0134352	0.9995862	0.0999042	0.9964938	0.0727428	0.0113177	0.5153790	0.8559120	0.0362804	0.5971854	0.7585650	0.9937155	0.5247644	0.0161573	0.8421893	0.9866123	0.9309581	0.5926953	0.0884876	0.0601161	0.0397340	0.9641074	0.0494699	0.1187304	0.5366780	0.9575929	0.9198586	0.1036403	0.3899767	0.9555621	0.0907730	0.6056306	0.9924101	0.9995164	0.9999354	0.0151658	0.8090029	0.9754435	0.8511119	0.0737299	0.8063511	0.0111127	0.8406200	0.9978743	0.4983545	0.4417114	0.8437293	0.9830350	0.9934993	0.0470096	0.9848627	0.9994835	0.9017991	0.0646216	0.9957633	0.8026850	0.0463752	0.9129371	0.0708854	0.0924437	0.8802675	0.1314488	0.5635615	0.9706501	0.0312973	0.5707837	0.1588466	0.3297937	0.3998938	0.5268413	0.1107186	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3346291	0.4533668	0.0423463	0.7793083	0.7981035	0.5190202	0.1414235	0.9999641	0.5851782	0.1952729	0.0216630	0.1781628	0.7805092	0.0903155	0.0388460	0.9697762	0.0890099	0.9982400	0.0461952	0.9984684	0.9891108	0.0450945	0.0367508	0.0292744	0.0156488	0.9993041	0.7413249	0.7350443	0.1293031	0.9990447	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7338238	1.0000000	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.5728346	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9893507	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0921301	0.9584974	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9653343	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.6387367	0.9128474	0.2972372	0.2125102	0.3837565	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9994228	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9494833	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.7636400	0.0339966	0.3327985	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9946367	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.1961330	0.6193790	0.0199679	0.5974249	0.9996337	0.0371597	0.4948543	0.9928675	0.0055666	0.6389351	0.9645778	0.9999998	0.5190202	0.1414235	0.4824372	0.9999563	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.0890099	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000001	0.9999679	0.9999571	0.9999981	0.0764779	1.0000000	0.9998662	0.9999945	0.9999957	0.9999991	0.9999937	0.9998829	0.9999967	0.9999605	0.9999842	0.0423675	0.0000009	0.9999904
0.0577990	1.0000000	0.0915602	0.0289315	0.0428299	0.0000000	0.0000000	0.0245259	0.0007920	1.0000000	0.1476652	0.9998396	0.9999144	0.9943922	0.5923316	0.9447788	0.1355167	0.0457737	0.0634333	0.9996771	0.0425135	0.9987241	0.9837763	0.9231134	0.0692447	0.1120801	0.3717615	0.5344143	0.8201365	0.0681103	0.9998683	0.0142114	0.0191383	0.9999858	1.0000000	0.0517557	0.2458283	0.8662229	0.2267079	0.0552680	0.0407910	0.4964861	0.9833752	0.0921301	0.1564401	0.9922490	0.0491313	0.0339440	0.9995439	0.5186753	0.1792681	0.3681857	0.2690300	0.1522757	0.9999346	0.0383570	0.9990600	0.2986751	0.0177209	0.2972372	0.5258849	0.0105370	0.0307624	0.0719863	0.0942210	0.0669823	0.0108028	0.5153790	0.9000771	0.0362804	0.8224657	0.6714414	0.9981415	0.8622243	0.0066644	0.9475741	0.9947913	0.9625934	0.0840840	0.0761340	0.0581110	0.0397220	0.9817573	0.0444933	0.2248025	0.7963248	0.9911151	0.9608122	0.1051183	0.3354892	0.9935352	0.0742947	0.6935568	0.9979425	0.9999062	0.9999958	0.0151659	0.9197768	0.9890113	0.9417865	0.0730553	0.9637851	0.0110199	0.9186651	0.9996909	0.6486846	0.5905140	0.8950313	0.9933305	0.9986608	0.0470107	0.9952395	0.9999096	0.9486272	0.0643592	0.9993969	0.8788550	0.0410927	0.0293463	0.0678673	0.0937222	0.7176880	0.0642329	0.3659288	0.9864384	0.0306669	0.5707837	0.0895949	0.3297937	0.2188507	0.5268413	0.0967850	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.1627543	0.4533668	0.0309769	0.6942141	0.7981035	0.5190202	0.1414235	0.9999961	0.7695415	0.1101657	0.0216073	0.1174345	0.8705854	0.0641598	0.0015142	0.7566363	0.0890099	0.9997317	0.0293266	0.9999081	0.9966295	0.0385617	0.0349531	0.0291138	0.0094240	0.9999267	0.7413249	0.7350443	0.0914249	0.9998062	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
