malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.6809717	1.0000000	0.8679219	0.8379388	0.9348167	0.8279647	0.8041745	0.6052287	0.0022096	0.8592682	0.1143433	0.6104883	0.6043738	0.1970184	0.6280547	0.3126453	0.9919629	0.4536092	0.0000020	0.4749002	0.8304660	0.0633621	0.5242415	0.0984624	0.0000000	0.4432105	0.6938165	0.1173691	0.2732420	0.8780673	0.4463093	0.6873562	0.5178583	0.1390276	0.9536999	0.9207515	0.9238093	0.1004265	0.7898291	0.8732432	0.9986408	0.6785325	0.0828173	0.0000913	0.9013999	0.4359220	0.8277973	0.6386728	0.1036643	0.9490430	0.9762842	0.8174743	0.0126874	0.2641850	0.9929815	0.9982973	0.2331220	0.2986751	0.9296448	0.4144255	0.6814111	0.5264585	0.9987461	0.6237454	0.9930635	0.9265344	0.9587060	0.5239531	0.5207979	0.5439270	0.0652189	0.9553710	0.3044547	0.2232631	0.9605749	0.0208349	0.4308637	0.2459840	0.5050298	0.9733735	0.9992923	0.5628937	0.4063051	0.9885803	0.0354084	0.2234544	0.0205508	0.3032985	0.0000058	0.8209674	0.1164753	0.4710979	0.2827056	0.3329625	0.3568904	0.0803634	0.0000040	0.0594183	0.5326972	0.0389704	0.7005175	0.0343990	0.3310385	0.1616926	0.0752952	0.0890929	0.0853123	0.3890178	0.4886764	0.1411271	0.0655738	0.3093623	0.5008207	0.2794575	0.4573744	0.0301566	0.3660594	0.9555664	0.8422351	0.8901843	0.0921548	0.9743721	0.8933230	0.9479099	0.5748163	0.4317645	0.4555488	0.8542271	0.2215973	0.9768107	0.3954132	0.4895449	0.0208727	0.1216159	0.0060410	0.0174750	0.4846615	0.9962117	0.4741498	0.6408790	0.9170129	0.7981035	0.5747992	0.1688277	0.6070794	0.0085002	0.8546821	0.8292876	0.8509816	0.2056197	0.7531531	0.7260984	0.9670532	0.0825389	0.2501468	0.5350516	0.0416357	0.3548329	0.5148977	0.7966439	0.9396047	0.8839155	0.1970309	0.6643022	0.6137900	0.8333635	0.1145807	0.8636520	1.0000000	0.8292574	0.9910862	0.8098909	1.0000000	0.9334325	0.9967853	1.0000000	1.0000000	0.9529119	1.0000000	0.9560586	0.7721675	1.0000000	1.0000000	0.2219818	0.0415507	0.0017598	0.4704363	0.5313210	0.0118951	0.4137080	0.0081659	0.1297779	0.0452908	0.0970347	0.2217534	0.2243198	0.0036743	0.5606372	1.0000000	0.2267196
0.6886205	1.0000000	0.9831786	0.8731467	0.9466327	0.9172262	0.7151870	0.5748558	0.4643090	0.4788541	0.7204188	0.3260483	0.2314659	0.2103994	0.5897991	0.1697676	0.9956346	0.5341671	0.0586360	0.2469263	0.9251281	0.0226532	0.4779151	0.0205159	0.3172165	0.5884533	0.7906088	0.1065750	0.1607974	0.9502348	0.2755622	0.7671803	0.5759855	0.1907327	0.9258938	0.9611582	0.9447298	0.0622124	0.7172153	0.9145895	0.9984065	0.7497031	0.0453390	0.0921301	0.9024101	0.2977723	0.6802873	0.5522401	0.0690804	0.9546304	0.9637536	0.8321453	0.0034926	0.4747296	1.0000000	0.9978752	0.1648957	0.2986751	0.8627773	0.8870406	0.1745699	0.3538982	0.9946628	0.5141749	0.8938549	0.8689353	0.9851343	0.8970909	0.3418669	0.3935783	0.0044651	0.9539475	0.2493653	0.2071031	0.9674942	0.0363807	0.3479472	0.3513477	0.5004640	0.9736310	0.9420499	0.8164123	0.3334226	0.9469559	0.0350290	0.2230836	0.0083632	0.2594833	0.0019124	0.8218587	0.1150767	0.5767268	0.2697373	0.1975210	0.4751283	0.0345502	0.9523067	0.0318419	0.4162013	0.0215376	0.7480622	0.0005066	0.2773935	0.1334815	0.0763309	0.0805078	0.0347167	0.2958719	0.4194554	0.0961133	0.6348506	0.2477505	0.3799057	0.2707233	0.6071276	0.1171305	0.3482863	0.9558934	0.7680362	0.8513286	0.0444967	0.9992583	0.9397267	0.9523040	0.5314310	0.6579646	0.6797296	0.8953208	0.4098999	0.9860582	0.4540973	0.5837713	0.0312912	0.0937934	0.0071580	0.0665086	0.8438602	0.9256821	0.3966531	0.6584294	0.9217035	0.7981035	0.7815387	0.2494756	0.3840257	0.0054340	0.8970882	0.8518726	0.8590512	0.0541515	0.6237589	0.7508785	0.9670538	0.0365738	0.2892105	0.6367592	0.0063986	0.2815353	0.5520001	0.8051750	0.9807610	0.9407422	0.1301952	0.6810932	0.1814436	0.6143169	0.3301795	1.0000000	0.8856762	1.0000000	0.8613318	1.0000000	0.8315171	0.9494645	1.0000000	0.9395902	1.0000000	1.0000000	1.0000000	0.7478015	1.0000000	1.0000000	1.0000000	0.1523943	0.0413386	0.0091185	0.6095953	0.5313210	0.0118951	0.5745742	0.0386755	0.1263823	0.0010555	0.0980789	0.2513563	0.0809427	0.0038820	0.6563891	1.0000000	0.2267196
0.4989028	0.7646539	0.9783898	0.8719042	0.9462534	0.9999859	0.8065269	0.6059587	0.7653804	0.2800478	0.9587219	0.5025342	0.3527630	0.4039234	0.2150728	0.2748916	0.9322121	0.7249141	0.0000008	0.2486734	0.9056339	0.0251367	0.3763203	0.0881294	0.0990728	0.3241200	0.4513949	0.0852696	0.1793159	0.8510124	0.2711414	0.9368068	0.6168726	0.1930354	0.8620527	0.9763505	0.9765026	0.1410237	0.7162678	0.8962025	0.9577031	0.6594957	0.0917683	0.0259620	0.8629683	0.3731922	0.8642341	0.6601732	0.0701388	0.9741590	0.8962252	0.8316012	0.0367573	0.0119443	0.9929812	0.9598050	0.2692470	0.1204774	0.9025265	0.8528569	0.3722977	0.2365744	0.9979664	0.7338356	0.9962245	0.9297149	0.9857753	0.9762407	0.2949291	0.7057115	0.0030386	0.9537493	0.3156113	0.0000385	0.9722116	0.0366218	0.2981216	0.3838912	0.6892334	0.9799834	0.9378381	0.7025143	0.5342976	0.9481716	0.0350419	0.2230954	0.0208783	0.2044157	0.1032451	0.9357011	0.0017134	0.6859473	0.2702215	0.2668504	0.5158608	0.0198216	0.9466058	0.0471571	0.4290109	0.1378940	0.4233560	0.0006118	0.1156274	0.1114185	0.0773850	0.0808160	0.0785736	0.3244352	0.4221199	0.0975734	0.8822690	0.2499549	0.3843939	0.2722588	0.5629927	0.1176090	0.1662647	0.9417619	0.8188874	0.8498570	0.0921547	0.9991369	0.9515201	0.9864787	0.5330889	0.5308279	0.5435721	0.8776097	0.6683332	0.9794785	0.8205162	0.5443773	0.0726534	0.1145295	0.0103096	0.2346936	0.8205733	0.9942072	0.5042660	0.6535881	0.9775565	0.8432321	0.8417638	0.4972518	0.4494406	0.0069575	0.8555787	0.8806957	0.7875085	0.1823649	0.6174023	0.8189102	0.9999997	0.1342707	0.2633513	0.4981835	0.0070812	0.2692048	0.7359815	0.7943937	0.9570923	0.9678449	0.1230947	0.2367042	0.0391108	0.5498853	0.4108713	0.7221109	0.7800724	1.0000000	0.9492373	0.5425694	0.8063769	0.6493976	0.9029268	1.0000000	0.9510277	1.0000000	1.0000000	1.0000000	1.0000000	0.7368315	0.9183377	0.2505627	0.1329083	0.0015646	0.4503231	0.4212147	0.0000002	0.3291926	0.0161468	0.2880238	0.0015675	0.0679026	0.2970762	0.2243562	0.0032509	0.4686304	0.9696711	0.1499676
0.6686394	1.0000000	0.9813878	0.8726767	0.9464899	0.8644207	1.0000000	0.6590399	0.3893275	0.9665996	0.1082348	0.4997612	0.4860497	0.3403432	0.2028053	0.2739763	0.9322733	0.5197273	0.0586360	0.2226675	0.9189256	0.0422468	0.3896989	0.0879018	0.4548800	0.6411764	0.5803110	0.1067259	0.2115688	0.8941245	0.2130424	0.7661102	0.6619794	0.1916020	0.9812756	0.9341200	0.9924834	0.1406203	0.7924531	0.9400747	0.9584473	0.4662073	0.0607624	0.0921301	0.9561270	0.3336824	0.8624419	0.5209127	0.0694832	0.9545546	0.9261798	0.9451047	0.0366951	0.5859724	1.0000000	0.9996207	0.2824694	0.3690021	0.9487289	0.3023437	0.2158754	0.3420795	0.9996140	0.4996293	0.9980347	0.9074220	0.9760248	0.4141620	0.3037907	0.5417499	0.0629790	0.9538730	0.4233114	0.0827417	0.9636797	0.0364708	0.4824487	0.4079303	0.5086126	0.9688378	0.9991295	0.7295749	0.4363199	0.9920163	0.0009601	0.2230880	0.0122903	0.2601000	0.0908433	0.8194416	0.0014015	0.6504848	0.2699216	0.1209502	0.2599826	0.0380516	0.5990362	0.0379299	0.4734557	0.0175742	0.8009182	0.0339066	0.2581072	0.0526461	0.0767343	0.0297902	0.0784179	0.4000800	0.4204624	0.0966669	0.6049685	0.1620991	0.3317979	0.2064571	0.6445050	0.1173109	0.0841340	0.9929532	0.8932609	0.9189195	0.0000023	0.9991304	0.9137935	0.9522471	0.5320619	0.5006480	0.3715750	0.8511081	0.2798828	0.9557184	0.2472218	0.6399716	0.0018798	0.0852944	0.0111433	0.0383653	0.3789328	0.9954731	0.3216111	0.6940097	0.9687240	0.9050160	0.5312856	0.1471981	0.2801776	0.2342778	0.9071222	0.9556148	0.8712579	0.1155540	0.5729572	0.7640612	0.9999995	0.0580814	0.2893016	0.4574599	0.0411560	0.2825455	0.7117164	0.7444973	0.9734278	0.8892209	0.1607659	0.6859670	0.8317771	0.7291458	0.4083112	0.8321992	1.0000000	1.0000000	0.8980149	1.0000000	0.9893771	0.7770333	0.8329006	1.0000000	0.5992115	1.0000000	1.0000000	0.9864294	0.7643376	1.0000000	1.0000000	0.1229074	0.1221218	0.0144352	0.7662644	0.5313210	0.0118951	0.2178237	0.0164180	0.1846610	0.0452908	0.0980789	0.2714179	0.1558425	0.0031295	0.7430757	0.6841753	0.2633352
0.7174008	1.0000000	0.9224323	0.8649110	0.9411695	0.8867018	1.0000000	0.6590385	0.2155393	0.9990453	0.1480109	0.5562528	0.4912078	0.3785152	0.7495482	0.1934267	0.9309077	0.9424045	0.0000019	0.4229384	0.8529453	0.0367099	0.2246265	0.0928626	0.0063523	0.4635231	0.5813288	0.1119585	0.2607761	0.8368870	0.3103922	0.7283353	0.5557244	0.2250426	0.9983291	0.9895596	0.9904890	0.1492650	0.7916720	0.9400726	0.9993285	0.4372241	0.1034327	0.0921301	0.9059894	0.3013850	0.8624419	0.4715202	0.0606941	0.9518902	0.9646072	0.8598262	0.0380112	0.6166450	0.9929815	0.9995581	0.2511444	0.2302484	0.8951270	0.1954852	0.0019521	0.4804207	0.9688271	0.5856930	0.9965898	0.8355788	0.9646902	0.5038378	0.4469616	0.2549882	0.0640144	0.9512829	0.2776441	0.2232415	0.9740076	0.0398087	0.5155400	0.4304707	0.9232834	0.8922963	0.9422205	0.6168810	0.3318212	0.9453309	0.0012998	0.2232538	0.0241786	0.2360922	0.0000057	0.9652263	0.0566970	0.6799063	0.1177029	0.1978426	0.3498097	0.0556021	0.1189143	0.0527915	0.5033256	0.1428816	0.7259335	0.0005509	0.5919404	0.1473511	0.0919937	0.0847173	0.0346750	0.1566465	0.3961330	0.1170773	0.2480696	0.2779196	0.2676305	0.2301439	0.4961671	0.1242865	0.2393523	0.9569933	0.8835908	0.8300850	0.0000009	0.9992095	0.9345899	0.9501873	0.4953771	0.4318797	0.3075760	0.8984198	0.3300073	0.9526842	0.4422741	0.5176344	0.0199725	0.0601224	0.0005822	0.0371921	0.4954076	0.9243169	0.1464971	0.5967097	0.9193761	0.6267968	0.5192890	0.1415831	0.4064034	0.0074589	0.8621107	0.8916231	0.8630477	0.0642961	0.5512775	0.7428583	0.9999993	0.0537639	0.2881450	0.6863746	0.0082312	0.3177996	0.6248846	0.8334349	0.9398079	0.8551394	0.1935284	0.8390443	0.8673870	0.6576416	0.4618482	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8142914	1.0000000	1.0000000	0.6151018	0.9651125	1.0000000	1.0000000	0.0644791	0.1221218	0.0016176	0.5274545	0.3831114	0.0118951	0.5745742	0.0386755	0.1890873	0.0007065	0.0980789	0.1484908	0.2243198	0.0700883	0.5606372	1.0000000	0.2267196
0.5285239	0.7717575	0.8614850	0.8426546	0.9339534	0.7587307	1.0000000	0.6590385	0.4672529	0.6786931	0.3939590	0.6169675	0.3743229	0.5246390	0.0540662	0.1735652	0.9959398	0.5321975	0.0586361	0.4813535	0.8896805	0.0649077	0.2642102	0.0992006	0.0411051	0.4594140	0.5316556	0.0726604	0.2747966	0.8910357	0.4686015	0.6821006	0.4730898	0.2728227	0.9581938	0.9341189	0.9911281	0.1597110	0.8144660	0.8595370	0.9585546	0.4701317	0.1191140	0.0653373	0.8717574	0.4402592	0.8624419	0.5785742	0.1014676	0.9486786	0.9591375	0.8165469	0.0395831	0.2167880	0.9950070	0.9995044	0.3389819	0.3336672	0.9147093	0.5393309	0.4858801	0.2555640	0.9688271	0.6285626	0.9983556	0.7985338	0.9687431	0.6205334	0.3826278	0.5068538	0.0653804	0.9482454	0.3229957	0.2232662	0.9680244	0.0442251	0.5521754	0.4479822	0.7708037	0.8844087	0.9966623	0.4910407	0.5826724	0.9537723	0.0354345	0.0862108	0.0207919	0.3060555	0.1032453	0.7964108	0.1165874	0.4467463	0.1009431	0.3374636	0.6335894	0.0618967	0.7892053	0.0493104	0.3302419	0.1495801	0.5460305	0.0344383	0.1369540	0.1370285	0.1138725	0.0207697	0.0857685	0.4332130	0.4928516	0.1443616	0.6379951	0.3133770	0.5082718	0.2813169	0.4082040	0.0521933	0.1174777	0.9419741	0.9133522	0.8717858	0.0000010	0.9743471	0.8919110	0.9907045	0.3918649	0.3734467	0.8488270	0.8213517	0.4249323	0.9719316	0.4904794	0.5585246	0.0026047	0.2676129	0.0254827	0.0609427	0.7064227	0.9936231	0.4363416	0.6435374	0.9356269	0.7815139	0.6631609	0.2201188	0.5917152	0.1961846	0.8283839	0.8705097	0.8642480	0.2071623	0.4604134	0.7037755	0.9670532	0.1323017	0.2223025	0.6956993	0.0416724	0.2375913	0.6755899	0.6918066	0.9706025	0.8323078	0.1725428	0.6746891	0.3944641	0.5114595	0.3140008	0.9190155	0.7530145	0.8809279	1.0000000	0.9970442	1.0000000	0.8794443	1.0000000	0.7694403	0.5666851	1.0000000	1.0000000	0.8665155	0.6305204	0.9262511	0.6779357	0.2784305	0.1952112	0.0036891	0.3795371	0.7700220	0.0000010	0.7115219	0.0369872	0.7229981	0.0052633	0.1229286	0.5172365	0.0004292	0.0118714	0.1858469	1.0000000	0.1881740
0.6731556	1.0000000	0.8595985	0.8932008	0.9336981	0.7411133	1.0000000	0.6942941	0.3082200	0.7567475	0.2801366	0.5487363	0.6133691	0.5258442	0.8336620	0.3158246	0.9883052	0.5158667	0.0586361	0.4832441	0.8740723	0.0653683	0.4614689	0.0334540	0.0153019	0.4387380	0.6841837	0.0947877	0.2324872	0.8178468	0.4903283	0.6805622	0.4609737	0.2745412	0.9512217	0.9860357	0.9882310	0.0689716	0.7703357	0.9108835	0.9993642	0.5066166	0.0948299	0.0921301	0.9003248	0.2276732	0.9384866	0.4295101	0.1070688	0.9485714	0.9749466	0.8584218	0.0190094	0.1368641	0.9929815	0.9611231	0.3771425	0.2180019	0.9738199	0.4987107	0.1860664	0.3448897	0.9996094	0.4616175	0.9457145	0.8784758	0.9670077	0.3080742	0.5228098	0.1759139	0.0068733	0.9481453	0.4969573	0.2023935	0.9510712	0.0443804	0.4326057	0.4565571	0.5118748	0.9614944	0.9990743	0.6363481	0.5117602	0.9885342	0.0354422	0.0467962	0.0291940	0.3068621	0.0139930	0.8200222	0.1166210	0.4402193	0.1591675	0.2018264	0.6355230	0.0536977	0.4614847	0.0605457	0.4068760	0.0418733	0.7831846	0.0344500	0.2626263	0.1640584	0.0585411	0.0322609	0.0859023	0.4337718	0.4302268	0.1453158	0.4206801	0.1768117	0.3010461	0.2583041	0.4479758	0.1348853	0.3675245	0.9928929	0.8835908	0.8844425	0.0000010	0.9988150	0.8914947	0.9798221	0.5782264	0.3716333	0.7869525	0.8208087	0.3966538	0.9790557	0.7400882	0.8135679	0.0037004	0.0920328	0.0051344	0.0515154	0.4486300	0.9946484	0.7340753	0.6546516	0.9743395	0.7981035	0.6225766	0.1269563	0.5733481	0.2006394	0.8278808	0.8866950	0.7545550	0.1406652	0.5567587	0.7974583	0.9670532	0.0890099	0.2527158	0.6144612	0.0416829	0.3608762	0.5307037	0.7951540	0.9138988	0.8070978	0.1943975	0.6698324	0.5718939	0.6083024	0.5248318	1.0000000	0.6740141	0.6831437	0.7642634	1.0000000	0.6317050	1.0000000	1.0000000	0.6786870	0.7827111	1.0000000	0.7071267	1.0000000	1.0000000	0.7210410	1.0000000	0.1455106	0.1221218	0.0144352	0.5541196	0.4289354	0.0118951	0.3701575	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.1944777	0.0034013	0.6903057	1.0000000	0.1370959
0.7416421	1.0000000	0.9702648	0.8697514	0.9455901	0.8501467	1.0000000	0.7660204	0.0639356	0.8392517	0.2314756	0.5101714	0.2703966	0.3314299	0.9528618	0.1457867	0.9474313	0.5240952	0.0586360	0.3814784	0.9554145	0.0407942	0.4827153	0.0302322	0.3175101	0.4764770	0.8105514	0.0710386	0.0865431	0.9227409	0.3112442	0.7594868	0.5854055	0.1970979	0.9970460	0.9770201	0.9917798	0.0578040	0.7146396	0.8769756	0.9584473	0.3086837	0.0933235	0.0000679	0.9284673	0.2190053	0.8624419	0.5018061	0.0720038	0.9540819	0.9335648	0.8306650	0.0369295	0.6678898	0.9929815	0.9611231	0.2899811	0.1822026	0.9330849	0.2986374	0.2299209	0.3844099	0.9997647	0.4955341	0.9972345	0.9061393	0.9742040	0.5385364	0.4070516	0.0028165	0.0359040	0.9534082	0.2285397	0.2232278	0.9764740	0.0370419	0.4884749	0.4120401	0.6384280	0.9380120	0.9996670	0.5840618	0.3846507	0.9917261	0.0350644	0.1021986	0.0134330	0.2639113	0.0183171	0.9527959	0.1151894	0.6030869	0.2710557	0.1298847	0.4794557	0.0408015	0.0009288	0.0479122	0.4541612	0.0210731	0.7204339	0.0006782	0.3296047	0.1362611	0.0406194	0.0254923	0.0790081	0.1392694	0.2231285	0.0754049	0.0646088	0.2537666	0.3473138	0.1050580	0.4904841	0.1184532	0.3500642	0.9973664	0.8835908	0.8582030	0.0000009	0.9992588	0.9664416	0.9889706	0.2947173	0.4762367	0.7143750	0.9206026	0.2697848	0.9551899	0.6688447	0.6784402	0.0210501	0.1252200	0.0000551	0.0448407	0.5952294	0.9951742	0.3173835	0.8164727	0.9212332	0.7981035	0.5836376	0.1420422	0.4604366	0.2251301	0.8669124	0.8208662	0.7855311	0.1838909	0.5019187	0.7326442	0.9999995	0.0514858	0.1773169	0.5014665	0.0066218	0.2082234	0.5245378	0.8212460	0.9477952	0.8449134	0.1608725	0.7182393	0.5580394	0.7231912	0.2863889	0.3225689	0.9217821	1.0000000	1.0000000	1.0000000	1.0000000	0.6520970	1.0000000	0.7745390	1.0000000	0.4909418	1.0000000	1.0000000	1.0000000	0.9206231	1.0000000	0.2219818	0.1221218	0.0017531	0.6416375	0.5313210	0.0118951	0.3837118	0.0386755	0.1402481	0.0007129	0.0980789	0.2714179	0.2243198	0.0022639	0.5606372	1.0000000	0.2267196
0.6816534	1.0000000	0.8598324	0.8836163	0.9337307	0.7432241	0.7157759	0.5750717	0.3804232	1.0000000	0.1476652	0.6186131	0.4839355	0.2662267	0.8089408	0.3157337	0.9290084	0.8684123	0.0000020	0.3717139	0.8266798	0.0653099	0.3472568	0.0574385	0.1368857	0.4436628	0.4714011	0.0707537	0.2390805	0.8194584	0.4900693	0.6807590	0.4624453	0.1711824	0.9804856	0.9673427	0.9238406	0.0924940	0.7736233	0.9415410	0.9570112	0.3794295	0.1008553	0.0921301	0.9014962	0.4412957	0.6809313	0.5317320	0.0808556	0.9485850	0.9736817	0.8163087	0.0150628	0.3570631	1.0000000	0.9579498	0.3149261	0.2078493	0.8695608	0.2246772	0.1098836	0.3499147	0.9636816	0.4893098	0.9907785	0.7934746	0.9591261	0.2670816	0.3663577	0.4332242	0.0654222	0.9693125	0.2147687	0.2232670	0.9632095	0.0194594	0.2672178	0.2674685	0.2476024	0.9714099	0.9420045	0.4738707	0.5833858	0.9395424	0.0015050	0.2092315	0.0291719	0.3067594	0.1032453	0.9515779	0.1166167	0.4410155	0.2837254	0.2633460	0.6352793	0.0849764	0.5765672	0.0500048	0.4749075	0.1497825	0.6470463	0.0010245	0.2708151	0.1639901	0.1145614	0.0897960	0.0330068	0.3521880	0.4516200	0.1451937	0.6903259	0.2378991	0.5101634	0.3150897	0.4898513	0.1348372	0.3674821	0.9555987	0.7684236	0.9140419	0.0000009	0.9743407	0.8915476	0.9475366	0.5781283	0.3718632	0.5707837	0.8830465	0.3297937	0.9487372	0.4624042	0.4852132	0.0013531	0.0990894	0.0071021	0.0083363	0.4039161	0.9224848	0.3710877	0.5581103	0.9166377	0.7806350	0.3031383	0.1192188	0.4363895	0.0074015	0.8488318	0.7514028	0.8992896	0.2075569	0.4597502	0.6983471	0.9874788	0.0890099	0.1131042	0.5050410	0.0416815	0.2714182	0.6663255	0.8087190	0.9144374	0.8079581	0.1976327	0.6682061	0.7654778	0.5108823	0.3344051	0.6321499	1.0000000	1.0000000	0.9042859	1.0000000	1.0000000	1.0000000	1.0000000	0.8846254	0.8618008	1.0000000	0.9359474	1.0000000	0.6828261	0.8008199	1.0000000	0.1068824	0.1221218	0.0144352	0.4704363	0.5313210	0.0118951	0.5050920	0.0154617	0.1148318	0.0008972	0.0216553	0.2424884	0.2243198	0.0700883	0.5606372	0.9666812	0.1247338
0.7319286	1.0000000	0.9504671	0.9586731	0.9438764	0.7268996	0.7028196	0.6392066	0.1590618	1.0000000	0.1476652	0.5289951	0.5171459	0.3626529	0.8512037	0.2269249	0.9934165	0.8657098	0.0000019	0.3981385	0.9096543	0.0321758	0.4382974	0.0903762	0.0017791	0.5141144	0.5673945	0.0616851	0.2548058	0.8442709	0.2787158	0.7471376	0.4561157	0.1046670	0.9994340	0.9070038	0.9923417	0.1449845	0.8107790	0.8519816	0.9568804	0.3519875	0.0972986	0.0897640	0.9583899	0.1940760	0.7489886	0.7590131	0.0530042	0.9532076	0.9327097	0.8932471	0.0160972	0.6243197	0.9929815	0.9975783	0.3038947	0.3082545	0.8137258	0.2972372	0.1442788	0.3838726	0.9952704	0.4568280	0.8930755	0.7878535	0.9900896	0.4216894	0.3733719	0.1610790	0.0054446	0.9525545	0.4402984	0.2232330	0.9491616	0.0170723	0.4049109	0.4195149	0.7273103	0.8819812	0.9995314	0.4933741	0.5453204	0.9862964	0.0351217	0.2231693	0.0224108	0.2709116	0.1032451	0.8265696	0.1153797	0.4348453	0.0664696	0.2137707	0.5063359	0.0462910	0.0374138	0.0359281	0.4888637	0.0322955	0.7044251	0.0340103	0.3204941	0.0851545	0.0841141	0.0349087	0.0801008	0.2924681	0.4380278	0.1067150	0.2599653	0.2633870	0.3713428	0.1959633	0.4058081	0.1206730	0.2558223	0.9574671	0.8457851	0.9271149	0.0000009	0.9992217	0.9335629	0.9512149	0.5430078	0.6141201	0.5707837	0.8443019	0.3297937	0.9542010	0.6778938	0.5313179	0.0016965	0.1336206	0.0073269	0.0371597	0.4059324	0.9893226	0.3362835	0.7848450	0.9651429	0.8144057	0.5190202	0.1414235	0.3885235	0.2264481	0.8497553	0.8131583	0.7805650	0.1877141	0.4947308	0.6924426	0.9670537	0.0890099	0.2909547	0.4095888	0.0066333	0.2054757	0.4671776	0.6889724	0.9101142	0.8012017	0.1558367	0.7143290	0.7558417	0.5412041	0.1806236	1.0000000	1.0000000	1.0000000	1.0000000	0.9659708	0.8256058	0.7913018	0.9646536	0.9454812	0.8430598	0.9566079	0.9456667	1.0000000	0.9088521	0.7785849	1.0000000	0.2219818	0.0351155	0.0019650	0.4704363	0.4973741	0.0118951	0.5745742	0.0150936	0.1890873	0.0011922	0.0214988	0.2714179	0.0000658	0.0700883	0.5606372	0.9468267	0.0934733
