malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0290374	0.6306625	0.0627286	0.0150095	0.0451114	0.0000000	0.6733078	0.3931866	0.0000000	0.5960252	0.0848177	0.6355589	0.6832380	0.7462604	0.4201736	0.5777253	0.1094694	0.3385271	0.0283412	0.6217131	0.0481136	0.6340238	0.6938629	0.6221050	0.0485344	0.0844944	0.3041523	0.4051978	0.5637766	0.0747717	0.6934339	0.0144504	0.0127942	0.6820669	0.6810979	0.7782387	0.1942642	0.5801252	0.1194503	0.0523370	0.5572205	0.2902721	0.6323071	0.0303117	0.1298310	0.5806391	0.5375217	0.0130921	0.7003682	0.2970967	0.1343872	0.2259885	0.1660945	0.1512645	0.6888382	0.6158933	0.7619366	0.2404200	0.6415440	0.3026103	0.3753336	0.0104830	0.7929857	0.0328559	0.6923157	0.0513469	0.0112884	0.2949029	0.6781908	0.0292604	0.5539089	0.3988525	0.8174458	0.6866954	0.0029043	0.7245836	0.5326811	0.7062872	0.4492731	0.0736036	0.0438714	0.0161597	0.7276378	0.0338583	0.1987838	0.5358600	0.6177948	0.6779262	0.1298377	0.2436581	0.7187397	0.0648332	0.4778419	0.6759166	0.8363131	0.6258330	0.0275204	0.6722945	0.6195574	0.7980926	0.0421390	0.6544672	0.0057228	0.5140269	0.7551044	0.4711891	0.4590338	0.6009710	0.6723981	0.7470271	0.0198420	0.7653516	0.6466474	0.7294675	0.0633564	0.5717042	0.6067427	0.0173554	0.6896683	0.0420082	0.0551851	0.4373601	0.0352228	0.1980431	0.8589167	0.0311220	0.4073850	0.0847153	0.1815240	0.0951815	0.3188166	0.0888840	0.0186493	0.0936809	0.0012948	0.0212930	0.3682354	0.1379149	0.2529695	0.0372312	0.4481468	0.5153476	0.3027881	0.0613311	0.8403713	0.5162282	0.1018893	0.0260998	0.1340622	0.5375821	0.0456673	0.0000719	0.3708655	0.0457690	0.8026929	0.0203001	0.6547770	0.6121354	0.0374821	0.0271213	0.0365756	0.0019150	0.7910734	0.4890649	0.4965711	0.0946519	0.6229675	0.6894497	0.5758248	0.6796095	0.6196879	0.6434070	0.6733665	0.6057261	0.7022042	0.7347153	0.6699515	0.7872249	0.7720486	0.5671438	0.7601156	0.6968227	0.7011746	0.1463065	0.0744339	0.0263458	0.3968753	0.2938828	0.0066669	0.4495681	0.0238458	0.1115236	0.0429140	0.0418427	0.2353828	0.1532119	0.0441249	0.4544047	0.9178158	0.1465491
0.6618523	0.0000000	0.6450891	0.5377529	0.5826042	0.4730437	0.7109188	0.4203271	0.2315759	0.5767859	0.0882123	0.2564047	0.3511606	0.2602934	0.4848109	0.2232490	0.7536853	0.3726239	0.0380342	0.2260352	0.5999953	0.0207225	0.3613513	0.0588116	0.0966405	0.5811824	0.4066194	0.0611885	0.1598786	0.7878893	0.2088916	0.5933412	0.3670267	0.0958800	0.7929648	0.6018607	0.6776870	0.0886894	0.4901700	0.6622188	0.6343307	0.2626412	0.0439602	0.7245672	0.6336350	0.2878275	0.7004596	0.4449087	0.0237314	0.6114961	0.6143222	0.6108814	0.0152651	0.3820382	0.5897653	0.6417442	0.2453981	0.7303708	0.5928047	0.1819099	0.1579759	0.3328578	0.6521526	0.3941935	0.7752365	0.5222624	0.7801037	0.3527223	0.3233528	0.2061687	0.0396220	0.7470729	0.3654883	0.2112666	0.7049437	0.0240406	0.2560294	0.2583967	0.4527488	0.6127979	0.7484769	0.2898937	0.3593032	0.7162988	0.0179442	0.2172200	0.0086283	0.1806785	0.0580258	0.5419432	0.1094184	0.3908444	0.2594982	0.1631470	0.3156029	0.0169498	0.2731320	0.0520744	0.4117851	0.1378406	0.5679524	0.0095228	0.3211481	0.0657607	0.0640436	0.0347767	0.0450778	0.2179316	0.2921692	0.0663645	0.3704848	0.1617213	0.2383146	0.1676047	0.3537683	0.0921649	0.2285799	0.6618464	0.6084978	0.7078988	0.0485942	0.6413257	0.6796687	0.6297641	0.2996797	0.4065615	0.5088574	0.5794987	0.1922446	0.6702254	0.3269354	0.4073022	0.0111061	0.5909185	0.2302730	0.0135752	0.3422333	0.6619473	0.4190054	0.4399431	0.7802086	0.7222919	0.3262654	0.1014916	0.2795752	0.7183708	0.6684412	0.5383558	0.7035828	0.1224208	0.4186728	0.4402842	0.7123219	0.7130862	0.1586408	0.2148595	0.0212345	0.1193068	0.2763848	0.4866771	0.6399968	0.5155790	0.1066584	0.4917466	0.5680963	0.4297824	0.2817579	0.6469704	0.6062425	0.6834339	0.7877331	0.7240813	0.6754006	0.7248716	0.6639569	0.6403974	0.6761771	0.6784449	0.6674583	0.5596273	0.8221348	0.6956959	0.6409002	0.1256218	0.1363364	0.0085375	0.3795301	0.3929973	0.0136355	0.3803341	0.0313053	0.1456849	0.0681202	0.0604918	0.2122326	0.1000646	0.0493144	0.4076371	0.0000000	0.7234835
0.0319959	0.6398805	0.0000000	0.0060129	0.0408660	0.0000000	0.6123673	0.5076046	0.0001903	0.6517204	0.1524600	0.6978670	0.5971730	0.7998818	0.3844104	0.6450154	0.0665867	0.3463169	0.6707984	0.7401017	0.0297158	0.6092407	0.6735344	0.7657085	0.0520806	0.1123936	0.2271385	0.6133323	0.6154107	0.0268586	0.7995738	0.0052088	0.0128692	0.7232564	0.8062515	0.6656366	0.1512797	0.7909649	0.0661227	0.0470482	0.7926865	0.3175945	0.7767715	0.0934421	0.0860520	0.5983027	0.5748274	0.0361392	0.6234353	0.0130476	0.1257156	0.0473409	0.7776262	0.4916879	0.0132564	0.7391818	0.6238523	0.2351532	0.6547937	0.2994188	0.3601024	0.0070307	0.7242793	0.0689219	0.6591464	0.0795846	0.0057642	0.3927802	0.6277150	0.0408847	0.7085287	0.0041253	0.8465955	0.6266173	0.0155793	0.6272950	0.8416869	0.6664127	0.5045650	0.0674600	0.0746735	0.0337786	0.6301786	0.0185548	0.6403353	0.6787313	0.7174190	0.6805861	0.6376732	0.2868166	0.8002660	0.0350878	0.6770788	0.6761559	0.6943353	0.5816029	0.0063181	0.4904626	0.6812716	0.7482008	0.0468525	0.7160188	0.0285335	0.6177447	0.5357978	0.7431368	0.7014701	0.8631211	0.6595639	0.6723854	0.0513135	0.7864305	0.6696964	0.5758398	0.0619930	0.7628161	0.6548250	0.0298740	0.7584060	0.0583883	0.6205325	0.0326005	0.0213888	0.0386376	0.6897090	0.0160218	0.4537487	0.0228886	0.3826441	0.0235149	0.4261076	0.0893190	0.0136676	0.1246012	0.0127730	0.0297861	0.3360514	0.0411784	0.3050041	0.0150273	0.0404362	0.4407487	0.3641225	0.0796535	0.6078275	0.7248464	0.0018572	0.0193585	0.0337732	0.6295733	0.0212587	0.0095858	0.0341044	0.0682992	0.6361256	0.0208629	0.7622762	0.7140545	0.0496187	0.0294615	0.0180119	0.0028202	0.8182371	0.5309285	0.4482592	0.0407611	0.6833266	0.5953267	0.8141219	0.8222276	0.8133462	0.6998181	0.7262448	0.6316020	0.6688618	0.6678951	0.6650451	0.7407855	0.6384166	0.7342036	0.7380323	0.6683847	0.6686317	0.1436237	0.0439471	0.0142332	0.3314252	0.4860239	0.0086219	0.3472610	0.0519347	0.1397366	0.0145906	0.0779366	0.1969369	0.1720083	0.0534058	0.3943837	0.6052708	0.1572346
0.8088282	0.0000000	0.6832394	0.6916169	0.6678100	0.6058804	0.7583789	0.3847078	0.1099412	0.7082371	0.1437180	0.3364944	0.2728972	0.3363010	0.4253630	0.1390448	0.7845586	0.4008230	0.0562393	0.3012349	0.5986980	0.0537987	0.2808227	0.0282229	0.0917113	0.4120606	0.4158049	0.0701232	0.1249204	0.6376185	0.2873517	0.4445908	0.3701803	0.1081501	0.6613762	0.7644274	0.6548482	0.0617088	0.5998858	0.6861742	0.7377972	0.3787277	0.0666863	0.7605823	0.7364156	0.2348105	0.6052171	0.3549581	0.0534357	0.7986485	0.7591671	0.5645280	0.0153483	0.3661060	0.6511390	0.6861940	0.3227237	0.4084148	0.4837311	0.2201453	0.1553555	0.2825602	0.6871999	0.4608764	0.7468257	0.5902782	0.6684731	0.2536515	0.3115768	0.1713796	0.0454729	0.5799232	0.2916278	0.1452663	0.7097221	0.0399491	0.4381074	0.2849102	0.3235248	0.7880501	0.6357432	0.3618662	0.4772193	0.6377939	0.0169246	0.1436827	0.0518364	0.1744100	0.0489291	0.7422535	0.0666002	0.4778134	0.1821532	0.1820655	0.3337770	0.0334441	0.2262453	0.0747756	0.2465587	0.0759931	0.5907166	0.0370443	0.4185599	0.0715035	0.0340319	0.0348817	0.0329752	0.2705958	0.3889969	0.0574244	0.2926875	0.1673315	0.2953965	0.2373243	0.4281944	0.0908393	0.2842510	0.6786780	0.7133998	0.6475616	0.0883205	0.7537559	0.6264177	0.6324188	0.4510184	0.3167963	0.3289231	0.6818236	0.2461851	0.6768049	0.6649186	0.3885310	0.0099830	0.2591325	0.7967210	0.0135350	0.3899354	0.6032255	0.6098042	0.3910288	0.6176515	0.7617984	0.3872409	0.0826564	0.2728577	0.2223452	0.6362753	0.4890257	0.5392110	0.1530451	0.4413016	0.4777722	0.7068690	0.6910678	0.1923740	0.4627419	0.0621562	0.1997171	0.3829753	0.5805755	0.6818185	0.6433381	0.1038970	0.3974717	0.5439194	0.3506927	0.3110676	0.7747868	0.7492694	0.6782472	0.6797098	0.6649714	0.6506521	0.6503166	0.7503732	0.7804870	0.9132309	0.7298022	0.7465024	0.6444830	0.8027191	0.6768994	0.0000000	0.7150089	0.6394583	0.6701910	0.0924341	0.7093515	0.6167702	0.8094006	0.7673085	0.9306045	0.6790898	0.6738726	0.6685896	0.7001422	0.7279151	0.0312791	0.7716530	0.1661147
0.0574161	0.5336574	0.0000000	0.0001371	0.0290447	0.4761982	0.7895574	0.4596748	0.0000000	0.6805173	0.1190453	0.6218521	0.6376279	0.6177330	0.6793548	0.7260342	0.0311877	0.2998845	0.6877661	0.5435002	0.0490159	0.6775512	0.7317443	0.7753916	0.0531146	0.0899210	0.5819059	0.6198663	0.6662445	0.0194143	0.5446590	0.0177142	0.0152521	0.6595048	0.7596349	0.6418729	0.1199724	0.7390181	0.0845989	0.6320146	0.6887416	0.4820503	0.6310773	0.0551444	0.1104483	0.8872492	0.5836804	0.0146436	0.5733055	0.0127739	0.0884317	0.0364027	0.5778138	0.6035646	0.0033360	0.6052379	0.8097147	0.2257694	0.7428355	0.1791138	0.5975238	0.0025048	0.6651078	0.3310220	0.8374069	0.5348373	0.6785203	0.2958838	0.6893869	0.0306595	0.6317698	0.0011077	0.8054545	0.6563762	0.6014009	0.7183631	0.6979084	0.7368905	0.5241687	0.0814580	0.0583136	0.2783378	0.6600219	0.0705431	0.7782607	0.6442852	0.7492666	0.6942452	0.6267826	0.2220163	0.6538747	0.3690350	0.7680014	0.5569925	0.6239294	0.7543849	0.0100977	0.6919409	0.6938852	0.7342136	0.0567994	0.6702969	0.0048788	0.6887337	0.8471466	0.6674384	0.7188883	0.6781599	0.7200143	0.7229222	0.0446043	0.7660786	0.6391079	0.7055896	0.3051163	0.6864812	0.6716039	0.0230302	0.6200451	0.0300128	0.6243453	0.0075369	0.0143351	0.0203943	0.6579175	0.0289880	0.2995180	0.0260704	0.2205220	0.0152020	0.3862812	0.0861115	0.0333948	0.0832993	0.0027915	0.0325579	0.3529341	0.0430727	0.3881279	0.0175197	0.0338465	0.4659130	0.3420362	0.0677390	0.7250518	0.6674092	0.0077404	0.5513764	0.0267252	0.6834178	0.0264346	0.5036472	0.0316997	0.0682531	0.7981404	0.3600179	0.5909293	0.7782241	0.3707102	0.4841443	0.5900313	0.6135060	0.6277330	0.5339086	0.7339289	0.0350514	0.7272780	0.6837093	0.7933772	0.5848008	0.5992213	0.6459749	0.7201951	0.7096923	0.7314846	0.7189207	0.7133255	0.7154444	0.6915353	0.6246055	0.5894722	0.7357666	0.7149736	0.1490821	0.0777110	0.0352134	0.2901299	0.3626666	0.0085588	0.4873719	0.0237513	0.0775093	0.0390228	0.0588335	0.1507284	0.1777730	0.0215451	0.4274815	0.6634207	0.1755287
0.0593929	0.7184549	0.1562789	0.0763102	0.0397008	0.0252043	0.0000000	0.0000000	0.0069199	0.6186465	0.0565880	0.6205386	0.7123431	0.6918129	0.4100123	0.6912769	0.2283164	0.0177052	0.0465347	0.6581018	0.0850012	0.8121292	0.7554091	0.5350478	0.0622324	0.0814423	0.2464485	0.2917716	0.5347015	0.1209366	0.6655140	0.0178834	0.0071776	0.7773685	0.6329138	0.0594124	0.2591117	0.5092653	0.2239304	0.0627321	0.0366765	0.3211664	0.6561208	0.0666924	0.1178811	0.6168507	0.0307216	0.0293718	0.7218303	0.4031651	0.1369170	0.3437010	0.2261965	0.0112857	0.6425477	0.0434149	0.5832492	0.1875489	0.0177912	0.2301369	0.3501176	0.0257348	0.0469832	0.0537804	0.0322442	0.0387626	0.0200251	0.3708173	0.5766981	0.0375705	0.3332102	0.5352438	0.7407014	0.2609583	0.0065945	0.6329282	0.6760178	0.6975041	0.0757946	0.0766232	0.0276032	0.0496019	0.7012401	0.0325349	0.0675463	0.3030314	0.8141574	0.5618349	0.0574086	0.2953744	0.6582065	0.0710105	0.4328153	0.7795036	0.6146477	0.7148845	0.0121355	0.4437125	0.5463241	0.5499350	0.0499558	0.4971007	0.0262703	0.4955899	0.7873162	0.3077175	0.2655709	0.5771445	0.7073221	0.6874294	0.0431953	0.5468404	0.6292729	0.5146795	0.0446562	0.7092271	0.5516544	0.0146955	0.0255816	0.0569400	0.0335182	0.5847342	0.1176292	0.4225584	0.6550887	0.0143732	0.3851780	0.1391333	0.2275819	0.3943444	0.3481622	0.0357450	0.0219357	0.1104011	0.0009018	0.0428013	0.3697997	0.3601254	0.2992893	0.0184853	0.6667237	0.4969114	0.3325340	0.0742822	0.7147443	0.3784284	0.2332964	0.0343211	0.1233106	0.5136092	0.0519398	0.0644370	0.5543782	0.0657794	0.6535798	0.0333026	0.6285675	0.5829884	0.0692451	0.0222376	0.0274895	0.0108376	0.6265826	0.3980392	0.6190654	0.0538198	0.7103328	0.7295114	0.8793792	0.6678461	0.7486149	0.6275841	0.6114138	0.7081796	0.6531561	0.5253840	0.6712399	0.6694912	0.6937084	0.6095743	0.6156951	0.6869332	0.6150236	0.0982872	0.0681774	0.0104238	0.4014052	0.3952289	0.0196699	0.3841656	0.0222240	0.1035621	0.0257426	0.0737530	0.1929609	0.1297868	0.0528044	0.3998487	0.6303712	0.1411835
0.0772395	0.6671914	0.1816266	0.0748792	0.1561778	0.0391884	0.0000000	0.0231653	0.0000000	0.7950263	0.0661481	0.7169868	0.6358638	0.7146097	0.4765165	0.6102580	0.2685440	0.0537249	0.0873569	0.7384585	0.0369298	0.5398468	0.6086028	0.4601252	0.0308528	0.0758176	0.2369189	0.2246048	0.5153965	0.0982756	0.7800017	0.0123648	0.0086922	0.6743617	0.6448218	0.0317855	0.3806978	0.4302518	0.1720191	0.0345436	0.0359650	0.4033959	0.6890527	0.0597762	0.1826868	0.6372756	0.0190606	0.0117051	0.6897601	0.4534169	0.2274263	0.3562514	0.1450383	0.0137847	0.7542953	0.0163848	0.8067752	0.2499027	0.0075399	0.1850452	0.3228963	0.0213861	0.0210161	0.0882864	0.0594567	0.0523247	0.0130612	0.3653478	0.5508892	0.0198686	0.3212639	0.6323492	0.7230552	0.2243640	0.0330313	0.5973393	0.5604114	0.6914503	0.0736126	0.0655981	0.0609229	0.0111954	0.5803139	0.0709129	0.1186727	0.3347639	0.6225832	0.6259529	0.0813480	0.3514938	0.5579098	0.0805704	0.4185233	0.5809831	0.6805129	0.6687195	0.0104361	0.5166452	0.6110481	0.5859393	0.0615844	0.3890371	0.0095004	0.4330984	0.7176670	0.3123912	0.2056237	0.6009518	0.6740907	0.6047429	0.0215251	0.6308838	0.6847968	0.5834006	0.0269967	0.7266630	0.5352791	0.0425564	0.0333791	0.0594171	0.0482372	0.6769610	0.1214691	0.4226520	0.6766629	0.0359339	0.4719568	0.1258115	0.1894485	0.3583586	0.3515144	0.0954685	0.0192424	0.0609611	0.0090994	0.0416122	0.3352470	0.4137304	0.3640841	0.0394398	0.6069630	0.5062784	0.4041001	0.0869946	0.6668541	0.2901855	0.1668924	0.0183656	0.1455573	0.3812987	0.1172525	0.0281941	0.6916780	0.0684764	0.7438538	0.0634099	0.7301722	0.6038973	0.0424819	0.0310046	0.0438333	0.0286796	0.7908918	0.4515419	0.4150844	0.1140177	0.7060548	0.5988993	0.6396288	0.6130946	0.8047755	0.6515509	0.6690117	0.7112413	0.8597159	0.7838052	0.7201135	0.6401370	0.6858307	0.7363413	0.7264924	0.7287121	0.5377557	0.1124215	0.1400132	0.0045178	0.3433251	0.2596841	0.0118784	0.4446547	0.0151091	0.0900393	0.0402705	0.0668634	0.1818758	0.1691727	0.0282655	0.4567715	0.7255251	0.1427695
0.0392339	0.9515039	0.0726499	0.0521412	0.0754477	0.0258460	0.5287783	0.0000000	0.0000000	0.5773531	0.1198094	0.6448867	0.5831178	0.6326206	0.3803347	0.5413519	0.2124195	0.0494340	0.0262714	0.7286085	0.0212869	0.7419887	0.5810119	0.6458140	0.0858535	0.0755917	0.3089551	0.2892828	0.4414901	0.0577344	0.6718033	0.0214681	0.0131736	0.6861729	0.6204466	0.6788656	0.2629054	0.5190865	0.2521925	0.0200649	0.7149004	0.4039199	0.6236340	0.0616227	0.1507496	0.5977121	0.6685936	0.0229649	0.6159797	0.4534198	0.1810486	0.2991631	0.0888559	0.0430186	0.6691871	0.6036259	0.6960204	0.1626133	0.7770931	0.2148027	0.3346151	0.0334960	0.6202917	0.0658897	0.6722740	0.0605134	0.0133786	0.5293466	0.5467320	0.0385947	0.3788253	0.4937620	0.6157592	0.3913569	0.0188605	0.5065371	0.5408462	0.7419600	0.3839533	0.1351184	0.0374135	0.0315794	0.5247320	0.0372723	0.0821857	0.3455462	0.7437287	0.6727958	0.0642498	0.2811657	0.7211727	0.0423795	0.5175186	0.7183286	0.6184646	0.7784816	0.0280173	0.5355518	0.7701681	0.5709576	0.0525462	0.5605249	0.0083364	0.4873180	0.6224950	0.3527016	0.3732421	0.5751745	0.5513437	0.7437886	0.0512887	0.7438281	0.6807507	0.7412194	0.0368906	0.6874226	0.5614276	0.0232308	0.5899702	0.0609950	0.0892853	0.7395406	0.1234871	0.4251884	0.7429053	0.0390573	0.5890815	0.1728429	0.2076036	0.2851452	0.3350857	0.0763204	0.0342218	0.0463000	0.0018772	0.0614497	0.3500808	0.2945300	0.2681198	0.0334425	0.6286690	0.5267222	0.4347286	0.1428460	0.7681447	0.3435821	0.1690094	0.0327836	0.1382068	0.5246165	0.0589347	0.0237659	0.6950398	0.0597249	0.6827737	0.0497686	0.6220039	0.5820660	0.0368166	0.0173958	0.0054344	0.0056526	0.7403398	0.3977183	0.4411087	0.1276802	0.6866350	0.6213932	0.7074112	0.6162284	0.6205862	0.6804711	0.7470932	0.6246823	0.6887679	0.7972674	0.5228419	0.5974456	0.6953076	0.6768252	0.6493683	0.7384780	0.6874774	0.1250925	0.0751870	0.0232550	0.3118670	0.4117462	0.0141470	0.3432352	0.0138643	0.2309352	0.0281142	0.0891055	0.2382653	0.1528602	0.0570893	0.3183413	0.7380386	0.1483954
0.4723121	0.8120875	0.5215402	0.6385653	0.7966740	0.5162446	0.6228144	0.5845696	0.2118242	0.7255134	0.1559520	0.3670433	0.3223313	0.3883469	0.4173844	0.1888922	0.6454760	0.3848142	0.0488863	0.2479566	0.6279551	0.0310733	0.3759779	0.0531883	0.0430320	0.3981392	0.4532271	0.0950552	0.1450863	0.5176456	0.2644537	0.4893252	0.3853685	0.1413466	0.5611825	0.7446595	0.6867171	0.1215874	0.5410785	0.5558181	0.7451647	0.3755517	0.0742516	0.0830426	0.6315641	0.2647725	0.6209751	0.3813270	0.0804907	0.5957414	0.6665302	0.6123354	0.0587821	0.2828666	0.7473454	0.6588767	0.2048301	0.5023247	0.6498928	0.1643353	0.1197778	0.1981692	0.7187328	0.3648473	0.8127250	0.7121003	0.6825753	0.3746871	0.3365898	0.2277373	0.0446683	0.6042730	0.3429963	0.1672502	0.6092216	0.0407356	0.3782094	0.2892867	0.4346297	0.6237424	0.6361884	0.2924089	0.4469715	0.6488314	0.0367804	0.1690558	0.0168051	0.1854066	0.0965909	0.6755495	0.0735448	0.4204945	0.2122039	0.1967625	0.3475267	0.0187453	0.2210091	0.0484283	0.2875506	0.1080462	0.6247040	0.0251757	0.2209143	0.0622978	0.0359704	0.0831379	0.0943180	0.2578630	0.3199306	0.0643262	0.3085224	0.1340646	0.3084601	0.2141061	0.3255022	0.0920872	0.2599513	0.7476458	0.5436673	0.5213121	0.0626644	0.6388535	0.5903725	0.7131827	0.3597242	0.3754746	0.4148580	0.5684332	0.2486709	0.7189341	0.1089357	0.4555524	0.0119463	0.4747743	0.7113269	0.0408659	0.3636043	0.6105341	0.0075009	0.4267846	0.7055285	0.7306500	0.3323289	0.1415449	0.3161099	0.5914786	0.6641685	0.5876638	0.6640065	0.1409123	0.3653673	0.5793300	0.6485003	0.0656090	0.2414028	0.3434348	0.0092289	0.1688603	0.3719493	0.5944271	0.6080641	0.5444219	0.1173547	0.5038574	0.4776568	0.3462934	0.3244876	0.7203498	0.6476696	0.6452979	0.7808031	0.6016201	0.8153267	0.7237807	0.6752342	0.6308723	0.7091629	0.6094084	0.7069048	0.8242694	0.6733363	0.6799865	0.0000000	0.6742532	0.7301101	0.7343997	0.0374221	0.6801599	0.6528292	0.7005150	0.7923298	0.7605541	0.7052630	0.6095080	0.5866519	0.6839725	0.6416771	0.0283497	0.0000000	0.5605500
0.0455627	0.7672116	0.0444270	0.0257553	0.0486545	0.0000000	0.0000000	0.0310505	0.0012527	0.6702913	0.0719500	0.6273160	0.7525920	0.7060391	0.4163137	0.5913018	0.1355408	0.0249009	0.0456835	0.6963001	0.0366315	0.7238973	0.6161064	0.5397406	0.1285407	0.0883034	0.2439002	0.3473725	0.6582864	0.0683771	0.6579859	0.0038332	0.0119649	0.5885371	0.5825666	0.0435910	0.1562903	0.6130453	0.1040990	0.0290089	0.0613247	0.3523492	0.7703647	0.0780005	0.1051115	0.6813707	0.0430767	0.0387829	0.7782031	0.4050763	0.0773236	0.2644809	0.1412645	0.0806812	0.7314392	0.0378815	0.6745505	0.2296265	0.0077277	0.2379017	0.4806557	0.0231833	0.0270065	0.0375742	0.0579829	0.0310283	0.0080496	0.3076877	0.7047704	0.0400116	0.7254290	0.6512673	0.8285089	0.6121061	0.0155648	0.6182061	0.6638281	0.7208891	0.0759425	0.0340944	0.0550580	0.0308737	0.6446404	0.0166646	0.1910263	0.5454168	0.7532809	0.9211389	0.1108164	0.2802757	0.6149738	0.0305041	0.4915511	0.6114349	0.6913279	0.7251768	0.0160572	0.6767505	0.7151712	0.5939038	0.0265046	0.6673829	0.0112985	0.5283471	0.6146141	0.3736263	0.3641033	0.8270817	0.6496282	0.6949639	0.0285502	0.5964175	0.5763658	0.6418250	0.0364632	0.7961493	0.6718529	0.0435465	0.0124116	0.0612263	0.0441052	0.3868091	0.0583256	0.2816930	0.7640672	0.0250510	0.3640069	0.0774280	0.3138981	0.1412038	0.3640607	0.0396184	0.0373992	0.0588057	0.0021705	0.0269739	0.2796975	0.1544767	0.3130506	0.0176442	0.3157147	0.5483278	0.3710633	0.0895709	0.6827510	0.5272699	0.0726084	0.0121214	0.1051563	0.5623612	0.0413652	0.0034151	0.4287524	0.0481093	0.6608162	0.0241249	0.6304244	0.6234591	0.0295909	0.0147257	0.0725258	0.0081370	0.5702244	0.4470927	0.5510653	0.0499308	0.6971100	0.6693226	0.7151002	0.7185162	0.7695969	0.7509902	0.7205977	0.6064285	0.6072347	0.7244459	0.8782293	0.7447914	0.6644549	0.7025076	0.6980893	0.7224682	0.8008318	0.1213465	0.0645209	0.0022310	0.4196434	0.3530487	0.0042219	0.3295308	0.0278413	0.0835187	0.0192534	0.0803265	0.2359562	0.1668461	0.0649378	0.4008614	0.6861670	0.1512829
