malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.2557729	0.6559963	0.7091694	0.5915883	0.8479579	0.5142290	0.6948051	0.5193704	0.1690492	0.5953158	0.0974864	0.4282679	0.4346132	0.3511396	0.4350980	0.1901001	0.6188013	0.3820250	0.0346224	0.3077954	0.5274390	0.0555395	0.2910393	0.0640958	0.0426107	0.2971778	0.3969596	0.0654142	0.2010644	0.5988071	0.2704542	0.5397858	0.3448237	0.1978310	0.7169206	0.7244487	0.7029944	0.0862376	0.5470760	0.5925864	0.7798987	0.2782815	0.0500286	0.0529024	0.5681675	0.2983692	0.6565672	0.2956983	0.0391351	0.7389310	0.5835287	0.7004749	0.0387775	0.3538906	0.5321416	0.7189201	0.2625976	0.1757846	0.4533869	0.2531362	0.1463138	0.0928122	0.5440425	0.3463917	0.7482978	0.6012726	0.6905069	0.3171455	0.3349380	0.1309082	0.0610920	0.6330212	0.3447996	0.2318683	0.6365514	0.0383202	0.3500875	0.3009963	0.4673098	0.6685233	0.6970442	0.4160699	0.4345591	0.6833970	0.0224910	0.1362981	0.0167746	0.1930410	0.1128492	0.6515465	0.0898204	0.3549281	0.1760752	0.2356023	0.3885163	0.0600074	0.2818638	0.0266947	0.3882948	0.0731192	0.1739544	0.0094125	0.0516106	0.0886465	0.0644411	0.1007011	0.0429927	0.3486151	0.3361293	0.0862250	0.3983216	0.2111293	0.2930402	0.1716635	0.3640119	0.0987544	0.3036163	0.6558887	0.6048101	0.6240602	0.0787184	0.6246389	0.6740502	0.6636510	0.3349756	0.3719959	0.4506227	0.5925355	0.2153514	0.7473489	0.3199426	0.2995473	0.0118557	0.0772848	0.0035662	0.0272574	0.3977317	0.5355709	0.3823326	0.4024261	0.7795750	0.6337048	0.4077393	0.0727804	0.3246222	0.2177907	0.7267588	0.4920811	0.5187107	0.1643000	0.4071446	0.5270027	0.6060884	0.0614629	0.1625299	0.3336625	0.0296886	0.1924217	0.3162399	0.6320770	0.5521509	0.5331405	0.0896746	0.4663399	0.5724497	0.3472041	0.2749661	0.6776700	0.7646053	0.6064885	0.7124476	0.5779407	0.6179399	0.6031062	0.6039666	0.5612049	0.6844795	0.6249523	0.7860780	0.6700866	0.7085708	0.6231314	0.6673757	0.2178108	0.0960144	0.0006409	0.4080244	0.4211779	0.0156084	0.4938660	0.0091839	0.1508959	0.0400106	0.0470636	0.1091714	0.1284378	0.0300919	0.4241182	0.6740857	0.1769367
0.4506752	0.4273477	0.7280616	0.4316102	0.5672640	0.4335055	0.9302221	0.4884263	0.2009440	0.7029927	0.0766583	0.3457969	0.3930733	0.2308196	0.4914440	0.1924474	0.5732444	0.4018755	0.0253308	0.2638515	0.5659005	0.0355256	0.3092952	0.0477409	0.0665700	0.3789755	0.4358072	0.0636381	0.2246540	0.5840523	0.2496829	0.5702146	0.3473086	0.1801664	0.5567526	0.7227998	0.8019181	0.1106212	0.5515765	0.6107606	0.6299972	0.3674847	0.0992874	0.1070044	0.7459494	0.1834504	0.5135954	0.3540204	0.0528332	0.5826512	0.8152252	0.6547253	0.0312655	0.2613295	0.7493519	0.6749463	0.2626521	0.2663322	0.6421832	0.2577000	0.2204658	0.2798721	0.7655996	0.3795661	0.8160000	0.6558534	0.6686863	0.3529707	0.2881890	0.1008581	0.0649175	0.5701413	0.3069377	0.1342675	0.6646951	0.0241252	0.3891383	0.2670630	0.4524049	0.5642093	0.6973448	0.3420308	0.3590422	0.7094728	0.0220422	0.1547278	0.0196399	0.2241132	0.0766831	0.6749079	0.0944187	0.4304310	0.1982751	0.2278803	0.3218854	0.0348744	0.2636027	0.0471606	0.3569743	0.0946056	0.4871476	0.0412178	0.2182439	0.1079325	0.0570831	0.0420004	0.0240223	0.2915707	0.2728549	0.0713934	0.2717091	0.1614254	0.2292391	0.2291163	0.4068098	0.0753003	0.1561469	0.6779898	0.5508722	0.6183289	0.0347953	0.6405286	0.6348286	0.6335485	0.3689912	0.4048183	0.3062519	0.5929020	0.2084651	0.6643102	0.4965733	0.3806960	0.0041905	0.1442570	0.0141068	0.0247745	0.3847726	0.6696696	0.3459050	0.4660451	0.7199156	0.5948163	0.4159649	0.0574350	0.3256730	0.1962284	0.5156885	0.6756385	0.4625155	0.1407441	0.3561226	0.5578764	0.7015793	0.1537674	0.2033629	0.3304408	0.0480429	0.2265585	0.3824156	0.4779223	0.6103548	0.5138016	0.0994076	0.4729532	0.6114542	0.3891017	0.2701278	0.7264185	0.6324182	0.7009311	0.7196843	0.6589788	0.6398469	0.5794012	0.6324778	0.7194104	0.6134831	0.6373152	0.6881447	0.6903343	0.8630835	0.6271880	0.6709684	0.1732855	0.0997739	0.0238167	0.3650570	0.5064606	0.0288862	0.4286987	0.0288228	0.3565337	0.0322769	0.0619463	0.2680500	0.1360085	0.0599358	0.4102126	0.7332695	0.1516676
0.2354609	0.6410341	0.3627820	0.3357477	0.5618070	0.5471789	0.7607104	0.5097137	0.1768440	0.6047520	0.1130610	0.7328935	0.6967169	0.5559837	0.4204106	0.3664822	0.6030958	0.3764863	0.0263272	0.5730160	0.3442822	0.2559931	0.5048656	0.1403763	0.0905987	0.2025005	0.4243806	0.0904240	0.3048271	0.3518927	0.5539899	0.2592404	0.3029665	0.4643531	0.7113364	0.6145341	0.5668032	0.2144690	0.4571839	0.6219060	0.7291519	0.3821943	0.2252252	0.1500858	0.5259700	0.4419607	0.6548585	0.1747918	0.3593131	0.5950720	0.6451375	0.5705554	0.0723203	0.3106208	0.6961599	0.6250899	0.5216736	0.1357033	0.6150287	0.2194653	0.1555128	0.0708584	0.7484114	0.4729328	0.7023496	0.6903803	0.5276073	0.4119257	0.4877915	0.1858741	0.0522990	0.6043919	0.5830091	0.1326504	0.6309486	0.1227355	0.6158983	0.3415640	0.4417607	0.6368637	0.6166502	0.4445725	0.6033365	0.7543437	0.0191559	0.1951231	0.1604629	0.3044351	0.0942995	0.6181761	0.1061888	0.3770029	0.2457275	0.4482957	0.6159355	0.5351797	0.2567119	0.0590425	0.5875939	0.1447686	0.1410425	0.0321661	0.0129146	0.1673746	0.4270773	0.0900187	0.1001537	0.3027080	0.3874262	0.3950562	0.3855309	0.4421496	0.4910870	0.3378216	0.3066527	0.3166770	0.2700713	0.6371714	0.6554199	0.3477435	0.0944505	0.7076333	0.6454930	0.7980309	0.5265803	0.0918239	0.4411108	0.4275398	0.1897318	0.7691261	0.3334991	0.2687618	0.0061490	0.0779776	0.0067296	0.0285944	0.3658710	0.7241086	0.2891157	0.1519849	0.6370294	0.4247129	0.3787350	0.0709333	0.6329270	0.2438529	0.5294863	0.6989007	0.4643904	0.2311455	0.2056239	0.4317535	0.6743733	0.0756986	0.3089241	0.2937073	0.0556827	0.4547690	0.3949064	0.4536882	0.7326777	0.5497467	0.1752504	0.4307921	0.4479908	0.2905331	0.5065975	0.6520186	0.7004075	0.7187773	0.6275247	0.6710980	0.7480220	0.6584280	0.5978084	0.6670501	0.7716711	0.6589370	0.6240128	0.5687275	0.7305369	0.6420532	0.7147857	0.2195111	0.0715482	0.0282512	0.2997005	0.4277422	0.0048603	0.3717506	0.0528610	0.1102347	0.0142439	0.0537027	0.2060434	0.1860165	0.0811892	0.3926545	0.8211760	0.1359246
0.5752470	0.7028475	0.6942672	0.2468001	0.5851407	0.5412158	0.7503917	0.4844467	0.1948618	0.5695680	0.1080729	0.3751467	0.3252961	0.2835314	0.4390073	0.1746664	0.8292025	0.4050321	0.0455107	0.2274073	0.6234632	0.0525900	0.2768263	0.0548997	0.0308535	0.4009260	0.4563243	0.0684142	0.2073947	0.6406501	0.1839237	0.5788391	0.4761884	0.1847794	0.7077981	0.5388296	0.6666050	0.0991579	0.4324558	0.6733232	0.6856207	0.3676805	0.0960743	0.0791464	0.7134149	0.2866215	0.7481211	0.3925591	0.0324044	0.6903278	0.6791649	0.6490978	0.0456866	0.3476121	0.6745167	0.6185249	0.1851269	0.1605536	0.5740029	0.2623449	0.1341232	0.2684991	0.6491543	0.2932448	0.6740295	0.6834761	0.6767799	0.3099961	0.3803222	0.0943184	0.0415682	0.6901371	0.2675564	0.1475270	0.6748730	0.0445934	0.3506995	0.2909081	0.5832802	0.6640634	0.6297521	0.3958414	0.4188630	0.7746899	0.0434722	0.1424249	0.0207762	0.2291403	0.0425046	0.6293413	0.0557006	0.3317034	0.1819881	0.2524670	0.3349389	0.0698743	0.2219642	0.0424711	0.3439626	0.0892879	0.5346898	0.0213150	0.2430463	0.0680770	0.0443030	0.0872148	0.0557550	0.2730528	0.2401694	0.0787751	0.2495174	0.2110843	0.2713538	0.1577261	0.3879163	0.0771770	0.3544237	0.6137697	0.6218321	0.5096772	0.0504078	0.7522813	0.6175003	0.6473484	0.4318088	0.3684391	0.4029151	0.6542908	0.2467904	0.7282868	0.3700532	0.4428016	0.0131211	0.0717532	0.0127755	0.0120002	0.3522841	0.6097190	0.2731511	0.4356099	0.6040134	0.6643559	0.4052618	0.0823718	0.2917804	0.2183862	0.4933310	0.5983796	0.6136658	0.1206071	0.3447799	0.4950930	0.6114857	0.0579550	0.1313732	0.3436826	0.0203191	0.1801920	0.3527414	0.5072414	0.7286026	0.5739909	0.1162610	0.4761187	0.4868822	0.3890574	0.2580843	0.7966139	0.6617235	0.7661023	0.7000205	0.7829855	0.6130799	0.5902503	0.6975149	0.6138446	0.6409584	0.7502594	0.6931477	0.5988576	0.6297923	0.6634817	0.8031158	0.1210238	0.0502240	0.0326958	0.3766040	0.2905315	0.0124398	0.3908886	0.0233757	0.1676505	0.0251685	0.0559965	0.2121345	0.1550089	0.0435294	0.4524492	0.6821728	0.1178813
0.6490857	0.5714264	0.7698089	0.6905627	0.4529883	0.5312797	0.7099921	0.4620355	0.2162052	0.8351025	0.0898085	0.2792954	0.2787692	0.3359200	0.4052028	0.1563163	0.7293091	0.4236189	0.0430709	0.2709683	0.5566889	0.0153738	0.2880383	0.0378682	0.0837034	0.4985201	0.4864042	0.0863242	0.1362255	0.6027302	0.1860144	0.5286725	0.2872459	0.1132751	0.6507782	0.6004035	0.6247289	0.0583447	0.5743550	0.7118373	0.6813593	0.3305085	0.0479053	0.0710574	0.6851816	0.3324137	0.6321763	0.4140644	0.0744222	0.8202587	0.6089055	0.5863313	0.0312367	0.2528242	0.7371822	0.7054205	0.0997120	0.2277560	0.5976545	0.1698203	0.1685842	0.2908562	0.6727285	0.3620467	0.5836165	0.5988676	0.6732439	0.2443214	0.3073894	0.1398905	0.0458476	0.6588603	0.3307742	0.1589397	0.7103657	0.0243945	0.3747941	0.2948743	0.3976429	0.6778651	0.6718162	0.4246309	0.3148123	0.6739225	0.0215513	0.1811673	0.0248073	0.2361010	0.1205890	0.6790185	0.0461144	0.3137956	0.2208527	0.1499637	0.3665788	0.0222513	0.3072523	0.0306929	0.3216575	0.0869645	0.4890868	0.0247969	0.3608028	0.0783584	0.0384375	0.0507496	0.0441585	0.3140041	0.1880572	0.0547614	0.3656496	0.1424902	0.1671923	0.1918920	0.4121557	0.0721159	0.2372516	0.7709350	0.5784140	0.7003504	0.0444919	0.8180291	0.5248869	0.7521998	0.4300620	0.2963749	0.3222101	0.6028422	0.2541550	0.6493101	0.3405062	0.4502796	0.0269270	0.1008433	0.0103680	0.0463808	0.3498230	0.7410334	0.2982096	0.4951765	0.6027973	0.4303239	0.3218153	0.1348634	0.2411798	0.1458869	0.5397559	0.5410239	0.6068249	0.1378242	0.4682701	0.4258420	0.8104129	0.0599278	0.5601096	0.2746890	0.1186882	0.1689026	0.3849750	0.4809982	0.4575496	0.6520410	0.5895051	0.6100285	0.4187014	0.4520738	0.3141796	0.6351316	0.7146308	0.8766929	0.6963929	0.6835817	0.5771707	0.6749668	0.7624706	0.7698317	0.7499129	0.5469838	0.8703086	0.6334615	0.7145551	0.6395486	0.6361928	0.1391194	0.0885949	0.0127404	0.3932536	0.3970386	0.0024302	0.3678143	0.0333319	0.1086566	0.0167777	0.0864561	0.1511138	0.1604576	0.0662909	0.4653493	0.5603638	0.2265229
0.4359265	0.6630413	0.5268349	0.6035058	0.6767787	0.3177177	0.6361206	0.4274378	0.2567504	0.6465635	0.0636174	0.4761420	0.3877512	0.4660052	0.3596841	0.2160996	0.7444324	0.4019883	0.0364192	0.3530282	0.6052301	0.0423634	0.3766378	0.0965183	0.0437991	0.3729843	0.2620539	0.1366093	0.2189651	0.5613050	0.3263615	0.4341631	0.1758517	0.1450041	0.6804599	0.6143098	0.5137537	0.0908288	0.5025997	0.6331762	0.7657073	0.1963503	0.0827839	0.0970848	0.7895691	0.3061060	0.5164584	0.3076920	0.0571056	0.6011790	0.6676138	0.4749003	0.0458409	0.3103477	0.5662769	0.6520586	0.3116055	0.2022868	0.5877253	0.1814030	0.0558536	0.1791175	0.5856274	0.2811632	0.6446017	0.4873223	0.5750070	0.3352561	0.4697813	0.1260950	0.0400787	0.5811481	0.3838032	0.1355955	0.5284073	0.0392875	0.3986957	0.3324970	0.4695449	0.5819361	0.6432951	0.0603266	0.3980677	0.6457715	0.0213817	0.1379973	0.0179003	0.2453268	0.1299824	0.6596999	0.0326475	0.2061231	0.2309335	0.1828652	0.4246370	0.0495822	0.2579618	0.0287277	0.3034383	0.1462438	0.4773740	0.0539759	0.1521616	0.1607628	0.1162182	0.0910832	0.0433962	0.3401675	0.4281211	0.0820711	0.2491858	0.1479848	0.2996666	0.2186144	0.1079271	0.0969385	0.2747978	0.8104724	0.6403063	0.5548652	0.0505756	0.6436425	0.4880661	0.5897276	0.2748488	0.2756801	0.4330385	0.4908520	0.2249866	0.7654600	0.3532811	0.4008735	0.0182508	0.0784990	0.0073322	0.0424264	0.3392491	0.7397387	0.2731701	0.4214799	0.8335055	0.5146962	0.4009938	0.1366351	0.5541018	0.1513393	0.4853628	0.2065155	0.7171224	0.1661203	0.3358292	0.4292751	0.6176223	0.0631280	0.1403740	0.1986873	0.0353693	0.2520359	0.1615376	0.2975388	0.4754953	0.3959858	0.1145116	0.5155531	0.4167769	0.3553186	0.3059226	0.6542042	0.7038048	0.8379210	0.6617556	0.7214895	0.6085581	0.6995259	0.7380600	0.6702041	0.6330384	0.6096794	0.7191737	0.6555498	0.5437658	0.6590588	0.6205502	0.1324924	0.0573969	0.0145589	0.4706180	0.3230778	0.0067577	0.4463579	0.0847484	0.0632962	0.0438235	0.0626417	0.1995443	0.1874561	0.0667613	0.5366945	0.7625358	0.1621391
0.4805970	0.7193438	0.6094930	0.5920884	0.6930057	0.4621016	0.2926709	0.3547134	0.1926962	0.6795135	0.0857604	0.5138562	0.5491794	0.3468368	0.3899186	0.1851001	0.6345567	0.1762936	0.0532279	0.2645991	0.7055145	0.0391093	0.4179576	0.0317363	0.0471919	0.3279653	0.4644683	0.0693189	0.1982873	0.6801981	0.3141848	0.4972532	0.3208761	0.1756339	0.7269985	0.6350149	0.7939414	0.0799503	0.6221390	0.6509060	0.5962381	0.2637000	0.0568811	0.0279180	0.5834284	0.3036759	0.1899346	0.3834708	0.0535919	0.6060706	0.6340702	0.5433300	0.0860896	0.3490356	0.6246008	0.7416263	0.1832436	0.2624439	0.4169088	0.1937827	0.1286437	0.2777655	0.4788216	0.3998665	0.5199497	0.5013761	0.5935799	0.3636511	0.3257336	0.1825893	0.0638881	0.6458888	0.3598710	0.1573986	0.7091108	0.0362976	0.3207036	0.2957162	0.0893773	0.6500276	0.5968474	0.3678857	0.4691874	0.7409443	0.0301901	0.1051923	0.0184437	0.2270890	0.0902531	0.6749669	0.0948038	0.5015515	0.1998133	0.2308850	0.4053894	0.0487765	0.2389533	0.0404356	0.3257343	0.1149451	0.4846577	0.0319352	0.1809629	0.1171141	0.0525930	0.0663772	0.0498686	0.2693275	0.3184832	0.0472819	0.3729952	0.1993914	0.3129229	0.2030952	0.4427820	0.0520748	0.3202814	0.7632099	0.3837271	0.7210312	0.0609599	0.7638202	0.6902932	0.7035419	0.4297407	0.2658602	0.4555939	0.6443558	0.1829386	0.6592366	0.3895243	0.4392301	0.0248597	0.1247626	0.0127003	0.0314704	0.3853608	0.6928467	0.3300084	0.4063456	0.6570530	0.6503792	0.2797382	0.0905417	0.3621332	0.1792716	0.6480814	0.6121373	0.5530928	0.1605907	0.3432907	0.5496508	0.6834490	0.0958223	0.2420423	0.3824023	0.0616698	0.2609387	0.3165351	0.4366265	0.6251811	0.5512005	0.1046041	0.4752096	0.6329428	0.4165982	0.3899288	0.6212831	0.7237908	0.6401714	0.6155646	0.7615621	0.6871455	0.7390267	0.6181728	0.6492795	0.7330260	0.8342774	0.7779130	0.6253606	0.7184143	0.5855275	0.6625665	0.1484945	0.0652221	0.0179364	0.3204713	0.3827801	0.0135739	0.2926404	0.0222471	0.0878126	0.0374162	0.1225482	0.2075598	0.1169039	0.0644007	0.4365349	0.6382792	0.2115321
0.4901072	0.6171859	0.6983753	0.6298285	0.7603761	0.6220035	0.5990164	0.2630952	0.2104586	0.5542540	0.1103858	0.3425297	0.3515832	0.4478707	0.5302654	0.1803329	0.7065810	0.2378093	0.0778174	0.2856410	0.7135355	0.0547971	0.3237034	0.0646611	0.0447429	0.4244476	0.3787903	0.0554825	0.1669405	0.5659611	0.2842136	0.5572928	0.4960227	0.1474389	0.5889909	0.5754927	0.6736040	0.1400878	0.4568349	0.5682716	0.7122764	0.2898350	0.0716484	0.0490625	0.6529689	0.2864874	0.7311644	0.3203792	0.0478131	0.7329992	0.7437456	0.6452562	0.0221456	0.3082449	0.7125281	0.6818359	0.3009296	0.2416416	0.5055520	0.2976261	0.1306382	0.3443429	0.6379833	0.4463379	0.7714247	0.5023294	0.5791952	0.3401305	0.4280382	0.1408033	0.0330581	0.8295416	0.2463706	0.1545429	0.7159485	0.0267737	0.3553197	0.3049398	0.4636712	0.6027797	0.5627242	0.4525910	0.3265777	0.7318966	0.0324337	0.1056886	0.0291494	0.2237531	0.0674765	0.6302133	0.0759960	0.4224069	0.1887397	0.1945948	0.4646847	0.0805347	0.3229108	0.0408892	0.3021851	0.0833582	0.5710886	0.0557431	0.2762053	0.1065055	0.0640604	0.0662743	0.0678045	0.2580295	0.2776527	0.1049837	0.3931573	0.2077576	0.3076985	0.1499826	0.3359216	0.0960400	0.2238956	0.7155489	0.6374131	0.5663009	0.0714321	0.6182731	0.7203802	0.7084700	0.3569415	0.3231939	0.4381957	0.5735853	0.2110676	0.6599689	0.4239402	0.6382617	0.0163130	0.0766338	0.0006188	0.0367016	0.3381197	0.6864125	0.2812277	0.4980384	0.6619205	0.5047264	0.4289347	0.1013340	0.3514939	0.1313968	0.5737792	0.5824484	0.5819645	0.1359135	0.4183629	0.4703675	0.7723350	0.0671807	0.1939102	0.2628517	0.0487539	0.2157821	0.3354864	0.5470497	0.6131997	0.4909728	0.1680531	0.4043879	0.5664334	0.2948307	0.2657059	0.5941893	0.6586447	0.6911890	0.6863234	0.8415164	0.8154732	0.7250249	0.8259787	0.6658631	0.5484062	0.8072837	0.6762356	0.7594382	0.6663646	0.6922698	0.6717344	0.1519428	0.0989618	0.0149983	0.2994678	0.4027299	0.0184802	0.3262972	0.0481710	0.0827683	0.0081572	0.0491483	0.1380230	0.1612758	0.0405001	0.4876608	0.4935868	0.1808969
0.5343543	0.7101120	0.6908454	0.5335580	0.7353192	0.6511646	0.5656711	0.4489649	0.1361355	0.7359503	0.1288800	0.3525112	0.3651994	0.2881493	0.5395938	0.1972254	0.7010690	0.4439042	0.0494374	0.2627746	0.6589674	0.0299868	0.2875903	0.0513917	0.0325664	0.3594632	0.5500346	0.0786686	0.1781276	0.6749067	0.2669003	0.5544206	0.2698226	0.1497465	0.5993298	0.6893829	0.6594493	0.0949183	0.5433387	0.6591257	0.6286263	0.2932347	0.0386636	0.0936683	0.6729437	0.2554560	0.6962991	0.4063016	0.0662534	0.8241159	0.6829483	0.7211409	0.0253161	0.4679838	0.7129287	0.5593504	0.2026399	0.1941793	0.6166425	0.2824438	0.1494254	0.2799519	0.7300453	0.4145565	0.5447440	0.7077211	0.6526912	0.3852136	0.2973116	0.0884150	0.0468003	0.6503768	0.4192823	0.1737679	0.7538479	0.0301356	0.2788877	0.2184127	0.4876434	0.6680998	0.6497233	0.3073510	0.3035123	0.6275913	0.0280516	0.1740780	0.0105534	0.1877698	0.0997224	0.5518132	0.1041891	0.3230619	0.1654779	0.2159350	0.3902750	0.0266197	0.0740913	0.0397923	0.3925287	0.0664885	0.5608795	0.0199676	0.1856377	0.0985362	0.0353678	0.0638073	0.0632810	0.2636322	0.2566754	0.0455187	0.1572257	0.1428761	0.2516353	0.1805571	0.2772564	0.0726622	0.2689566	0.8014236	0.6867650	0.5860103	0.0907041	0.6135766	0.5885710	0.5598088	0.3155256	0.3382535	0.4939260	0.6634306	0.3304513	0.6652262	0.3979571	0.4484418	0.0657831	0.0976858	0.0110436	0.0167582	0.2885242	0.6717592	0.2784479	0.4782799	0.6612568	0.6735831	0.4124217	0.0829676	0.3167432	0.1621877	0.5911296	0.5918827	0.5628705	0.1376237	0.3838468	0.4721253	0.5726172	0.0871700	0.1669140	0.3063375	0.0335948	0.2002468	0.2723630	0.4905962	0.6811299	0.5428157	0.1231985	0.4953395	0.5402546	0.3785425	0.1963155	0.7345375	0.6540292	0.6752264	0.7633697	0.6849684	0.6907795	0.6946307	0.7121669	0.7402315	0.6835479	0.6854493	0.7984214	0.7150601	0.5552040	0.8124119	0.6822483	0.1352642	0.1124675	0.0233817	0.3767248	0.3985397	0.0218138	0.3907235	0.0515627	0.1569180	0.0678677	0.0603792	0.2041775	0.1703829	0.0429885	0.3813519	0.6388693	0.1833966
0.4481834	0.5952100	0.6088304	0.5981131	0.6916035	0.5198364	0.5755010	0.4294781	0.2860944	0.2584895	0.4498416	0.4838843	0.3632494	0.4052843	0.4746829	0.1576232	0.7042817	0.3440660	0.0475055	0.2745528	0.6308841	0.0635564	0.3376957	0.0545814	0.0498601	0.3808187	0.4990040	0.0521728	0.1945037	0.5570994	0.2566529	0.4364876	0.3475922	0.1540838	0.7002429	0.7092172	0.7823960	0.0858784	0.6003492	0.5726044	0.6417032	0.2764231	0.0898521	0.0315567	0.7077899	0.2447238	0.6498228	0.3700150	0.0519314	0.6120919	0.7204793	0.6693967	0.0080527	0.2853371	0.7088421	0.7070922	0.2419900	0.1548969	0.6016909	0.5647103	0.1162263	0.1720452	0.5581604	0.3764627	0.6656160	0.7068098	0.6563887	0.7359122	0.3495533	0.1441136	0.0518565	0.6511794	0.3354892	0.1760307	0.6160306	0.0416624	0.3756069	0.3844308	0.4390424	0.6510656	0.6496196	0.3387410	0.4228911	0.6038078	0.0170391	0.1050235	0.0059239	0.1395139	0.0674318	0.6506261	0.1067189	0.3505308	0.2221760	0.1907195	0.3786005	0.0373588	0.4402117	0.0682255	0.3347830	0.1169916	0.3861132	0.0418896	0.2121367	0.0779546	0.1395193	0.0915206	0.0856324	0.2349367	0.3384878	0.0926746	0.3009815	0.1821087	0.3243016	0.1976517	0.3038751	0.0732468	0.2154436	0.5554976	0.6688576	0.5828718	0.0770578	0.6780949	0.6410640	0.5986589	0.3423685	0.3263240	0.6472170	0.5732271	0.3422860	0.6514382	0.4747552	0.3370413	0.0125141	0.0878790	0.0037125	0.0617088	0.6426257	0.6049331	0.3330349	0.4584064	0.6102147	0.5066890	0.5998629	0.2600170	0.3615524	0.1077545	0.5532079	0.4907487	0.5611116	0.1200484	0.3926206	0.4714394	0.7672475	0.1163418	0.1560425	0.2686663	0.0336940	0.2981858	0.2449689	0.3863182	0.6780709	0.5137537	0.0920496	0.3073135	0.1524921	0.4338925	0.3103168	0.7247713	0.6505846	0.6781754	0.6218148	0.6659165	0.5642441	0.5454437	0.6864511	0.6327654	0.7005695	0.7073309	0.6548190	0.5848616	0.6818896	0.6555181	0.6457350	0.1869497	0.1330591	0.0188165	0.4451289	0.3856079	0.0035351	0.3241707	0.0160801	0.1340449	0.0486240	0.0928467	0.1954154	0.1709424	0.0598228	0.4574864	0.6907375	0.1648483
