malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0000000	0.6837302	0.7626554	0.5981794	0.6066337	0.5032659	0.7285637	0.4473332	0.3188271	0.7098282	0.0903681	0.3993210	0.2587894	0.2441756	0.4308958	0.1293360	0.7371399	0.4840248	0.0355521	0.3246285	0.5046537	0.0248904	0.3110022	0.0520427	0.0405305	0.0572197	0.4768829	0.0602763	0.1929908	0.6029494	0.2116304	0.5700836	0.2913653	0.1957145	0.6684182	0.6936660	0.0295171	0.0854881	0.5337378	0.7698939	0.6691818	0.3091001	0.0742848	0.0882264	0.0237177	0.2140653	0.5461008	0.4116975	0.0511581	0.7184809	0.0138168	0.5489339	0.0295305	0.2752483	0.7058282	0.7748525	0.1918239	0.2699815	0.5118287	0.1959152	0.1370739	0.0026862	0.6777412	0.3237799	0.6481746	0.6173661	0.6715380	0.3913814	0.3073205	0.1620668	0.0582920	0.6496082	0.2583696	0.1780311	0.6249067	0.0419518	0.4492396	0.3429077	0.4139037	0.7167334	0.0395138	0.3267471	0.3942676	0.6490469	0.0130586	0.1458161	0.0017199	0.1268268	0.0783714	0.0615433	0.0747786	0.3410324	0.2031555	0.1914043	0.3624437	0.0177946	0.2097462	0.0695053	0.2353418	0.0970293	0.0761421	0.0131117	0.0040135	0.1346450	0.0538565	0.0734758	0.0736754	0.3522769	0.2379940	0.0593824	0.3362037	0.1362659	0.2810559	0.2419380	0.3445759	0.0874617	0.2834036	0.0136760	0.6240580	0.6737565	0.1014377	0.5558641	0.5943963	0.5992233	0.3385947	0.3727236	0.3914696	0.5805693	0.2276766	0.6483902	0.4347255	0.3932084	0.0335146	0.0852092	0.0110360	0.0377992	0.2980701	0.6559286	0.3916879	0.4797581	0.5674923	0.4438155	0.4597070	0.1339314	0.2751878	0.1808609	0.4548765	0.6451115	0.5267555	0.1113409	0.3396613	0.4761583	0.7383194	0.0379392	0.1683952	0.3394454	0.0371199	0.1431657	0.2707314	0.5802364	0.7112071	0.5863413	0.1905607	0.4836986	0.5264477	0.3852851	0.2298801	0.6599406	0.7358936	0.5616753	0.6849684	0.6923555	0.6406560	0.7168305	0.6710879	0.6572398	0.4951002	0.6498689	0.7166874	0.6627843	0.6620506	0.5215022	0.6697339	0.1668756	0.1295906	0.0184745	0.5048751	0.2970026	0.0047987	0.4163142	0.0530686	0.1185414	0.0319885	0.0864205	0.1779980	0.1296670	0.0485874	0.4157031	0.7630037	0.1612429
0.6588535	0.0000000	0.5992278	0.6105720	0.7307911	0.7468837	0.6512783	0.4010370	0.2267850	0.7087122	0.1289358	0.2358126	0.3252145	0.3129209	0.4198247	0.1862065	0.7731144	0.3204072	0.0315430	0.1805961	0.6372189	0.0543656	0.3331173	0.0748471	0.0758714	0.5417279	0.5907592	0.1622483	0.1714585	0.6265835	0.2138363	0.5701665	0.4058097	0.1178529	0.6051157	0.7697715	0.6370007	0.0706250	0.6187048	0.6206961	0.7871116	0.2992365	0.0478475	0.6949469	0.6266744	0.2526966	0.5989622	0.3429998	0.0385980	0.5916528	0.6345079	0.6154189	0.0375549	0.2639449	0.5411944	0.6323969	0.1866485	0.3452265	0.6376527	0.1736216	0.1426280	0.2855082	0.7276100	0.4042267	0.7217462	0.7424079	0.6725322	0.3280984	0.3552226	0.1675024	0.0435830	0.6338451	0.3556214	0.2101095	0.7550020	0.0298653	0.3649871	0.1792656	0.4428547	0.6371644	0.6531019	0.4012670	0.3700871	0.7284025	0.0297320	0.1646944	0.0292118	0.1917301	0.0645092	0.6241515	0.0792983	0.4997957	0.1611193	0.2131027	0.2727221	0.0079594	0.2965436	0.0260794	0.2500025	0.0865917	0.6221962	0.0341647	0.3667014	0.0934714	0.0474984	0.0855811	0.0495044	0.3406187	0.3127520	0.0518428	0.3925530	0.1904958	0.2537283	0.2070594	0.2647872	0.0525699	0.2303284	0.6521683	0.6822067	0.6771695	0.0944142	0.6291157	0.7038993	0.6447897	0.3509108	0.3287944	0.3672442	0.5786821	0.2903009	0.6593081	0.6113447	0.4985573	0.0223336	0.2360779	0.2077895	0.0090633	0.3687741	0.7185717	0.5033385	0.5236100	0.7068484	0.6433626	0.3827902	0.0615675	0.2992500	0.1669669	0.6745975	0.5804545	0.5711901	0.1409245	0.3890085	0.5012212	0.8526654	0.5994672	0.2045887	0.2445581	0.0408584	0.1729838	0.2954576	0.5541245	0.7386098	0.5396860	0.1091389	0.5065932	0.6012551	0.4984700	0.2441463	0.6922218	0.7649074	0.6859702	0.6678498	0.6302040	0.6343179	0.6882299	0.5723941	0.6290082	0.6674526	0.6870243	0.6597222	0.7332676	0.6781718	0.6047804	0.6966615	0.0902828	0.1642373	0.0129546	0.3997943	0.3444266	0.0352119	0.3391990	0.0213712	0.1246541	0.0373802	0.0889299	0.2010511	0.1710611	0.0517454	0.4411886	0.6399938	0.0888662
0.0408678	0.7131454	0.0000000	0.0018590	0.0697514	0.5652417	0.6575240	0.4879986	0.1875642	0.7739489	0.1050026	0.7993561	0.6553951	0.7297312	0.4264845	0.6964829	0.0354757	0.3693719	0.6746290	0.6060204	0.0610633	0.6522058	0.6716653	0.8001533	0.0486123	0.0894464	0.4970634	0.6332568	0.6619334	0.0362364	0.6157387	0.0024606	0.0150276	0.5392196	0.6187492	0.5268192	0.1717445	0.7012608	0.0317840	0.6512214	0.6758051	0.4438721	0.6278263	0.0782958	0.0644446	0.7598929	0.4664097	0.0489148	0.6596024	0.0196333	0.1135198	0.0253998	0.8051482	0.5551019	0.0097969	0.6704278	0.7495839	0.1835501	0.6738693	0.1611839	0.5145546	0.0085023	0.5704543	0.3088374	0.7403313	0.6007536	0.5985362	0.3321644	0.7145638	0.1929879	0.7413925	0.0084152	0.7606896	0.6979536	0.7309318	0.7609808	0.6356760	0.6578244	0.4958975	0.0508960	0.0485965	0.3572990	0.6985863	0.0298051	0.6979004	0.6494275	0.7668886	0.4648669	0.8519733	0.2234691	0.7247875	0.3207402	0.6763676	0.5736783	0.7393412	0.7200469	0.3760145	0.6064863	0.6487710	0.5833937	0.0498070	0.7385607	0.0010893	0.6568443	0.7605141	0.7761000	0.7067897	0.7428036	0.6709879	0.7603059	0.3499183	0.5905550	0.7945945	0.6860631	0.3717948	0.6936785	0.8016935	0.0225764	0.5728633	0.0471478	0.6240445	0.0119860	0.0269758	0.0294586	0.6111884	0.0132285	0.4356721	0.0171376	0.1802526	0.0427369	0.3540663	0.0532397	0.0087452	0.0522790	0.0046782	0.0317426	0.2255734	0.0534657	0.3753799	0.0133518	0.0281590	0.6250664	0.2521380	0.0801105	0.5840120	0.7213885	0.0141721	0.5803944	0.0395259	0.6075184	0.0226190	0.4894793	0.0053128	0.0486033	0.7107560	0.2584122	0.6786819	0.6931833	0.3433643	0.5226625	0.5791777	0.5738490	0.7021688	0.5057063	0.4856805	0.0168295	0.7737142	0.6829814	0.6853683	0.6436827	0.7185807	0.7307101	0.6701279	0.7015405	0.5887056	0.6991686	0.6819324	0.6404543	0.8960729	0.6625188	0.7342253	0.7630547	0.7826700	0.1110485	0.0669480	0.0070233	0.5617156	0.3198106	0.0089162	0.4035106	0.0084545	0.0849503	0.0229973	0.0831256	0.1949872	0.1272909	0.0428629	0.4557933	0.6501272	0.1571780
0.5428167	0.8143928	0.4919152	0.0000000	0.6056398	0.6364190	0.5148181	0.5064970	0.1762082	0.6765093	0.0625267	0.3164060	0.3002619	0.3680130	0.4024410	0.2110527	0.7143427	0.3351954	0.0224401	0.2413709	0.6989775	0.0372484	0.4159179	0.0430960	0.0628256	0.3742821	0.5572591	0.0526812	0.1253299	0.5909795	0.2364698	0.5790661	0.3103014	0.1613268	0.6240467	0.6244888	0.6146923	0.1183896	0.4852998	0.6627674	0.7382666	0.2592117	0.0395664	0.0695761	0.7445678	0.2448666	0.5911886	0.3542701	0.0471436	0.6743863	0.7709383	0.5490181	0.0328294	0.2956532	0.6435809	0.6613218	0.1900875	0.1756793	0.5664411	0.1606515	0.1858145	0.2600949	0.6867898	0.3314780	0.7311586	0.5887899	0.6370029	0.3300500	0.2800811	0.1382770	0.0258511	0.6493861	0.3125548	0.1756575	0.6499379	0.0236116	0.3363106	0.3322026	0.4444201	0.5376945	0.5747351	0.3038418	0.3976604	0.7326613	0.0480825	0.1706967	0.0353888	0.1396902	0.0625307	0.5902285	0.0490606	0.3421091	0.1464851	0.2274163	0.3684343	0.0627040	0.2721374	0.0189580	0.3018666	0.0476746	0.4054285	0.0199466	0.3065834	0.0607668	0.0340761	0.0404555	0.0433126	0.2207865	0.2457652	0.0663180	0.3545275	0.1426116	0.2891228	0.2142184	0.2631814	0.0630575	0.2707170	0.6293465	0.6337840	0.5938527	0.0538102	0.7557146	0.7946727	0.5565901	0.3051450	0.4178178	0.3494698	0.5652016	0.2027963	0.7088257	0.3508280	0.4825980	0.0065064	0.0913971	0.0047815	0.0657616	0.2953956	0.6070492	0.4065200	0.3859154	0.6079715	0.5303592	0.3084744	0.0952577	0.2974097	0.1865042	0.5283032	0.5590232	0.6557639	0.0766539	0.4863093	0.5380100	0.8054351	0.0566971	0.2276569	0.2919368	0.0698539	0.1915242	0.3694044	0.4718002	0.5906697	0.4477888	0.1109514	0.5557113	0.5358795	0.4228305	0.2800336	0.7582573	0.5673539	0.5648950	0.8455207	0.6705714	0.6836039	0.6829741	0.7368887	0.7128104	0.7363695	0.7042427	0.8067764	0.7067411	0.7446041	0.7107372	0.5608202	0.1507069	0.1565338	0.0047320	0.4715316	0.3544804	0.0009783	0.3461384	0.0369488	0.1446025	0.0613629	0.0616925	0.2173908	0.1352432	0.1073527	0.4846368	0.7192558	0.1643623
0.4928285	0.6780881	0.5120989	0.5046229	0.0000000	0.6140369	0.6537526	0.6519877	0.2210107	0.7592718	0.0855171	0.2895112	0.3945260	0.3389674	0.4080480	0.2296092	0.6349646	0.2955024	0.0499897	0.2471520	0.6626906	0.0599465	0.3043956	0.0610233	0.0766452	0.3263149	0.4509464	0.0905572	0.1645333	0.5467525	0.2671432	0.4240020	0.3652371	0.1842015	0.6519526	0.6696922	0.6701572	0.1156204	0.5784006	0.6279872	0.5834689	0.2691205	0.0590327	0.0757525	0.6648562	0.1858329	0.4822706	0.3168060	0.0342580	0.6376753	0.5526157	0.6180268	0.0418283	0.4452150	0.7689825	0.5935477	0.2425334	0.2157839	0.6569917	0.1705188	0.2343551	0.2498386	0.6185069	0.2869788	0.7264037	0.7038435	0.5983449	0.4066170	0.3222604	0.2022482	0.0544815	0.6092381	0.3493857	0.1273497	0.6695295	0.0192851	0.3266280	0.2062999	0.4430405	0.5181835	0.5890864	0.3580857	0.3344312	0.6944231	0.0468993	0.1675639	0.0090889	0.3245248	0.0829425	0.6154462	0.0407102	0.3197970	0.2434927	0.1386880	0.4226616	0.0441661	0.3398753	0.0271170	0.3453698	0.1512759	0.6041516	0.0302337	0.1980151	0.0963362	0.0552547	0.0757568	0.0775749	0.3754552	0.3960857	0.0731039	0.3328484	0.1732689	0.2229943	0.1917365	0.3284843	0.0680982	0.2809094	0.6379755	0.6520992	0.6907658	0.0721183	0.5721154	0.7142352	0.7028960	0.3500746	0.2970326	0.4298282	0.6433296	0.1909322	0.7265309	0.3510041	0.3911665	0.0173496	0.1531333	0.0198607	0.0491862	0.3049986	0.6410770	0.3096536	0.5189306	0.6689510	0.6462850	0.2394071	0.0972428	0.2960554	0.1953406	0.6499103	0.6076944	0.5420903	0.1256419	0.4226071	0.4879658	0.6969118	0.0723138	0.8740634	0.3110388	0.6264505	0.1981989	0.4871897	0.4144236	0.6246496	0.6582675	0.8245278	0.4336491	0.4805967	0.3722245	0.3591760	0.6076041	0.8088262	0.6634720	0.6663305	0.7684178	0.6754464	0.7146512	0.5440222	0.6856535	0.6629191	0.6551096	0.6762791	0.7405860	0.6833983	0.7678631	0.5999399	0.1788301	0.0811617	0.0141247	0.2861712	0.3692872	0.0077340	0.3652182	0.0259184	0.1178238	0.0645455	0.0476603	0.1886703	0.1352735	0.0505178	0.4791673	0.6894893	0.1805496
0.0336729	0.6914554	0.0333331	0.0121368	0.0474521	0.0000000	0.6725743	0.5794395	0.0033075	0.6345671	0.1293036	0.6435314	0.8426563	0.6089400	0.3706272	0.6263205	0.0898467	0.3699143	0.0824232	0.5719345	0.0296884	0.7708899	0.6733027	0.5970583	0.0616206	0.0787258	0.2476573	0.3723668	0.5495067	0.0781395	0.6909771	0.0075736	0.0074623	0.7694644	0.7369354	0.5785336	0.2342784	0.5883426	0.1669442	0.0176295	0.6043130	0.3443337	0.6271171	0.0556560	0.1038040	0.6933642	0.7374546	0.0470377	0.5634471	0.4109296	0.1316897	0.3365731	0.1734202	0.1172151	0.7048756	0.7468028	0.6086125	0.2458583	0.7765153	0.1646934	0.3876126	0.0065391	0.7115334	0.0416226	0.8080335	0.0168797	0.0065284	0.2057443	0.6613757	0.0290225	0.5589651	0.4901297	0.7679249	0.5297993	0.0085951	0.6170355	0.7543601	0.6465763	0.2893520	0.0344910	0.0690589	0.0272018	0.6353920	0.0352839	0.1880149	0.5436677	0.6620708	0.7009223	0.0912653	0.2421598	0.6570421	0.0755031	0.4020416	0.7461816	0.6143590	0.7566746	0.0161016	0.5232835	0.5924556	0.7608402	0.0350203	0.5311194	0.0139702	0.6289279	0.7144221	0.4857249	0.3083620	0.5605648	0.7206562	0.6292428	0.0274723	0.6355961	0.6368184	0.6738256	0.0581854	0.5382610	0.6531835	0.0210739	0.5656633	0.0556665	0.0630101	0.4700617	0.0756045	0.3101347	0.7848512	0.0096274	0.3502732	0.0876445	0.1983289	0.1442384	0.5052786	0.0680141	0.0149330	0.1214909	0.0045478	0.0246927	0.2806343	0.1430500	0.2691820	0.0597096	0.6333241	0.5159738	0.3102434	0.1056063	0.6643668	0.4128022	0.0773060	0.0152328	0.0435418	0.5673484	0.0608972	0.0022569	0.6264528	0.0674539	0.7684022	0.0278529	0.5902801	0.6552983	0.0195600	0.0174287	0.0278663	0.0021138	0.7210811	0.5497397	0.4928760	0.0770272	0.6573428	0.6746993	0.6561637	0.6394980	0.7033258	0.6844498	0.6510302	0.8293523	0.6951972	0.6564349	0.7190058	0.6725429	0.6781969	0.6741310	0.7212279	0.7605989	0.7675594	0.1747263	0.0763883	0.0085333	0.4160013	0.3445153	0.0047558	0.3784090	0.0239611	0.1202414	0.0323804	0.0478833	0.1463751	0.1026025	0.0346271	0.4458530	0.7092523	0.1313813
0.0832660	0.6882578	0.0928585	0.0598922	0.0852686	0.0146869	0.0000000	0.0124105	0.0043169	0.6007425	0.0830597	0.7822062	0.7243528	0.6853086	0.5006902	0.5494277	0.2543973	0.0148571	0.0472643	0.5821871	0.0353845	0.5214962	0.6142415	0.5629414	0.0425985	0.1894874	0.2962801	0.2181041	0.4082776	0.1151769	0.8067869	0.0076445	0.0476536	0.6959075	0.7060531	0.0350364	0.2180156	0.4283966	0.2484770	0.0336584	0.0259217	0.2566070	0.6679405	0.0711423	0.1472160	0.8036635	0.0407545	0.0341960	0.6849953	0.4454249	0.1746334	0.4352697	0.0813490	0.0111175	0.6536010	0.0326510	0.6078138	0.1954935	0.0081819	0.1817986	0.3016517	0.0075071	0.0265965	0.0421054	0.0586818	0.0404702	0.0163571	0.3272041	0.4410938	0.0085587	0.3108840	0.5287794	0.6802358	0.2185442	0.0133959	0.5944441	0.6157438	0.5838646	0.0823152	0.1303993	0.0207839	0.0214709	0.6941936	0.0327769	0.0576127	0.2953893	0.6138581	0.5728547	0.0567316	0.2714836	0.5546565	0.0540545	0.3704310	0.7268050	0.7109253	0.6434266	0.0402867	0.3871621	0.6199217	0.4728827	0.0539869	0.3892971	0.0088567	0.4182732	0.7093979	0.2682831	0.2560323	0.5188802	0.5696990	0.6827413	0.0296133	0.6806891	0.5934980	0.6271379	0.0352637	0.6556576	0.5391753	0.0594829	0.0259035	0.0529280	0.0613807	0.5629404	0.1303042	0.5356442	0.7074011	0.0304841	0.3772935	0.1545130	0.2475794	0.2786908	0.3577348	0.1151176	0.0209319	0.0874210	0.0071997	0.0241527	0.3045967	0.3650350	0.2860939	0.0729640	0.5575562	0.4975729	0.4118147	0.1092529	0.6226869	0.2849843	0.2019839	0.0077536	0.1761001	0.3460515	0.0801558	0.0421470	0.6805156	0.0872994	0.5660633	0.0408548	0.6637723	0.6238747	0.0274272	0.0539333	0.0274661	0.0083506	0.6630768	0.4795655	0.4772443	0.1746048	0.7024690	0.7728985	0.7707820	0.7175592	0.7036345	0.5954964	0.7978460	0.6016299	0.6483458	0.6585062	0.8255602	0.7641355	0.6611867	0.6754745	0.7137247	0.7891337	0.6875502	0.1525769	0.0994082	0.0156849	0.3333199	0.3136907	0.0216002	0.3924972	0.0294325	0.1131662	0.0230837	0.0690472	0.2022344	0.1965091	0.0643118	0.3957775	0.6945368	0.1568171
0.0779837	0.7644156	0.1495286	0.1026026	0.0937724	0.0216741	0.7029211	0.0000000	0.0054825	0.6150313	0.1661522	0.6349885	0.6726419	0.4878244	0.4814261	0.6056853	0.4427388	0.0680400	0.0329836	0.7342867	0.0390329	0.5476094	0.6547502	0.3847723	0.0477397	0.1293257	0.2417885	0.2629898	0.4910968	0.1640881	0.7251495	0.0219226	0.0025171	0.6841008	0.6634397	0.5259316	0.3879482	0.4692627	0.2876358	0.0733301	0.7180883	0.3940949	0.5718770	0.0749972	0.2789740	0.5923039	0.6179498	0.0258136	0.5475717	0.4688350	0.2628704	0.3514288	0.1044889	0.0121210	0.7378421	0.7883556	0.5794007	0.1658028	0.7361889	0.2117805	0.4068990	0.0157059	0.8019276	0.0667401	0.7487886	0.0722144	0.0095417	0.3320000	0.5062726	0.0212899	0.2638484	0.5498481	0.6685538	0.2196231	0.0190183	0.4922971	0.6367673	0.6210616	0.4475610	0.1034515	0.0526603	0.0193087	0.7411951	0.0377773	0.0607609	0.2353751	0.6582436	0.6103115	0.0489849	0.4333142	0.5606427	0.0522622	0.3786881	0.6754369	0.6426849	0.6180747	0.0099292	0.5696854	0.7611279	0.5402774	0.0627357	0.3293357	0.0043239	0.5202047	0.6232527	0.2321945	0.2145872	0.4926731	0.7251407	0.6141574	0.0300489	0.6644696	0.7539660	0.5491406	0.0433550	0.6464306	0.4863147	0.0686313	0.5390275	0.0533773	0.1110165	0.7675402	0.1383795	0.5218034	0.6986328	0.0254840	0.4028453	0.1972167	0.2774670	0.3919731	0.2693747	0.1198511	0.0117111	0.0496144	0.0007342	0.0139285	0.3279327	0.3579156	0.3582301	0.0354046	0.4958106	0.4633719	0.2545398	0.1187111	0.6339033	0.3613140	0.2270656	0.0276029	0.1682931	0.3458395	0.0735475	0.0234796	0.6027904	0.0538343	0.6183872	0.0555104	0.6167683	0.7133761	0.0310994	0.0337229	0.0231105	0.0243936	0.7017559	0.5037866	0.4974332	0.1424386	0.6894794	0.6469005	0.7549959	0.6559289	0.6602694	0.7571170	0.7011257	0.6586912	0.6708428	0.7425692	0.6937788	0.7157255	0.6812294	0.6984483	0.7505307	0.6966601	0.6916039	0.1562834	0.0672342	0.0073770	0.3400437	0.2941038	0.0039966	0.3386219	0.0228146	0.1016647	0.0671799	0.0629787	0.1669556	0.2051656	0.0583747	0.4105573	0.7968895	0.1908154
0.4223371	0.6695960	0.5991278	0.5655473	0.7400057	0.4832720	0.5475642	0.5634665	0.0000000	0.9057163	0.0884949	0.3393522	0.3039768	0.3293138	0.6085663	0.1918772	0.7498734	0.3831036	0.0381738	0.2326987	0.5778061	0.0406408	0.4171687	0.0542564	0.0529133	0.3025820	0.3462982	0.0956205	0.1807699	0.6012808	0.3111236	0.5780638	0.3125430	0.1120902	0.8540768	0.6818093	0.5964811	0.1008681	0.5422530	0.5995751	0.6811911	0.3546499	0.0486856	0.0769166	0.7293488	0.3468341	0.6222963	0.4099303	0.0368643	0.6276126	0.6761926	0.5958076	0.0175200	0.3743945	0.7152153	0.7412187	0.1685335	0.2497231	0.7041073	0.1966399	0.6045516	0.3132892	0.6543732	0.4492922	0.7387697	0.7172359	0.6940636	0.3277888	0.3432127	0.0172193	0.0554066	0.5814367	0.2192619	0.2421278	0.6363732	0.0333868	0.2461108	0.2478747	0.3108588	0.7356257	0.7372028	0.4450689	0.5456576	0.7847349	0.0174420	0.2461182	0.0061150	0.1679569	0.0963627	0.6523669	0.1336849	0.3432095	0.1318507	0.1402347	0.3886073	0.0317349	0.0087836	0.0282757	0.3187571	0.0896823	0.4978319	0.0168507	0.2914116	0.0834720	0.0595699	0.0347227	0.0419958	0.2461530	0.2147068	0.0635194	0.0570432	0.1788498	0.2672017	0.1841389	0.3792207	0.1115125	0.1725632	0.6452340	0.5748196	0.5656258	0.0593232	0.5749749	0.8458101	0.6132566	0.4062323	0.3553807	0.3535910	0.5447881	0.1527423	0.6590409	0.4214979	0.4443278	0.0139486	0.1106163	0.0068384	0.0333863	0.3126981	0.6219940	0.3124940	0.3982098	0.5695248	0.6883173	0.4294720	0.1389704	0.2483798	0.1383873	0.6504190	0.4297402	0.6175978	0.0876875	0.2936609	0.4242953	0.6647516	0.0759330	0.1930305	0.3276621	0.0118661	0.1466294	0.3133096	0.4631767	0.6715542	0.6298973	0.2133060	0.4843853	0.6122495	0.4050882	0.2412519	0.7317415	0.4971539	0.6193883	0.6637047	0.7153827	0.6898443	0.6662489	0.7080199	0.5789308	0.7423106	0.6595725	0.6523390	0.5746817	0.8258215	0.7334428	0.6414784	0.1502618	0.1479588	0.0068746	0.4642213	0.3918746	0.0143953	0.3703797	0.0302321	0.1266562	0.0384907	0.0657982	0.1564958	0.1929396	0.0306138	0.2973646	0.6621338	0.2045547
0.5253800	0.7344752	0.6331527	0.5913842	0.5857075	0.5303775	0.6619754	0.3984685	0.7435764	0.0000000	0.7744273	0.2964662	0.3155121	0.2035922	0.2553160	0.1453314	0.6950503	0.4455166	0.0365379	0.2449765	0.6362461	0.0177351	0.3131220	0.0906576	0.1053963	0.3799902	0.2008675	0.0910444	0.1238399	0.5759302	0.2119726	0.5220768	0.3213063	0.1286979	0.5293108	0.6783720	0.6024699	0.0596466	0.4875148	0.6349643	0.6211667	0.2004964	0.0950518	0.0520344	0.8914405	0.2709620	0.5789159	0.3436101	0.0527637	0.7431537	0.6859892	0.6101070	0.0217387	0.1585810	0.7286474	0.7434443	0.1669236	0.1940933	0.6252869	0.6742780	0.2095193	0.1995418	0.6513985	0.3361935	0.7206191	0.6286310	0.6063497	0.6988454	0.3095171	0.4812987	0.0417863	0.5576601	0.2160980	0.1499983	0.6249257	0.0175086	0.3645630	0.3118722	0.3873163	0.6700292	0.7363059	0.3532963	0.3621887	0.6138387	0.0563086	0.1982068	0.0186622	0.1904096	0.0746693	0.5359951	0.0617987	0.4018250	0.1676024	0.1712131	0.2504090	0.0161293	0.7154577	0.0208346	0.2939763	0.0896446	0.5381393	0.0613289	0.1976163	0.0803519	0.0364419	0.0472158	0.0322569	0.2608920	0.1961969	0.0459078	0.6185107	0.1260141	0.2574338	0.1713427	0.4231731	0.0927761	0.1974023	0.7123854	0.5975243	0.6908116	0.0875963	0.7301193	0.6677362	0.7434998	0.3610109	0.4656992	0.5934248	0.5564637	0.7201046	0.6719646	0.3989021	0.4317049	0.6749895	0.1667798	0.0078550	0.6467092	0.6887755	0.6406625	0.3363493	0.4536544	0.5669327	0.4943214	0.6812706	0.5695219	0.3613867	0.2099219	0.5735847	0.5746161	0.5282791	0.1342281	0.2893011	0.4500880	0.7251273	0.0440117	0.1899312	0.3716238	0.0157093	0.1343997	0.3881819	0.5170947	0.5784455	0.5378426	0.0987457	0.0361301	0.0398997	0.3742682	0.3042290	0.7093028	0.8287192	0.6221102	0.6569459	0.7622949	0.7158333	0.7119520	0.7447386	0.6354900	0.6855251	0.7803914	0.7631060	0.7104332	0.6653950	0.6866102	0.6720643	0.1030276	0.1115846	0.0122507	0.4114893	0.3546401	0.0042327	0.3675328	0.0160011	0.1393590	0.0514258	0.0601583	0.1951739	0.1654031	0.0593836	0.3828548	0.7415063	0.1315865
