malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.4549292	0.5718171	0.6069537	0.6057042	0.7066652	0.5029145	0.6112359	0.4433603	0.0032048	0.6580291	0.0555447	0.3927038	0.3373934	0.1264580	0.4881148	0.1241047	0.6468015	0.2898175	0.0000710	0.2477381	0.5202971	0.0589680	0.4403976	0.0722758	0.0027433	0.3176703	0.5387103	0.0746300	0.2158540	0.5918338	0.2644061	0.5539463	0.3803663	0.0923732	0.7239265	0.6116276	0.6150491	0.0290391	0.5102238	0.6072999	0.7331802	0.4200842	0.0396493	0.0000959	0.6946342	0.2352791	0.5418984	0.4344096	0.0311761	0.6137606	0.7421637	0.4588652	0.0199056	0.1331251	0.7292634	0.6466357	0.1337356	0.2129744	0.6364522	0.3309789	0.4531959	0.4166083	0.6956871	0.4607332	0.5804497	0.5772528	0.5853302	0.4045449	0.3073531	0.3403618	0.0538921	0.6470183	0.1731033	0.1197240	0.6353775	0.0355006	0.1608118	0.1527329	0.4147338	0.6006175	0.6663592	0.3450531	0.2934715	0.5797790	0.0317998	0.0879930	0.0241687	0.2014428	0.0021526	0.4988510	0.1465657	0.3578889	0.2115825	0.1980914	0.2543662	0.0611147	0.0000154	0.0294226	0.2982729	0.0139132	0.4506558	0.0247466	0.2643021	0.1103175	0.0621119	0.0808415	0.0558403	0.2391468	0.2766874	0.0851738	0.0382680	0.1681070	0.2823684	0.1257079	0.2615208	0.0218684	0.2108670	0.6536680	0.4848917	0.6901465	0.0593962	0.6627658	0.6053658	0.5813416	0.3170970	0.2996595	0.2805237	0.5893564	0.1263014	0.7528322	0.2331230	0.3707253	0.0140489	0.1010038	0.0056770	0.0161089	0.2607950	0.7100994	0.2815716	0.4341191	0.6052182	0.4587062	0.4170074	0.0675163	0.2958235	0.0075764	0.4956819	0.5367099	0.5606051	0.1581865	0.5393544	0.5882800	0.8078301	0.0451097	0.1539261	0.3655101	0.0188225	0.2274614	0.2977187	0.5234707	0.7051041	0.4539998	0.1135860	0.5876506	0.4720885	0.6256686	0.0566598	0.6834744	0.6127475	0.6103448	0.7177450	0.4542740	0.6118764	0.5757335	0.7948952	0.7457355	0.7022633	0.6396140	0.6789547	0.5905023	0.5215864	0.6348601	0.6427755	0.1562149	0.0199582	0.0013564	0.2764657	0.4561213	0.0099624	0.3019320	0.0079793	0.0674181	0.0388342	0.0862056	0.1926139	0.1730852	0.0049872	0.4124117	0.5831411	0.1465817
0.4708588	0.8250782	0.5672437	0.6394054	0.5735269	0.5465250	0.4705316	0.3772249	0.2981924	0.3790169	0.5448604	0.1551756	0.1187304	0.1186308	0.4636541	0.1352427	0.5638140	0.3910016	0.0234871	0.1142955	0.6361765	0.0052822	0.2739606	0.0104312	0.2220055	0.4311834	0.5977973	0.0569969	0.1153613	0.5865512	0.1130108	0.5628063	0.3297440	0.1574760	0.5855460	0.5824604	0.6154960	0.0405139	0.4834254	0.6302996	0.5813621	0.5345448	0.0179249	0.0575667	0.6632912	0.1989279	0.3787011	0.4175443	0.0453732	0.6389543	0.7150601	0.5391610	0.0012809	0.3657957	0.7094478	0.6592040	0.1174376	0.2338835	0.4452999	0.6987451	0.0816965	0.2561967	0.6250033	0.3049906	0.5522529	0.6011487	0.8113599	0.5825913	0.2652444	0.3306626	0.0012955	0.7001561	0.1059110	0.1554323	0.6477169	0.0184455	0.2257066	0.2983607	0.3333963	0.7149960	0.8372119	0.6325721	0.1904468	0.5639783	0.0198250	0.1848609	0.0110219	0.1630752	0.0053171	0.5917569	0.0900389	0.4219038	0.1539997	0.0906427	0.2711274	0.0060005	0.5447509	0.0162669	0.3535320	0.0318886	0.4402315	0.0049130	0.1535693	0.0952054	0.0362981	0.0298833	0.0289466	0.2065965	0.2912251	0.0278715	0.3612704	0.1411500	0.2252654	0.1878002	0.3397142	0.0837665	0.2497265	0.6508164	0.4754487	0.6227566	0.0180366	0.7856624	0.6311066	0.5345145	0.3254378	0.4732030	0.4707362	0.5914440	0.2701798	0.5498876	0.3551449	0.4025062	0.0571729	0.0705337	0.0154586	0.0956441	0.6354499	0.5447427	0.2971970	0.4177552	0.6208615	0.4843013	0.5029851	0.2044075	0.1915979	0.0036554	0.7473087	0.5898551	0.5466129	0.0551618	0.4395894	0.6061301	0.6052337	0.0243459	0.1903950	0.4332553	0.0214910	0.2343657	0.4891505	0.6533601	0.6460701	0.5549219	0.0939600	0.3949543	0.1085193	0.5316549	0.1669679	0.5852578	0.5805001	0.7361141	0.6541333	0.5555368	0.5581007	0.6439103	0.7569999	0.5811830	0.8148747	0.5832157	0.6340106	0.4644685	0.6296615	0.7015242	0.7235368	0.0857094	0.0321652	0.0338512	0.3941820	0.3555240	0.0064170	0.4427528	0.0460690	0.0703678	0.0037372	0.0757356	0.1440010	0.0454911	0.0073879	0.4495815	0.6803308	0.1448227
0.2390351	0.4286743	0.6667783	0.5794673	0.6366725	0.7997936	0.6702895	0.4070512	0.5150617	0.1768888	0.6798211	0.4386182	0.3090098	0.3019175	0.1913922	0.1791584	0.7309052	0.4514389	0.0003163	0.2088670	0.6970508	0.0061622	0.2418821	0.0844087	0.0628769	0.2202945	0.3143993	0.0525889	0.1501285	0.5963081	0.1725661	0.7300669	0.4147045	0.1051216	0.5445492	0.7528631	0.8036978	0.1073890	0.4142489	0.5088503	0.7534825	0.3784129	0.1219260	0.0029575	0.5512081	0.3059743	0.6838340	0.3804351	0.0369870	0.6926701	0.6269809	0.4888321	0.0304941	0.0010688	0.6795034	0.6888718	0.2079316	0.0347472	0.5288688	0.6270370	0.1821537	0.1776292	0.7339934	0.5059209	0.6481674	0.6310684	0.7152418	0.7169606	0.2001527	0.4727003	0.0032537	0.7025577	0.2256091	0.0007127	0.5479101	0.0169600	0.2431561	0.2238945	0.4707066	0.5719275	0.5612236	0.5067486	0.2739746	0.6287220	0.0146277	0.1918829	0.0221227	0.1749050	0.0489689	0.6480857	0.0047143	0.4244653	0.2155254	0.1694877	0.4525943	0.0206832	0.7782240	0.0493913	0.2941634	0.1283268	0.3318871	0.0014986	0.0713406	0.0887141	0.0783260	0.0398318	0.0836916	0.2730212	0.3071705	0.1062702	0.6302517	0.2172063	0.3336514	0.2329407	0.3304944	0.0844139	0.1496407	0.5976024	0.5548799	0.5101797	0.0299723	0.7559976	0.7574939	0.5793733	0.3767307	0.3274077	0.4065248	0.6057458	0.5048625	0.6705642	0.5189482	0.3800563	0.0951189	0.0772186	0.0101860	0.2429854	0.8354667	0.6247105	0.2936846	0.5668610	0.6157124	0.7269848	0.5636834	0.3722794	0.2792624	0.0002492	0.5846755	0.5838649	0.5425397	0.1422833	0.3970758	0.5848982	0.7151239	0.1757575	0.1715145	0.2921218	0.0068343	0.1371629	0.4804040	0.6227013	0.5978102	0.6445123	0.0878578	0.1905643	0.0263555	0.3675829	0.2835576	0.4605364	0.4915327	0.6893654	0.6390586	0.3717500	0.4415882	0.3627764	0.6749321	0.5594194	0.7109577	0.5265000	0.5561993	0.6923081	0.8326850	0.5425644	0.7241680	0.2082543	0.0767199	0.0006685	0.3436304	0.2630255	0.0011508	0.1710242	0.0073557	0.1976522	0.0016843	0.0364967	0.2673704	0.1209780	0.0076412	0.2732977	0.5516312	0.1153228
0.5437798	0.7510657	0.6748206	0.5343612	0.6090382	0.6918599	0.7207919	0.5344297	0.2898844	0.6877314	0.0972039	0.3451957	0.2962156	0.2605265	0.1356935	0.1510183	0.6127213	0.3641976	0.0310755	0.1540841	0.6820213	0.0264116	0.2409026	0.0260375	0.3065091	0.4123476	0.4464819	0.0542881	0.1007644	0.6598596	0.1046102	0.4944049	0.4664567	0.1738579	0.7265245	0.7636002	0.7140501	0.0962347	0.5465327	0.6026489	0.6254479	0.3100842	0.0355139	0.0756760	0.6221483	0.2048887	0.5853446	0.2673419	0.0480153	0.5717540	0.6548466	0.5660793	0.0307190	0.3100044	0.6572178	0.8430752	0.1834525	0.2125413	0.5783466	0.2073611	0.1855355	0.2441202	0.6621489	0.3443678	0.6202882	0.6394237	0.7931393	0.2552982	0.2328974	0.3136065	0.0600186	0.6668646	0.2995821	0.0406973	0.5513165	0.0153707	0.3920036	0.2982827	0.2290422	0.5593637	0.6821166	0.5039934	0.2665156	0.5942557	0.0035951	0.1418215	0.0176769	0.2257584	0.0779931	0.5755101	0.0006834	0.4471714	0.2181264	0.0809202	0.1585086	0.0419553	0.3519332	0.0224123	0.3051820	0.0092161	0.5341270	0.0203108	0.2026590	0.0420274	0.0622440	0.0221840	0.0476490	0.2927435	0.3310073	0.0706635	0.3341512	0.0877140	0.2935082	0.1645636	0.4254693	0.0780241	0.0786306	0.7333364	0.5997882	0.6269552	0.0028945	0.6289560	0.6247251	0.6946601	0.3327553	0.2852806	0.4026940	0.5677397	0.1785648	0.6252617	0.2030403	0.3830334	0.0000662	0.0667547	0.0109552	0.0216947	0.2890548	0.6977462	0.1962151	0.5264002	0.6746656	0.7453013	0.2837709	0.1212963	0.1657340	0.2128947	0.5940245	0.6801553	0.7929716	0.0710359	0.3535687	0.5493533	0.7412316	0.0466407	0.1803698	0.2607587	0.0059774	0.2064690	0.4792131	0.4201232	0.7180048	0.5700439	0.0821419	0.5050842	0.5329283	0.5042471	0.2270164	0.5885075	0.7356881	0.8069291	0.4997833	0.7303273	0.6210165	0.6599875	0.5310039	0.6084406	0.4448151	0.7167670	0.8125830	0.6841478	0.5014083	0.7217897	0.6395021	0.0818367	0.1041452	0.0204045	0.5045411	0.2764340	0.0049068	0.1426584	0.0108842	0.0804197	0.0476061	0.0574053	0.1120695	0.0725908	0.0034059	0.5259626	0.4635192	0.1696916
0.4323268	0.6745629	0.6394864	0.6526193	0.5513083	0.6123052	0.8478592	0.4716741	0.1177922	0.7549706	0.1197618	0.3843374	0.4422902	0.2569635	0.4003223	0.1310925	0.6776629	0.5406255	0.0010890	0.2804280	0.5340608	0.0613863	0.1518217	0.0476779	0.0074893	0.3314112	0.3831240	0.1076289	0.1228719	0.5456567	0.1882894	0.4885686	0.3781059	0.1754769	0.7170808	0.5570114	0.7497513	0.1320308	0.5486880	0.7295467	0.7230220	0.3141013	0.0683646	0.0482629	0.5812980	0.2395812	0.5084964	0.4281433	0.0440759	0.5773484	0.6842101	0.7202057	0.0406178	0.4640712	0.6758324	0.6078206	0.2044293	0.1399889	0.6803214	0.1053234	0.0025346	0.3737629	0.6668108	0.3682363	0.7752850	0.5859442	0.5822418	0.2810564	0.3581522	0.2018523	0.0828322	0.5708754	0.2487134	0.1086984	0.6686088	0.0484782	0.3132556	0.3265130	0.5694855	0.5184851	0.5711316	0.5677528	0.2647969	0.6614923	0.0078845	0.1469894	0.0233420	0.1456626	0.0014747	0.5354276	0.0309233	0.4803835	0.0572688	0.1435749	0.2324246	0.0668805	0.1208884	0.0347956	0.2579021	0.1330324	0.6338516	0.0013482	0.5087336	0.0645314	0.0571858	0.0648166	0.0283870	0.0986517	0.3057324	0.0902103	0.1894122	0.2302093	0.1778105	0.2796669	0.4034356	0.1079268	0.2307803	0.6363084	0.5370992	0.6148028	0.0003550	0.6325415	0.6270422	0.5919389	0.3852109	0.2824191	0.1927064	0.6335087	0.2283977	0.5957603	0.3270524	0.2945374	0.0360489	0.0361617	0.0023592	0.0166639	0.2646154	0.6390874	0.1102816	0.5755040	0.5963060	0.4870942	0.2986365	0.0855474	0.3134612	0.0717113	0.5544194	0.5911386	0.6010507	0.0639238	0.3485502	0.5954434	0.6669642	0.0374194	0.2343462	0.5074530	0.0031495	0.3406241	0.3377877	0.4893230	0.5021106	0.6390493	0.1599995	0.6277489	0.6162772	0.4596531	0.3643349	0.6841215	0.6600057	0.7246653	0.5575559	0.6952582	0.7380936	0.7227488	0.7430348	0.7779865	0.4947451	0.8105167	0.5510234	0.3367761	0.6694534	0.5818483	0.6570420	0.0315248	0.1216640	0.0033824	0.3735488	0.2352549	0.0028739	0.4018435	0.0356950	0.1021942	0.0016976	0.0975631	0.0695444	0.1203649	0.0588113	0.4127947	0.5542977	0.1613742
0.3287445	0.5576330	0.5857433	0.5428082	0.6805685	0.5727760	0.8063472	0.4610944	0.3683837	0.5439066	0.2622708	0.4844138	0.2509148	0.3580950	0.0241054	0.1446385	0.6354824	0.4192605	0.0235380	0.4631933	0.6683285	0.0652014	0.1468273	0.1033126	0.0256433	0.3705345	0.3795833	0.0107240	0.2307481	0.5877565	0.3339561	0.3725050	0.3137406	0.2374342	0.5290993	0.5851786	0.7943973	0.1147189	0.5357801	0.5122199	0.7590258	0.3337429	0.0930516	0.0327540	0.5634795	0.3766131	0.5558687	0.3752171	0.0995382	0.5936524	0.8160194	0.5911972	0.0466953	0.1438634	0.5643831	0.6278376	0.3475751	0.1752881	0.5574254	0.3458196	0.4734418	0.1630816	0.7192357	0.4702875	0.7410755	0.6211005	0.7153335	0.3241690	0.2880241	0.3420871	0.0761347	0.8058841	0.3070724	0.1636688	0.6200105	0.0178347	0.3556105	0.3044228	0.5335034	0.4410049	0.6446240	0.4658522	0.3619540	0.6186233	0.0178112	0.0668239	0.0109374	0.1961550	0.1146546	0.5631659	0.0553073	0.3006144	0.1039558	0.2572003	0.4630584	0.0819634	0.4401485	0.0706696	0.2546682	0.1071291	0.3451347	0.0449760	0.1057138	0.1026246	0.1271366	0.0173625	0.0823389	0.2778128	0.3160535	0.0982770	0.4498813	0.2446012	0.3352550	0.2513345	0.2428362	0.0519141	0.0836768	0.5574212	0.6296321	0.6157631	0.0014279	0.6000323	0.6401041	0.8226621	0.2971168	0.2631895	0.5420301	0.4911808	0.3162059	0.6543175	0.2935199	0.3828323	0.0078151	0.1819330	0.0229511	0.0229614	0.4386857	0.5926566	0.2703546	0.4644079	0.6976777	0.5711739	0.4981002	0.1749723	0.5609345	0.1461933	0.6159222	0.4729753	0.4790250	0.2166372	0.2805436	0.5854945	0.8176090	0.0840954	0.1885291	0.3993765	0.0277060	0.2283779	0.5151860	0.4927133	0.6722705	0.6003379	0.0577566	0.3941569	0.2077811	0.3423005	0.2430397	0.5320475	0.5946236	0.6220781	0.6004748	0.7266238	0.7333203	0.5332283	0.6115512	0.5447739	0.4051085	0.7733749	0.7459858	0.6858184	0.5263230	0.5357249	0.3568990	0.1991331	0.1321634	0.0032642	0.2843471	0.6441579	0.0003176	0.4772945	0.0298574	0.3779755	0.0015191	0.1046888	0.4319821	0.0051369	0.0066388	0.1411457	0.6659924	0.1239544
0.4445522	0.6278914	0.5714851	0.5621188	0.5546791	0.4886732	0.6149188	0.3524388	0.1948801	0.6340388	0.1542766	0.3337723	0.3640839	0.3422655	0.6818809	0.2175384	0.6958848	0.2893185	0.0310469	0.3274562	0.6567133	0.0241241	0.3431007	0.0242793	0.0221666	0.3368458	0.3766913	0.0767300	0.1477522	0.5404553	0.3328894	0.4618636	0.3562753	0.1927150	0.7942384	0.6659861	0.6699601	0.0574862	0.5228778	0.6446264	0.6243600	0.3340656	0.0357250	0.0695785	0.5795124	0.1530937	0.5713404	0.2810716	0.0467720	0.6511505	0.6326701	0.5518554	0.0112519	0.1179401	0.7880487	0.6283142	0.1829152	0.1376323	0.6252279	0.3548162	0.1004692	0.1988600	0.6249099	0.3060828	0.6308613	0.5903745	0.5366539	0.1593228	0.2982981	0.1648261	0.0011620	0.6406554	0.2840294	0.1680461	0.6060093	0.0122432	0.2516613	0.3096579	0.3544648	0.7251504	0.6413172	0.3495846	0.2344006	0.6965813	0.0194000	0.0569352	0.0255311	0.1747576	0.0284881	0.5555296	0.0762322	0.3125125	0.0631285	0.1101359	0.3439917	0.0456588	0.3114701	0.0230716	0.2232806	0.0258525	0.4784555	0.0250025	0.1716803	0.0792834	0.0263112	0.0186389	0.0614787	0.2663686	0.3039098	0.1072722	0.2147986	0.1049161	0.2019507	0.1234130	0.3244364	0.1339254	0.1647646	0.6789822	0.6586079	0.7008420	0.0004334	0.7389570	0.6405379	0.6559863	0.4703534	0.3016538	0.6657077	0.4846097	0.2833869	0.5662065	0.5728671	0.5218312	0.0016914	0.0817944	0.0063178	0.0407636	0.2491322	0.6329565	0.4850916	0.4903672	0.7680055	0.5424769	0.4004580	0.0544834	0.3008230	0.1500702	0.5100455	0.5811901	0.5441954	0.1174197	0.3411312	0.4690761	0.6813424	0.0687650	0.1536994	0.4337664	0.0484334	0.1767975	0.3401646	0.4975898	0.6511878	0.5005426	0.1609451	0.4427242	0.4523337	0.4970871	0.2891365	0.7061475	0.5129181	0.3963403	0.4319212	0.7715274	0.3881803	0.7659619	0.6528104	0.4946893	0.5658705	0.5934676	0.4778096	0.6328595	0.8491540	0.4194309	0.7441607	0.1011304	0.0805477	0.0059867	0.4716741	0.3255937	0.0122288	0.2615384	0.0228663	0.1156962	0.0218557	0.0294995	0.2220886	0.2225126	0.0023391	0.5507548	0.6897343	0.1241022
0.4847386	0.7229590	0.5811622	0.7014709	0.6150155	0.6301595	0.7213920	0.5088613	0.0289116	0.6493393	0.1778452	0.3668417	0.2300154	0.1996462	0.6137333	0.0727579	0.6979288	0.4013425	0.0256787	0.2328036	0.6614541	0.0273529	0.3358463	0.0222258	0.2219885	0.3248628	0.5937545	0.0584806	0.0762195	0.7315007	0.2353808	0.5409743	0.3974852	0.1229329	0.6002449	0.6515436	0.7247211	0.0667865	0.5609621	0.6543817	0.6007407	0.1648220	0.1145776	0.0010906	0.6766459	0.1625698	0.6843644	0.3724643	0.0462637	0.6868720	0.6367277	0.6198008	0.0344360	0.4680460	0.7281122	0.7311277	0.2376166	0.1186997	0.5112139	0.2023479	0.2665907	0.2583562	0.6937674	0.3281220	0.6331248	0.7510434	0.6210654	0.3048625	0.3215803	0.0193943	0.0460746	0.6196311	0.1489571	0.1754265	0.5725587	0.0562239	0.4455652	0.2993268	0.3837535	0.5574727	0.4965743	0.3879420	0.3375488	0.7252428	0.0136700	0.0368999	0.0092838	0.1984838	0.0286518	0.5880275	0.0668936	0.3927846	0.1585336	0.0774630	0.3487432	0.0359874	0.0072526	0.0199270	0.2796705	0.0082624	0.4256761	0.0006243	0.2276105	0.1303824	0.0543967	0.0170468	0.0668905	0.1075689	0.1696853	0.0634740	0.0219599	0.2488961	0.2320707	0.0602991	0.3646911	0.0944142	0.2090564	0.6075959	0.6501488	0.6616468	0.0003767	0.7099224	0.6801568	0.6631239	0.2160623	0.3396893	0.3721355	0.6235841	0.1971420	0.6105696	0.5100266	0.4824621	0.0246475	0.0556822	0.0005316	0.0141686	0.4230984	0.6770069	0.2762295	0.5695011	0.5664755	0.4915080	0.3372993	0.1247603	0.5021931	0.1723131	0.5562313	0.5192119	0.5295404	0.1376384	0.3494213	0.4620421	0.6579178	0.0203228	0.0900130	0.3834764	0.0034150	0.1925240	0.3609771	0.6386903	0.6827379	0.5346541	0.0851111	0.5992663	0.3303821	0.5316706	0.2295292	0.2698126	0.6240657	0.5763873	0.6909052	0.8207935	0.7233319	0.5380646	0.8954381	0.5128413	0.6147509	0.3497646	0.7136763	0.7687777	0.7087635	0.6264973	0.6975286	0.1044379	0.0480584	0.0038314	0.4264515	0.4360568	0.0083557	0.2384404	0.0214158	0.0542701	0.0001707	0.0950596	0.1783306	0.1872359	0.0025644	0.4073650	0.7425923	0.1120754
0.3648538	0.7649310	0.5370666	0.6805642	0.7248115	0.4037221	0.5033487	0.2666312	0.2839750	0.6025547	0.0869860	0.4803305	0.3583053	0.2023385	0.5975752	0.2044326	0.6646140	0.5228772	0.0006519	0.2535493	0.6574220	0.0466614	0.2978377	0.0394527	0.0737739	0.2903888	0.3297802	0.0655953	0.1986999	0.4879704	0.3867773	0.3666754	0.3073387	0.1550284	0.7845490	0.7280565	0.6139976	0.0548352	0.5730866	0.6382759	0.5791096	0.3340349	0.0486446	0.1029570	0.5669630	0.2847011	0.4606895	0.2538150	0.0832655	0.5694497	0.7885514	0.6503033	0.0024919	0.1881709	0.6958114	0.5903623	0.3574722	0.1638498	0.6259320	0.1057859	0.1059515	0.2241862	0.6446450	0.3680214	0.8373740	0.6767613	0.6804177	0.1885203	0.2378370	0.2889334	0.0450222	0.7403401	0.1720165	0.1972399	0.6494844	0.0098560	0.2100756	0.2039053	0.1950635	0.6939145	0.5582411	0.2460569	0.5749008	0.6252459	0.0021748	0.1508915	0.0216976	0.1705013	0.0690075	0.5758681	0.0859295	0.3143908	0.2238860	0.2072053	0.5107850	0.1066545	0.4026397	0.0455569	0.3529610	0.1264404	0.4167277	0.0044703	0.1414639	0.0858671	0.0758610	0.0396795	0.0267601	0.2968410	0.2780547	0.0876560	0.5902122	0.1927914	0.3892139	0.2755315	0.2168823	0.0768696	0.2303164	0.6779000	0.4576814	0.6746114	0.0013240	0.7596915	0.6408944	0.6474076	0.4729619	0.2233460	0.4619446	0.5363582	0.2348409	0.6749491	0.2141265	0.2638135	0.0036331	0.0738144	0.0188936	0.0067368	0.2734689	0.5651986	0.2354868	0.3611491	0.6407643	0.4802570	0.2122753	0.0949391	0.2923028	0.0032576	0.6391624	0.5739761	0.6030762	0.1406067	0.2179413	0.4301218	0.7175595	0.0763458	0.0449552	0.4028573	0.0154624	0.2464515	0.5382534	0.5569064	0.5270678	0.5332539	0.1368959	0.4203145	0.5518191	0.4213873	0.2868625	0.4196814	0.7384218	0.7251164	0.7329751	0.6101815	0.5706215	0.7013973	0.7140217	0.6595990	0.5946837	0.6729592	0.6286660	0.7298911	0.4184133	0.5657445	0.6966012	0.0434922	0.0901526	0.0208911	0.3488396	0.3531688	0.0138032	0.3657534	0.0011909	0.0624738	0.0076050	0.0186438	0.1313209	0.1003737	0.0722562	0.3266551	0.7263260	0.0985746
0.4821505	0.7662144	0.6794252	0.6164687	0.5782443	0.4166676	0.4962465	0.5358913	0.1346125	0.7059692	0.1508126	0.4404040	0.4279170	0.2218857	0.5502479	0.2057283	0.6255031	0.5754607	0.0018601	0.3438598	0.5944605	0.0159010	0.2811984	0.0637403	0.0156400	0.3374695	0.2912225	0.0840745	0.1871744	0.5432421	0.2294194	0.4874441	0.2553904	0.1508472	0.6996621	0.5474591	0.6337312	0.1032536	0.6292215	0.6067274	0.5898880	0.2968442	0.0635984	0.0793624	0.7670597	0.1145690	0.5377799	0.4802701	0.0578260	0.6393951	0.6832113	0.6212270	0.0102968	0.3462474	0.5816417	0.6767224	0.3301346	0.1868961	0.5917112	0.1869133	0.0695425	0.2274436	0.7298317	0.3368164	0.7107134	0.5021002	0.7042308	0.2734225	0.2215579	0.1107495	0.0057308	0.7952120	0.3857128	0.1309836	0.7503963	0.0105359	0.2915382	0.3334530	0.4926481	0.6230759	0.6839131	0.4038829	0.3067658	0.6337332	0.0323792	0.1252510	0.0415808	0.1896853	0.0785020	0.5738020	0.0563240	0.2490192	0.0602179	0.1698154	0.3358628	0.0304784	0.0354245	0.0172118	0.3468384	0.0207512	0.5288535	0.0460393	0.2174652	0.0770648	0.0708903	0.0434331	0.0768624	0.2177543	0.2629010	0.0849011	0.2000701	0.2181280	0.3050301	0.1292127	0.2581122	0.0548745	0.1011106	0.7610907	0.5436426	0.6952778	0.0001958	0.7883447	0.7179221	0.6698999	0.4362823	0.4309015	0.3708906	0.6543387	0.2425014	0.6570269	0.4875860	0.3143501	0.0088344	0.0850715	0.0098844	0.0366775	0.2709072	0.7095512	0.2125380	0.5302781	0.6202411	0.7337019	0.3821888	0.1300182	0.3558999	0.1815926	0.4831013	0.4907983	0.5204904	0.1154576	0.3167532	0.4992756	0.6298245	0.0349859	0.2543860	0.3103126	0.0087039	0.1520297	0.2849842	0.5726042	0.6141691	0.6040835	0.1099982	0.4409603	0.4659720	0.3924156	0.1274123	0.6477150	0.5865129	0.6024804	0.6689853	0.6618402	0.6628853	0.5807132	0.8122271	0.6472107	0.6646393	0.8003463	0.6045047	0.7011655	0.7917279	0.6219499	0.6472585	0.1553883	0.0249590	0.0016151	0.2692587	0.4070168	0.0174594	0.3760740	0.0158280	0.1560446	0.0020489	0.0082533	0.2909095	0.0011375	0.0437481	0.2565744	0.5372122	0.0866118
