pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.3199423	0.1742003	0.7366488	0.7297766	0.4045345	0.5409990	0.6231928	0.6259065	0.6151423	0.6649468	0.4359313	0.7020707	0.4276214	0.7370328	0.7765349	0.1837370	0.6848597	0.0288667	0.6899151	0.7480848	0.4838866	0.7988234	0.6386375	0.4816801	0.6522646	0.4342052	0.6837826	0.6915913	0.6253364	0.3004497	0.7663441	0.7878247	0.7298715	0.4390456	0.4824069	0.6857388	0.2657189	0.6317118	0.7241255	0.1407255	0.5648894	0.8013129	0.8025095	0.5629184	0.6332589	0.5500225	0.7095747	0.6051455	0.5304474	0.6929942
0.7630717	0.0403595	0.6621175	0.9490142	0.3777062	0.5387057	0.6631798	0.5437505	0.6216559	0.7823368	0.3186859	0.7952356	0.4602098	0.8324434	0.7800104	0.2019544	0.6521478	0.0615537	0.7621643	0.8179491	0.4695790	0.8377839	0.6575053	0.4577228	0.6642157	0.4765870	0.7184746	0.7790471	0.7123147	0.1960716	0.6821682	0.6817590	0.7941831	0.3666809	0.4028245	0.6912583	0.3201843	0.8313588	0.6881253	0.1484582	0.4856782	0.8430228	0.6781086	0.9760158	0.6337302	0.6518446	0.8108162	0.6543628	0.7762103	0.7142148
0.8804869	0.5951772	0.3475318	0.6894403	0.3623813	0.3899704	0.3004708	0.4097911	0.3847992	0.7618450	0.1450803	0.7030053	0.5641635	0.7001661	0.7953700	0.3488670	0.5201659	0.1762087	0.6249966	0.4817428	0.2925423	0.7522800	0.6950924	0.4063642	0.3164353	0.3684171	0.6841694	0.7011396	0.5982027	0.6043163	0.6679526	0.7000009	0.6010491	0.1430662	0.2608918	0.6446900	0.3335233	0.5536725	0.7259127	0.3727149	0.3702996	0.8624659	0.7173603	0.7155535	0.4302470	0.4706499	0.6284462	0.1746019	0.2608589	0.7295006
0.7879908	0.1281704	0.8669742	0.4166172	0.3672074	0.6523210	0.6520692	0.7022018	0.5716439	0.7497344	0.5038828	0.7050793	0.4924824	0.7471872	0.7899362	0.2137366	0.6176027	0.0620300	0.8070095	0.8280354	0.5326975	0.8272736	0.8229599	0.4789438	0.6335149	0.4845374	0.7201654	0.7393343	0.7864676	0.1683677	0.6800064	0.7905411	0.9017166	0.5428295	0.6093483	0.7038800	0.3375649	0.7660403	0.7405793	0.1625396	0.4656630	0.7797156	0.8014439	0.9213594	0.7211708	0.7049001	0.7595071	0.6017040	0.5698306	0.6631891
0.6959007	0.2092430	0.7581043	0.7606471	0.1571011	0.4033770	0.5178092	0.5226820	0.5696168	0.7324250	0.3026958	0.7045499	0.4672784	0.7592117	0.8324344	0.3060335	0.7320858	0.1023668	0.7306201	0.7199575	0.4498925	0.6753695	0.5485105	0.3275419	0.5441629	0.3596389	0.8166166	0.6659086	0.8954441	0.3985237	0.7470568	0.7244152	0.7819222	0.2811020	0.4313833	0.7228368	0.2899865	0.6574835	0.8050795	0.1972122	0.5519688	0.6027167	0.8317006	0.7169778	0.6374951	0.5922704	0.6189667	0.4342942	0.4778125	0.7691968
0.8210824	0.1250996	0.7168360	0.5748988	0.4475987	0.2125313	0.6886348	0.6679833	0.5217132	0.8482415	0.3225319	0.7361403	0.3939949	0.6959296	0.8177332	0.2584180	0.5960408	0.0684481	0.7193876	0.7599254	0.4694776	0.7414619	0.8049167	0.4859802	0.5601389	0.4201454	0.6321829	0.7665815	0.7722604	0.2326058	0.6499407	0.7298820	0.6343641	0.3215554	0.6050567	0.7635579	0.2557170	0.6639953	0.8335304	0.1556158	0.5013265	0.8783705	0.7598416	0.8497582	0.6732702	0.6419408	0.7784245	0.6183704	0.5083023	0.7638291
0.7325151	0.0916422	0.7966584	0.7845495	0.4235609	0.4528058	0.3664098	0.6518856	0.6106367	0.7527046	0.3613214	0.8934006	0.5979754	0.5743223	0.6763207	0.3142816	0.6874393	0.0608188	0.7578678	0.6313062	0.5121371	0.8187210	0.6976507	0.5850004	0.7050936	0.4743519	0.8986169	0.6838800	0.6831112	0.2020010	0.6488451	0.7118434	0.7280090	0.3760433	0.4763170	0.7670583	0.3157305	0.8800588	0.7002405	0.1297363	0.5930997	0.6320198	0.7615863	0.9086670	0.5946373	0.6677761	0.6580224	0.7188244	0.5860533	0.8002652
0.6730807	0.0948991	0.7822755	0.6994584	0.3605708	0.5461070	0.7251035	0.3290294	0.5662260	0.8452689	0.4961559	0.6558154	0.4873483	0.6132249	0.6932761	0.1838746	0.5217976	0.0911127	0.7534711	0.7072358	0.5109050	0.7322023	0.7410791	0.4547036	0.5559750	0.4009405	0.7268163	0.7403743	0.8149636	0.1948271	0.6499193	0.7632834	0.7140153	0.4084980	0.4593422	0.7099832	0.3187966	0.7837919	0.7191004	0.1516400	0.5435679	0.7241275	0.6367416	0.7656921	0.6252771	0.7015422	0.6522739	0.5778670	0.5343371	0.7953642
0.8075203	0.1340039	0.7881462	0.7439520	0.3435775	0.6089113	0.7890331	0.7399121	0.4159407	0.6658524	0.4476871	0.7584781	0.4853675	0.6894264	0.6464997	0.1927045	0.7621511	0.0688016	0.7731711	0.8354371	0.4416622	0.6425934	0.7327414	0.3154222	0.6355817	0.4180320	0.6847490	0.7656212	0.7698301	0.2131759	0.6977463	0.7584345	0.7036190	0.3604923	0.6406618	0.7977893	0.4373391	0.7031242	0.6900749	0.1166559	0.4636610	0.7176990	0.8585550	0.8178328	0.6952129	0.6818504	0.8070398	0.6090631	0.4240980	0.6762767
0.7603305	0.0941280	0.7382057	0.7725096	0.3552585	0.5045054	0.5782737	0.5108040	0.6373476	0.3816940	0.4168551	0.7406188	0.4600017	0.7170290	0.6608330	0.2698110	0.6634019	0.0915808	0.7851439	0.7255885	0.4981722	0.7185970	0.6353036	0.3621487	0.5882956	0.3933123	0.9552151	0.8573096	0.7396122	0.2128486	0.6528595	0.7306667	0.8265263	0.3924026	0.3839603	0.6770837	0.5730104	0.7216409	0.6299723	0.1466921	0.5670975	0.8057235	0.6969319	0.6909751	0.6929710	0.6981213	0.6462045	0.4687256	0.5201514	0.7364129
