pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.0000000	0.1517539	0.7017903	0.6309897	0.3726908	0.5569785	0.6904685	0.5940003	0.5643055	0.7619427	0.3419276	0.6470096	0.4797076	0.8728569	0.7495002	0.2222481	0.6174205	0.0475206	0.6726715	0.6388322	0.4407330	0.7539247	0.7121655	0.3735182	0.5668246	0.2865153	0.7985391	0.7880187	0.7125859	0.2903869	0.7195098	0.6981919	0.6192515	0.3998850	0.3434900	0.9375016	0.3829104	0.8411796	0.7676423	0.1569655	0.4811292	0.7004955	0.7058152	0.5436699	0.6460601	0.6866781	0.8349925	0.5863860	0.4471306	0.7252051
0.8017681	0.0000000	0.7191173	0.7103895	0.4262863	0.5710522	0.8553164	0.5312639	0.5617492	0.7088767	0.4589872	0.6154098	0.5370644	0.6821328	0.7690538	0.2189910	0.6632016	0.0518685	0.6733313	0.8240503	0.4973088	0.7429556	0.8044461	0.5288701	0.6182041	0.4169052	0.6245602	0.6769500	0.7005179	0.1680941	0.6854191	0.7656650	0.6612735	0.3071066	0.5373049	0.8064943	0.4121702	0.7214577	0.7076380	0.1938108	0.5154611	0.8480604	0.6148582	0.6726358	0.6294234	0.7179419	0.6554828	0.6560733	0.5682156	0.6765419
0.6828692	0.8054775	0.0000000	0.0571053	0.0006222	0.0162640	0.0090179	0.1081817	0.0797994	0.7008875	0.0013157	0.0251142	0.3113592	0.0335974	0.0639609	0.6548621	0.0681246	0.6720069	0.0081991	0.0037593	0.0422075	0.0259539	0.0621559	0.0647290	0.0199454	0.0293980	0.0064980	0.0508448	0.0337916	0.6489809	0.0245570	0.0024373	0.0475985	0.0008191	0.0038557	0.0074248	0.3757877	0.0375669	0.0270040	0.8000490	0.1338766	0.1893828	0.0095177	0.0441618	0.0124785	0.0276283	0.0943542	0.0281655	0.0021803	0.0054444
0.6822648	0.0994502	0.7617055	0.0000000	0.4193910	0.6038299	0.6638923	0.6102306	0.5886844	0.8535341	0.4453549	0.8282255	0.5205807	0.7927322	0.7577563	0.2760154	0.7376384	0.0562234	0.7492451	0.7437369	0.4730862	0.6982985	0.6029489	0.4350662	0.4950460	0.5930498	0.8212418	0.6932148	0.6566755	0.2184269	0.6677829	0.8317388	0.7006548	0.4048338	0.3548262	0.9545445	0.3884427	0.7661134	0.7191238	0.1204420	0.5794647	0.7136703	0.7361145	0.6853504	0.6908337	0.5977718	0.7730170	0.6551049	0.5163498	0.6833594
0.8082510	0.1190068	0.8811605	0.7019994	0.0000000	0.5263231	0.6087801	0.6889964	0.6494280	0.7352736	0.3634670	0.6036511	0.5806462	0.8032410	0.5472152	0.1828768	0.6476896	0.0728830	0.6989778	0.7666540	0.5482664	0.6560650	0.0496062	0.4687630	0.7157211	0.4555728	0.7514371	0.6970695	0.6614728	0.2353371	0.6690921	0.7204374	0.7531761	0.4143657	0.4380915	0.6499552	0.3861719	0.6861701	0.7392681	0.0990737	0.5062486	0.8374099	0.6670272	0.6913836	0.6396771	0.8039527	0.6670449	0.5843130	0.5035114	0.7133999
0.6689448	0.1028912	0.6697028	0.8325097	0.4679928	0.0000000	0.7630492	0.6197714	0.5311393	0.7200194	0.3532884	0.7132826	0.4736485	0.6923800	0.6547109	0.2415232	0.6268683	0.0379685	0.6894459	0.6953963	0.5623279	0.7091564	0.7164160	0.4148413	0.6363474	0.4230970	0.7787950	0.0662210	0.7641261	0.2006675	0.7946816	0.6850576	0.7478565	0.3504922	0.4446456	0.8356649	0.3858127	0.6006611	0.6462589	0.1514330	0.5158699	0.9101030	0.9396897	0.6244457	0.7071350	0.5683729	0.8091358	0.4789952	0.4948952	0.6910955
0.7586904	0.1815926	0.7852485	0.7401888	0.3230949	0.5373718	0.0000000	0.4794708	0.7046742	0.7202371	0.2497832	0.7106678	0.5915830	0.8130872	0.9009074	0.2510987	0.6484961	0.0974600	0.6291321	0.7606339	0.4261167	0.7590429	0.6794353	0.6182819	0.5565808	0.4488214	0.6309449	0.8218931	0.7776729	0.2961406	0.8122047	0.6970316	0.6560473	0.3470049	0.4029188	0.7566540	0.2935430	0.7795456	0.7636082	0.2244245	0.4897961	0.6760398	0.7102738	0.7069019	0.5820882	0.7956929	0.6014064	0.4734839	0.6192274	0.7290779
0.6842608	0.2196681	0.8038914	0.7901042	0.3879825	0.5392813	0.6179145	0.0000000	0.5984391	0.7903562	0.2100241	0.8929462	0.4574063	0.7216265	0.6914206	0.3266307	0.5866472	0.0690158	0.8752105	0.6732814	0.5236110	0.6431337	0.8435157	0.4738167	0.7281347	0.4263266	0.7522984	0.7936567	0.8343191	0.3255527	0.8206418	0.6546061	0.7658981	0.4130492	0.4058767	0.8382926	0.3206753	0.8393250	0.6414678	0.1605572	0.4852035	0.1101144	0.7161643	0.0207927	0.5668592	0.6888342	0.7669180	0.4135520	0.4651109	0.7913337
0.7180474	0.1210935	0.7670276	0.7685917	0.3566491	0.6859504	0.5947533	0.6052945	0.0000000	0.7502241	0.3552998	0.6920306	0.4985639	0.0063972	0.8939489	0.1906897	0.6082392	0.0597609	0.7044724	0.8148546	0.4665276	0.6215742	0.6835127	0.5114577	0.6063998	0.3781739	0.8346271	0.7978467	0.6942469	0.2204179	0.6838878	0.7747475	0.7464092	0.3293087	0.5696207	0.6975318	0.4495201	0.7050648	0.6916270	0.1161346	0.5057376	0.6700053	0.6775512	0.7100409	0.5304849	0.6194687	0.4386698	0.5220938	0.0026879	0.7486218
0.6940298	0.1022767	0.8467212	0.7654616	0.6446195	0.4569167	0.6673949	0.6077555	0.5547342	0.0000000	0.3130361	0.6563931	0.4254142	0.7751877	0.7249710	0.2696575	0.5136095	0.0994143	0.7966625	0.7289208	0.5282566	0.7480431	0.7626732	0.4577202	0.5782973	0.5128204	0.6347616	0.6841240	0.7776479	0.2461146	0.7327110	0.7721341	0.6346975	0.4288551	0.4334464	0.7708290	0.8099556	0.6686554	0.6919944	0.0910833	0.4781871	0.8804958	0.7772389	0.6366663	0.6705658	0.6965953	0.8661769	0.5747441	0.5657807	0.7366072
0.6950032	0.1396272	0.6937921	0.7272425	0.4234339	0.5291416	0.5976697	0.6831454	0.5303090	0.6135310	0.0000000	0.8043445	0.5247562	0.7471167	0.6658350	0.2401373	0.6926771	0.0686652	0.7158029	0.7637701	0.4371693	0.7634262	0.6865737	0.3812778	0.5517241	0.3368189	0.6745982	0.7492987	0.7586591	0.2908006	0.8727863	0.6834623	0.6853645	0.3383910	0.4995390	0.7492397	0.3227574	0.5567248	0.7978188	0.1771547	0.4829100	0.8661834	0.7773037	0.7243836	0.7144382	0.7269223	0.6789038	0.7050882	0.5359322	0.9024750
0.8518990	0.1381544	0.8274659	0.7987652	0.3386466	0.4853233	0.5335973	0.6036698	0.6097394	0.5992059	0.3124639	0.0000000	0.3960375	0.7873639	0.8519053	0.2363185	0.6890823	0.0397314	0.7832106	0.6693118	0.5392443	0.7961326	0.7343554	0.4749902	0.6254854	0.4061568	0.5222309	0.7721043	0.8430447	0.3147801	0.9582096	0.8276383	0.5911777	0.4468438	0.4257324	0.7162293	0.3211853	0.7821403	0.6284017	0.1586181	0.4366516	0.7196995	0.7404486	0.7634431	0.7649176	0.6223685	0.7625208	0.3892365	0.4577972	0.6924548
0.6858359	0.0940903	0.6187361	0.8045999	0.3808541	0.6421724	0.6507712	0.5726943	0.4582867	0.7388954	0.4515235	0.8167041	0.0000000	0.6563264	0.7510023	0.2530039	0.7048340	0.0575162	0.7634271	0.6743435	0.6267078	0.6626635	0.7711898	0.3786103	0.6160775	0.4063464	0.7484092	0.7366346	0.7142731	0.1677094	0.8749825	0.7917964	0.7284826	0.5177566	0.4264553	0.6162259	0.3933266	0.7178451	0.7673284	0.1258960	0.5121605	0.7256819	0.6228827	0.6449256	0.6920271	0.7303103	0.6176030	0.6505026	0.6042865	0.7916081
0.7674966	0.1037689	0.9113496	0.7797182	0.3560819	0.4583590	0.5123340	0.5124901	0.6313990	0.6078831	0.4322546	0.6585583	0.5509417	0.0000000	0.7356443	0.2576566	0.5880785	0.0312349	0.6691128	0.6885185	0.4827431	0.6536457	0.7102994	0.3936981	0.5318225	0.4483918	0.7627965	0.8543231	0.7656384	0.2161353	0.7193546	0.8205561	0.7027820	0.4011466	0.3822759	0.7493586	0.3570637	0.8511173	0.6440080	0.1319318	0.5661939	0.8131987	0.7664567	0.6337847	0.7497906	0.5822596	0.8312545	0.5848167	0.5243712	0.7079523
0.7746676	0.0496813	0.8627402	0.8064374	0.3967500	0.5318288	0.5278643	0.6139245	0.6743950	0.8068232	0.2728035	0.6693586	0.3793880	0.7586901	0.0000000	0.2080274	0.6793965	0.0393276	0.6998607	0.7330486	0.5061736	0.6286225	0.6992528	0.3925843	0.6046127	0.3894800	0.6598328	0.8468435	0.7790421	0.2554240	0.6910393	0.7138953	0.8796248	0.5666637	0.4392014	0.7193719	0.3764869	0.6678646	0.7019660	0.1444186	0.4912551	0.6660004	0.8630188	0.7380134	0.7095992	0.6555063	0.7268813	0.5244419	0.6071682	0.7697858
0.8335848	0.1804137	0.7676181	0.6419594	0.4081690	0.5238424	0.4920882	0.6565924	0.6525823	0.7413515	0.3992532	0.7573893	0.6398495	0.7687040	0.7334479	0.0000000	0.7285982	0.0788402	0.8088229	0.7989011	0.5358797	0.7202201	0.7629191	0.4213485	0.6359543	0.4333814	0.6721068	0.7834783	0.6358543	0.3034770	0.7703290	0.7162191	0.8293167	0.4535497	0.3780889	0.7567501	0.4148373	0.6294299	0.9037890	0.1916801	0.4758618	0.7967260	0.8897396	0.6721826	0.6181491	0.6667285	0.7316664	0.5222632	0.5223379	0.7368624
0.8401728	0.1671936	0.9103615	0.7231570	0.4172001	0.4552224	0.4763212	0.5432583	0.5509105	0.8105393	0.4588116	0.6354932	0.4725196	0.7401202	0.6144484	0.2342756	0.0000000	0.0597009	0.7841215	0.7643950	0.4517701	0.8277135	0.7476431	0.3979029	0.4608004	0.4022195	0.5805895	0.7010462	0.5879278	0.2124928	0.6818763	0.8542801	0.6954160	0.5139768	0.4337432	0.7157886	0.2699911	0.6391340	0.8547812	0.1283395	0.5443468	0.6404477	0.7340667	0.8355420	0.7349745	0.6568747	0.7372684	0.6245209	0.4676791	0.6853183
0.7468001	0.1241879	0.6794415	0.7192286	0.4002018	0.6486614	0.5370118	0.6526927	0.5962631	0.6373577	0.3661711	0.7456774	0.5161356	0.7140745	0.7484162	0.2326987	0.7522669	0.0000000	0.7524944	0.7224621	0.4876523	0.7719855	0.8320765	0.4582554	0.5236727	0.4335813	0.8076890	0.8018527	0.8314769	0.1858336	0.8595799	0.7153869	0.5979561	0.4329416	0.4030902	0.7604537	0.4007963	0.7218276	0.7115550	0.1689113	0.5280303	0.6341022	0.6957770	0.7317779	0.6135277	0.6335583	0.6423777	0.6740963	0.5422161	0.8803779
0.8929977	0.0829061	0.7351704	0.7281337	0.3953146	0.5760040	0.5584550	0.6676550	0.5719067	0.6596667	0.5763110	0.7042775	0.4891700	0.7338257	0.6706420	0.1633460	0.6116791	0.0524542	0.0000000	0.8449229	0.5140996	0.7138638	0.7519830	0.3478652	0.4786850	0.4911127	0.7648469	0.7631843	0.6820617	0.1866267	0.7939262	0.7113099	0.6942954	0.4799902	0.5976215	0.6144969	0.3060173	0.8304602	0.7927260	0.1158446	0.4742127	0.7347297	0.6833338	0.6278933	0.5788344	0.7845646	0.7509013	0.7014695	0.5857335	0.7635445
