pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.6572319	0.1113036	0.5559464	0.6950924	0.0906481	0.5486298	0.6072165	0.4982677	0.5188136	0.4161864	0.4861677	0.7685754	0.6832042	0.8450327	0.8244638	0.2426450	0.6226209	0.0645390	0.7488325	0.7888826	0.5032424	0.7700750	0.6775462	0.3961800	0.6588462	0.5300613	0.6876370	0.6744709	0.7505960	0.2662694	0.7374636	0.6937063	0.5855700	0.4771370	0.3877433	0.7148542	0.5017381	0.6450341	0.7443434	0.1705408	0.5730887	0.5964112	0.6562300	0.6529916	0.7718375	0.6735537	0.8070303	0.6148188	0.5371458	0.8060161
0.7586965	0.0963995	0.7547801	0.7437002	0.3244233	0.5921968	0.5650327	0.5316398	0.5283535	0.6121054	0.3259716	0.5999029	0.2664567	0.7539835	0.8150779	0.2961228	0.6818856	0.0156760	0.8288985	0.7536926	0.5555969	0.6966901	0.7291409	0.4576989	0.6023051	0.7408959	0.7493874	0.6654429	0.6777624	0.1750060	0.5782115	0.5577212	0.5930317	0.3374312	0.4193379	0.7148269	0.3963596	0.8635219	0.6175355	0.2302148	0.4806957	0.8918254	0.7234524	0.7315737	0.7566730	0.6422782	0.7456245	0.5589353	0.5358174	0.7000296
0.7250915	0.0935127	0.7340672	0.7893188	0.1044910	0.6096742	0.5249934	0.5610386	0.5411575	0.8893865	0.4674299	0.7703167	0.5590860	0.6863921	0.7176429	0.2493543	0.6006677	0.0132999	0.8256752	0.7207491	0.5644102	0.7789592	0.6093273	0.4990850	0.4969987	0.4196285	0.5985109	0.7473709	0.6434246	0.2629733	0.7964059	0.6859222	0.6528603	0.3691636	0.4739483	0.6855215	0.3912375	0.8424184	0.8520649	0.1277831	0.4712848	0.6324644	0.8262767	0.6821219	0.6956158	0.6935099	0.8426809	0.4219086	0.4494942	0.7980222
0.6894075	0.1148905	0.6852552	0.5542228	0.1662237	0.5079070	0.6264326	0.5695359	0.5010387	0.7916281	0.4075868	0.6526465	0.3338789	0.6858909	0.6616524	0.2161220	0.6889286	0.0092095	0.8218404	0.6925423	0.6815966	0.6673533	1.0000000	0.3920588	0.7060757	0.3910519	0.6520971	0.7110631	0.6155558	0.1785000	0.6589257	0.8741823	0.6876669	0.4314049	0.5666328	0.8145942	0.3163136	0.7014172	0.6901168	0.1022014	0.4752139	0.9963770	0.6785395	0.7028481	0.6655952	0.6821599	0.7597504	0.6584277	0.4987709	0.6556402
0.5712491	0.0616455	0.7183926	0.7602832	0.4083901	0.4642338	0.7000457	0.5519785	0.6522715	0.6117907	0.3601463	0.7589124	0.6396802	0.7013072	0.6587137	0.1673267	0.7740614	0.0375307	0.6296495	0.7042762	0.4815234	0.8517609	0.8020502	0.4672285	0.6133121	0.4739923	0.7471469	0.7539088	0.7363451	0.2038282	0.6739783	0.6813663	0.7493263	0.5713023	0.5569387	0.8047948	0.3555524	0.7553337	0.7198092	0.1082166	0.4131247	0.6633961	0.6745546	0.6712709	0.7878297	0.6418078	0.7193627	0.5541469	0.6312279	0.6609785
0.8154023	0.0746326	0.6727777	0.7169241	0.3644356	0.5072551	0.5577685	0.5354552	0.6298100	0.6590313	0.4140832	0.6830613	0.5382399	0.8139978	0.8863216	0.1398336	0.5319450	0.0380958	0.7986787	0.8040029	0.5779656	0.6903261	0.7124995	0.3491849	0.8053583	0.4842210	0.7521990	0.6799889	0.6922429	0.1728164	0.7001523	0.7331386	0.6973637	0.4254518	0.4061046	0.6968742	0.2139284	0.6718202	0.7284037	0.1075897	0.4943073	0.6454573	0.6535257	0.6634958	0.6312596	0.7708081	0.5768518	0.5586106	0.5675839	0.7039035
0.7923349	0.1059959	0.7293008	0.7076431	0.3119708	0.5204341	0.5757906	0.5329732	0.5078658	0.3445046	0.4283676	0.8027496	0.1806299	0.7737216	0.7737043	0.2162706	0.6373585	0.0094782	0.6494630	0.6724392	0.7271916	0.7385651	0.8649359	0.6327275	0.6261504	0.6946867	0.6066685	0.7356981	0.6033500	0.0818129	0.5987663	0.7012888	0.7170964	0.6345705	0.5425211	0.7700674	0.5896522	0.7389278	0.6383972	0.1169941	0.5396647	0.9452276	0.6694663	0.7413872	0.5785174	0.6878728	0.7999756	0.5490358	0.6099787	0.6463704
0.6553458	0.1195333	0.6923696	0.7548743	0.3253391	0.5464856	0.6355063	0.6171685	0.7268006	0.7544681	0.3645176	0.7322652	0.4737271	0.7025942	0.7162922	0.2081020	0.6394970	0.0270092	0.6617454	0.7257154	0.4098317	0.6178065	0.6569150	0.6721404	0.6653833	0.3679933	0.6557840	0.7440382	0.7398452	0.2134853	0.6627706	0.6429467	0.6399852	0.4734691	0.4284532	0.7957544	0.2087982	0.6909374	0.7785884	0.1562885	0.5619685	0.6016686	0.8021246	0.7445199	0.6256664	0.7468686	0.7687929	0.5213616	0.6313457	0.7879595
0.6515878	0.1262711	0.5838913	0.7344700	0.2394003	0.5055909	0.6922083	0.5904562	0.5513220	0.3073305	0.2889522	0.6925300	0.6017426	0.8291847	0.7965261	0.3375293	0.6667783	0.0469837	0.8198875	0.7085302	0.6163952	0.6356544	0.7881205	0.3425800	0.5767352	0.3725245	0.6275529	0.6170376	0.6487653	0.2370203	0.6600157	0.6602540	0.6926499	0.3695886	0.5074941	0.7574340	0.5490909	0.7480001	0.7578578	0.1965094	0.4012727	0.8805487	0.6150324	0.6341298	0.6649014	0.5091122	0.5039274	0.5225125	0.4835122	0.6846811
0.7480456	0.0849150	0.7021089	0.8276962	0.5053153	0.5108656	0.6808511	0.6399952	0.7013878	0.7382138	0.4433197	0.7105509	0.3474641	0.7138005	0.8097966	0.2607359	0.6680316	0.0892149	0.7418243	0.7952874	0.4552582	0.7325482	0.7642164	0.4906162	0.7634311	0.4059981	0.6650311	0.8193563	0.8651356	0.2533832	0.7725672	0.7152975	0.6665367	0.4794427	0.5088852	0.6835585	0.2992289	0.7036301	0.7655060	0.0924042	0.5788273	0.7358473	0.7151487	0.6949825	0.5720226	0.5491757	0.5250016	0.6758354	0.4924091	0.7689965
