pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.5272097	0.1588749	0.9461214	1.0538901	0.4711345	0.7325640	0.7979060	0.7708769	0.8688565	0.9592695	0.5530485	1.0203712	0.6062745	1.0289530	1.0055960	0.3223234	0.8594137	0.0731030	1.0214499	1.0659314	0.6311186	1.0616944	0.9251573	0.5674496	0.8091522	0.5855182	0.9992759	0.9936079	0.9641141	0.3218968	0.9446359	1.0026205	0.9364388	0.5397971	0.6345186	0.9952405	0.4084106	0.9458923	1.0148581	0.2212277	0.7118866	1.0223185	1.0105362	0.9335516	0.8395612	0.8297554	0.9241898	0.7945777	0.7224214	0.9231101
0.9720075	0.0631435	0.9656659	0.9387497	0.4972130	0.7073284	0.8890115	0.7935492	0.8564065	1.0372544	0.4912071	0.9567953	0.6255334	1.0173153	0.9993035	0.3083719	0.8577415	0.0641680	0.9977841	1.0600471	0.6921556	1.0006265	1.0997407	0.5367633	0.8216224	0.6250330	0.9850880	1.0180137	1.0076613	0.3104535	0.9054455	1.0071763	0.9625975	0.5406022	0.5924747	1.0121844	0.4697959	0.9900440	0.9627779	0.2199867	0.7114650	1.0126599	0.9907907	1.1227647	0.8620750	0.9166535	1.1083702	0.8495337	0.8193773	0.9733417
1.0591097	0.7175020	0.5233542	0.9839190	0.4822820	0.5188921	0.4741014	0.5579450	0.5996941	0.9970303	0.1629964	1.0166368	0.7575542	1.0234911	1.0216017	0.4638781	0.7404922	0.2760481	0.7940318	0.9677219	0.4004889	1.0104150	0.9628773	0.5470359	0.5201999	0.3805471	0.9930606	1.0041494	0.9309072	0.8382574	0.8744642	0.9815292	0.8233903	0.2769813	0.3481742	0.9049834	0.4992164	0.7615264	0.9869101	0.5490409	0.5259911	1.0689295	1.0211738	0.9281134	0.7323298	0.6999001	0.9373832	0.2290255	0.3731370	0.9759550
1.0138810	0.1367868	1.0888466	0.5529985	0.4788570	0.7455222	0.9357237	0.8730698	0.8669649	0.9535657	0.6004039	0.9852159	0.6707058	1.0059910	1.0196959	0.2800518	0.8551168	0.0628357	1.0583201	0.9610677	0.6919376	1.0410975	1.0558203	0.5832790	0.8568594	0.5714581	0.9120022	0.9643343	0.9832128	0.2051136	0.9708391	0.9553607	1.0858454	0.6215456	0.7293329	0.9894141	0.4842082	1.0193540	1.0336170	0.1811055	0.7347544	1.1005140	1.0184166	1.0672211	0.9030868	0.9885196	1.0182297	0.8556662	0.7181934	0.9639932
0.9295761	0.2705200	1.0423156	0.9285475	0.2440083	0.6627224	0.7683709	0.8100132	0.8226260	0.9713929	0.3791921	0.9240417	0.6625439	1.0187056	0.9766018	0.3695250	0.8998100	0.1212896	0.9671143	0.9394412	0.6008202	0.9883459	0.8416093	0.5019189	0.7476957	0.5789063	0.9900538	1.0649589	1.0536455	0.4967917	0.9568357	0.9421235	0.9663175	0.4207392	0.5298937	0.9927885	0.5082517	0.9700112	1.0618327	0.2838510	0.6276815	0.9973190	0.9823394	0.9686902	0.8785428	0.8815622	0.8971138	0.5940928	0.7006224	1.0117511
1.0104584	0.1560485	0.9809940	1.0055119	0.4810073	0.2920910	0.8654262	0.8664950	0.7857950	1.0107780	0.4543004	1.0473597	0.6213379	1.0050394	1.1049750	0.3556008	0.8840287	0.0922079	0.9712100	1.0608865	0.6315353	0.9916027	0.9036356	0.5734078	0.8349962	0.6049698	0.9180446	1.0496657	0.9840367	0.3445412	0.9417915	0.9480690	0.9440796	0.4936078	0.6207972	1.0477460	0.4671508	0.9985689	1.1070766	0.1975360	0.6643512	1.0571315	1.0410221	1.0112367	0.8796595	0.9074823	1.0296616	0.7447293	0.7184335	1.0216337
1.0516150	0.1586663	1.0127343	1.0088591	0.5676578	0.8065620	0.4440226	0.7855755	0.7674077	1.0516934	0.5739618	1.0855729	0.7612213	0.9807917	0.9967715	0.3312273	0.8885222	0.0868653	0.9772448	0.9494496	0.7038826	1.0975109	0.9471242	0.8308367	0.9408916	0.6049221	1.0668934	1.0143319	1.0159009	0.2889276	0.9540448	1.0283744	0.9273437	0.5921682	0.6344261	0.9687247	0.4495632	1.0588284	1.0170954	0.1726707	0.7464230	0.9836600	1.0074367	1.0848856	0.9177938	0.8866118	0.9026081	0.8257444	0.7404570	1.0324477
0.9978177	0.1523840	1.0307691	0.9357355	0.5341971	0.7368685	0.9604710	0.4171846	0.8508773	1.1252961	0.5620175	0.9285158	0.6658700	1.0098602	0.9922430	0.2732048	0.8463331	0.0814386	0.8972093	1.0041151	0.6630670	1.0429062	1.0152398	0.5276395	0.7524139	0.5783889	0.9653259	0.9810524	0.9409439	0.2996515	1.0037088	0.9618506	0.9649258	0.5494448	0.6428699	1.0939858	0.5093757	1.0162900	0.9233313	0.1921520	0.7190640	0.9967093	1.0058792	0.9780027	0.9021882	0.9249974	0.9634223	0.8049855	0.7824691	1.0275080
1.0729063	0.1145929	1.0307932	0.9963577	0.4680998	0.7141441	0.9552418	0.8920349	0.4521596	1.0326402	0.6324578	0.9479670	0.6811783	1.0267475	0.9431606	0.2774968	0.9040732	0.0793322	1.0168047	1.0172317	0.7083133	0.9576396	1.0083647	0.4970794	0.8485781	0.5702566	0.9784210	1.0469817	1.0419012	0.3082394	1.0109817	0.9876562	1.0249137	0.5319561	0.7047150	1.0498312	0.5999405	1.0042780	0.9772967	0.1541861	0.6974862	1.0095603	1.0368398	1.0586818	0.9690090	0.9168196	0.9878094	0.8083387	0.5155585	1.0281838
1.0323518	0.1544376	0.9658908	0.9673237	0.5190143	0.7496549	0.8311860	0.6978231	0.8260357	0.5273637	0.4872675	0.9934200	0.6074346	0.9948914	1.0161419	0.2995297	0.9212253	0.0814907	1.0549856	1.0111566	0.6997806	0.9622870	0.9718711	0.4695047	0.7518591	0.5876756	1.0579713	1.0471329	0.9689840	0.3199314	0.9963544	0.9304716	1.0022118	0.5005896	0.6625208	1.0371316	0.8004176	1.0123171	0.9834293	0.2127909	0.7187035	1.0322371	1.0132311	0.9546872	0.8324867	0.9409131	0.9875064	0.7236485	0.7500226	1.0299740
