pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.0000000	0.1792158	0.9180260	0.9733979	0.4957175	0.7116752	0.8682011	0.7945765	0.8045003	0.9912588	0.4551513	0.8807772	0.6551324	1.0528696	1.0248452	0.3614893	0.8224509	0.0968271	0.9350868	0.9791590	0.6507196	1.0282544	0.9487084	0.5549815	0.8264574	0.5019790	0.9927274	0.9609753	1.0254338	0.3396491	1.0164896	1.0135493	0.8854955	0.5559393	0.5517301	1.0632836	0.5363916	1.0121368	1.0293544	0.2275683	0.7081967	1.0154373	0.9189346	0.9052702	0.8887448	0.9395099	1.0156856	0.7321704	0.7405894	0.9807043
1.0495136	0.0000000	1.0348432	1.0527512	0.5170610	0.6974899	0.8778222	0.8491747	0.7651280	0.9252436	0.5201688	0.9859600	0.6929676	1.0645305	1.0794053	0.3106757	0.9262198	0.0833294	0.9304095	1.1170339	0.6921205	1.0563549	0.9785438	0.6141548	0.7821995	0.5941605	0.9564110	0.9977724	1.0315515	0.3308069	0.9905179	0.9700463	0.8891814	0.4854040	0.6334538	1.0230384	0.5320986	0.9228438	1.0050517	0.1941077	0.6987374	1.0756647	1.0209756	0.9701623	0.8648422	0.9646320	0.9721331	0.7623611	0.7986227	0.9978321
0.9880602	1.0430772	0.0000000	0.1102564	0.0017895	0.0165389	0.0325505	0.0939657	0.0868674	1.0045658	0.0017522	0.0278589	0.5126054	0.0202508	0.0509869	1.0233901	0.0788478	0.9487579	0.0136929	0.0083659	0.0603657	0.0351437	0.0704774	0.0710756	0.0239800	0.0261188	0.0126101	0.0783688	0.0316709	0.9922737	0.0499510	0.0029820	0.0672405	0.0016154	0.0088383	0.0145324	0.5228611	0.0568721	0.0379572	1.0711461	0.1587802	0.2293698	0.0227784	0.0367809	0.0198295	0.0501280	0.1017152	0.0541888	0.0020482	0.0079091
0.9892795	0.1273974	0.9938667	0.0000000	0.5331004	0.6850232	0.8927905	0.8655164	0.8435138	1.0028087	0.5747952	0.9642947	0.6544999	1.0073763	0.9964762	0.2943202	0.9203691	0.0560102	1.0062176	1.0603734	0.6834361	1.0101806	1.0084628	0.6218084	0.7181621	0.6501065	0.9949344	0.9963187	1.0580631	0.3036382	0.9830881	0.9728700	0.9401201	0.5673192	0.5690637	1.1019635	0.5134716	1.1071164	1.0149530	0.1826128	0.7137051	0.9803136	1.0063134	1.0378164	0.8935851	0.9589272	0.9867904	0.8036402	0.7463230	0.9493817
1.0830529	0.1365070	1.0871193	1.0481737	0.0000000	0.7354742	0.9252859	0.8803751	0.7912214	0.9441913	0.5004571	0.9896098	0.6609208	1.1081046	0.9848089	0.2985147	0.8917188	0.0715549	0.9237728	1.1062240	0.7130571	1.0057621	0.0554014	0.5780278	0.8487440	0.5524027	0.9903834	1.0122944	0.9744071	0.3040323	0.9835752	1.0184580	0.9594218	0.6113296	0.6012749	0.9893479	0.4946662	1.0521708	1.0128642	0.1643694	0.6942064	1.1467441	0.9592331	0.9685090	0.8638198	0.9680803	0.9256924	0.8116716	0.7533791	0.9240205
1.0085461	0.1730439	1.0226348	0.9631000	0.5159855	0.0000000	0.8835043	0.7804355	0.7417982	1.0600850	0.4960254	0.9918952	0.7165498	0.9152248	1.0035717	0.2994105	0.8533639	0.0827379	0.9565629	0.9281375	0.7119129	1.0499635	0.9380346	0.6451217	0.7428808	0.5285912	0.9854741	0.0979005	1.0429981	0.3183430	1.0097523	0.9767968	1.0415235	0.5446537	0.5727327	0.9992904	0.4827444	0.9418361	1.0213515	0.2225672	0.6667879	1.0359061	1.1217661	0.9833756	0.8564796	0.8876961	0.9407537	0.7270348	0.6889984	1.0107351
1.0733349	0.2269072	1.0674865	1.0405293	0.4652413	0.6954840	0.0000000	0.8146631	0.8041650	0.9760952	0.3818594	1.0879694	0.9061648	1.0735432	1.0998997	0.3675261	0.9043178	0.0888865	0.9593530	1.0295524	0.5591155	0.9681317	1.0177525	0.9128374	0.8185691	0.5786679	0.9319861	1.0126909	1.0025876	0.3539233	1.0588944	0.9793807	0.8783239	0.5288563	0.6071063	0.9672943	0.4987425	0.9989899	1.0372717	0.2555213	0.6019791	0.9964557	1.0360270	0.9892630	0.8997245	0.9101498	0.9275109	0.6645845	0.7833775	1.0381055
0.9486388	0.2736427	1.0188695	1.0530531	0.5168454	0.7060536	0.8054212	0.0000000	0.7786292	1.0375685	0.3794780	1.0928213	0.6611126	1.0211789	0.9662469	0.3751639	0.7837232	0.0891303	1.0442426	0.9329128	0.6283570	0.9904623	1.0472993	0.5654550	0.7700917	0.6070127	0.9291834	1.0664252	1.0120517	0.4189347	1.0240905	1.0142318	0.9363438	0.4696934	0.5660774	1.0464874	0.5577455	1.0034945	0.9917629	0.2470065	0.6266718	0.0840826	1.0248137	0.0489206	0.8493438	0.9187648	0.9945146	0.6483825	0.6245933	0.9355907
0.9756877	0.1573794	1.1053378	1.0213945	0.5206096	0.6909046	0.8902477	0.8368296	0.0000000	0.9880854	0.5023208	0.9430933	0.6223576	0.0103568	1.0877717	0.3301150	0.8782772	0.0628823	1.0042014	0.9752317	0.7013244	0.9767416	0.9926171	0.6431732	0.8455190	0.5510371	0.9432095	1.0339300	1.0027921	0.3129702	0.9201621	0.9728955	0.9051955	0.5096636	0.6617231	1.0113800	0.4709925	0.9986026	1.0288958	0.1646634	0.6365390	1.0335845	1.0172988	0.9894938	0.8065195	0.8794957	0.5871299	0.6955036	0.0049331	1.0268330
0.9868727	0.1580615	0.9993457	0.9995482	1.0211097	0.6388243	0.8894545	0.8354942	0.8015730	0.0000000	0.4673811	0.9943339	0.6129206	1.0433715	1.0745885	0.3984532	0.8537333	0.1034944	0.9958795	1.0778752	0.6993860	1.0652873	1.0552161	0.5488420	0.8498606	0.6512123	1.0157712	0.9091877	1.0627407	0.3473814	1.0676901	0.9212644	1.0139070	0.5661877	0.5774025	1.0039524	1.0817823	0.9932025	0.9659511	0.1355710	0.6169762	0.9961663	1.0390764	0.9847092	0.9163232	0.8838536	0.9564758	0.7442012	0.7300970	1.0198835
