pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0247906	0.1364087	0.9297397	0.9620032	0.1171451	0.7304760	0.8625540	0.7278013	0.6726079	0.5571280	0.6364176	1.0034841	0.9586634	1.0122098	1.0220417	0.3404739	0.8114829	0.0790876	0.9501078	1.0249787	0.6293105	0.9852552	0.8942001	0.6600005	0.9244185	0.7192627	0.9967614	0.9351762	0.9476029	0.3126691	0.9532293	1.0024731	0.8357816	0.5654416	0.5952789	0.9696941	0.8415810	0.9274922	0.9372384	0.1736844	0.7327413	0.8370456	1.0032257	0.9286977	0.9857883	0.8374431	1.0063026	0.7201880	0.7573849	1.0439047
1.0402448	0.2060415	1.0092915	1.0233797	0.4357648	0.7282152	0.7462964	0.8306478	0.7387924	0.7377317	0.4991941	0.9039216	0.3230489	1.0725013	1.0118731	0.3267293	0.8249593	0.0201786	0.9645305	0.9614212	0.6340710	0.9639780	1.0279948	0.6464668	0.8639660	0.8542124	1.0024047	0.9146057	0.9759999	0.2717779	0.9402539	0.9112891	0.9262743	0.5070659	0.6172171	1.0539291	0.4374928	1.0208991	1.0253129	0.2348524	0.5634376	1.0444407	0.9690067	0.9897099	0.9220402	1.0497980	0.9877981	0.6512295	0.6909162	0.9825997
0.9470481	0.1144802	1.0887637	1.0411925	0.1633589	0.7720416	0.8324640	0.7910959	0.7089456	1.0145035	0.6539557	1.0229988	0.6500477	1.0552179	1.0149888	0.2928399	0.9317924	0.0236376	1.0322942	1.0166851	0.6888714	1.0219439	0.9280807	0.8150512	0.7551558	0.6009159	0.9671675	1.0625093	0.9597771	0.3816427	1.0016526	0.9617085	0.9151323	0.5054976	0.6538942	0.9662040	0.5381927	0.9948884	1.0236879	0.1430936	0.6924114	0.8841618	1.0233777	1.0993978	0.9370783	0.9781512	0.9961217	0.6413016	0.6969121	1.1014308
1.0460385	0.1531980	0.9925639	0.8666854	0.1789754	0.7095923	0.8629479	0.7597027	0.6423944	0.8115681	0.5587138	0.9075097	0.4643362	0.9885189	0.9513019	0.3120506	0.8361145	0.0137439	0.9535998	0.9230550	0.8451732	0.9240415	1.0061916	0.5051004	0.8213158	0.5428438	0.9274230	0.9981742	0.9432381	0.2211886	0.9775698	1.0354815	0.9179996	0.6084597	0.6974973	1.0218282	0.4528066	0.9612750	0.8484866	0.1928936	0.6388079	0.9860738	0.9669663	0.9756705	0.9523173	0.9830906	0.9524509	0.8405261	0.7129897	0.9964226
0.8939090	0.0926650	0.9964290	1.0173357	0.5882629	0.6340607	0.9697220	0.7968275	0.8354729	0.9137540	0.4530802	0.9527825	0.8784783	0.9737793	0.9667784	0.2367948	0.8233620	0.0449931	0.8914112	0.9501415	0.6313497	1.0602260	1.0457978	0.5682350	0.8043067	0.5781008	0.9923996	0.9561031	0.9040864	0.2706362	0.8631686	0.9833797	0.9734299	0.6002426	0.8330287	1.0684163	0.5112869	0.8963747	0.9455911	0.0992285	0.4865049	0.9882172	1.0034846	0.8618465	0.9467801	0.8955315	0.9626760	0.7657184	0.7948707	0.9471390
1.0026485	0.0992894	0.9943239	0.9356411	0.5050204	0.6336337	0.8287386	0.8504931	0.8101516	0.9940485	0.5681151	0.9707657	0.6826915	0.9935418	1.0692325	0.2315467	0.8336500	0.0483161	1.0683893	0.9433251	0.7349241	0.9883715	1.0328041	0.5774259	0.9126873	0.6552839	1.0780414	0.8804226	0.9878674	0.2111373	1.0174326	1.0129570	1.0109892	0.5656279	0.6642380	1.0205264	0.3735007	0.9050294	0.9739200	0.1643684	0.7820542	0.9178864	0.9551524	0.9545685	0.9833030	0.9249548	0.9194044	0.7844941	0.7528749	1.0130010
1.0878705	0.1705091	1.0656696	0.9730786	0.4109620	0.6819764	0.8014051	0.7865138	0.7158243	0.4940935	0.4742086	0.9815473	0.2684896	0.9859380	1.0347136	0.2620361	0.9005021	0.0116134	0.9252089	0.9455297	0.8902117	0.9410299	1.1057022	0.7969742	0.7985812	0.8310629	0.9547942	1.0540665	0.9247884	0.1071296	0.8995498	0.9461850	0.9128089	0.7032743	0.7066667	1.0737941	0.7789178	0.9686152	0.9112943	0.1519949	0.6988979	0.9520890	0.9830980	0.9461180	0.8569956	1.0067908	1.0583375	0.8321143	0.7604452	1.0258336
0.7820367	0.1536008	1.0268555	1.0569867	0.4768849	0.8263428	0.9340533	0.8081889	0.8657455	0.9556755	0.5265856	0.9877356	0.6665652	0.9499106	0.9316445	0.2829571	0.8735137	0.0270956	0.9369163	0.9410883	0.6515944	0.9554220	1.0538887	0.6718593	0.8641749	0.4718944	0.8953143	0.9358667	0.9724723	0.2895237	0.9371308	0.9589406	0.9312892	0.5831993	0.6276913	1.0355768	0.3556147	0.9125599	1.0243700	0.1655838	0.7556258	0.9742113	1.0054096	1.0330276	0.8807666	0.9240405	1.0484238	0.7035076	0.8370116	1.0331132
0.8058429	0.1903321	0.8791091	0.9507149	0.3438078	0.6514877	0.8786279	0.7094068	0.6346372	0.5918694	0.4156176	0.9939577	0.7713961	1.0041545	1.0424333	0.3633891	0.8502860	0.0631545	1.0497691	0.9912729	0.7500829	0.9364969	0.9530557	0.5138464	0.7345499	0.5160685	1.0581594	0.8906110	0.9519510	0.2912282	0.9599443	0.9340763	0.9242393	0.5103636	0.6808151	0.9945130	0.7869416	0.9897138	0.9520567	0.2396552	0.5728529	0.9009576	0.9746933	0.9993392	0.9453828	0.7818138	0.8398653	0.6830951	0.6928433	0.9898586
1.0849149	0.1146365	1.0459823	1.0050693	0.6157243	0.7164646	0.8570690	0.9423522	0.8380659	0.9787789	0.5750784	0.9813895	0.4934729	0.9871671	1.0642864	0.2666933	0.8277848	0.1101647	1.0709975	1.0332172	0.6354300	1.0339687	0.9994363	0.7376597	0.9089416	0.5916820	1.0003041	0.9607581	1.0279163	0.2894609	1.0276541	0.9456614	0.8183508	0.6824046	0.6435934	0.9644530	0.3661771	0.9108025	1.0346553	0.1173484	0.8593671	0.9648376	0.9574507	0.9850478	0.8598146	0.8437015	0.9141847	0.9152190	0.7621525	0.9985303
