pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.5245091	0.1533252	1.0372748	0.9889325	0.5355382	0.7716374	0.8213727	0.7138768	0.8949589	1.0367043	0.5644468	1.0480504	0.7199287	1.0948283	1.0818867	0.2953323	0.7798850	0.0832402	1.0661830	0.9900299	0.6243312	1.0115277	0.9348723	0.5470814	0.7964661	0.5952453	0.9148108	0.9727688	0.9878666	0.3163422	0.9658918	1.0655523	0.8876556	0.5550093	0.6174470	1.0567111	0.4209657	1.0061574	1.0055789	0.2108201	0.6957837	1.0052147	0.9866214	1.0466687	0.9125126	0.8610827	0.9055714	0.7113354	0.7259533	1.0497607
0.9925912	0.1030162	1.0984231	0.9224562	0.5673318	0.7425748	0.8491214	0.8397886	0.8708751	1.0747079	0.5369944	0.9591699	0.6088317	1.0125010	0.9953526	0.3064260	0.8857760	0.0570529	1.0230653	1.0280989	0.7296641	1.0288138	1.0557094	0.5727779	0.7881098	0.5469531	1.0424681	1.0595879	0.9461513	0.3204785	0.9804822	0.9662884	0.9502133	0.5355053	0.6027267	0.9930958	0.5025892	0.9171162	0.9503159	0.2153190	0.8070095	0.9779699	0.9838346	1.1011434	0.8313861	0.9128477	1.0408237	0.7982919	0.8249311	1.0496742
1.0628566	0.7312170	0.5947573	0.9778858	0.5034071	0.5714085	0.4590332	0.5399687	0.5205294	0.9518440	0.1189921	0.9357932	0.7659618	1.0461110	0.9200986	0.5386783	0.7788988	0.2924995	0.8429831	0.9997633	0.3867761	0.9611253	0.9695091	0.6013362	0.4670076	0.4395143	0.9492210	1.0335950	0.9693499	0.8091993	0.8910972	0.9647721	0.7970204	0.2270167	0.3312128	0.9317900	0.4907993	0.7360404	1.0050688	0.6502080	0.4352336	0.9782215	0.9284283	1.0494257	0.6861414	0.6459480	0.9251445	0.2292530	0.3717038	1.0081062
1.0415509	0.1200915	1.1525177	0.4814364	0.5238298	0.6764056	0.8888947	0.9195035	0.8736946	1.0275048	0.4992947	0.9479759	0.7129303	0.9581328	0.9608726	0.3249524	0.8199898	0.0833169	1.0491685	0.9568883	0.6942921	1.0459389	1.0322952	0.6623584	0.7397325	0.5536498	1.0872449	1.0860314	1.0248490	0.3244138	0.9741801	0.9162605	1.0039182	0.5936362	0.7328193	1.0207440	0.5440364	1.0136168	1.0258969	0.1721228	0.6873495	1.0799758	0.9325269	0.9548477	0.8746441	0.9038287	1.0978231	0.8034960	0.6691505	1.0978678
1.0160703	0.1821825	0.8034234	0.8837252	0.2596955	0.6448650	0.8405481	0.8160162	0.8376519	1.0365623	0.4384557	0.9661485	0.6887093	1.1373120	0.9746972	0.3446391	0.8933140	0.1188873	1.1091652	0.9229112	0.6610855	0.9752737	0.9296771	0.4867500	0.6964081	0.6424444	0.9739908	1.0557284	0.9944881	0.3491244	1.0872627	0.9431441	1.0574103	0.5145559	0.5689940	1.0680962	0.4765628	0.9531184	1.0071971	0.2105486	0.7803348	1.0171326	1.0448699	0.9576969	0.8627680	0.8964836	0.9951077	0.6032188	0.6914712	1.0717272
1.0835516	0.1546978	1.0468313	0.9753785	0.4946663	0.3484596	0.8444194	0.9009668	0.7856751	1.0919871	0.5082715	0.9752255	0.6044006	0.9884498	1.0205678	0.4123820	0.7909738	0.0703606	0.9570399	0.9647383	0.5737872	0.8866473	0.9640215	0.5782292	0.7458594	0.6645244	0.8395444	0.8768541	1.0518332	0.3249335	0.9555805	1.0095887	0.8002391	0.4713805	0.5565716	0.9996478	0.5224255	0.9368977	1.0657512	0.1920025	0.6958861	1.1011051	0.9667082	1.0455238	0.9317565	0.8755576	1.0220486	0.7519808	0.7552725	0.9854003
1.0399092	0.1885148	1.0270312	0.9159362	0.5496173	0.6880140	0.4340854	0.9054254	0.7705947	1.0988136	0.5690793	1.1007216	0.6943850	0.9404683	1.0126656	0.3114227	0.9346399	0.0871819	0.9410658	0.9822699	0.6597794	1.0720183	0.9717253	0.8056710	0.8014853	0.6107224	0.9182119	0.9951823	0.9465705	0.3441345	0.9033630	1.1272421	0.9766644	0.5686143	0.5565242	0.9857790	0.4387181	0.9938832	0.9873715	0.2004915	0.6830803	1.0089523	0.9746253	1.0627083	0.9592056	0.8971571	0.9545190	0.7487026	0.7285843	1.0363650
0.9509120	0.1617877	1.0396380	1.0388087	0.5432319	0.7219631	0.8888893	0.3827680	0.9175381	0.9912948	0.4671721	0.9946665	0.5734083	1.0604004	0.9037656	0.3082148	0.7777026	0.0820875	0.9834664	0.8679552	0.5877335	1.0267501	1.0146909	0.5282705	0.7343320	0.5279234	0.9780161	0.9987187	0.9825830	0.3197383	0.9244165	1.0005254	0.9441096	0.5851247	0.6172277	1.0785975	0.5431084	0.9803942	0.9449557	0.1640029	0.6766133	0.9543477	0.9059590	1.0335410	0.8028859	0.9618706	0.9383222	0.7912627	0.7140554	0.9546958
0.9710398	0.1394368	1.0969297	0.9870100	0.4511408	0.7194697	0.9846361	0.9357173	0.4346230	0.9252938	0.6947272	0.9862882	0.7372711	1.0991431	0.9800773	0.2859523	0.9225031	0.0973858	1.0584348	1.0942765	0.7391844	0.9128955	0.8718724	0.5289374	0.7556625	0.5875795	0.9820057	1.0466876	0.9357164	0.3166727	0.9057544	1.0716142	0.9976295	0.5317101	0.7263353	1.0003752	0.5027328	0.9358123	0.9538264	0.1877405	0.7458167	1.0381511	0.9551432	1.0343810	0.9492851	0.8957010	0.9198738	0.7999480	0.5486497	0.9765776
0.9801163	0.1707460	0.8966078	0.8586104	0.5860163	0.7806930	0.8503993	0.7510410	0.7440882	0.4882348	0.4771975	0.9587632	0.5960060	1.0686919	1.0182723	0.3182489	0.9856560	0.0706740	0.9880244	0.8818251	0.7936740	0.9851007	0.9561540	0.4379849	0.8481718	0.5936973	0.9803011	1.0351999	0.9813167	0.3418016	0.9825753	0.9388323	1.0455049	0.5129337	0.5690460	1.0427241	0.7651250	0.9834391	0.9646842	0.1710403	0.6901886	0.9685711	0.9861621	1.0710966	0.8571874	0.9727133	1.0669359	0.7310298	0.7423178	1.0033795
