pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.0000000	0.1977755	0.9523520	0.9787130	0.4477326	0.6350192	0.8947941	0.7793771	0.8337625	1.0550150	0.5073988	0.9538748	0.6210885	0.9655703	1.0062599	0.2949042	0.8581193	0.0989420	0.9622893	1.0299771	0.7137791	1.0101889	0.9242253	0.5996540	0.8155025	0.5419130	0.9338327	0.9758400	1.0195733	0.3887794	0.9965798	1.0604629	0.9797229	0.5364986	0.6857291	1.0029653	0.4953277	1.0786207	1.0445845	0.2518537	0.6735052	0.9677781	0.9544761	1.0003044	0.9722573	1.0244734	1.0402765	0.7469241	0.7692627	0.9776869
1.0202501	0.0000000	0.9792493	1.0661730	0.5773042	0.6985457	0.8686826	0.9040100	0.8369079	0.9453550	0.5312674	0.8642936	0.7169715	1.0850471	1.0700043	0.3369465	0.9176181	0.0716899	0.9941782	1.0220705	0.6328488	1.0817659	1.0385472	0.5833045	0.7540681	0.5832928	1.0393000	1.0426298	0.9792783	0.3101449	0.9597487	1.0150880	0.9415025	0.5470280	0.6663300	1.0398522	0.5421287	1.0128034	1.0006573	0.1785515	0.7158981	1.1000115	0.9333298	0.9061882	0.8005440	0.9995390	1.0477030	0.7554388	0.7225115	1.0885054
0.9365321	1.0660678	0.0000000	0.1052494	0.0037766	0.0240382	0.0385542	0.0988706	0.1034976	1.0301280	0.0007275	0.0216503	0.5737768	0.0234146	0.0544910	1.0363416	0.0748284	0.9763311	0.0200381	0.0054877	0.0728207	0.0481417	0.0701308	0.0750446	0.0261237	0.0296848	0.0180104	0.0920879	0.0312428	0.9965553	0.0500709	0.0031958	0.0537621	0.0019188	0.0127208	0.0088804	0.5338492	0.0554146	0.0321854	1.1245104	0.1208018	0.1723119	0.0281815	0.0615607	0.0090548	0.0482021	0.1131848	0.0418075	0.0012298	0.0055921
0.9350475	0.1460918	1.0126818	0.0000000	0.4994512	0.6630544	0.8175291	0.8099604	0.8103689	0.9217659	0.5407152	0.9768503	0.6018826	0.9509681	0.9907008	0.3429490	0.8884217	0.0737070	1.0533131	1.0071543	0.7009925	1.0406148	0.9446518	0.6281646	0.7380147	0.6378495	0.9109408	1.0048061	1.0661677	0.3313083	0.9561284	0.9260593	0.9629949	0.5154539	0.6433585	1.1246616	0.5366193	1.1578748	1.0773707	0.1785005	0.7186945	0.9924896	1.0474789	1.0995547	0.9369081	1.0360955	0.8951690	0.8628620	0.7279058	0.9630116
1.0765245	0.1557783	1.1043024	0.9965091	0.0000000	0.6583496	0.9128416	0.8641891	0.8540122	1.0389572	0.5071004	1.1425091	0.6761770	1.1542369	0.9286715	0.3043266	0.9120562	0.0951008	1.0553600	1.0619480	0.7752577	0.9733371	0.0551257	0.6086092	0.7779860	0.6605992	0.9801995	1.0730198	0.9229129	0.3207471	0.9281105	1.0964205	0.9157800	0.5686764	0.6026665	0.9814805	0.5226638	1.0316403	1.0566060	0.1621958	0.6513904	1.1186968	0.9523043	1.0100744	0.8230485	0.9083549	1.0518665	0.8242676	0.7823989	0.9358606
1.0617363	0.1946021	0.9424992	0.9830796	0.5181026	0.0000000	0.7446666	0.8178403	0.7276884	0.9482216	0.5060354	1.0376899	0.6202776	0.8959471	0.9619250	0.2691812	0.8386713	0.0866066	0.9887220	0.9925156	0.6972511	1.0218444	0.9871663	0.6208009	0.7735581	0.5438076	0.9273470	0.1041660	1.0932813	0.3215261	0.9835000	0.8981684	0.9804818	0.4861198	0.6579278	0.9981907	0.4627975	0.8783788	1.1959591	0.2605351	0.6125508	1.0360982	1.0988984	1.0482276	0.9020989	0.9547587	1.0311296	0.6739526	0.6711756	1.0592699
1.0655525	0.2718874	0.9420781	1.0276240	0.4483469	0.6922710	0.0000000	0.8315091	0.9330716	1.0310493	0.4783385	1.0359004	0.9909498	1.1082545	1.0103210	0.3541141	0.8544124	0.0850394	0.9520811	1.0575962	0.5519169	1.0276706	0.9374364	0.8900210	0.8139294	0.5240271	0.9440984	1.0369688	0.9890115	0.3115332	0.9797175	1.0167903	0.8824457	0.5264622	0.6762198	1.0050625	0.4679176	0.9879092	0.9372587	0.2633081	0.6176322	1.0497332	1.0177483	0.9990532	0.8998775	0.8778130	0.9294162	0.6585642	0.7722006	1.0355713
0.9423190	0.2629715	0.9276908	1.0661989	0.4801899	0.6213111	0.7691375	0.0000000	0.7487522	1.0048892	0.4114808	1.0567248	0.6566997	1.0609178	0.9529532	0.3222597	0.7621188	0.0816406	0.9820045	1.1131774	0.7451720	0.9714002	1.0964962	0.5277701	0.7194832	0.5791266	1.0068234	0.9464342	1.0261436	0.4202197	1.0091037	1.0867104	0.9416895	0.4501196	0.5003098	1.1423507	0.5359888	0.9674524	1.0924169	0.2321388	0.5623581	0.0855228	0.9418607	0.0289571	0.9050402	0.8626831	0.9463649	0.6163736	0.7237020	0.9858536
0.9681749	0.1897527	1.0270104	0.9831016	0.5451800	0.7211848	0.8038890	0.8089973	0.0000000	1.0622639	0.5187151	1.0183059	0.6669659	0.0221326	1.0908582	0.3648443	0.9366048	0.0785149	0.9390506	1.0153006	0.6656369	0.9230859	1.0289104	0.6844546	0.8645913	0.5898939	0.8964672	1.0688037	0.9813478	0.3927216	0.9340084	0.9725696	0.9923211	0.5208544	0.6218513	0.9149731	0.5081570	1.0258075	1.1025012	0.2114798	0.6251788	1.1016988	1.0344450	0.9036186	0.8959033	0.9683694	0.5543783	0.6140576	0.0100620	1.0274130
1.0658097	0.1722005	0.9709255	0.8960696	1.0103555	0.5912671	0.8229989	0.8899894	0.7980457	0.0000000	0.5193878	0.9855347	0.6699396	1.0090725	1.0323472	0.3094128	0.8274173	0.0946570	0.9831650	1.0887328	0.7429071	1.0733583	1.0122309	0.5091764	0.8960732	0.6024977	0.9828098	0.9690804	1.0423414	0.3296516	1.0283910	0.9422972	1.0553192	0.5774987	0.6730987	0.9926618	1.0548505	1.0232880	1.1066730	0.1744609	0.6567753	1.0752664	1.0178603	1.0281926	0.8667630	0.8317066	0.9720443	0.8039272	0.7483161	1.0381855
