pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.9944354	0.1738279	0.9577664	0.9679779	0.1793118	0.6980692	0.7552737	0.7349470	0.6360349	0.6148694	0.5956639	1.0710634	0.8056051	1.0885261	0.9518281	0.3060106	0.7765359	0.1039541	1.0453991	0.9531107	0.6542224	1.0004556	0.9765889	0.7192427	0.8341436	0.7587203	0.9866336	0.8757367	0.9615714	0.2898320	0.9722178	1.0142236	0.8466450	0.4919371	0.6431538	0.9198477	0.8662350	0.9368655	0.9558960	0.1621745	0.7040076	0.8771112	0.9784443	0.9954250	0.9314251	0.7617259	1.0085892	0.7324327	0.7641684	1.0346793
0.9676672	0.1920991	0.9647491	0.9914774	0.3734018	0.6417993	0.7903594	0.8019827	0.6887744	0.8189474	0.4712113	0.8842301	0.3358319	1.0747216	1.0078819	0.3728864	0.8873952	0.0308017	1.0167684	0.9060195	0.5725654	0.9025676	1.0711114	0.6953645	0.8072815	0.8682332	0.9675464	1.0277098	1.0412470	0.3292696	0.8212776	0.9586026	0.9209805	0.5085474	0.6287568	0.9882588	0.4926523	1.0549926	1.1348076	0.2284572	0.6335507	1.0532457	1.0464195	0.9464589	0.9179537	1.0585609	1.0196191	0.7141547	0.6930370	0.9743637
0.8798029	0.1165349	0.9470962	0.9496037	0.1508299	0.6837161	0.8832382	0.8620202	0.6217999	0.9658053	0.6088750	1.0076677	0.5944004	0.9947753	0.9751475	0.3251927	0.9754731	0.0098442	1.0144368	1.0991375	0.7215430	0.9903593	0.9057963	0.7781018	0.8782585	0.5551642	0.8901064	0.9377131	0.9376011	0.3303708	1.0285817	0.9197704	0.9438755	0.5744243	0.6248105	1.0397164	0.4580536	0.9778516	1.0669558	0.1474298	0.6884904	0.9122013	1.0304163	1.1231350	0.9822389	1.0158615	1.0267542	0.7641907	0.7433440	1.0045082
1.1085810	0.1425913	1.0200199	0.9006295	0.1873895	0.7566919	0.8801716	0.7337562	0.5773131	0.7668788	0.5309321	1.0497716	0.5060799	0.9990255	0.9394070	0.3253764	0.8387548	0.0232428	0.9481963	0.9095742	0.8436419	0.8923661	1.0986523	0.4420856	0.7508425	0.5123319	0.9628500	0.9809856	0.9584501	0.2754181	0.9470511	1.0489905	0.9445413	0.5719800	0.6638694	0.9658448	0.4869085	0.9285423	0.8946945	0.1959949	0.6044626	1.0774385	0.9704726	0.9715432	0.9154392	0.9812760	1.0135115	0.7784349	0.6400020	1.0236319
0.9404375	0.1028220	1.0304699	1.0011774	0.6193577	0.6167993	0.8889180	0.8575091	0.9447474	1.0437175	0.5218340	0.9941873	0.8887429	0.9392429	1.0950365	0.2626348	0.8206079	0.0570640	1.0077931	0.8541647	0.6434401	1.0610872	1.0941665	0.5908123	0.8524324	0.5126696	0.9253315	1.0206781	0.9515702	0.3487446	0.9690185	0.8632600	0.9343842	0.6392573	0.8913239	1.0440531	0.5218572	0.9240419	0.9068222	0.1143879	0.5824722	1.0154269	1.0148127	0.9909757	0.9751365	0.8768775	0.9571338	0.7135031	0.7474494	1.0531904
1.0391781	0.1402932	1.0472078	0.9865644	0.5502854	0.7480716	0.8148523	0.8381956	0.8256624	0.9990606	0.5577928	0.9489148	0.7288442	1.0166086	1.1197968	0.2687130	0.8340210	0.0436101	1.0336877	0.9652657	0.6849830	0.9755262	1.0337429	0.6165401	0.8946638	0.6277070	0.9765563	0.9246049	0.9314240	0.2350620	1.0918562	1.0929066	1.0386311	0.5722840	0.6159004	0.9500968	0.3444371	0.8967623	1.0400410	0.1698511	0.6794583	0.8954194	0.9472194	1.0855990	0.9154279	0.8957111	0.9181957	0.7845593	0.7979908	0.9888892
1.0613980	0.2196422	1.0519388	0.9694652	0.4476165	0.7278737	0.8479165	0.8404041	0.6278857	0.5300587	0.5295469	0.9632312	0.3311564	1.0128456	0.9071759	0.3117242	0.8456847	0.0220423	1.0130135	1.0366865	0.8685869	0.9113597	1.0724490	0.8014288	0.7792699	0.7765736	0.9907257	1.0749046	0.9070725	0.1240652	0.9082587	0.9799948	0.9803105	0.6552482	0.6022283	0.9816514	0.8688623	0.8219981	1.0273719	0.1730910	0.6221157	0.9863762	1.0672805	0.8970995	0.8002875	0.9675383	1.0921527	0.7965595	0.8275939	1.0626478
0.8263129	0.2021428	1.1096159	1.0653462	0.4831914	0.8413219	0.7962911	0.8372320	0.8272868	0.9173208	0.5456334	1.0363248	0.5991575	0.9605574	0.9577515	0.3124425	0.8682979	0.0209928	0.9548021	0.9480763	0.7030876	1.0027744	0.9627462	0.6782026	0.7657198	0.5413355	0.9415911	1.0139913	0.9230534	0.2577780	0.9192871	1.0175785	0.9306150	0.5519550	0.5554125	1.0288604	0.4002596	0.8460254	0.9039836	0.1895253	0.7792946	0.9848071	1.1036915	1.0115903	0.8965184	0.9052752	0.9509744	0.7087573	0.8311384	1.0143465
0.8278051	0.1819960	0.8273098	0.9615805	0.3276246	0.5422422	0.8097585	0.6710590	0.6549240	0.5580568	0.3989512	0.9427699	0.7702246	0.9949127	1.0403622	0.3739228	0.7872589	0.0352280	0.9466271	0.8833203	0.7489066	0.9642117	0.8867308	0.5551201	0.7960332	0.5305526	1.0383043	0.8852800	0.9572775	0.2797998	0.8403880	1.0173482	0.9815594	0.4974160	0.5881455	0.9114508	0.8377150	0.9130979	1.0087021	0.2661981	0.5675871	0.9208400	0.9500754	1.0428179	0.9061814	0.7518912	0.7420476	0.6287271	0.7955663	0.9769632
1.0702803	0.1159611	1.0685616	1.0084742	0.6097664	0.7160270	0.7953081	0.9550954	0.9794002	1.0550165	0.4602664	0.9088577	0.4465937	0.9725006	0.9986531	0.2685521	0.7859081	0.1088063	0.9892379	1.1009277	0.6182938	1.0867469	1.0163724	0.7480322	0.8211824	0.5551602	1.0127404	1.0090410	0.9359404	0.3135097	0.8930780	0.8859792	0.8254930	0.6811711	0.5787716	1.0426274	0.4075119	0.9778173	1.0257445	0.1266833	0.8731256	0.9261250	0.9927963	1.0321604	0.8210596	0.9051168	0.8606470	0.9160596	0.7523908	1.0052751
0.9972798	0.6109416	0.7504277	0.9693827	0.8406103	0.7731614	0.6030325	0.5757926	0.7271083	0.3212187	0.2488112	0.9734576	0.5437403	1.0061692	0.9585708	0.4200991	0.7705413	0.0496262	0.7960381	0.9940027	0.4847925	0.8282478	1.0074897	0.6963648	0.6444367	0.4730577	0.8697994	1.0504590	0.9600897	0.6118145	0.9109338	0.9894338	0.9298602	0.3131923	0.3796198	1.1017941	1.1456771	0.8778095	0.9814979	0.4137588	0.5926338	0.9011421	0.9797422	0.9024789	0.8185301	0.8678566	0.8788225	0.4760538	0.5438038	0.9488100
0.6326486	0.1133700	0.9934033	0.9306893	0.4532082	0.7086242	0.8829263	0.8087064	0.7592243	0.8258477	0.5031257	1.1178339	0.5825974	0.9609050	1.0725045	0.3374017	0.7745186	0.0703231	1.0765950	0.9370951	0.6811556	0.9817844	0.9797681	0.5989196	0.8841810	0.7688943	1.0072317	1.0797303	0.9220098	0.2607359	1.0062315	0.9855812	0.9163265	0.6332360	0.5953186	0.9878897	0.6082942	1.0534491	1.0376670	0.1605510	0.6211724	1.0301100	1.0379339	1.0910665	0.9382843	0.9013256	1.1963660	0.8128052	0.7386209	1.0300663
1.0788310	0.5525383	0.7051935	0.9193276	0.4677906	0.5492497	0.5179251	0.5821615	0.6158023	0.7169659	0.3936747	1.0445701	0.9461742	1.0939385	0.9380968	0.4258226	0.8775066	0.1905384	0.9010125	0.9906347	0.6089035	1.0440790	1.0496536	0.7145772	0.5985181	0.7369653	0.9884845	1.0262474	0.9267887	0.7081369	0.9707033	0.8395251	0.8703674	0.3157624	0.3909630	0.9967783	0.7700256	0.8443099	1.0861798	0.4580679	0.4157319	0.9724128	0.9802422	0.9519443	0.6748491	0.8977635	0.8701679	0.2861912	0.4780906	1.0475537
1.0647205	0.9087767	0.5218053	0.9892063	0.5395702	0.4797750	0.4595522	0.5468234	0.4922888	0.8911678	0.1120461	0.9948197	0.8426649	1.1018392	0.9863557	0.4081131	0.6891024	0.2722172	0.9687885	0.8596853	0.3176772	0.8232382	1.0351136	0.5299539	0.4066502	0.3547576	0.8899662	0.8474355	0.8568458	0.8672700	0.7186348	1.0171909	0.6752432	0.2911503	0.2396649	0.9004180	0.6544437	0.5949240	0.8790953	0.5791591	0.4917328	0.9046650	1.0835299	0.9149850	0.5585767	0.5368953	1.0621491	0.2284206	0.1865967	1.0679871
