pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0000000	0.2322833	0.8987373	0.9938128	0.1317476	0.7231317	0.8087828	0.7065131	0.6926601	0.5112220	0.5649145	0.9809256	0.9984569	0.9863043	0.9945827	0.3309250	0.7945767	0.0854153	0.9737222	0.9855023	0.5523709	0.9692473	0.9110185	0.5680462	0.8406202	0.7030347	0.9817796	0.9231267	0.9658809	0.3989616	0.9650341	0.9818647	0.8906356	0.4760454	0.5456136	0.9997014	0.8532744	0.9212794	0.9651667	0.2001247	0.6720078	0.9168822	0.9956001	0.9572501	0.8708881	0.8304014	0.9690876	0.6256847	0.6606682	0.9921502
1.0000000	0.2012798	0.9313725	0.9942508	0.4302138	0.6523691	0.7921543	0.8145656	0.6809163	0.7063759	0.4503722	0.9530341	0.3060682	0.9997574	0.9995445	0.3283981	0.8633135	0.0315611	0.9646814	0.9865349	0.5726196	0.9698977	0.9965341	0.6839163	0.8031789	0.7603575	0.9777977	0.9231104	0.9672047	0.3657404	0.9226347	0.9831388	0.9535960	0.5120905	0.5631206	0.9997220	0.5625288	0.9249850	0.9992771	0.2303522	0.5213478	0.9813116	0.9737975	0.9976220	0.8907568	0.9035377	0.9990704	0.6607587	0.6662191	0.9973155
0.8894364	0.0992929	1.0000000	0.9950159	0.1658542	0.6810646	0.8228613	0.7479991	0.6989438	1.0000000	0.6201996	0.9548692	0.6034402	0.9997879	0.9572436	0.3098136	0.8946728	0.0195394	0.9824639	0.9881198	0.7338850	0.9708933	0.9319813	0.7297392	0.7985747	0.5638849	0.9666711	0.9999469	0.9468403	0.3055172	0.9736214	0.9623342	0.9615983	0.5389159	0.6528501	0.9845253	0.4959789	0.9892750	0.9995172	0.1417218	0.6758977	0.9169031	0.9739351	0.9979675	0.8860816	0.9218253	0.9994616	0.7240884	0.7334219	0.9979730
1.0000000	0.1500965	1.0000000	0.8871266	0.2178014	0.7395620	0.8228613	0.7479990	0.6989269	0.7826398	0.5055211	0.9895675	0.4557264	0.9997582	0.9572436	0.3098136	0.8150528	0.0134840	0.9694308	0.9977303	0.8055015	0.9708933	0.9933432	0.5134587	0.7714569	0.5437330	0.9666710	0.9999675	0.9468403	0.2691602	0.9775276	0.9623332	0.9652973	0.5530972	0.6849123	0.9845253	0.4396006	0.9926666	0.9996353	0.1931430	0.5536469	0.9999417	0.9996903	0.9978996	0.9023490	0.9181754	0.9990128	0.7968563	0.6998870	0.9982944
0.8927556	0.1328460	1.0000000	0.9968924	0.5568062	0.6701533	0.8906457	0.7953106	0.8481720	1.0000000	0.5055211	0.9548697	0.8235694	0.9999027	0.9572440	0.2167382	0.8768552	0.0723697	0.9829109	0.9881199	0.6116771	0.9984000	0.9987054	0.5736538	0.7724400	0.5437367	0.9666724	0.9376273	0.9468403	0.3055172	0.9731242	0.9841782	0.9723111	0.5389159	0.7865127	0.9997989	0.4959790	0.9305138	0.9994950	0.1196989	0.5536473	0.9999571	0.9739394	0.9586889	0.9110257	0.9153199	0.8759803	0.7548052	0.7994687	0.9979795
1.0000000	0.1305617	1.0000000	0.9958736	0.4333255	0.6701533	0.8228613	0.7479992	0.8125760	1.0000000	0.5055211	0.9548693	0.6339356	0.9864848	0.9825828	0.2534886	0.8150531	0.0418427	0.9694314	0.9881198	0.6116764	0.9978265	0.9925243	0.6119759	0.8295958	0.6347790	0.9834467	0.9231375	0.9612138	0.2361211	0.9285374	0.9623365	0.9567434	0.5389159	0.5974655	0.9996789	0.3424869	0.9305136	0.9764745	0.1541235	0.7183287	0.9169071	0.9996778	0.9979731	0.9099704	0.9322346	0.8758652	0.7240884	0.7959587	0.9934103
1.0000000	0.1500965	1.0000000	0.8871260	0.3997555	0.6701533	0.8228613	0.7479990	0.6989194	0.4927646	0.5055211	0.9548692	0.2854448	0.9997995	0.9572436	0.2371651	0.8811820	0.0228545	0.9853190	0.9881198	0.8765955	0.9708932	0.9972323	0.7178409	0.7714569	0.7643780	0.9666709	0.9999691	0.9468403	0.1139900	0.9285374	0.9623329	0.9585634	0.6328360	0.6165213	0.9998651	0.8650548	0.9305136	0.9994482	0.1931430	0.7623902	0.9999464	0.9997666	0.9975069	0.8906415	0.9299033	0.9993726	0.8224724	0.7138325	0.9934103
0.8054898	0.1500965	1.0000000	0.9949817	0.4342915	0.7327225	0.8875722	0.8293051	0.8374945	1.0000000	0.5055211	0.9848277	0.6412947	0.9998886	0.9996088	0.3098136	0.8150529	0.0267725	0.9694309	0.9881198	0.6116763	0.9982599	0.9976797	0.5486766	0.7714569	0.5437332	0.9666711	0.9999657	0.9468403	0.3055172	0.9285374	0.9835412	0.9774193	0.5536814	0.5974654	0.9996893	0.3770910	0.9346085	0.9645145	0.1931430	0.7411804	0.9748853	0.9996887	0.9589336	0.9010592	0.8581402	0.9998156	0.7240884	0.8528866	0.9934103
0.8467949	0.1817150	0.8367544	0.9489529	0.3275320	0.6246221	0.8272337	0.6754148	0.6518699	0.6047345	0.3698923	0.9499219	0.7787689	0.9861617	0.9994818	0.3576616	0.7793770	0.0522000	0.9696129	0.9827966	0.6675957	0.9675372	0.9356120	0.4794682	0.7199387	0.4995451	0.9661008	0.9230454	0.9608575	0.3135282	0.9114662	0.9555339	0.9303814	0.4342596	0.5996817	0.9842987	0.7884378	0.9113021	0.9858768	0.2573028	0.6079118	0.9310803	0.9993819	0.9563090	0.8671514	0.8079982	0.8709428	0.6787604	0.6662725	0.9909581
1.0000000	0.1126633	1.0000000	0.9947102	0.6234754	0.7592248	0.8555000	0.8438003	0.8850261	1.0000000	0.5185744	0.9548693	0.3973730	0.9999098	0.9997608	0.3098136	0.8537237	0.0723697	0.9900136	0.9977903	0.6116764	0.9982125	0.9992784	0.7015279	0.8325089	0.5437341	0.9666714	0.9231588	0.9468403	0.3055172	0.9717264	0.9623365	0.9064600	0.6491726	0.5974655	0.9997256	0.4026279	0.9882534	0.9993874	0.1275724	0.7998943	0.9169333	0.9739362	0.9590292	0.8860820	0.8581436	0.8760661	0.8347457	0.7673425	0.9934103
