pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.0000023	0.1500965	1.0000000	0.9946346	0.5059768	0.6948194	0.8547831	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771914	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370747	0.9975933
1.0000000	0.0000034	1.0000000	0.9946346	0.5059768	0.6948194	0.8547831	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	1.0000000	0.0000000	0.1075092	0.0023782	0.0246664	0.0319219	0.0675059	0.0898191	1.0000000	0.0006704	0.0269193	0.5264817	0.0133676	0.0423601	0.9999999	0.0611596	0.9999989	0.0084196	0.0081579	0.0662545	0.0267928	0.0539665	0.0549006	0.0229993	0.0358904	0.0105298	0.0767972	0.0193226	1.0000000	0.0429817	0.0170554	0.0496770	0.0005368	0.0073955	0.0151322	0.4959789	0.0582284	0.0348348	1.0000000	0.1207531	0.1867031	0.0257128	0.0383064	0.0131522	0.0511916	0.1002105	0.0413191	0.0030613	0.0041834
1.0000000	0.1500965	1.0000000	0.0000034	0.5059768	0.6948194	0.8547831	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.0000000	0.6948194	0.8547831	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.0539963	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.5059768	0.0000018	0.8547831	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771915	0.0768008	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.5059768	0.6948194	0.0000042	0.8155050	0.7887261	1.0000000	0.5061912	0.9817865	0.9988852	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.9421971	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.5059768	0.6948194	0.8547831	0.0000000	0.7887261	1.0000000	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.0830503	0.9996459	0.0383147	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.5059768	0.6948194	0.8547831	0.8155050	0.0000039	1.0000000	0.5061912	0.9817865	0.6424347	0.0133679	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9979787	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.4959789	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.5645021	0.7654075	0.0030630	0.9975933
1.0000000	0.1500965	1.0000000	0.9946346	0.9997893	0.6948194	0.8547831	0.8155050	0.7887261	0.0000025	0.5061912	0.9817865	0.6424347	0.9998349	0.9996007	0.3098136	0.8762124	0.0723697	0.9778496	0.9962771	0.6779307	0.9976860	0.9993853	0.5488218	0.7944561	0.5796206	0.9771915	0.9999417	0.9661614	0.3055172	0.9715184	0.9793818	0.9561327	0.5394526	0.6048609	0.9996574	0.9999728	0.9887419	0.9993419	0.1931430	0.6744000	0.9999611	0.9996459	0.9971440	0.8992335	0.9093297	0.9749288	0.7654075	0.7370748	0.9975933
