pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0000000	0.2322669	0.8987389	0.9938133	0.1317338	0.7231363	0.8087965	0.7065150	0.6926787	0.5112303	0.5649583	0.9809263	0.9984569	0.9863045	0.9945828	0.3309208	0.7945790	0.0854045	0.9737259	0.9855045	0.5523736	0.9692474	0.9109747	0.5680407	0.8406295	0.7030424	0.9817860	0.9231267	0.9658813	0.3989215	0.9650391	0.9818659	0.8906478	0.4760614	0.5456282	0.9997014	0.8530283	0.9212826	0.9651691	0.2001067	0.6720135	0.9168830	0.9956004	0.9572510	0.8709009	0.8304146	0.9690911	0.6256949	0.6607800	0.9921508
1.0000000	0.2012560	0.9313757	0.9942517	0.4302095	0.6523787	0.7921761	0.8145684	0.6809473	0.7063889	0.4504712	0.9530359	0.3060541	0.9997576	0.9995445	0.3283908	0.8633173	0.0315542	0.9646878	0.9865380	0.5726244	0.9698979	0.9965349	0.6839096	0.8031986	0.7603583	0.9778095	0.9231104	0.9672054	0.3656791	0.9226450	0.9831404	0.9536088	0.5121161	0.5631448	0.9997220	0.5622675	0.9249897	0.9992775	0.2303219	0.5213593	0.9813121	0.9737999	0.9976225	0.8907742	0.9035535	0.9990723	0.6607758	0.6664073	0.9973163
0.8894366	0.0992946	1.0000000	0.9950159	0.1658583	0.6810650	0.8228626	0.7479991	0.6989670	1.0000000	0.6201682	0.9548704	0.6034387	0.9997881	0.9572462	0.3098136	0.8946727	0.0195530	0.9824633	0.9881213	0.7338849	0.9708933	0.9320183	0.7297387	0.7985744	0.5638880	0.9666796	0.9999469	0.9468404	0.3055172	0.9736211	0.9623367	0.9615972	0.5389159	0.6528482	0.9845253	0.4959789	0.9892750	0.9995171	0.1417242	0.6758977	0.9169088	0.9739407	0.9979676	0.8860828	0.9218239	0.9994603	0.7240885	0.7335534	0.9979729
1.0000000	0.1500965	1.0000000	0.8871287	0.2178003	0.7395617	0.8228617	0.7479990	0.6989374	0.7826495	0.5055211	0.9895674	0.4557260	0.9997583	0.9572444	0.3098136	0.8150529	0.0134901	0.9694312	0.9977302	0.8055014	0.9708933	0.9933463	0.5134584	0.7714573	0.5437355	0.9666747	0.9999675	0.9468403	0.2691613	0.9775273	0.9623342	0.9652967	0.5530971	0.6849112	0.9845253	0.4394570	0.9926666	0.9996353	0.1931430	0.5536471	0.9999417	0.9996903	0.9978996	0.9023489	0.9181750	0.9990132	0.7968563	0.6999586	0.9982944
0.8927600	0.1328507	1.0000000	0.9968914	0.5567984	0.6701593	0.8906325	0.7953109	0.8480959	1.0000000	0.5055223	0.9548809	0.8235661	0.9999025	0.9572676	0.2167498	0.8768551	0.0723697	0.9829057	0.9881298	0.6116781	0.9984000	0.9987038	0.5736602	0.7724517	0.5437869	0.9667162	0.9376278	0.9468412	0.3055172	0.9731225	0.9841736	0.9722895	0.5389160	0.7864423	0.9997989	0.4959790	0.9305328	0.9994946	0.1197324	0.5536580	0.9999572	0.9739787	0.9587034	0.9110168	0.9153150	0.8760645	0.7548057	0.7991840	0.9979793
1.0000000	0.1305636	1.0000000	0.9958734	0.4333286	0.6701552	0.8228653	0.7479994	0.8125622	1.0000000	0.5055215	0.9548729	0.6339311	0.9864851	0.9825860	0.2534905	0.8150542	0.0418622	0.9694345	0.9881237	0.6116767	0.9978265	0.9925272	0.6119739	0.8295894	0.6347499	0.9834350	0.9231376	0.9612138	0.2361379	0.9285546	0.9623428	0.9567431	0.5389159	0.5974664	0.9996789	0.3426550	0.9305196	0.9764971	0.1541292	0.7183277	0.9169233	0.9996778	0.9979733	0.9099675	0.9322278	0.8758954	0.7240889	0.7958928	0.9934113
1.0000000	0.1500965	1.0000000	0.8871267	0.3997383	0.6701533	0.8228614	0.7479990	0.6989241	0.4927733	0.5055211	0.9548693	0.2854446	0.9997996	0.9572438	0.2371652	0.8811820	0.0228566	0.9853188	0.9881201	0.8765954	0.9708933	0.9972302	0.7178408	0.7714570	0.7643731	0.9666725	0.9999691	0.9468403	0.1139920	0.9285383	0.9623333	0.9585633	0.6328355	0.6165213	0.9998651	0.8648049	0.9305138	0.9994482	0.1931430	0.7623902	0.9999464	0.9997666	0.9975069	0.8906416	0.9299030	0.9993727	0.8224723	0.7138643	0.9934103
0.8054902	0.1500965	1.0000000	0.9949817	0.4342923	0.7327216	0.8875709	0.8293051	0.8374818	1.0000000	0.5055212	0.9848276	0.6412962	0.9998886	0.9996088	0.3098136	0.8150532	0.0267842	0.9694321	0.9881213	0.6116763	0.9982599	0.9976802	0.5486773	0.7714583	0.5437402	0.9666796	0.9999657	0.9468404	0.3055172	0.9285439	0.9835406	0.9774153	0.5536808	0.5974657	0.9996893	0.3771468	0.9346102	0.9645284	0.1931430	0.7411800	0.9748870	0.9996887	0.9589350	0.9010590	0.8581458	0.9998126	0.7240885	0.8528412	0.9934106
0.8467949	0.1816936	0.8367571	0.9489546	0.3275270	0.6246321	0.8272536	0.6754183	0.6519013	0.6047413	0.3699993	0.9499236	0.7787612	0.9861622	0.9994818	0.3576540	0.7793813	0.0521805	0.9696201	0.9828014	0.6675995	0.9675375	0.9356138	0.4794607	0.7199672	0.4995757	0.9661245	0.9230454	0.9608583	0.3134706	0.9114784	0.9555377	0.9304026	0.4342869	0.5997025	0.9842988	0.7882230	0.9113098	0.9858782	0.2572652	0.6079228	0.9310810	0.9993823	0.9563110	0.8671732	0.8080235	0.8709521	0.6787753	0.6664489	0.9909596
1.0000000	0.1126669	1.0000000	0.9947102	0.6234703	0.7592197	0.8554999	0.8438002	0.8849707	1.0000000	0.5185657	0.9548729	0.3973761	0.9999097	0.9997608	0.3098136	0.8537241	0.0723697	0.9900090	0.9977895	0.6116767	0.9982125	0.9992775	0.7015279	0.8325020	0.5437529	0.9666908	0.9231589	0.9468405	0.3055172	0.9717263	0.9623428	0.9064850	0.6491594	0.5974664	0.9997256	0.4027301	0.9882535	0.9993873	0.1275821	0.7998914	0.9169495	0.9739512	0.9590335	0.8860855	0.8581589	0.8760953	0.8347449	0.7671273	0.9934113
