pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.3641703	0.0953212	0.7167922	0.7650756	0.4380391	0.5791743	0.6683566	0.6276844	0.6400956	0.7996103	0.4812890	0.8042366	0.5348034	0.7293355	0.8099062	0.2177617	0.6002157	0.0676222	0.8680404	0.6343887	0.4618642	0.7912596	0.8462950	0.4337538	0.5062404	0.3790681	0.6896820	0.6525278	0.7598664	0.2545043	0.5968836	0.7147432	0.6640539	0.4024223	0.4591169	0.6950871	0.2947259	0.7764139	0.7297549	0.1450960	0.5584910	0.7664626	0.7189879	0.7827133	0.6687070	0.6008140	0.5635682	0.5226077	0.4751854	0.8573945
0.6962114	0.0604180	0.6961939	0.7307625	0.5282040	0.5650919	0.6173026	0.5184930	0.5970660	0.7294564	0.3266087	0.6728533	0.4028003	0.8302359	0.6877422	0.1837308	0.6413117	0.0341455	0.7581837	0.8453601	0.4876629	0.8778601	0.8590715	0.4599700	0.5280464	0.4194632	0.7879946	0.7847717	0.7574119	0.2357604	0.7599652	0.6787491	0.6183907	0.4812749	0.4068194	0.7073965	0.3720413	0.6756172	0.7946324	0.1773854	0.6729795	0.6174515	0.6828937	0.9326433	0.5826064	0.5546380	0.8034713	0.6012123	0.7245630	0.6837597
0.7917572	0.4806711	0.4239320	0.6628696	0.3581492	0.4195809	0.3631753	0.3328809	0.3601536	0.7101853	0.0786791	0.7162832	0.5844715	0.7922849	0.6859732	0.3877254	0.5036270	0.2314560	0.6081081	0.8196361	0.3696498	0.6608064	0.6768146	0.3843288	0.3391080	0.3614584	0.6268578	0.7437410	0.6610666	0.5898919	0.6733143	0.6792149	0.5231126	0.2282594	0.2059966	0.6634410	0.3645434	0.5597638	0.7497878	0.5363802	0.2745525	0.6759417	0.7589777	0.7860654	0.4736135	0.4501632	0.6544425	0.1414289	0.2696787	0.6770251
0.6775635	0.0796634	0.9503005	0.3715876	0.4149017	0.3765406	0.6063389	0.6522778	0.6180121	0.6123539	0.3445370	0.7482737	0.6371677	0.6206988	0.7142959	0.2248732	0.4888777	0.0610515	0.8387133	0.7896288	0.4970527	0.6771883	0.7368701	0.4050198	0.5073495	0.4178492	0.9329056	0.6604987	0.7242842	0.2132152	0.6909518	0.7311409	0.7180764	0.4264624	0.6330712	0.7054318	0.3636015	0.7840249	0.7942221	0.1207055	0.4434107	0.8871449	0.6893747	0.6052293	0.6119812	0.7519766	0.7709542	0.6661682	0.5113791	0.7591415
0.7326445	0.1457422	0.7269757	0.5934776	0.1815267	0.5437831	0.6851662	0.6100765	0.5347231	0.8656720	0.2564830	0.6678343	0.5133722	0.9451810	0.7430741	0.2607302	0.6205910	0.0547267	0.8539165	0.6181462	0.6009575	0.6084381	0.8221982	0.3852240	0.4549159	0.4880475	0.6751846	0.7226290	0.6557823	0.1608796	0.7543885	0.5682564	0.8295128	0.4078668	0.4611395	0.7996712	0.3789129	0.6747149	0.8106711	0.1358479	0.6667027	0.8397349	0.8115722	0.7854040	0.5462887	0.6304740	0.6435524	0.4481145	0.5447236	0.8345743
0.7313533	0.1308721	0.7820388	0.6947966	0.3501868	0.2928412	0.5961186	0.6529021	0.5941934	0.8162978	0.3252622	0.6759503	0.3699945	0.6076688	0.8291342	0.2498419	0.6070446	0.0675496	0.6441125	0.6771619	0.3749942	0.7106729	0.6617113	0.4163512	0.5971544	0.5338359	0.5515891	0.6104013	0.7471025	0.2504667	0.6288246	0.7722572	0.6385233	0.3413140	0.4567697	0.6697821	0.4408705	0.6587587	0.8853822	0.1387329	0.4755382	0.7741624	0.7321978	0.7346086	0.6568875	0.6543564	0.6371842	0.6635023	0.6348633	0.9073174
0.7184858	0.1783223	0.8553399	0.6448520	0.3861357	0.4519628	0.3253143	0.8125587	0.5857346	0.8574353	0.3909363	0.8386575	0.6169089	0.6485199	0.7748408	0.2653329	0.6533824	0.0592904	0.5722886	0.6686705	0.4104868	0.7037626	0.6777507	0.6746029	0.5974669	0.4560220	0.6413884	0.6643796	0.6538138	0.2698016	0.7108797	0.8044396	0.6216477	0.3452822	0.3602540	0.6815212	0.2909322	0.7805152	0.7246066	0.1983654	0.5855034	0.6970894	0.7557183	0.7432457	0.7061493	0.6871368	0.6271942	0.5007579	0.6125244	0.7738006
0.6623429	0.1367559	0.7348416	0.7215709	0.4225427	0.5436339	0.7685518	0.2674425	0.6438427	0.7077263	0.3288316	0.7696487	0.3852330	0.8133176	0.6989567	0.2194561	0.5450579	0.0537414	0.6592201	0.6612871	0.3630447	0.8240645	0.7771073	0.3568153	0.5605526	0.4495659	0.8380305	0.7201059	0.7141548	0.1802182	0.6776326	0.6500156	0.7983636	0.3374496	0.3748224	0.8056979	0.4323005	0.7242980	0.5676626	0.1041033	0.4666291	0.7094519	0.6621592	0.7257933	0.6191846	0.6554199	0.6290544	0.5583711	0.5420460	0.7318295
0.6431505	0.0913353	0.9354124	0.7344798	0.3568517	0.5404460	0.5992940	0.6401333	0.3748849	0.6362197	0.5369892	0.7489286	0.5209458	0.8514052	0.7528633	0.2140785	0.6649805	0.0624405	0.7281012	0.7193295	0.4282500	0.6830706	0.5878566	0.3563089	0.5388175	0.6432828	0.6488799	0.8853889	0.7138217	0.2685619	0.7150166	0.8057937	0.7511676	0.4189447	0.4002585	0.7599281	0.4150507	0.6506617	0.7516232	0.1164169	0.5048223	0.7715415	0.7638628	0.7204008	0.6564319	0.6542046	0.7127060	0.6441578	0.3485949	0.7486813
0.6357919	0.1107532	0.6957869	0.6651374	0.4782983	0.6204346	0.6274511	0.5898190	0.5275422	0.3507819	0.3170188	0.6278512	0.3776142	0.7840544	0.6209681	0.1937428	0.6271605	0.0284962	0.6514608	0.6720070	0.6560488	0.7042932	0.7151523	0.3399789	0.6049769	0.4246589	0.6655881	0.8119210	0.8145772	0.2730912	0.6737214	0.7433998	0.6541689	0.3603342	0.3876730	0.7733511	0.5831172	0.7437413	0.7121312	0.1271166	0.4985986	0.7085680	0.8056950	0.7031106	0.7371682	0.8072695	0.7782110	0.5305047	0.5142593	0.7734350
0.8394408	0.1198943	0.7197109	0.6174115	0.3542223	0.5203631	0.6374778	0.6923779	0.5831603	0.7922069	0.1483714	0.8406874	0.4733254	0.7091630	0.7969139	0.3007099	0.6373502	0.0459141	0.6838016	0.8535048	0.5163841	0.7217606	0.6708531	0.3550235	0.5794742	0.4650566	0.6622751	0.7029048	0.7964255	0.3200759	0.7402190	0.7604065	0.7172374	0.3509500	0.5971701	0.6811959	0.3645673	0.7450315	0.9294625	0.1452168	0.5040872	0.7127089	0.7372405	0.5506508	0.7796449	0.6475480	0.7810742	0.6237353	0.6528748	0.7675491
0.6596516	0.1738025	0.6795889	0.9303370	0.3502046	0.5169445	0.6738566	0.7172696	0.6768065	0.8178468	0.3570296	0.3937080	0.4367844	0.6171446	0.7241123	0.2273073	0.7149933	0.0445604	0.7995942	0.7882871	0.7224631	0.7997977	0.6423624	0.4002413	0.5830038	0.3545651	0.7684174	0.7555864	0.7798352	0.3253153	0.5799866	0.7957345	0.7989339	0.3991751	0.5127530	0.7713884	0.3334337	0.8472363	0.6443810	0.0928093	0.4775494	0.7044066	0.7877439	0.7261221	0.6388165	0.7121297	0.6197527	0.6006341	0.4878968	0.9423875
0.7209725	0.0891827	0.9052772	0.7622511	0.4400016	0.5053278	0.6368116	0.6101616	0.6766258	0.7993954	0.3597746	0.6698619	0.2931467	0.7315409	0.8195554	0.1998359	0.6462257	0.0422555	0.6568372	0.6461789	0.6149481	0.7411117	0.6873150	0.4152107	0.5485648	0.4695795	0.7095198	0.7540338	0.6468381	0.1929630	0.7996434	0.6412277	0.6332474	0.4083533	0.4725126	0.7907212	0.3164260	0.7727097	0.9066472	0.1617178	0.5702947	0.6538829	0.5941094	0.7852849	0.7891550	0.7434241	0.8366823	0.6875944	0.4754829	0.8030231
0.6889171	0.0625641	0.7559514	0.8717870	0.4537690	0.3882862	0.6735264	0.5300967	0.5337216	0.6572909	0.3700361	0.7834760	0.4694722	0.3575607	0.8142632	0.2440429	0.6980249	0.0675279	0.7608592	0.7609081	0.4355859	0.6844404	0.7467752	0.4149374	0.5277400	0.3882538	0.6623369	0.7421076	0.7191049	0.3454389	0.6693834	0.6649024	0.7540925	0.3601604	0.5741650	0.7335900	0.3592689	0.7212441	0.7524095	0.2455932	0.5303230	0.7808793	0.7539012	0.7047781	0.7106089	0.5538268	0.9880489	0.5258716	0.4816609	0.7460736
0.8605857	0.1167726	0.8340396	0.6877555	0.2775102	0.5571211	0.6728913	0.6952880	0.4991412	0.7883458	0.4328058	0.6660735	0.5624673	0.6972215	0.3043944	0.2758030	0.5470461	0.0541514	0.6991016	0.8102816	0.4690812	0.6584277	0.7448019	0.4315932	0.5277881	0.4640922	0.6953036	0.6946017	0.7807209	0.2626087	0.7510509	0.7100115	0.7551248	0.4050547	0.4668168	0.7262853	0.2753835	0.7665059	0.8255966	0.1546892	0.5006728	0.8175927	0.7235625	0.7352565	0.8006393	0.7505973	0.7614995	0.6129429	0.6702705	0.7196383
