pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.0000000	0.1479658	0.7003884	0.7074233	0.4138049	0.3909252	0.6500276	0.6117690	0.7133233	0.6923105	0.3972893	0.7198173	0.4556034	0.6555623	0.6786305	0.1911428	0.5616638	0.0801177	0.7368827	0.7435971	0.6338766	0.7881609	0.7429195	0.5040317	0.7069070	0.3940029	0.6501826	0.6971782	0.6483825	0.3014288	0.7818411	0.7033572	0.6946234	0.3180749	0.4928745	0.6482966	0.2842823	0.7861033	0.7169025	0.2410244	0.4746006	0.7536334	0.7752722	0.7760748	0.6503343	0.7213284	0.6954339	0.5709423	0.5658862	0.7760217
0.7330362	0.0000000	0.6607155	0.7610192	0.3821891	0.6230557	0.6095680	0.6334753	0.6346655	0.7293969	0.4309818	0.5902121	0.5026195	0.7410880	0.8547780	0.2880231	0.6510522	0.0343878	0.7610741	0.8366229	0.4731666	0.8900575	0.7750044	0.4435782	0.4937744	0.3901730	0.8059096	0.7307164	0.7941492	0.2770236	0.8716796	0.7261577	0.6468800	0.3651757	0.4724405	1.0032952	0.4663717	0.6716141	0.7081240	0.1281836	0.5110894	0.7952635	0.7221370	0.7085494	0.6421959	0.6665417	0.8276469	0.5984095	0.5169000	0.7900069
0.7656195	0.7561007	0.0000000	0.0789987	0.0017858	0.0156858	0.0134148	0.0641440	0.0743561	0.8363145	0.0001566	0.0122926	0.5150522	0.0150040	0.0341815	0.7777306	0.0561581	0.6456543	0.0093187	0.0020084	0.0482357	0.0433849	0.0592133	0.0657765	0.0235386	0.0209086	0.0147438	0.0520484	0.0381186	0.7467387	0.0436025	0.0027190	0.0808629	0.0009355	0.0071111	0.0039099	0.4318527	0.0440244	0.0170855	0.7225098	0.0571591	0.1103860	0.0482135	0.0334725	0.0088064	0.0332915	0.0616058	0.0223239	0.0022075	0.0032348
0.6529975	0.1583182	0.6849235	0.0000000	0.4029303	0.6024837	0.7515274	0.5700742	0.6486997	0.6699766	0.4064664	0.6170926	0.4424305	0.7006137	0.7145847	0.2065066	0.6804159	0.0589140	0.7497336	0.6515470	0.5174780	0.7340493	0.6138312	0.4201115	0.5510986	0.4761388	0.7380565	0.6526462	0.8876692	0.2545819	0.6867562	0.6395327	0.6659994	0.3697857	0.4489245	0.7292449	0.3774413	0.8684954	0.7492817	0.1364751	0.4748685	0.8432068	0.7847249	0.7796020	0.6370569	0.7229399	0.6591841	0.6156475	0.5861627	0.5618829
0.9048868	0.0864931	0.8033501	0.7892073	0.0000000	0.5197430	0.6816927	0.6289654	0.5374238	0.7954326	0.3957227	0.9290073	0.5050304	0.8968203	0.7500233	0.2305353	0.6804365	0.0854817	0.8622195	0.9576709	0.5569170	0.8019902	0.0287515	0.4211423	0.6563641	0.5200753	0.8231888	0.7968310	0.6089519	0.3243977	0.7366671	0.8445194	0.5912247	0.3917750	0.5476779	0.6603962	0.3735928	0.8281333	0.7629906	0.1293092	0.4129367	0.7809586	0.7080106	0.7747892	0.5842594	0.6613620	0.7408920	0.5932423	0.6134219	0.6306034
0.8206479	0.1351570	0.8614706	0.6328102	0.3213228	0.0000000	0.4740735	0.6557217	0.5429996	0.7168055	0.3444407	0.7576877	0.3657153	0.5418493	0.8840601	0.1994189	0.6079113	0.0835859	0.7528558	0.7196780	0.5676968	0.6208076	0.6963775	0.5580716	0.5505146	0.3821301	0.6394487	0.0638742	0.9914684	0.3254014	0.7580406	0.6550954	0.7485482	0.4000398	0.4940680	0.7553788	0.3514384	0.5928024	0.8314926	0.1592503	0.4181792	0.8023615	0.9577745	0.7542520	0.5509647	0.6512255	0.7631729	0.4970011	0.4662146	0.7998661
0.8164253	0.2107366	0.7119454	0.7995738	0.2873559	0.4833800	0.0000000	0.6539340	0.7548158	0.7392205	0.2924948	0.6527328	0.8146804	0.6848800	0.7740129	0.2270488	0.6415176	0.0547995	0.7245515	0.8253993	0.4114313	0.7436298	0.6425366	0.7504429	0.5578242	0.3050928	0.6539332	0.6776198	0.8343302	0.2338392	0.6368130	0.7987321	0.6441858	0.4153490	0.5151552	0.7687358	0.3310052	0.6544877	0.7886422	0.2300927	0.4675745	0.7549109	0.7664139	0.8621893	0.6312051	0.7610855	0.7197258	0.4832939	0.4948938	0.8800033
0.6618445	0.1666650	0.6568370	0.8080893	0.4151639	0.5447127	0.6115937	0.0000000	0.4454912	0.7657580	0.3278748	0.9609016	0.4130753	0.8659394	0.5830264	0.2073048	0.6948660	0.0724848	0.6654732	0.9220034	0.4969421	0.6863864	0.8989819	0.3261009	0.5252062	0.3539577	0.7687063	0.6985938	0.7520096	0.2699483	0.7052970	0.8264721	0.6944263	0.3881250	0.4058168	0.7582059	0.4668405	0.6370763	0.9542517	0.1555640	0.3929921	0.0590835	0.7431222	0.0338808	0.6766819	0.6238160	0.7728046	0.4360931	0.5846999	0.7422872
0.7592942	0.0933524	0.6919075	0.7012360	0.4672411	0.5035353	0.6011213	0.5502840	0.0000000	0.7486579	0.4268509	0.7577753	0.5464112	0.0169917	0.8108553	0.2410677	0.6495659	0.0620039	0.6152790	0.6661464	0.5212316	0.7529962	0.7621266	0.5209623	0.5906310	0.5265388	0.6757379	0.8149600	0.7618175	0.3236272	0.6937162	0.7179536	0.7319858	0.4405662	0.4338413	0.6481394	0.4188654	0.8374041	0.8121925	0.1853829	0.4347434	0.7663305	0.7835020	0.6770446	0.6752594	0.7285612	0.3497167	0.4327542	0.0045456	0.8533201
0.7667072	0.0894975	0.7654902	0.7133661	0.6633189	0.4967262	0.5671016	0.6634731	0.6144196	0.0000000	0.3672530	0.7267628	0.5132222	0.8325509	0.7417329	0.2537925	0.6430762	0.0734588	0.7977755	0.6855454	0.4628552	0.7874198	0.7466790	0.3352898	0.6013251	0.4136757	0.7801935	0.7600219	0.7916146	0.2293137	0.8094854	0.7273164	0.8006040	0.3695681	0.5181158	0.6867214	0.6953623	0.8168084	0.7287271	0.1285221	0.5718544	0.8662073	0.7187523	0.7993615	0.5746721	0.5602537	0.6569232	0.6096895	0.5868793	0.7654563
