pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.6820436	0.1298591	0.6593632	0.6510981	0.1316563	0.5065718	0.7220948	0.4612499	0.4969703	0.4373027	0.4143801	0.7444796	0.5474254	0.8564715	0.7626712	0.2008842	0.5395895	0.0530870	0.8150665	0.6149913	0.5083194	0.7051102	0.7192453	0.5003361	0.5887236	0.5848428	0.8070870	0.6134463	0.6705225	0.1876435	0.5992835	0.7110918	0.6626139	0.3661265	0.4784257	0.6703600	0.5664807	0.6796851	0.7028080	0.1405674	0.5606358	0.6342174	0.7740167	0.7386436	0.6781048	0.5017363	0.6833741	0.6524792	0.5338885	0.7911172
0.5887272	0.1650648	0.7026313	0.7327520	0.2777747	0.4694885	0.6092588	0.6190721	0.4995042	0.7146897	0.2843870	0.6352512	0.2190969	0.8226541	0.7438356	0.2855858	0.6448667	0.0251642	0.7590190	0.7412997	0.4349184	0.7613353	0.7581045	0.5387865	0.5515185	0.5913143	0.5923353	0.7067190	0.6933742	0.2429393	0.6439165	0.7409907	0.8011492	0.3802125	0.3805219	0.9519623	0.4110260	0.8683835	0.8305445	0.1766759	0.4811505	0.7477872	0.7274277	0.7261039	0.6244855	0.8082018	0.6229496	0.4782592	0.5612126	0.6753426
0.6957970	0.0979923	0.6087265	0.6916038	0.0929378	0.3871051	0.7384717	0.5821098	0.4222178	0.7979716	0.4361945	0.6539626	0.4077203	0.8243633	0.6920869	0.2372624	0.5962354	0.0128973	0.8314838	0.7172533	0.5207635	0.6611627	0.5352108	0.7680637	0.5967992	0.4319421	0.5392010	0.7166297	0.6801428	0.2737990	0.7125047	0.6390423	0.6681197	0.3642335	0.4915027	0.7648498	0.3187467	0.7308323	0.7987333	0.1228107	0.5568482	0.7058396	0.7024008	0.7616024	0.8699304	0.7744475	0.7663109	0.5139787	0.5163799	0.7443431
0.7533333	0.1199616	0.6295306	0.6687888	0.1233391	0.5201767	0.6580713	0.4843501	0.4754103	0.5455298	0.4444209	0.6720330	0.4046529	0.7854055	0.6555897	0.2843203	0.5352526	0.0194555	0.6381862	0.7960451	0.6000335	0.7838167	0.7638148	0.3794120	0.5317006	0.4211865	0.6883112	0.6749370	0.7350700	0.2129711	0.7183333	0.8018636	0.8167925	0.3572004	0.4866955	0.7414130	0.3526700	0.6502446	0.7630085	0.1662198	0.4919997	0.7906816	0.7336864	0.6781566	0.6833603	0.7734132	0.7207591	0.6086501	0.4558967	0.8251045
0.7130445	0.0557474	0.7336482	0.8128195	0.5019125	0.4747461	0.6318290	0.6938785	0.6376481	0.7958355	0.3404788	0.7063110	0.7074187	0.6275295	0.9121751	0.2288539	0.6790946	0.0334653	0.8388532	0.6949980	0.4243530	0.7192205	0.7921224	0.3924890	0.6416741	0.4395679	0.7014547	0.7495973	0.6947984	0.2633321	0.6575178	0.7112337	0.6080516	0.4215458	0.7379775	0.7938878	0.4506280	0.6249972	0.6376047	0.0833345	0.3696715	0.6534183	0.6442215	0.7431090	0.7891901	0.5780693	0.6962609	0.5584053	0.4694059	0.7113927
0.8878706	0.1043773	0.7814396	0.8244962	0.4701283	0.5294592	0.6979106	0.7270967	0.6360502	0.6782840	0.4175815	0.6522626	0.5699677	0.7225111	0.9224939	0.1741055	0.5801399	0.0399051	0.7483978	0.7104073	0.5125289	0.6338293	0.7364313	0.4348688	0.6291726	0.4238239	0.7473244	0.7077512	0.6766792	0.1467106	0.7734338	0.7348823	0.7753784	0.5179722	0.4801812	0.7054469	0.2377148	0.7194589	0.8522965	0.1489780	0.5219612	0.6402892	0.6880679	0.8558172	0.6467350	0.6330415	0.6360493	0.5915842	0.5314833	0.8073723
0.7244146	0.1664944	0.7331152	0.6693915	0.2572968	0.5736624	0.5311988	0.6416882	0.5416438	0.4036613	0.4132984	0.7205628	0.2265342	0.8857138	0.6634009	0.2260298	0.6470523	0.0124571	0.7487538	0.7228893	0.5309597	0.6179478	0.8479029	0.5568562	0.5963819	0.5148833	0.8099393	0.8186173	0.5997616	0.0892968	0.5819678	0.7641931	0.6796042	0.5140557	0.4445008	0.7679405	0.7570874	0.6672389	0.7990265	0.1301112	0.3298934	0.7047587	0.6361289	0.6557068	0.5675911	0.6641106	0.7610793	0.6413638	0.6800529	0.6690082
0.6529794	0.1145252	0.8644232	0.7372173	0.3332295	0.6475227	0.5969206	0.6079234	0.5254337	0.5564752	0.4092987	0.7080164	0.4196317	0.6967170	0.7626338	0.2058104	0.6130760	0.0250984	0.6558685	0.7151549	0.5366567	0.7497075	0.6126186	0.4626568	0.4720947	0.3630382	0.6270237	0.8547051	0.6229922	0.1968190	0.7153480	0.6533316	0.5708619	0.5089990	0.3363018	0.8438582	0.3263988	0.6572972	0.5747208	0.1270596	0.4219646	0.6672085	0.7301108	0.7128989	0.6153703	0.6625350	0.7425182	0.4185604	0.6296788	0.7654141
0.5704090	0.1554284	0.5905510	0.6929141	0.2240856	0.4289684	0.5223500	0.4607875	0.4554693	0.3735440	0.2765710	0.7037137	0.5021649	0.6922679	0.8383205	0.2577179	0.5376488	0.0159423	0.7639550	0.6802355	0.4629174	0.7499011	0.6822520	0.4294238	0.6321509	0.3524184	0.6715752	0.6542370	0.6187734	0.1734910	0.6322029	0.6974997	0.6946158	0.3486908	0.3793671	0.6621417	0.5521801	0.7089045	0.8090840	0.1818382	0.4898524	0.7686524	0.6823942	0.6600972	0.6602070	0.5716281	0.5043522	0.4880516	0.5313096	0.7652273
0.8120167	0.0860472	0.7728468	0.7023812	0.4863994	0.4728890	0.5791690	0.6387257	0.6322151	0.6876186	0.3613688	0.5680366	0.3225227	0.8015803	0.7370445	0.2330700	0.7066680	0.1057175	0.8091661	0.7868961	0.3876312	0.8581390	0.7366649	0.5001586	0.5811112	0.4747237	0.6720640	0.8352722	0.6191541	0.2495086	0.6886041	0.5136239	0.6075504	0.4699101	0.4427359	0.7087524	0.2818021	0.6653290	0.7653254	0.0596486	0.6815773	0.5152212	0.7503843	0.8810737	0.5610397	0.7554103	0.6326237	0.6056147	0.5894593	0.8127680
