phoP	mgtA	+
phoP	borD	+
phoP	ybjG	+
phoP	rutG	+
phoP	rutF	+
phoP	rutE	+
phoP	rutD	+
phoP	rutC	+
phoP	rutB	+
phoP	rutA	+
phoP	rstA	+
phoP	slyB	+
phoP	mgrB	+
phoP	yrbL	+
phoP	dcuD	-
phoP	argD	-
phoP	fadL	+
phoP	hemL	+
phoP	metB	+
phoP	metL	+
phoP	nagA	+
phoP	phoQ	+
phoP	purD	+
phoP	purH	+
phoP	tolC	+
phoP	ygiA	+
phoP	ygiB	+
phoP	ygiC	+
phoP	rstB	+
phoP	malS	+
phoP	acrB	-
phoP	pagP	+
phoP	treR	-
pspF	pspG	+
pspF	pspE	+
pspF	pspA	+
pspF	pspB	+
pspF	pspC	+
pspF	pspD	+
rstA	narG	+
rstA	narH	+
rstA	narI	+
rstA	asr	+
rstA	csgE	-
rstA	csgF	-
rstA	narJ	+
treR	treC	-
treR	treB	-
