pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.3259753	0.4517255	0.7539356	0.1160603	0.6347501	0.3852036	0.6590433	0.5435131	0.5898921	0.6624739	0.7005793	0.7835386	0.5300465	0.7453156	0.2774634	0.4380268	0.7836421	0.0685163	0.5672120	0.5049164	0.6423926	0.5513110	0.5915239	0.3856843	0.6252249	0.6034354	0.3575409	0.3172792	0.5317052	0.0802495	0.4303480	0.6726204	0.5350572	0.4642043	0.6379753	0.8184066	0.6711657	0.3934297	0.7863768	0.4445684	0.5848980	0.7453076	0.6755952	0.7963282	0.6012954	0.7042360	0.5256654	0.2227427	0.4832755	0.1968636
0.6367237	0.2019202	0.7086318	0.1150094	0.6701804	0.3613574	0.6171036	0.5104943	0.6943651	0.6662732	0.7297105	0.6042666	0.4103728	0.7168974	0.5786402	0.3881884	0.6366790	0.1332774	0.7493385	0.6400024	0.6931617	0.4408090	0.5660188	0.5978906	0.4645300	0.4554286	0.6525438	0.3591112	0.6750129	0.1124877	0.4331804	0.7549135	0.5949313	0.5920111	0.5849871	0.4565808	0.7425715	0.4505073	0.6357320	0.3758317	0.5223318	0.5778355	0.6582979	0.6954887	0.5668708	0.6452220	0.5308620	0.2994017	0.4098366	0.1540841
0.6990519	0.2277323	0.4394176	0.2836845	0.7535860	0.2031679	0.3931800	0.3240058	0.6890250	0.6726352	0.6268242	0.5864235	0.2386309	0.6042994	0.6134720	0.2944104	0.6156870	0.3116797	0.7162027	0.6042525	0.5634547	0.0479828	0.7042960	0.4938419	0.4486970	0.3804004	0.6128415	0.2177246	0.6364377	0.1086703	0.1737944	0.5557579	0.3106676	0.2661949	0.2728173	0.1220464	0.7737512	0.2544281	0.6710040	0.1972387	0.1559680	0.8366435	0.6170261	0.8206219	0.4270870	0.5868620	0.5284263	0.3311736	0.3947295	0.3981766
0.7529039	0.4078572	0.7535762	0.0614277	0.7739241	0.3338481	0.5313189	0.4505468	0.6559274	0.7524107	0.6896437	0.7450446	0.3866295	0.6552104	0.5639820	0.7504607	0.7889177	0.0989891	0.6621688	0.7505405	0.7960479	0.3582198	0.6658007	0.5324294	0.4261993	0.6189787	0.6184405	0.4582241	0.7241446	0.0415826	0.4992676	0.6960560	0.5312860	0.6574694	0.6702522	0.4362273	0.7856521	0.4245978	0.6746668	0.5119243	0.5278497	0.7065648	0.7105072	0.6949114	0.4426173	0.6785691	0.5738988	0.3040047	0.3925804	0.2050759
0.7169878	0.3201903	0.6892635	0.1709185	0.3327943	0.2956771	0.6334090	0.3499696	0.6388302	0.7147574	0.6221619	0.7359716	0.4894838	0.6843253	0.6078363	0.4829312	0.8245203	0.1197362	0.6493476	0.5499332	0.6125253	0.3012068	0.7752171	0.5808583	0.1153942	0.6196467	0.7696386	0.4157985	0.6142631	0.1256735	0.4560958	0.6422341	0.6517731	0.5374252	0.5778463	0.4115497	0.7268602	0.3164569	0.6926618	0.4143808	0.5458101	0.6947340	0.7811562	0.6192911	0.0672312	0.6837303	0.2584706	0.5637566	0.6331046	0.2643970
0.6456065	0.3554363	0.6441218	0.1683209	0.7586453	0.1683483	0.6041109	0.4536028	0.7982711	0.8138902	0.5887800	0.7024342	0.4469777	0.6088671	0.5318234	0.4368709	0.6325679	0.0829908	0.7235232	0.6712874	0.6616271	0.2882910	0.6234791	0.5251346	0.4977824	0.6185096	0.6591836	0.4130040	0.7775814	0.1159044	0.3492422	0.6614785	0.6549763	0.4939199	0.5286084	0.3747630	0.9522259	0.4010756	0.7186044	0.3502563	0.5150248	0.7290617	0.8324943	0.7763753	0.5269797	0.6450973	0.5742021	0.3254343	0.3440040	0.2179139
0.7179183	0.3163046	0.7450935	0.0918206	0.6113888	0.5516493	0.2946848	0.5121372	0.6709125	0.7502010	0.6168473	0.5422627	0.3216657	0.5616124	0.4301313	0.4370065	0.6537630	0.0936251	0.7467262	0.7828477	0.7346116	0.4463330	0.6472151	0.4106220	0.4829363	0.5912157	0.6850556	0.3736657	0.7168942	0.0705330	0.4451216	0.7294110	0.5620383	0.6143075	0.5046431	0.4624943	0.7209025	0.4152265	0.6866894	0.4944969	0.4603063	0.6438622	0.6286192	0.6412425	0.5273603	0.6973946	0.4828751	0.2147154	0.4142189	0.2098327
0.7862892	0.4018767	0.7571077	0.1316739	0.7896111	0.4730202	0.6757039	0.2439313	0.7034993	0.7028577	0.7542024	0.6018596	0.5186518	0.8058916	0.5511502	0.4275038	0.7916672	0.0829392	0.8011802	0.6840576	0.7286069	0.4434754	0.5800704	0.6369671	0.4403777	0.6123405	0.6061343	0.4086950	0.6310859	0.0573879	0.4923979	0.7423766	0.6549010	0.7676321	0.5359824	0.5638318	0.7370265	0.4132762	0.6597274	0.4471311	0.6806675	0.6911256	0.7296169	0.5998078	0.4511263	0.6916083	0.4657201	0.2352663	0.4113262	0.1906308
0.6736480	0.4008134	0.7185600	0.1125555	0.6264466	0.3771014	0.5829089	0.4621084	0.3619687	0.5859658	0.7458881	0.7080013	0.5495344	0.5856620	0.4839524	0.5603898	0.7535046	0.1420891	0.6509664	0.6571576	0.6126770	0.4060509	0.6476224	0.5742573	0.4392171	0.7382594	0.5986668	0.2860575	0.6641264	0.0615071	0.4721240	0.6742898	0.6716495	0.6489747	0.4975633	0.4975628	0.6810923	0.3863940	0.6530622	0.4684070	0.5108662	0.6054493	0.7534750	0.7404540	0.5671902	0.6787304	0.5041524	0.2868577	0.3696580	0.1692495
0.7302690	0.4522861	0.6717057	0.0900234	0.6763225	0.3707322	0.6175943	0.4792384	0.7718976	0.3246503	0.7621454	0.7496827	0.4298252	0.7002899	0.7283398	0.3776819	0.6104153	0.0857551	0.6849953	0.6914523	0.7178823	0.4274965	0.7364098	0.4299674	0.6420699	0.7053745	0.6088502	0.3833560	0.6885751	0.0680338	0.3719996	0.6757674	0.6786670	0.6276248	0.5417620	0.4981192	0.6276492	0.4403655	0.6163235	0.5187775	0.5281488	0.6158410	0.7159434	0.7770520	0.5804722	0.6771344	0.5586709	0.2265648	0.3367814	0.1647505
0.7218831	0.3444261	0.6797997	0.1294104	0.7777555	0.3616624	0.6191880	0.5762131	0.5671465	0.5827322	0.2934465	0.5976314	0.5247625	0.5766981	0.5210753	0.6257756	0.7270280	0.0952299	0.7202110	0.6977413	0.7243156	0.4130470	0.6215796	0.5092406	0.5672235	0.7492757	0.6382799	0.3669853	0.7900389	0.0946482	0.4301869	0.6166075	0.6483576	0.6671222	0.6045535	0.4979630	0.6580360	0.5571662	0.6563363	0.5369998	0.6290931	0.5029217	0.6580262	0.7188169	0.4590990	0.6300711	0.5050556	0.2767754	0.3653014	0.2793123
0.7691299	0.3794516	0.5364534	0.1141379	0.6145269	0.3580623	0.7075328	0.6212710	0.5910747	0.6689131	0.7592615	0.3075766	0.4432757	0.7746091	0.5339211	0.5562653	0.8137999	0.1128613	0.7800032	0.6379117	0.7501136	0.4036151	0.5911419	0.5878439	0.4382853	0.6224943	0.7028404	0.3589671	0.6430842	0.0712563	0.4464421	0.7838688	0.5602752	0.4938022	0.6223969	0.4752568	0.7155903	0.4406142	0.7690854	0.4402552	0.6261054	0.7108441	0.6821157	0.6762264	0.3120668	0.7472043	0.4853397	0.2871311	0.3864767	0.1999034
0.7176377	0.3787726	0.6344665	0.1918679	0.7381788	0.4552392	0.6335117	0.5321468	0.7334032	0.7883092	0.7265343	0.6521937	0.2000424	0.7346871	0.6670100	0.3865176	0.6624775	0.1365167	0.7925419	0.5989738	0.7662621	0.3129338	0.5850683	0.7084751	0.5703165	0.7264099	0.7842639	0.4258194	0.8062610	0.0571887	0.3984289	0.7425448	0.6158781	0.5830589	0.5526235	0.4259703	0.5672289	0.3499004	0.5351200	0.3750773	0.5084809	0.6150672	0.8660483	0.5655168	0.4228383	0.6643504	0.6515317	0.2311399	0.3997024	0.2471193
