pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.0000000	0.3263661	0.7480091	0.1604180	0.7540475	0.3606735	0.6538300	0.5502651	0.6949582	0.6347495	0.6854022	0.6696409	0.5292483	0.6115134	0.0066152	0.4039239	0.6192398	0.1134330	0.0780094	0.0261464	0.7128511	0.5262212	0.0052323	0.0631488	0.5212910	0.6482293	0.0081187	0.3883765	0.6631026	0.0880342	0.4240448	0.7151694	0.7708443	0.5156993	0.5107826	0.6516751	0.6048798	0.4232449	0.7626305	0.4280970	0.6242286	0.6397723	0.8057632	0.8427114	0.5914299	0.7550311	0.4306938	0.2685581	0.3146233	0.2282073
0.7754003	0.0000000	0.8029105	0.1265005	0.6365772	0.3887033	0.5721569	0.5776669	0.6914796	0.7382922	0.7917284	0.6256191	0.4888368	0.7603189	0.5479937	0.4766783	0.6136934	0.1338134	0.5790117	0.6266271	0.7641460	0.4980170	0.6055102	0.4984195	0.4732017	0.6302934	0.6825143	0.3832099	0.7029213	0.0663020	0.4368712	0.6874704	0.5509832	0.5740016	0.6414177	0.5438547	0.5602728	0.3619446	0.6379768	0.5246687	0.6319054	0.7580330	0.6341405	0.8393215	0.5341073	0.5697968	0.4628950	0.2242845	0.4232412	0.2134769
0.7951600	0.0210983	0.0000000	0.6190748	0.0238036	0.0098092	0.0231609	0.0010884	0.0166972	0.0180743	0.0161560	0.0364552	0.0436668	0.0398346	0.6308204	0.0875459	0.0528578	0.7370804	0.6680639	0.8791789	0.0002659	0.0041994	0.6367416	0.5666411	0.0077825	0.0448133	0.7590254	0.0468415	0.1624109	0.7152538	0.0118649	0.0197258	0.0721101	0.0519712	0.0354159	0.0304571	0.0142161	0.0599665	0.0324413	0.0236481	0.0035746	0.0206830	0.0455820	0.0277984	0.0367610	0.0391676	0.0545138	0.6492867	0.6760582	0.6757515
0.6765758	0.3832824	0.5910566	0.0000000	0.7115161	0.3850043	0.5738656	0.5666514	0.6507268	0.7008848	0.5625745	0.6763370	0.4703809	0.6942259	0.4827840	0.6770589	0.7127915	0.1015912	0.7521819	0.6820970	0.8113727	0.4110023	0.7294124	0.5346257	0.6097772	0.4986966	0.6371499	0.4806355	0.6594756	0.0690884	0.3763819	0.7837791	0.6659653	0.5156499	0.5119200	0.5734800	0.8890441	0.3222763	0.6966374	0.4504418	0.4817493	0.6019632	0.8350755	0.7475872	0.6333111	0.7854802	0.5017034	0.2311768	0.3687692	0.2009333
0.6494677	0.3632656	0.7420141	0.1380853	0.0000000	0.3350774	0.7044596	0.5168003	0.7060885	0.6409561	0.8771802	0.7318545	0.4520920	0.6671907	0.6263908	0.5434659	0.6425487	0.1008969	0.6571964	0.7469205	0.7070861	0.4080054	0.5533487	0.5671457	0.0105160	0.8066682	0.7378741	0.4720257	0.7187509	0.1028572	0.3422574	0.5861753	0.6155820	0.5672455	0.5980390	0.5435919	0.6822241	0.4868117	0.5907598	0.4741529	0.5516199	0.5305255	0.7178598	0.0220979	0.0454147	0.0157262	0.0140657	0.5772654	0.6218241	0.1942206
0.7014983	0.5043787	0.7582378	0.1323221	0.5573270	0.0000000	0.6466128	0.3925939	0.7660939	0.7216563	0.5983277	0.6972529	0.5170042	0.7147207	0.5516023	0.4864521	0.6907023	0.0997003	0.5579580	0.6901749	0.6752386	0.3853370	0.6634466	0.5207760	0.5280930	0.6485366	0.6870968	0.3710364	0.6240929	0.0704275	0.3692663	0.5943975	0.6363249	0.5970634	0.7333209	0.5085676	0.7385505	0.4879037	0.6095881	0.4549426	0.4889776	0.7932200	0.7094028	0.8034134	0.5935192	0.7059836	0.5509878	0.2188649	0.4320977	0.2291342
0.7047924	0.2853715	0.6038261	0.1914059	0.8320035	0.3432048	0.0000000	0.5590084	0.7613766	0.7256475	0.5463901	0.5959305	0.5193615	0.7214067	0.5945306	0.4005395	0.6362031	0.0991561	0.6988238	0.7147116	0.7336854	0.3629272	0.6628093	0.5330188	0.5911147	0.6844409	0.6957684	0.3657252	0.6388086	0.0751000	0.3759981	0.6838146	0.6061004	0.4644431	0.5817743	0.4272491	0.7381607	0.3631945	0.6697698	0.3919543	0.3895338	0.7919232	0.6302667	0.6865632	0.4963139	0.7625514	0.5787496	0.2921751	0.4669336	0.1894689
0.7461905	0.4088536	0.6557679	0.1178616	0.5889748	0.2535794	0.6928102	0.0000000	0.6773404	0.6946544	0.8074822	0.6238266	0.5664717	0.6939891	0.6036651	0.5138716	0.7113239	0.1034596	0.6964261	0.5893906	0.7343745	0.3187601	0.6594259	0.6230406	0.4874098	0.5913247	0.6940332	0.4532003	0.7220590	0.0493116	0.3767605	0.6450834	0.7507675	0.5294918	0.5156890	0.4814037	0.6416723	0.4180258	0.6645980	0.4692395	0.4707174	0.6517224	0.8676328	0.6378735	0.4770861	0.6261301	0.5361451	0.3060069	0.4303496	0.1583270
0.6288522	0.4547805	0.8294697	0.1457798	0.7073040	0.3219952	0.5717720	0.5523044	0.0005267	0.6212049	0.6377286	0.6663413	0.3999544	0.6804333	0.5371340	0.5053437	0.7562617	0.1221661	0.6207423	0.7913297	0.7098097	0.4945485	0.6991346	0.5210387	0.5542341	0.6710944	0.6003468	0.3693527	0.7186201	0.0497722	0.4985981	0.5877863	0.6966954	0.5704593	0.6067393	0.4851039	0.7364587	0.3788468	0.6536939	0.4166783	0.5261758	0.6447119	0.6395620	0.6517794	0.4728310	0.6898247	0.6994364	0.1571082	0.3378574	0.2468624
0.8999824	0.3554381	0.6699723	0.1473930	0.7885168	0.3569804	0.7117586	0.5506364	0.7285966	0.0000000	0.7525475	0.5537797	0.4673898	0.7674183	0.6196797	0.4622360	0.6452414	0.0661645	0.7211642	0.7369075	0.7660796	0.4350817	0.5457354	0.5844458	0.5631926	0.6654905	0.5483365	0.3185420	0.6692350	0.0605737	0.5004692	0.6327564	0.5669678	0.5456435	0.5209200	0.4864738	0.6730676	0.3091021	0.8472647	0.4647191	0.5381101	0.6956603	0.8080550	0.7356631	0.4794131	0.5996642	0.4237074	0.3150632	0.3429054	0.1875262
