pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.6624208	0.4389560	0.6654784	0.1560240	0.6193009	0.3043952	0.6477437	0.6374270	0.6306411	0.6974905	0.7295993	0.7220413	0.5167892	0.7958583	0.5664326	0.4394654	0.6693206	0.0324514	0.6257071	0.5903111	0.6795119	0.4300693	0.6741479	0.6913255	0.6167309	0.7887776	0.6234833	0.5418879	0.7838746	0.0880170	0.4447261	0.5919778	0.7386113	0.6728765	0.5594875	0.4918917	0.7794805	0.3467315	0.7344810	0.5336021	0.5871500	0.7931272	0.7253592	0.8353900	0.6123493	0.6346740	0.5218190	0.2183655	0.3134451	0.2089237
0.7187339	0.5294438	0.7069394	0.0895244	0.6224252	0.3587505	0.5604336	0.4522106	0.6866479	0.7004599	0.6493060	0.7353203	0.4852523	0.6798446	0.5072834	0.7470996	0.6313627	0.1045055	0.5712600	0.6202108	0.6028783	0.4276429	0.6274921	0.5665498	0.5020647	0.6567355	0.6692179	0.4669200	0.6715838	0.0864522	0.4306768	0.6628376	0.7496098	0.5508037	0.5765485	0.3871099	0.6973925	0.4261832	0.5878343	0.6000035	0.5038272	0.7247292	0.6075800	0.6621286	0.5568272	0.8363385	0.5446396	0.2340230	0.1938588	0.1760445
0.6672560	0.3492229	0.7197998	0.1422081	0.7555709	0.5098834	0.5619530	0.4752515	0.6166718	0.6682495	0.6572257	0.7264725	0.3920493	0.7438788	0.7600245	0.3960801	0.7811376	0.1146882	0.5960833	0.6476525	0.6678586	0.4284063	0.5809837	0.6848139	0.6673964	0.5558643	0.5848055	0.4092374	0.2549262	0.0781626	0.5102564	0.6992278	0.4899068	0.5382939	0.6610715	0.4170751	0.7457847	0.4018543	0.6883574	0.3417881	0.4678340	0.6992200	0.7098970	0.7563803	0.4497727	0.7431190	0.5894221	0.1647643	0.4298165	0.0898172
0.7142537	0.4374745	0.7123296	0.0724862	0.6706824	0.5074225	0.5886608	0.4589266	0.6616797	0.6774629	0.7572960	0.6512396	0.4908695	0.8341174	0.6062564	0.5379664	0.7854185	0.0826385	0.7884376	0.7132373	0.7209905	0.3229905	0.6172992	0.5987700	0.6895220	0.5679590	0.6274186	0.4774976	0.5504049	0.0031968	0.3167200	0.6576029	0.7078556	0.5804717	0.6367209	0.6207101	0.7678534	0.5874577	0.5283187	0.4996406	0.6131624	0.6232182	0.6107378	0.7606109	0.5649406	0.5486162	0.4746325	0.2217496	0.3095680	0.1385047
0.6440861	0.3747355	0.5622143	0.0801094	0.7279367	0.3503584	0.5803183	0.4431538	0.7124839	0.6410482	0.5224927	0.7145914	0.3731737	0.5947329	0.6446439	0.3706100	0.6574877	0.0984720	0.5779516	0.7083147	0.6960560	0.4450764	0.5974623	0.5513469	0.4804257	0.6577701	0.7824567	0.3127060	0.7083203	0.0222034	0.4128060	0.6997139	0.5508571	0.6532212	0.5558276	0.4498285	0.6115114	0.4608355	0.6321349	0.5290090	0.5464862	0.8169833	0.6252349	0.7081466	0.4239975	0.6363553	0.4712502	0.2362077	0.4093912	0.1480597
0.7278110	0.3552359	0.6853510	0.0837977	0.6769974	0.4734335	0.5752056	0.6339268	0.6632717	0.6040884	0.6986248	0.5925778	0.6438088	0.7376593	0.5088212	0.3086371	0.5320319	0.1105376	0.7447782	0.6141701	0.6260055	0.4358820	0.6496115	0.6146252	0.4946970	0.6106976	0.6115229	0.3409073	0.7871719	0.0243585	0.5119473	0.7071452	0.7009734	0.6756358	0.5223703	0.4373430	0.5747934	0.3559402	0.6216959	0.4748580	0.6229068	0.7616085	0.8842081	0.6002238	0.5764275	0.7416178	0.5005597	0.0890953	0.3580246	0.1891828
0.6356019	0.4793914	0.7195475	0.1145448	0.7291154	0.3863900	0.6281482	0.6177847	0.6961434	0.7269776	0.5949321	0.5450645	0.3909074	0.7243012	0.6113896	0.5262734	0.6463718	0.0331858	0.7470705	0.5752855	0.5590350	0.3747735	0.5680443	0.6635219	0.4364921	0.5741596	0.5533841	0.4311288	0.8120012	0.0965229	0.4043831	0.7565155	0.5930540	0.5517340	0.5220778	0.3835533	0.6805356	0.4566126	0.5980255	0.5143665	0.6283593	0.7160337	0.6891381	0.7553114	0.2728796	0.5929987	0.3674133	0.2970741	0.4783389	0.1877968
0.6827410	0.4454352	0.8160499	0.0425691	0.7018037	0.3352075	0.5782163	0.4862627	0.6830329	0.7250073	0.7521978	0.5965797	0.4945418	0.6255968	0.6530206	0.5132811	0.8047198	0.0621643	0.7738092	0.6287549	0.6349102	0.3924313	0.5369442	0.5025289	0.5351059	0.6095436	0.6613283	0.3475010	0.4560026	0.0060328	0.6545022	0.7415752	0.7120889	0.4758574	0.6345045	0.5921114	0.6967768	0.4392049	0.5871193	0.4050589	0.5514876	0.7899372	0.6326282	0.7776607	0.5319794	0.6649493	0.5254925	0.2561056	0.2387532	0.0201898
0.8141839	0.4239431	0.6716223	0.0874026	0.7348206	0.3992570	0.6181920	0.5206046	0.6782105	0.6945299	0.7610555	0.6169627	0.6463831	0.7200223	0.5479587	0.6136874	0.5507267	0.0874228	0.6486901	0.6967506	0.6330515	0.4161684	0.6009428	0.5159414	0.5539655	0.5242270	0.7129714	0.5051145	0.8754831	0.0253968	0.3981680	0.7251900	0.6808634	0.5547102	0.5462377	0.4261435	0.7006046	0.5480236	0.6760616	0.4016249	0.4938814	0.5572448	0.5413361	0.6538143	0.3408548	0.7149260	0.6142573	0.2421924	0.2393732	0.2170666
0.7720092	0.3104314	0.6094122	0.0490908	0.6887852	0.5491637	0.7142101	0.4605123	0.7776337	0.7462562	0.5674167	0.5971507	0.4679691	0.5984382	0.4607177	0.3645639	0.7545176	0.1432912	0.7672991	0.7048437	0.8050956	0.2177302	0.6148826	0.5782278	0.4560130	0.6449389	0.5217047	0.3487652	0.6827466	0.0119573	0.3628955	0.6078379	0.6083806	0.4973378	0.5089736	0.2653343	0.6882973	0.3686414	0.7855017	0.3177574	0.6216159	0.6473167	0.7755690	0.7894188	0.5110832	0.5973935	0.5031890	0.2155061	0.2191174	0.1951471
1.0000000	0.2432678	0.6371830	0.1246540	0.7231097	0.2912682	0.6347092	0.4578364	0.5750767	0.6551576	0.7547964	0.7127351	0.3063030	0.6334058	0.4793092	0.3121375	0.6841082	0.1449407	0.5924552	0.7313851	0.5986515	0.2216970	0.6671500	0.6068933	0.4835731	0.6252470	0.6621222	0.2930876	0.5216004	0.0921019	0.3980237	0.6504327	0.4512963	0.4601363	0.4676337	0.2923491	0.6204619	0.5077292	0.6228716	0.2783247	0.4693935	0.8545318	0.7039837	0.6399907	0.6085818	0.7002930	0.3928257	0.2439146	0.4374431	0.1063382
0.7120735	0.4262562	0.7342831	0.1950262	0.6090606	0.3255285	0.6970506	0.4025343	0.7021161	0.6891369	0.7118665	0.6587847	0.4706490	0.6493531	0.5907143	0.3954847	0.6254725	0.1164786	0.5930639	0.6287759	0.6222092	0.3740717	0.6240013	0.4374089	0.5243925	0.6528566	0.7376554	0.3049640	0.5168692	0.0559213	0.5935436	0.6290433	0.4895194	0.5829049	0.4295558	0.5071903	0.7180103	0.4291825	0.5828220	0.3662347	0.5128583	0.6590995	0.6619768	0.7191129	0.5536277	0.6037002	0.5146962	0.3281196	0.2191315	0.0784813
0.4435683	0.2702934	0.5156907	0.0981116	0.7145473	0.2624322	0.5846800	0.5740279	0.7094196	0.7440358	0.7763774	0.5753632	0.4621433	0.7139543	0.4335347	0.3329925	0.8308839	0.1514301	0.4520231	0.5661189	0.6964861	0.2693949	0.5847025	0.5892924	0.4908573	0.5487590	0.5393764	0.5420277	0.6107834	0.1242967	0.3734871	0.6340197	0.5542170	0.4712070	0.4543025	0.4086826	0.6471187	0.2868087	0.6256585	0.4019711	0.4475009	0.6553185	0.6442613	0.8086523	0.3694121	0.7278000	0.5731201	0.3211155	0.4023860	0.2563746
0.6114345	0.4288164	0.7288673	0.1401453	0.5547963	0.4548337	0.6367122	0.5795104	0.6659785	0.7941474	0.6882707	0.7535748	0.5204047	0.6792612	0.4913356	0.2685721	0.6197988	0.0816762	0.6552535	0.5885307	0.7754125	0.5168887	0.6615445	0.5581021	0.4144335	0.6165451	0.6270765	0.4381385	0.7726178	0.0745993	0.4044220	0.5473552	0.6219126	0.7302181	0.7429617	0.6659262	0.6538308	0.3719487	0.6401778	0.4810662	0.6806085	0.6296940	0.7147048	0.6607813	0.3035100	0.7086399	0.5040661	0.3230589	0.1976843	0.2299881
0.3924201	0.3785133	0.5459950	0.1823723	0.7352844	0.4408593	0.7190281	0.5072025	0.5605470	0.7096686	0.5426984	0.6496382	0.4314044	0.6286328	0.4097517	0.3779443	0.6616157	0.1125094	0.5270798	0.6088687	0.6815632	0.3581226	0.6698935	0.5742984	0.5230987	0.4789937	0.4399932	0.5310629	0.5199524	0.0794548	0.5709981	0.6274142	0.6241972	0.6453941	0.5168043	0.3585339	0.5927935	0.3603232	0.7158171	0.4886378	0.5889457	0.6943204	0.8038576	0.8222656	0.5659208	0.7162534	0.5322498	0.3133032	0.4139594	0.0642729
0.6863046	0.3123642	0.7680946	0.1039241	0.6084655	0.3653852	0.5550977	0.5416935	0.6389012	0.6222020	0.7350151	0.7791473	0.3877515	0.6692589	0.5180928	0.5431742	0.5795071	0.1337549	0.6451259	0.7046051	0.6138201	0.4314738	0.5859309	0.6475459	0.3654402	0.6066611	0.6045472	0.3518671	0.7968552	0.0821283	0.4808160	0.5741958	0.5675748	0.5584291	0.5897981	0.3894763	0.5864874	0.4648878	0.6806559	0.5802173	0.5118265	0.7471473	0.6867707	0.6997254	0.4932857	0.6780351	0.3863682	0.3374494	0.3330719	0.2373723
