pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.4850037	0.5825111	1.0771817	0.1668607	1.0149356	0.6023053	0.8820689	0.7791374	0.8699450	0.9953615	1.0573835	0.9895864	0.7427208	0.9851289	0.4108214	0.7228734	1.0444601	0.1056985	0.8061369	0.7629249	1.0400776	0.6719479	0.7937373	0.6001924	0.8068419	0.8904986	0.5050954	0.5774361	0.8864465	0.1129258	0.6630854	0.9633976	0.9732533	0.7683769	0.8368570	0.8722560	1.0194890	0.5793596	1.0604711	0.6703494	0.8518094	0.9846087	1.0442954	1.0584709	0.8397194	1.0095621	0.7904384	0.3423706	0.5857220	0.2943337
0.9697231	0.2776940	0.9248936	0.2154147	0.9600857	0.5211820	0.9047818	0.7976403	1.1092901	0.9759087	1.0425941	0.9002039	0.6594581	1.0434266	0.8426691	0.5768250	0.9642075	0.1797942	1.0785938	1.0314325	1.0202057	0.5593066	0.9342082	0.8119301	0.7258136	0.8612047	0.9177918	0.5446797	0.9177394	0.1026627	0.5892000	1.0294879	0.9054515	0.8090226	0.7583542	0.7170120	1.0572646	0.6556410	0.9780463	0.5945252	0.7735442	1.0558337	0.9292623	0.9588361	0.7894193	1.0222980	0.7970153	0.3546070	0.6090380	0.3021910
0.9641632	0.3076398	0.5526511	0.3358022	1.1192308	0.2992453	0.6006801	0.4324448	0.9848834	0.9140719	0.8477836	0.8773117	0.2713222	1.0288410	0.7420159	0.4538115	0.8812304	0.3824235	0.9275435	0.9170315	0.7985846	0.0624357	0.9267236	0.8413860	0.7250842	0.6202989	0.9876743	0.2765971	0.8543372	0.2246784	0.2416785	0.8400974	0.4830787	0.4643734	0.4302612	0.2285137	1.0424811	0.4392798	0.9563621	0.2979823	0.2829413	0.9907053	0.9777780	1.0267572	0.6250201	0.8793799	0.7311294	0.4219514	0.6098467	0.5169799
1.0577534	0.5633483	0.9749530	0.0952239	1.0508542	0.5096626	0.8966734	0.7229719	0.9721657	0.9932140	1.0125064	0.9029760	0.6179742	1.0333381	0.9110431	0.9999180	1.1228334	0.1387909	1.0286555	1.0242031	1.0376319	0.5193954	0.9328757	0.9113038	0.7317077	1.0068496	1.0088469	0.5931794	1.0219473	0.0943641	0.6296682	1.0119216	0.8448895	0.8483391	0.8131277	0.6930583	1.0196700	0.5489449	1.0099415	0.6311889	0.6727908	1.0116475	1.0008879	1.0192831	0.7071448	1.0687704	0.7143912	0.3950568	0.5490241	0.2953573
1.0639897	0.4589131	0.9922808	0.2396404	0.5251434	0.4724187	0.9646036	0.6426655	0.9897316	1.0136038	1.0097040	0.9114407	0.6448291	1.0117781	0.8009534	0.6960679	1.0964044	0.1846609	0.9572182	0.9296861	0.9767753	0.4316243	0.9549349	0.8896367	0.1648485	0.9330564	1.1429622	0.5523241	0.9696857	0.1520570	0.5569679	1.0443486	0.8925897	0.7591885	0.8420559	0.6323821	1.0774332	0.4824522	1.0236833	0.5942975	0.7511616	1.0647455	1.0181478	0.8944660	0.1073546	0.9785811	0.3721056	0.9091070	0.8230282	0.2950565
0.9354604	0.5389784	1.0078970	0.1973399	1.0333129	0.2587468	0.8371129	0.7140950	1.0003541	1.0290228	1.0154881	0.9678383	0.6523664	1.0476138	0.7650478	0.6909371	0.9208416	0.1604596	0.9843953	0.9472641	0.9996305	0.4991718	0.9505547	0.7774040	0.7258905	0.8878190	0.8890568	0.5369666	0.9247464	0.1257355	0.6182619	0.9657617	0.8638300	0.8070654	0.7657769	0.6262927	1.1365691	0.5532469	0.9589445	0.5169506	0.8149828	0.9525241	1.0588098	1.1318668	0.7546204	0.9691293	0.7928042	0.3838028	0.4775460	0.3126185
1.0202040	0.5273047	1.0301188	0.1524995	0.9677982	0.5848933	0.4284751	0.6905567	1.0088360	1.0237336	0.9875787	0.9586015	0.5715588	1.0001381	0.7513365	0.6276906	1.0054724	0.1478464	1.1384226	0.9384360	1.0073680	0.5202621	0.9514949	0.6995742	0.6985937	0.8939946	0.9814725	0.5160895	0.9609876	0.1133274	0.6391564	0.9732309	0.8652154	0.8689354	0.7305318	0.7250380	1.0192213	0.5821050	1.0133208	0.6012757	0.7951934	0.9332363	0.9297066	0.9923828	0.7507353	1.0024230	0.6831282	0.3502326	0.5614146	0.2901690
1.0367953	0.6026529	1.0375599	0.2173368	1.0583866	0.5973207	0.8944232	0.3667632	1.0168461	1.0283796	1.0068562	0.9364961	0.7555274	1.0679496	0.8949336	0.7187566	1.0155184	0.1430767	1.0150809	0.9991206	1.0454974	0.6885184	0.8465195	0.8229113	0.6957733	0.9075091	0.9477215	0.6169743	0.9249267	0.1246352	0.6740113	0.9549814	0.9305201	0.9439378	0.8638224	0.8119981	1.0153836	0.7076831	1.0820534	0.7078734	0.8524100	1.0471212	1.1133031	0.9605629	0.7136936	1.0412767	0.7374570	0.3650785	0.5236364	0.2835125
1.0234197	0.5921272	1.0768929	0.1729090	1.0826160	0.5826354	0.9356212	0.7069247	0.5550526	1.0121284	1.0120347	0.9529456	0.7662607	0.9870174	0.8551667	0.7411537	0.9933275	0.1674414	1.0377158	0.9267836	0.9479440	0.5701394	0.9176060	0.8214373	0.7019997	0.9359459	0.9934910	0.5428981	1.0290353	0.0917551	0.6486383	0.9316125	0.9522513	0.8997399	0.8458435	0.6572584	0.9998005	0.5727667	0.9984735	0.6865688	0.7783201	0.8691187	1.0250144	0.9929195	0.5543008	1.0590200	0.7280730	0.4578591	0.5482897	0.2630780
1.0204185	0.5727437	0.9959754	0.1672149	1.1060216	0.6389267	0.8617699	0.7821736	1.0142693	0.5176310	1.0809711	1.0146284	0.6848827	1.0370941	0.8776475	0.6685927	0.9819549	0.1514100	0.9886449	0.9825473	1.0395864	0.6228776	0.9498779	0.7745403	0.8185842	1.0621135	0.9579613	0.6417789	1.0438615	0.0980808	0.7325790	0.8990335	0.9525081	0.8862737	0.8467541	0.7450718	0.9240906	0.5826016	1.0061651	0.6824513	0.8251442	0.9727758	0.9724672	1.0786460	0.8197260	1.0138225	0.8168257	0.3732872	0.5066048	0.2480566
1.0528796	0.5088871	0.9940776	0.1707531	1.0279794	0.6305041	0.9644282	0.7359483	0.8803219	0.9616498	0.4494984	0.9433840	0.7001786	1.0572797	0.8314786	0.7076844	1.0512304	0.1206010	0.9715414	1.0721684	1.0382928	0.5890792	0.9944206	0.8150650	0.8171839	0.9909589	0.9601138	0.5785759	1.0733826	0.1019479	0.6902202	0.9697320	0.9317304	0.8419220	0.9155038	0.7363869	0.9803083	0.6901334	0.9641673	0.7091050	0.8307103	0.9363859	0.9902688	1.0100825	0.7553386	0.9789716	0.7198405	0.3978201	0.6378151	0.3095541
1.0036083	0.5710701	0.9647057	0.1880021	0.9775090	0.5471114	0.9237476	0.7716193	0.9655586	1.0410329	0.9933313	0.4516570	0.7155100	1.0575188	0.7949651	0.7189400	1.0659347	0.1501430	0.9939666	1.0162744	1.0400916	0.5564326	0.9118776	0.8764078	0.6830305	0.9294592	0.9934205	0.5867749	1.0275836	0.1014035	0.6293232	1.0513589	0.8642654	0.8330557	0.8580229	0.7224421	1.0442990	0.5847451	1.0559015	0.6215009	0.7674208	0.9735225	1.0130014	1.0318245	0.6603573	0.9799253	0.6531871	0.5222658	0.5323844	0.2920323
0.9926713	0.5757940	0.9879460	0.2314741	1.0159659	0.4862680	0.8867149	0.7089239	1.0072464	0.9736110	0.9798854	0.9412830	0.3218863	1.0228261	0.9188106	0.6506395	0.9584694	0.1889233	1.0415910	0.8830103	1.0474302	0.4629109	0.9011382	0.8265584	0.8142805	0.9317919	0.9458239	0.5606086	1.0866411	0.1157573	0.5996065	1.1369185	0.9516564	0.8266767	0.7765357	0.6836358	0.9432535	0.5467339	0.8492166	0.5428411	0.7511866	0.9950419	1.1002351	0.8951189	0.6797837	1.0489640	0.7667946	0.3818259	0.5705287	0.3181959
