pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.0000000	0.5764205	1.0247773	0.2126293	0.9863893	0.5605021	0.9674166	0.7628666	0.9937946	0.9752664	0.9978094	0.9743535	0.6591499	0.9575395	0.0213534	0.6342883	1.0409726	0.1434160	0.0794419	0.0191387	1.0216798	0.6585444	0.0030542	0.0920844	0.8106030	0.8946702	0.0127291	0.5733248	0.9586085	0.1254544	0.6388788	1.0795341	1.0029324	0.8815207	0.7996529	0.8950379	0.8817963	0.5945851	1.0671161	0.7199117	0.7560062	0.9893663	1.0333381	0.9862347	0.7623364	1.0363106	0.7312342	0.4095071	0.5212373	0.2859802
1.0362192	0.0000000	1.0180318	0.1996187	0.9744787	0.6016938	0.8861428	0.7453826	0.9836084	1.0151120	1.0877068	0.8884775	0.7189543	1.0048089	0.8423872	0.7029029	0.9552555	0.1414009	0.9824184	1.0258663	1.0766708	0.6173814	0.9062068	0.7927887	0.6615418	0.8585508	0.9823589	0.6188257	0.9671909	0.1037575	0.6415514	1.0020094	0.8716324	0.8938235	0.8729741	0.7633629	1.0393420	0.5944112	1.0135777	0.6925098	0.8774645	1.0452446	0.9800330	1.0992291	0.6828296	0.9837146	0.7643976	0.3868930	0.5731796	0.2783344
1.1010877	0.0434447	0.0000000	0.9650081	0.0370428	0.0134902	0.0414074	0.0059287	0.0316500	0.0105959	0.0151639	0.0632345	0.0691912	0.0201249	0.8335883	0.1824538	0.0614232	0.9997747	1.0229983	1.1410969	0.0009788	0.0051611	0.9376849	0.7999610	0.0141850	0.0488013	0.9905804	0.0553792	0.1653013	0.9703691	0.0191755	0.0452496	0.0814574	0.0442071	0.0439955	0.0650505	0.0187880	0.0805251	0.0582257	0.0396562	0.0045769	0.0194938	0.0401055	0.0448030	0.0657148	0.0509205	0.0474796	0.9879716	0.9609570	0.9532489
1.0824441	0.5452027	1.0215824	0.0000000	1.0069207	0.5339530	0.9379362	0.7182338	1.0346604	0.9229079	0.9454301	0.9909385	0.6687872	0.9663337	0.8043086	1.0071431	1.0320602	0.1365313	1.0689028	1.0011740	1.0609700	0.5691212	0.9448325	0.7546693	0.8245044	0.9413833	0.9697570	0.5609385	1.0165270	0.0916374	0.6033262	1.0153030	0.9507722	0.7785263	0.8411215	0.7850152	1.0048526	0.5473505	1.0412385	0.6599965	0.7392549	0.9603649	1.0704205	1.0250237	0.7669155	1.0181371	0.7864257	0.3611921	0.5476619	0.2552966
1.0226096	0.5680369	1.0919685	0.1996950	0.0000000	0.5294264	0.8522208	0.7269481	0.9912449	0.9949533	1.1019435	0.9722144	0.6582444	1.0219078	0.8279781	0.6966880	0.9721000	0.1374250	0.9624531	0.9796273	1.0047973	0.5314808	0.8905934	0.7839719	0.0131997	0.9856812	1.0049865	0.6325775	1.0182501	0.1586566	0.6211188	0.9236022	0.9017396	0.8832886	0.8514795	0.7178666	1.0189935	0.5908127	1.0040235	0.5928467	0.8187982	1.0042741	1.0423856	0.0379505	0.0674372	0.0220813	0.0342131	0.9406002	1.0733450	0.2821688
1.0380965	0.5741042	1.0234840	0.2134223	1.0348693	0.0000000	1.0063428	0.6319414	1.0360385	1.0678064	0.9095713	0.9730369	0.6746847	1.0107769	0.7750903	0.6798810	0.9986110	0.1657422	0.9484165	1.0277744	0.9908070	0.5547151	0.9183010	0.8578717	0.7558732	0.9493517	0.9475837	0.5900091	0.9931318	0.1140397	0.5376507	0.9305364	0.8591856	0.9095918	0.8543424	0.7673024	0.9898138	0.6525722	0.9344810	0.6155969	0.7372269	1.0277156	1.0458840	1.0835751	0.7558233	1.0089367	0.7312269	0.3354457	0.5353651	0.2779464
0.9355334	0.5238411	0.9058341	0.2231106	1.0076880	0.5226414	0.0000000	0.7411226	1.1238717	1.0361568	0.9403497	0.9230685	0.6696350	1.0470211	0.8523865	0.6298721	0.9162738	0.1368497	1.0281129	0.9698108	1.0576474	0.5674046	0.9048166	0.7473999	0.8175246	0.8451511	0.9285927	0.5248400	0.9579953	0.1327262	0.5775801	0.9737533	0.8419510	0.8279029	0.7910559	0.6426328	0.9761680	0.5509463	0.9174379	0.6090100	0.7190683	1.0670814	0.9571863	1.0652608	0.7561206	1.0433296	0.7015121	0.3850864	0.6173640	0.2831368
1.0511196	0.5500709	0.9806420	0.2106239	1.0571608	0.4591657	1.0019673	0.0000000	0.9704758	1.0885758	1.0772760	0.9892541	0.7129224	1.0181586	0.7938929	0.7315284	1.0567967	0.1223424	0.9332788	1.0298908	1.1335409	0.5123040	0.9759144	0.7917395	0.7787606	0.8988818	0.9068696	0.5663457	1.0544526	0.0969485	0.6223655	0.9745537	1.0081378	0.8602924	0.7764741	0.6862295	0.9340624	0.5655695	1.0365827	0.6461706	0.7236548	1.0176575	1.0178382	0.9483602	0.7457288	1.0017525	0.7562675	0.4498867	0.5916735	0.2980012
0.9590645	0.5686345	1.0224279	0.2161857	1.0235130	0.5375285	0.9384147	0.7681105	0.0014584	0.8572032	1.0117163	0.8783686	0.6821603	0.9935840	0.8607863	0.7719860	1.0252369	0.1684722	1.0362376	1.0282169	0.9545214	0.6581481	0.9053585	0.7229168	0.8385543	0.8993846	0.9725066	0.5500721	1.0408723	0.1078999	0.6555233	0.9152202	0.9132786	0.8790807	0.7862828	0.6859972	1.0023083	0.5816590	0.9534121	0.6205450	0.7355548	0.9988396	0.9745400	1.0542837	0.7204427	0.9884322	0.8525001	0.3057622	0.4799685	0.2927737
1.0371056	0.5378658	0.9933144	0.2565381	1.1183206	0.5738768	0.9578022	0.7257357	1.0859078	0.0000000	1.0659656	0.9373710	0.6757698	1.0154118	0.8514933	0.6568994	0.9603024	0.1546282	1.0274348	1.0909747	1.0669768	0.5400790	0.9745939	0.8072512	0.7712721	0.9254005	1.0037469	0.5605076	0.9574262	0.0947903	0.6578401	0.9610546	0.8134774	0.8295855	0.8084097	0.7451267	0.9745069	0.5216971	1.0820303	0.6664185	0.7653818	1.0326288	1.0934394	1.0361028	0.6940367	0.9827770	0.7318509	0.3659277	0.6234371	0.2702915
