pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9543867	0.6012757	1.0543372	0.2424544	0.9682558	0.5526244	1.0127216	0.7816759	0.9982862	0.9676455	0.9830966	1.0299435	0.7626951	0.9746517	0.8538090	0.6061110	0.9845298	0.0366314	0.8953344	0.9108132	1.0647065	0.5985318	0.9123831	0.9931812	0.7435896	1.0249367	0.9249134	0.6610913	1.1215109	0.1228933	0.6597907	0.9767777	0.8476095	0.8207330	0.8259431	0.6904914	1.0653859	0.5162569	1.0179715	0.7306225	0.7702808	1.0522555	0.9519067	1.0180225	0.7485125	1.0019846	0.6573742	0.3470162	0.4850665	0.2637102
1.0361913	0.6900769	1.0193784	0.1349668	1.0685602	0.4979303	0.8797547	0.7211025	0.9583059	0.9912962	1.0175215	0.9478958	0.8040845	0.9671893	0.8061530	0.9065901	0.9387785	0.1071461	0.9023433	0.9812040	1.0193036	0.5247496	0.9543681	0.9005287	0.7534405	0.9392587	0.9818395	0.7060370	1.0462153	0.1157362	0.6063104	0.9680660	0.9469052	0.7770025	0.8810831	0.6605114	0.9819510	0.6417078	0.8766047	0.8048535	0.7498750	1.0573510	0.9302146	0.9562116	0.8053295	1.0846212	0.7604474	0.3366244	0.3365760	0.3146597
0.8944813	0.5211902	1.0475538	0.2238226	1.1098157	0.8008840	0.8765467	0.6705846	0.9978819	1.0672443	1.0262464	0.9666867	0.5778940	0.9844098	0.8763024	0.5706465	0.9708569	0.1585550	0.9513044	0.9329911	1.0040536	0.6849057	0.8754358	0.8816248	0.9463934	0.8202050	0.9428838	0.5225427	0.4760094	0.1394589	0.6937448	0.9304752	0.8196909	0.8320446	0.8572339	0.5813238	0.9837120	0.6425536	1.0055033	0.5141275	0.7853319	1.0204943	1.0179341	0.9849599	0.6646671	1.0291612	0.7591375	0.2011159	0.5565189	0.0846714
0.9926029	0.5444442	1.1148446	0.1077075	1.0212305	0.6669906	0.8542462	0.7566133	0.8733872	0.9040062	1.0772099	0.9315819	0.7450458	1.0522201	0.8470631	0.8464680	1.0160048	0.0938306	1.0689641	1.0446189	0.9659757	0.5440643	0.9240484	0.8215068	0.9092682	0.8557357	0.9206160	0.6895049	0.6898160	0.0080036	0.5762776	0.9770047	0.9886535	0.8548922	0.8761299	0.7535428	1.0336064	0.7317140	0.8627503	0.7004718	0.7652334	0.9854506	0.9499120	0.9998027	0.8292375	0.9508212	0.7397181	0.3721096	0.3997353	0.2542866
1.0115843	0.4929599	0.9177530	0.1284856	1.0650209	0.4793671	0.8062709	0.6641573	1.0202096	0.9322764	0.9306502	0.9542311	0.7572886	0.9278002	0.8956564	0.7679286	0.9399684	0.1668552	0.8377232	0.9822331	1.0603492	0.5837260	0.9207064	0.8529523	0.7366832	0.9910706	0.8916257	0.5263098	0.9823722	0.0559624	0.5504540	1.0203383	0.8201048	0.8643724	0.8253125	0.6229491	0.9667806	0.6525797	0.9673865	0.7033793	0.7493414	1.0233810	1.0337835	1.0170030	0.7428756	1.0075416	0.7142008	0.3521357	0.6066227	0.2041415
1.0078182	0.4942278	1.0061096	0.1389323	0.9927625	0.6802301	0.9252560	0.8273537	1.0165613	0.9511717	0.9777153	0.8843182	0.7500591	1.0329596	0.8978584	0.4671799	0.9796332	0.1518614	0.9363985	0.9163822	0.9632322	0.6508256	0.9790878	0.8096306	0.7238576	0.9250198	0.8871887	0.5691320	1.0870425	0.0243003	0.6699421	1.0028273	0.8923183	0.8704736	0.8530934	0.6841692	0.9780485	0.5674203	0.9277402	0.6316996	0.8598020	0.9424673	1.0109780	0.9145325	0.7828068	1.1189936	0.6763200	0.1570033	0.5387761	0.2623906
0.9744222	0.7330727	0.9363261	0.1783121	0.9699029	0.6039562	0.8996770	0.9336053	0.9491993	1.0451431	0.9702921	0.8935800	0.5977255	1.0368258	0.9111576	0.7675759	1.0222441	0.0750751	1.0076568	0.8964719	1.0095974	0.6498418	0.8892351	0.8222948	0.6200943	0.9047827	0.8989200	0.5863975	0.9410276	0.1181827	0.6343078	0.9998393	0.9624488	0.8319288	0.7801579	0.6701431	1.0586135	0.6769066	0.8366321	0.8242328	0.8854995	1.0001853	1.0070966	0.9556996	0.4752017	0.9438087	0.5728463	0.4630494	0.6860729	0.2948548
0.9404364	0.5837814	1.0242938	0.0865289	1.0584730	0.5444668	0.9075062	0.7543861	0.9502033	0.9933070	1.0484196	0.9077955	0.7635813	0.9797399	0.8135760	0.7773101	0.9473052	0.0580479	1.0625904	0.9333739	1.0031825	0.6163428	0.8748150	0.8056566	0.7371359	0.9335627	0.9514891	0.5450779	0.6721748	0.0141416	0.8268942	1.0264917	0.9216806	0.8188607	0.9699606	0.8242599	1.0060446	0.5222690	0.9799405	0.6799482	0.8135286	1.0671407	1.0227467	1.0043193	0.8062299	1.0541289	0.7601656	0.3221144	0.2884962	0.0590059
1.1177368	0.5332464	1.0101167	0.1136379	1.0975555	0.5365306	0.8252355	0.7219724	1.0372174	1.0024398	0.9948231	0.8711208	0.9211243	1.0498210	0.8668961	0.9435616	0.9480509	0.1528089	0.8774568	1.0013742	0.8917888	0.5806812	0.9182483	0.7302294	0.8402481	0.8814450	0.9261706	0.7155396	1.0665065	0.0429861	0.6522360	0.9925291	0.9048814	0.8679820	0.8301842	0.7534492	0.9508419	0.6720890	1.0582612	0.6069430	0.7478923	0.8522748	0.9727469	0.9183947	0.6322828	1.0549422	0.7726237	0.4104302	0.3406966	0.2742371
1.0179041	0.4287618	0.8714170	0.1052706	0.9544783	0.7344567	0.9246720	0.6099512	1.0055624	1.0080755	0.9807528	0.9042299	0.6585417	0.9462449	0.7677776	0.5861109	1.0271537	0.1858559	1.0733610	0.9445732	1.0619650	0.3354331	0.8855934	0.7699896	0.7040506	0.9449414	0.9566007	0.5862917	0.9614228	0.0344500	0.5317102	0.8541175	0.8174318	0.7411938	0.8177544	0.5137125	1.0446892	0.5057052	1.0431486	0.4885692	0.9044004	1.0108401	1.0511724	0.9957251	0.7786020	0.8848716	0.7784462	0.3075603	0.3328899	0.3031805
