pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.5190613	0.5658486	1.0669741	0.1655923	1.0894036	0.6364648	0.8524842	0.6773454	0.9533899	1.0308435	1.0713228	0.9779443	0.6977374	1.0688516	0.4028606	0.7013305	0.9670389	0.1505017	0.8608167	0.7687076	1.0520766	0.7495539	0.8407627	0.5881083	0.7587564	1.0355370	0.5951209	0.6295643	0.9385305	0.1261669	0.6626294	1.0425735	0.9789431	0.7939055	0.8330636	0.8606252	0.8780436	0.5869922	0.9339451	0.6627339	0.8190921	0.9749301	1.0146107	1.0135933	0.8846605	0.9710564	0.7710829	0.3859398	0.5128805	0.3047728
0.9827410	0.2342900	0.9874843	0.2311130	1.0040048	0.5066243	0.9707740	0.7126680	1.1082264	0.9749770	1.0811987	0.8613042	0.6901281	0.9347488	0.9071397	0.5786567	0.9936167	0.1342275	1.0741311	1.0550470	0.9111592	0.4922288	0.9361312	0.7307557	0.6678258	0.8502608	0.9935317	0.5362584	0.9555555	0.1159439	0.6132980	0.9604722	0.9352138	0.8171821	0.7808725	0.6596451	1.0069869	0.6012721	0.9940150	0.5734282	0.7062531	0.9871016	0.8955807	0.9778079	0.7530754	1.0271794	0.7991098	0.3369452	0.5014371	0.2417257
0.9523222	0.2916160	0.5577416	0.3649819	1.0661329	0.3082986	0.5777682	0.4311708	0.9418922	1.0624510	0.8029895	0.8886573	0.2976927	1.0084504	0.8063581	0.4846562	0.8493862	0.4310587	0.9815220	0.9045485	0.8047283	0.0582635	0.9140759	0.7958281	0.6983143	0.6213281	0.9736866	0.2305277	0.8441024	0.2185066	0.2078406	0.7484077	0.4799753	0.4591446	0.3864525	0.2402050	1.0510568	0.3780983	0.9590898	0.2641401	0.2983611	1.0264580	0.9626112	1.0624184	0.5936838	0.8287337	0.8190871	0.4149771	0.6274645	0.4354622
1.0343730	0.5630095	0.9875033	0.0796425	0.9991675	0.4494793	0.9418505	0.8316896	0.9191332	0.9864956	0.9350354	1.0114595	0.6029120	1.1300232	0.8573848	1.0421265	1.0163951	0.1891744	1.0046437	0.9608944	1.1551470	0.5590396	0.9725952	0.8852144	0.7290940	0.9334201	0.9313620	0.5950531	1.0053019	0.0999683	0.6099177	0.9355288	0.8440793	0.8348101	0.7393720	0.6944889	0.9035183	0.5811102	1.0136778	0.6654475	0.7502717	1.0314624	0.9554601	1.1013125	0.7331108	1.0538574	0.7958525	0.3274659	0.5667205	0.2814714
1.0819332	0.4683222	0.9379090	0.2154090	0.4638835	0.5287556	0.9186923	0.7877361	1.0224458	1.0421028	1.0782400	0.9590890	0.6891864	1.0304545	0.7549726	0.7080209	0.9924022	0.2136805	0.9211773	0.9890868	1.0220090	0.5237641	0.9749429	0.8384970	0.1497038	0.9824521	1.0803802	0.5514077	0.9074586	0.1458677	0.5626786	1.1028005	0.8721589	0.8076739	0.8797521	0.6757848	1.0273086	0.4696749	0.9753693	0.6803460	0.7357740	1.0520144	1.0240932	0.7823130	0.1511616	0.9812263	0.3723252	0.8659120	0.6775481	0.2291912
1.0395282	0.5442831	1.0381577	0.2082357	1.1529750	0.2815863	0.8676090	0.7359576	0.9939419	1.0794765	0.9666205	0.9637992	0.6755786	0.9224223	0.8150932	0.7749074	0.7932448	0.1614077	0.9816282	0.9145691	1.0099133	0.4740921	0.8457688	0.8107226	0.7425406	0.8979759	0.8650788	0.5469743	0.9790095	0.1313342	0.5405532	0.9425625	0.8805096	0.8092091	0.7694650	0.7230495	1.0949545	0.5767068	0.9296475	0.5325075	0.6773071	0.9340678	1.0533425	1.0650630	0.7013807	0.9111123	0.7888920	0.4010479	0.5066855	0.3143944
0.9745666	0.5378146	1.0184687	0.2007388	1.0443163	0.6194142	0.5161194	0.6678591	1.0637419	1.1098874	0.9796402	0.9822093	0.6818570	0.9934295	0.7222889	0.6367194	0.9909974	0.1390256	1.1107785	0.9453059	1.0059173	0.5127840	0.9151462	0.7832046	0.8338672	0.8668272	1.0214040	0.5370926	1.0461074	0.1290346	0.7275344	0.9952376	0.8652649	0.8876681	0.8632072	0.7245731	1.0276196	0.5798277	0.9996326	0.6294504	0.7988130	0.9821549	0.9279949	1.0266106	0.7760546	0.9369623	0.7944815	0.3749296	0.5854242	0.3009413
1.0272865	0.6072443	1.1483459	0.1985084	1.0640826	0.5758800	0.8959721	0.3306167	0.9023612	1.1128198	1.0305848	0.9355573	0.7812777	1.0629217	0.8756586	0.6598000	0.9645961	0.1384719	1.0202927	1.0207754	1.0297829	0.7345991	0.9610729	0.7601833	0.7246355	0.8836724	0.9598500	0.5767417	0.9056007	0.1038401	0.6915501	0.9948957	1.0078820	0.7928964	0.9560014	0.7917360	1.0773841	0.5961120	1.0968261	0.6988851	0.8327162	0.9057778	1.1439275	0.9657590	0.7273991	1.0536022	0.7361365	0.3659273	0.5817607	0.2433979
0.9279956	0.5989830	1.0592303	0.2002856	0.9116129	0.5803380	0.8458432	0.7025798	0.5294213	1.0272986	0.9281595	0.9517549	0.7042524	1.0381025	0.8235721	0.7004400	1.0453062	0.1904999	1.0381588	0.9353038	0.9603259	0.6081054	0.9640885	0.9070741	0.6083327	0.9079928	1.0212343	0.5865801	1.0960916	0.0981636	0.6131245	0.9895510	1.0110241	0.8181525	0.7984328	0.7035673	0.9792295	0.5497117	0.9516038	0.6223490	0.8624840	0.9208912	0.9702251	0.9260123	0.6049913	1.0247127	0.7071458	0.4134093	0.5764513	0.2513615
1.0995516	0.5265048	1.0498750	0.1967817	1.1146200	0.6024566	0.8448660	0.7374407	1.0254652	0.4911137	1.0118597	0.9570611	0.7534094	1.0440986	0.8011016	0.6921517	0.9555771	0.1457876	0.9793145	1.0370913	1.0161160	0.6997623	0.9272598	0.7484228	0.6975725	0.9919986	0.9863517	0.5919228	1.0100517	0.0992764	0.6965476	0.9517717	1.0337907	0.7725311	0.8839757	0.8579886	0.8717325	0.5940981	1.0488281	0.6458211	0.7120106	0.8994972	1.0657474	0.9934607	0.7991667	0.9910692	0.7735546	0.3565367	0.5183366	0.2212252
