pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.0000000	0.5241351	1.0763493	0.1949998	1.0217592	0.5351498	0.9326358	0.7188620	1.0393079	0.9915253	0.9910474	0.9712754	0.6822312	1.0088792	0.0273065	0.7107829	0.9184896	0.1494314	0.0812329	0.0315433	0.9394085	0.6798730	0.0045486	0.0858037	0.7664388	1.0106454	0.0283542	0.4577920	0.8314615	0.0966545	0.5879823	0.9404768	0.9605226	0.7948634	0.8866800	0.7759743	1.0435265	0.5291270	1.0943631	0.5803577	0.7916171	0.9766554	0.9927486	0.9998938	0.6529589	1.0545341	0.7768370	0.3860293	0.5446467	0.3383198
0.9968657	0.0000000	1.0138564	0.1765616	0.9753997	0.6692746	0.8826890	0.7036875	1.0193905	1.1009152	1.0082563	0.8879817	0.7929205	0.9708110	0.8219447	0.6431587	0.9669031	0.1275669	0.9501607	1.0297796	1.0313754	0.6395194	0.9654728	0.7334656	0.7036714	0.7845924	0.9293256	0.5659822	0.9633280	0.0918605	0.6371658	1.1044967	0.8930662	0.8651837	0.8134817	0.7532510	1.0071792	0.6712703	1.0622463	0.6462392	0.7709449	0.9441730	1.0188316	1.1516211	0.7098347	1.0148947	0.7317575	0.3753271	0.6040521	0.3061485
1.0528364	0.0584649	0.0000000	1.0131638	0.0688723	0.0243158	0.0573752	0.0132385	0.0199389	0.0121486	0.0103605	0.0770885	0.0595016	0.0240287	0.8425138	0.1602005	0.0448153	1.0224147	0.9926042	1.0495481	0.0073962	0.0074655	0.8514737	0.7710918	0.0096958	0.0613031	0.9681525	0.0602441	0.1268164	1.1047659	0.0303967	0.0553324	0.0608488	0.0383074	0.0431836	0.0853227	0.0327557	0.0736734	0.0539000	0.0464214	0.0048193	0.0162427	0.0420923	0.0495251	0.0523611	0.0448166	0.0312892	0.9285557	0.9674837	0.9862678
1.1405458	0.4853330	1.0136040	0.0000000	1.0814532	0.5478784	1.0509749	0.7345460	1.0401745	1.0118466	1.0328608	0.9389018	0.6826502	1.0119257	0.7583984	1.0100654	0.9368815	0.1214492	1.0802963	0.9608713	1.0366479	0.6293749	1.0239370	0.8632589	0.8661089	0.7781567	0.9456382	0.5485458	0.9479830	0.0790224	0.6149656	0.9631432	0.9362670	0.8986792	0.8140151	0.7188214	0.9697849	0.5339616	0.9507739	0.7068730	0.7064186	1.0038771	0.9748563	1.0379767	0.7631030	1.0771904	0.8021448	0.4223506	0.5546164	0.2494238
1.0247011	0.5697799	1.0597436	0.2259493	0.0000000	0.4810335	0.9409368	0.7958415	1.0071861	1.0119011	1.0844176	1.0619537	0.5532597	1.0603081	0.8145185	0.6814448	0.9679921	0.1477330	1.0282470	0.9486410	0.9643694	0.6130786	0.8856348	0.8061065	0.0106653	0.9216384	0.9678773	0.6545749	1.0635728	0.1538341	0.6433521	0.9853168	0.9420032	0.8842840	0.8369751	0.7568691	0.9787197	0.6042968	0.9605408	0.7020367	0.7745367	0.9087366	1.0133656	0.0418374	0.0608745	0.0271691	0.0583585	0.9324178	1.0833880	0.2426862
1.0046372	0.6267695	0.9815613	0.2289179	1.0503419	0.0000000	0.9439037	0.6983869	1.0362911	0.9416129	0.9238486	0.8456016	0.6678422	0.9802418	0.7437782	0.6207551	1.0071170	0.1810539	0.9837037	1.0319618	0.9171413	0.5850882	0.9694143	0.8506588	0.6967252	1.0267929	0.9645707	0.5639655	1.0145188	0.1273164	0.5251968	0.8787853	0.8682719	0.8521981	0.9175411	0.6703551	1.0408751	0.5696318	1.0227898	0.5135253	0.7650649	1.0848898	1.1088385	0.9840471	0.7453505	0.9091764	0.6689042	0.3762800	0.5406438	0.2800209
0.9962564	0.5153909	0.9351261	0.2580451	1.0139327	0.5102175	0.0000000	0.6480702	1.1399840	1.0405117	0.9465492	0.9513754	0.6477790	0.9724496	0.8796007	0.6237519	0.9084754	0.1113686	0.9395609	0.9753370	0.9849029	0.4820529	0.8784783	0.8444622	0.9006460	0.9608241	0.9197423	0.5155814	0.9152964	0.1354774	0.6724235	0.8510436	0.9191682	0.8149372	0.7773870	0.5998835	0.9840877	0.5538819	0.8467712	0.6626664	0.7276373	1.0825247	0.9445097	0.9592014	0.7914080	0.9663849	0.7525546	0.3316855	0.6083130	0.2928538
0.9433795	0.4868596	0.9484894	0.2142990	1.0572806	0.4738975	0.9300151	0.0000000	0.9881514	1.0722877	1.0574167	0.9269622	0.6602437	1.0312726	0.8124887	0.7510325	1.0329643	0.1496631	0.9911869	0.8549703	1.0242526	0.5222508	0.9724323	0.7345756	0.8460769	0.9330730	0.9176611	0.5419571	1.0541125	0.1342317	0.5728990	1.0008715	1.0417154	0.8906617	0.8059586	0.6304464	0.9543313	0.5326099	1.0395998	0.6439088	0.6990585	1.0618945	1.0329662	0.9544543	0.7696785	0.9890173	0.7397773	0.4449719	0.5581615	0.2710414
1.0026330	0.6149653	0.9929701	0.2256801	1.0711795	0.4273279	0.9253267	0.6409878	0.0041228	0.8910053	1.0147570	0.8938970	0.6838477	1.0191488	0.8839666	0.7682687	1.0925833	0.1572350	1.0039268	0.9995261	0.9165321	0.6817728	0.9454589	0.7154174	0.9009753	0.8231247	0.9379258	0.5442636	1.0454421	0.0941460	0.6857061	0.9054146	0.9890224	0.7794811	0.9063558	0.6739016	0.9347025	0.5955227	1.0791879	0.6525061	0.8232397	0.9174099	0.8738468	1.0405416	0.7657665	0.8621802	0.7603280	0.3366184	0.5308765	0.2758021
1.1018671	0.4830745	0.9842527	0.2491285	1.1606191	0.5498225	0.9682064	0.7118812	1.0495307	0.0000000	1.0370329	0.9779913	0.6357162	1.1248570	0.7967360	0.6965271	1.0551187	0.1424042	0.9582926	1.0371165	0.9718347	0.5430056	0.9283886	0.7733443	0.7024408	0.9535126	0.9378687	0.5578853	0.9054424	0.1209753	0.6277500	1.0005983	0.7547848	0.8298021	0.7819541	0.6400778	1.0539231	0.6088751	1.1085225	0.6361180	0.7919157	0.9043777	1.0088367	1.0925632	0.6328635	0.9059309	0.6977262	0.4254949	0.6274528	0.2923678
