pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.8772498	0.5256787	1.0805118	0.2046683	1.0691203	0.5626220	1.0144264	0.7850920	1.0058598	0.9928235	1.0000770	1.0795166	0.8270884	1.0185092	0.9592906	0.5772310	1.0004615	0.0385462	0.9098124	1.0126528	0.9825952	0.6008174	0.9430564	0.9880367	0.7283154	1.0425835	0.8442716	0.6840668	1.0499764	0.1192657	0.7015928	0.9954019	0.9192062	0.8491078	0.8230929	0.6892168	1.0881361	0.4962198	0.9771527	0.7759339	0.7951180	1.0736359	0.9474216	1.0448877	0.8193077	0.9837100	0.6920246	0.3901049	0.5012942	0.2626439
1.0282237	0.7250876	0.9250899	0.1542897	1.0834728	0.5697456	0.9100879	0.6980340	0.9969931	1.0354971	1.0200260	0.9606068	0.7926259	0.9242369	0.8146769	0.9482519	0.9008336	0.1024844	0.9179763	0.8645700	1.0033445	0.7049608	0.9578837	0.8585523	0.7558598	0.8704039	1.1029354	0.7612696	1.0103007	0.1184646	0.6335469	1.0701089	0.9211046	0.7752901	0.9033808	0.6482602	1.0578949	0.6145806	0.9224782	0.8373171	0.7437527	1.0340294	0.8810457	0.9638746	0.8711610	1.0293767	0.8121186	0.3165826	0.3395377	0.3664750
1.0285589	0.5654519	0.9706215	0.1764752	1.0353447	0.9112407	0.8938433	0.7869825	1.1021252	1.0994265	1.0652110	0.9861662	0.5997689	1.0658597	0.8322024	0.5798948	0.9454183	0.1440572	0.8786400	0.8944558	0.9361703	0.6843562	0.8093639	0.8874407	0.9368330	0.8237275	0.9692055	0.4779171	0.3880112	0.1128709	0.6497036	0.9366673	0.8642954	0.8536846	0.8550404	0.6255231	0.9708433	0.6743415	1.0060856	0.5388304	0.8106241	1.0365624	1.0197270	0.9850636	0.6742439	1.0200114	0.8306420	0.2097146	0.5041555	0.0650724
1.0107805	0.5232144	1.0398612	0.1401436	0.9984462	0.7146386	0.9827231	0.7979678	0.9819448	1.0134065	1.0207025	1.0288662	0.7770013	0.9745601	0.8136148	0.9058000	0.9242638	0.0794234	1.0747612	0.9505048	0.9918976	0.5956013	0.9167309	0.7835705	1.0130087	0.9157109	0.9588208	0.7267229	0.6111160	0.0162277	0.5518392	0.9368344	0.9858327	0.8760177	0.8655539	0.7077395	1.0775729	0.7198586	0.9107972	0.6669202	0.8569405	0.9705624	1.0032778	0.9324195	0.8218995	0.9064034	0.7545161	0.3381151	0.4076623	0.2929549
0.9948683	0.4922292	0.9836650	0.1338345	1.0510883	0.5009502	0.8210434	0.6246171	0.9272375	0.9577546	0.9541064	0.9699621	0.7598365	1.0586476	0.7789073	0.8089658	0.9090839	0.2064676	0.7840986	0.9846621	1.1290382	0.5607947	0.8817944	0.8645031	0.6232039	0.9771625	0.8148157	0.5046088	0.8724588	0.0440235	0.5116328	1.0723206	0.8404696	0.8339994	0.9045460	0.5929587	1.1028104	0.6138587	1.0121451	0.6379792	0.7641903	1.0414317	0.9581169	1.0180681	0.7306288	0.9806176	0.7325262	0.3436215	0.6370797	0.2370750
1.0534516	0.5698567	1.0467664	0.1305244	1.0392415	0.7388239	0.8941281	0.7899622	0.9471691	0.9785762	0.9217613	0.8289883	0.7810565	1.0059081	0.8872637	0.5233594	1.0006991	0.1312426	0.9610354	0.9862115	1.0660303	0.7284479	0.9729709	0.8568386	0.6688247	0.8878944	0.8826941	0.5269203	1.0746891	0.0165419	0.6489081	1.0287766	1.0217842	0.8987342	0.8175917	0.7211830	1.0030073	0.5149096	0.9221179	0.6336209	0.8379143	0.8329349	1.1348389	0.9496944	0.8139282	1.0450217	0.7044520	0.1279539	0.5715791	0.2660955
1.0522315	0.7493592	1.0081385	0.1778719	0.9630040	0.5893596	0.9393063	0.9105282	1.0863706	1.0159305	0.9822910	0.8538885	0.6510087	0.9201638	0.8764864	0.7141477	1.1212812	0.0930658	1.0195134	0.8133461	0.9742884	0.6866402	0.8761419	0.8334674	0.6156697	0.8868291	0.8892587	0.6670505	1.0224279	0.0953261	0.6158198	1.0258996	1.0372370	0.8475435	0.8004018	0.7016541	1.0531472	0.7690079	0.9960648	0.7772941	0.8417289	0.9798630	1.0007160	0.9726993	0.4614700	0.9913155	0.6029174	0.4637357	0.6056333	0.3266997
0.9626758	0.6442509	1.1266865	0.1119104	1.1209094	0.6047809	0.8869449	0.7068544	0.9860810	0.9133131	1.0152294	0.9707600	0.8020317	1.0071341	0.7670369	0.8340753	1.0337696	0.0813229	0.9443198	0.9941820	1.0936021	0.5884541	0.8493633	0.7195753	0.7075950	0.8997154	0.9585224	0.5975837	0.6740216	0.0144073	0.8225425	1.0384557	0.8434927	0.8577471	0.8545216	0.7800562	1.0523886	0.5273459	1.0032516	0.6840850	0.8688547	1.0866131	1.0437816	0.9856969	0.7882644	1.0544764	0.7620660	0.3757395	0.3237114	0.0769394
1.0813452	0.5478198	1.0456335	0.1226052	1.0427229	0.5507446	0.9454449	0.6985551	0.9187541	1.0351143	1.0068144	0.9695314	0.9644435	1.0071714	0.9223523	0.9450071	0.9149170	0.1496450	0.8441995	0.9745789	0.9377753	0.6250190	0.9365045	0.7872768	0.8462428	0.9627555	0.9116836	0.6351526	1.0228446	0.0508878	0.6612707	0.9727829	0.9298168	0.7735340	0.8990353	0.7421876	1.0074228	0.6544984	1.0383128	0.5719466	0.6815276	0.9061519	0.8987365	0.9125864	0.6870772	1.0172048	0.6932859	0.3850548	0.3557604	0.2774680
1.0336580	0.4149020	0.8767130	0.1390954	0.9488670	0.6844047	0.9404650	0.6327417	1.0076215	1.0601890	0.9415836	0.8952988	0.6500261	0.8824549	0.7910781	0.5457351	0.9927988	0.1715990	0.9756518	0.9411507	1.0562535	0.4304117	0.9307930	0.7285640	0.7580276	0.9822294	0.9890969	0.5695360	0.9347035	0.0330535	0.5070313	0.8657510	0.8718748	0.7180717	0.8027497	0.5887015	1.0303081	0.5393123	1.0124526	0.4131981	0.9563867	1.0354447	1.0147380	1.0321462	0.8310257	0.8707738	0.7490549	0.2573464	0.3496307	0.3271062
