pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.5000000	0.5349102	1.0000000	0.1959435	0.9994802	0.5297207	0.9181308	0.7130788	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.3337163	0.6861538	0.9878340	0.1464829	0.7134696	0.6971572	0.9904970	0.5698975	0.7076559	0.5557079	0.7267469	0.9123297	0.4138502	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.2674723	1.0000000	0.1959435	0.9994802	0.5297207	0.9181308	0.7130788	0.9999825	0.9903992	0.9921214	0.9380159	0.6713047	0.9982183	0.8277516	0.6861536	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267468	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409504	0.3902467	0.5590186	0.2810191
1.0000000	0.2532654	0.5000017	0.3402903	0.9914711	0.2642545	0.6134605	0.3550851	0.9998680	0.9425782	0.6982420	0.8677645	0.2588570	0.9592001	0.8277516	0.4377696	0.8322379	0.4279357	0.9884475	0.9750239	0.7854559	0.0367041	0.9163993	0.8027671	0.7207516	0.6101983	0.9457263	0.2216325	0.8641871	0.2421692	0.1961077	0.8681150	0.3870353	0.3942969	0.4003768	0.2063431	0.9999855	0.3784717	0.8759276	0.2184640	0.2573940	0.9652112	0.9982995	0.9874741	0.6963587	0.9996902	0.7368847	0.3957127	0.5609342	0.4813176
1.0000000	0.5349102	1.0000000	0.0979717	0.9994802	0.5297207	0.9181308	0.7130788	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.9019846	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9978823	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.4997402	0.5297207	0.9181308	0.7130788	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.1706872	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9155835	0.1201305	0.9938615	0.3278109	0.8267859	0.7217295	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.9994802	0.2648662	0.9181308	0.7130788	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.9994802	0.5297207	0.4590681	0.7130788	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.9994802	0.5297207	0.9181308	0.3565397	0.9999825	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.9994802	0.5297207	0.9181308	0.7130788	0.5000568	0.9903992	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
1.0000000	0.5349102	1.0000000	0.1959435	0.9994802	0.5297207	0.9181308	0.7130788	0.9999825	0.4952797	0.9921214	0.9380162	0.6713047	0.9982183	0.8277516	0.6861538	0.9878340	0.1464829	0.9884475	0.9750239	0.9904970	0.5698975	0.9163993	0.8027671	0.7267469	0.9123297	0.9457263	0.5605012	0.9771642	0.1101326	0.6104470	0.9694794	0.9226133	0.8364843	0.8223893	0.7029147	0.9999994	0.5675412	0.9760963	0.6234999	0.7582786	0.9904611	0.9999465	0.9877589	0.7045942	0.9997009	0.7409505	0.3902467	0.5590186	0.2810191
