pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9596879	0.5824013	1.0000000	0.1959435	0.9995528	0.5157839	0.9238292	0.7708056	0.9999865	0.9843491	0.9925726	0.9304296	0.7025185	0.9982975	0.8128346	0.6861537	0.9898482	0.0421144	0.8901626	0.9431154	0.9879090	0.5664833	0.9039861	0.8993730	0.7191647	0.9171745	0.9115984	0.6006987	0.9648525	0.1101326	0.7053232	0.9206396	0.8401800	0.8509702	0.8110686	0.6707624	0.9999995	0.5047442	0.9821083	0.7417090	0.7564826	0.9730523	0.9999668	0.9899776	0.6432456	0.9790803	0.6989978	0.3901975	0.5590014	0.2810191
1.0000000	0.7006107	1.0000000	0.1478028	0.9995909	0.5157832	0.8831321	0.7056393	0.9999908	0.9909404	0.9808457	0.9430964	0.7928765	0.9750680	0.8734855	0.7950360	0.9363121	0.1013044	0.9904031	0.9772244	0.9909584	0.5664832	0.9110953	0.8315717	0.7191927	0.8882902	0.9742570	0.7159259	0.9912654	0.1101326	0.5966491	0.9778055	0.9381332	0.8108649	0.7773420	0.6260090	0.9771896	0.6350889	0.9219462	0.7328057	0.7564826	0.9730518	0.9999520	0.9645719	0.7659199	0.9790753	0.6990056	0.3356621	0.3930928	0.2810191
1.0000000	0.5522838	1.0000000	0.1959435	0.9997701	0.8663012	0.8831321	0.7056393	0.9999826	0.9935449	0.9808457	0.9181377	0.6156992	0.9750680	0.7979430	0.6098588	0.9363121	0.1464829	0.8928369	0.9475490	0.9908811	0.7475133	0.9110953	0.8470366	0.8027434	0.8745801	0.9478708	0.5043403	0.4277072	0.1101326	0.7024649	0.9206386	0.8401665	0.8447549	0.8472105	0.6260090	0.9999995	0.6466622	0.9819314	0.5845704	0.7901989	0.9730518	0.9667820	0.9645782	0.6434511	0.9997531	0.7746676	0.2121940	0.5009433	0.0674844
1.0000000	0.5116228	1.0000000	0.1223476	0.9998337	0.6757776	0.8942848	0.7236183	0.9644198	0.9912262	0.9808457	0.9428997	0.7000781	0.9986905	0.7979425	0.8521148	0.9363121	0.0861317	0.9910918	0.9857191	0.9912808	0.5664832	0.9303233	0.7108000	0.8299970	0.8883454	0.9223102	0.6917701	0.6522980	0.0217245	0.5966487	0.9206383	0.9507607	0.8561826	0.7773388	0.7664790	0.9999995	0.7105303	0.9219442	0.6306838	0.7564826	0.9909093	0.9667815	0.9904401	0.8513959	0.9964568	0.6991219	0.3900070	0.3470462	0.2810191
1.0000000	0.4825530	0.9370864	0.1163388	0.9993604	0.4888131	0.9180246	0.6758162	0.9644172	0.9898827	0.9773057	0.9152308	0.6949482	0.9979282	0.8285281	0.8651431	0.9327188	0.1626993	0.8928349	0.9475485	0.9844548	0.5919506	0.9110952	0.8252411	0.7190234	0.9048487	0.9223103	0.4986344	0.9961758	0.0531498	0.5538681	0.9159556	0.8171409	0.7823870	0.7840846	0.6165228	0.9999993	0.6519683	0.9177913	0.6737842	0.7182505	0.9718115	0.9667612	0.9920490	0.7397387	0.9790731	0.6988867	0.3547190	0.5590469	0.2307205
1.0000000	0.5116228	1.0000000	0.1323088	0.9551732	0.6650775	0.9167638	0.7822816	0.9999832	0.9923090	0.9808457	0.8802788	0.7347693	0.9988375	0.8641913	0.5034328	0.9910679	0.1464829	0.9887721	0.9808525	0.9879090	0.5812081	0.9477197	0.8112055	0.6842694	0.8745798	0.9223102	0.5043393	0.9940325	0.0225618	0.6344201	0.9796278	0.9478263	0.8108648	0.7952635	0.6260090	0.9771869	0.5202150	0.9219442	0.5845700	0.7903226	0.9730516	0.9999474	0.9863787	0.7694164	0.9996707	0.6754860	0.1384861	0.5698435	0.2810191
1.0000000	0.6578450	1.0000000	0.1959435	0.9531705	0.6246729	0.8982966	0.8332009	0.9644208	0.9843469	0.9943139	0.8637782	0.5936448	0.9750680	0.7979426	0.6861538	0.9915110	0.0834185	0.9905246	0.9475485	0.9907315	0.5664832	0.9110952	0.8725764	0.6826099	0.8745799	0.9327757	0.5799798	0.9771642	0.1065647	0.6375544	0.9757344	0.9393934	0.8449749	0.8463723	0.6325583	0.9999995	0.7153739	0.9877845	0.7273735	0.8389919	0.9953441	0.9999530	0.9627902	0.5929268	0.9996541	0.6913552	0.3697795	0.5703444	0.2810191
1.0000000	0.5700085	1.0000000	0.1035189	0.9995582	0.5157829	0.8831319	0.7470387	0.9999837	0.9843466	0.9935731	0.8637559	0.6834506	0.9983301	0.7979425	0.8912882	0.9363121	0.0740293	0.9900517	0.9475484	0.9932010	0.5767220	0.9110952	0.7651286	0.7618207	0.9498302	0.9223102	0.5043393	0.6820172	0.0201953	0.8346420	0.9714917	0.8560583	0.8108648	0.8742407	0.7833573	0.9999995	0.5047442	0.9674680	0.6191283	0.7881193	0.9922558	0.9667815	0.9912166	0.7811519	0.9998755	0.6989832	0.3501489	0.2994726	0.0743209
0.9910866	0.5116228	1.0000000	0.0972353	0.9995246	0.5157830	0.8831319	0.7056393	0.9999845	0.9843469	0.9808457	0.8637782	0.8739795	0.9750680	0.7936614	0.9033903	0.9881364	0.1464829	0.8922958	0.9826226	0.9917009	0.5930610	0.9095880	0.7083179	0.8107180	0.8745799	0.9459596	0.5990054	0.9979368	0.0583545	0.6745056	0.9736998	0.9420944	0.8853975	0.7773397	0.7867939	0.9771877	0.6562507	0.9762561	0.5845701	0.7564826	0.9730516	0.9667816	0.9645695	0.6431961	0.9790734	0.7568575	0.3902165	0.3369179	0.2810191
1.0000000	0.4630095	0.8577369	0.1099703	0.9527226	0.7526460	0.9521606	0.6326252	0.9644095	0.9873122	0.9818021	0.8520696	0.6451781	0.9732608	0.7979425	0.5705333	0.9837893	0.1880286	0.9914501	0.9754465	0.9923092	0.3691869	0.9110951	0.7484117	0.6822210	0.8860501	0.9599225	0.5257215	0.9968489	0.0237915	0.4940021	0.9084345	0.8494781	0.7397028	0.7901113	0.5027364	0.9999992	0.4616644	0.9653351	0.4846374	0.8849165	0.9755344	0.9667199	0.9924069	0.7166893	0.9996445	0.6741145	0.3002172	0.3152024	0.3098836
1.0000000	0.4103835	0.7966737	0.2138528	0.9989273	0.4216924	0.8851260	0.5947565	0.9644028	0.9765453	0.9733642	0.9255426	0.4463187	0.9961593	0.8589233	0.4391896	0.9756759	0.2121817	0.8928340	0.9825814	0.9694437	0.2843323	0.9110951	0.8408706	0.7187015	0.8100576	0.9499976	0.4576942	0.9693630	0.1318847	0.6381761	0.9010107	0.7321671	0.7215920	0.6631034	0.4399343	0.9771855	0.6566302	0.9072884	0.4358326	0.6016876	0.9910087	0.9998926	0.9930516	0.7875552	0.9997931	0.6986653	0.3695065	0.5591502	0.0646021
