pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9597096	0.5824001	1.0000000	0.1959435	0.9995527	0.5157935	0.9238252	0.7707671	0.9999865	0.9843518	0.9925724	0.9304403	0.7025095	0.9982974	0.8129621	0.6861537	0.9898403	0.0421238	0.8902353	0.9431892	0.9879094	0.5664849	0.9040550	0.8993645	0.7191668	0.9171739	0.9120631	0.6006779	0.9648558	0.1101326	0.7053029	0.9206413	0.8402848	0.8509436	0.8110735	0.6707769	0.9999992	0.5047445	0.9820881	0.7415317	0.7564827	0.9730557	0.9999668	0.9899773	0.6433317	0.9790903	0.6990755	0.3901982	0.5590016	0.2810191
1.0000000	0.7006096	1.0000000	0.1478037	0.9995908	0.5157865	0.8831405	0.7056410	0.9999908	0.9909403	0.9808475	0.9430929	0.7928618	0.9750687	0.8734810	0.7947944	0.9364035	0.1013055	0.9904028	0.9772237	0.9909584	0.5664837	0.9110964	0.8315662	0.7191932	0.8882912	0.9741766	0.7158995	0.9912541	0.1101326	0.5966500	0.9778054	0.9381257	0.8108839	0.7773488	0.6260214	0.9772611	0.6350889	0.9220236	0.7327428	0.7564826	0.9730528	0.9999520	0.9645726	0.7658854	0.9790791	0.6990366	0.3356925	0.3931471	0.2810191
1.0000000	0.5522837	1.0000000	0.1959435	0.9997701	0.8662214	0.8831405	0.7056410	0.9999826	0.9935443	0.9808475	0.9181510	0.6157059	0.9750687	0.7979459	0.6098935	0.9364035	0.1464829	0.8928536	0.9475575	0.9908811	0.7474864	0.9110964	0.8470281	0.8027355	0.8745816	0.9478646	0.5043499	0.4277536	0.1101326	0.7024586	0.9206391	0.8402061	0.8447488	0.8472067	0.6260214	0.9999994	0.6466621	0.9819230	0.5845927	0.7901989	0.9730528	0.9667832	0.9645789	0.6434835	0.9997531	0.7746415	0.2122927	0.5009626	0.0674982
1.0000000	0.5116228	1.0000000	0.1223477	0.9998336	0.6757737	0.8942855	0.7236180	0.9644222	0.9912262	0.9808459	0.9428990	0.7000775	0.9986905	0.7979428	0.8520473	0.9363316	0.0861318	0.9910918	0.9857187	0.9912808	0.5664832	0.9303229	0.7108022	0.8299959	0.8883454	0.9223252	0.6917677	0.6522997	0.0217412	0.5966488	0.9206383	0.9507588	0.8561803	0.7773397	0.7664778	0.9999994	0.7105303	0.9219580	0.6306832	0.7564826	0.9909093	0.9667816	0.9904401	0.8513836	0.9964569	0.6991266	0.3900073	0.3470559	0.2810191
1.0000000	0.4825877	0.9371257	0.1163213	0.9993609	0.4889413	0.9180897	0.6759638	0.9644238	0.9898872	0.9773225	0.9152554	0.6949899	0.9979297	0.8285281	0.8651479	0.9328045	0.1626577	0.8928404	0.9475515	0.9844666	0.5922248	0.9110956	0.8252395	0.7190254	0.9048861	0.9223416	0.4987891	0.9961806	0.0531340	0.5539732	0.9159619	0.8173049	0.7826222	0.7841789	0.6167282	0.9999993	0.6519847	0.9178698	0.6739931	0.7182787	0.9718154	0.9667616	0.9920490	0.7397343	0.9790745	0.6989012	0.3547245	0.5590460	0.2306991
1.0000000	0.5116228	1.0000000	0.1323089	0.9551740	0.6650739	0.9167638	0.7822796	0.9999832	0.9923089	0.9808459	0.8802875	0.7347680	0.9988375	0.8641909	0.5034132	0.9910666	0.1464829	0.9887721	0.9808523	0.9879090	0.5812079	0.9477190	0.8112053	0.6842839	0.8745799	0.9223252	0.5043403	0.9940312	0.0225783	0.6344199	0.9796278	0.9478247	0.8108679	0.7952640	0.6260106	0.9772023	0.5202150	0.9219580	0.5845732	0.7903226	0.9730517	0.9999474	0.9863791	0.7694449	0.9996707	0.6755238	0.1384985	0.5698347	0.2810191
1.0000000	0.6578448	1.0000000	0.1959435	0.9531731	0.6246653	0.8982982	0.8331909	0.9644274	0.9843473	0.9943138	0.8638017	0.5936487	0.9750682	0.7979435	0.6861538	0.9915080	0.0834189	0.9905245	0.9475515	0.9907315	0.5664834	0.9110956	0.8725717	0.6826492	0.8745803	0.9327930	0.5799787	0.9771642	0.1065664	0.6375538	0.9757344	0.9393904	0.8449723	0.8463710	0.6325623	0.9999995	0.7153739	0.9877775	0.7273507	0.8389919	0.9953441	0.9999530	0.9627917	0.5930717	0.9996542	0.6914410	0.3697153	0.5703221	0.2810191
1.0000000	0.5700085	1.0000000	0.1035190	0.9995582	0.5157833	0.8831329	0.7470377	0.9999837	0.9843468	0.9935731	0.8637670	0.6834503	0.9983301	0.7979428	0.8912074	0.9363316	0.0740294	0.9900517	0.9475494	0.9932010	0.5767219	0.9110953	0.7651295	0.7618203	0.9498301	0.9223252	0.5043403	0.6820187	0.0202123	0.8346404	0.9714917	0.8560628	0.8108679	0.8742398	0.7833557	0.9999995	0.5047442	0.9674702	0.6191286	0.7881193	0.9922558	0.9667816	0.9912166	0.7811455	0.9998755	0.6989881	0.3501526	0.2994844	0.0743224
0.9910871	0.5116228	1.0000000	0.0972357	0.9995246	0.5157841	0.8831348	0.7056399	0.9999845	0.9843473	0.9808463	0.8638017	0.8739692	0.9750682	0.7936665	0.9031944	0.9881361	0.1464829	0.8923021	0.9826229	0.9917009	0.5930599	0.9095907	0.7083275	0.8107154	0.8745803	0.9459721	0.5990033	0.9979332	0.0583782	0.6745042	0.9736998	0.9420909	0.8853828	0.7773421	0.7867891	0.9772210	0.6562507	0.9762560	0.5845786	0.7564826	0.9730519	0.9667820	0.9645697	0.6432091	0.9790748	0.7568527	0.3902166	0.3369449	0.2810191
1.0000000	0.4630264	0.8577539	0.1099621	0.9527234	0.7526755	0.9521804	0.6327098	0.9644104	0.9873154	0.9818156	0.8520884	0.6452045	0.9732621	0.7979426	0.5706006	0.9838167	0.1880044	0.9914501	0.9754465	0.9923127	0.3693615	0.9110952	0.7484121	0.6822287	0.8860723	0.9599181	0.5257940	0.9968527	0.0237772	0.4940575	0.9084382	0.8495918	0.7398584	0.7901595	0.5028511	0.9999992	0.4616747	0.9653697	0.4848086	0.8849216	0.9755366	0.9667200	0.9924070	0.7167110	0.9996445	0.6741338	0.3002078	0.3152027	0.3098697
1.0000000	0.4103948	0.7966842	0.2138431	0.9989276	0.4217400	0.8851592	0.5948183	0.9644031	0.9765483	0.9733779	0.9255529	0.4463428	0.9961602	0.8589233	0.4393242	0.9757073	0.2121632	0.8928342	0.9825813	0.9694524	0.2844392	0.9110952	0.8408704	0.7187029	0.8100773	0.9499970	0.4577467	0.9693888	0.1318539	0.6382014	0.9010136	0.7322687	0.7217170	0.6631482	0.4400150	0.9771887	0.6566350	0.9073215	0.4359549	0.6016983	0.9910098	0.9998926	0.9930516	0.7875566	0.9997931	0.6986680	0.3695045	0.5591495	0.0645967
1.0000000	0.5116230	1.0000000	0.1903123	0.9995908	0.5157865	0.9585333	0.7390029	0.9999876	0.9944447	0.9808475	0.8638748	0.6816318	0.9750687	0.7979459	0.6985455	0.9888411	0.1464829	0.9935641	0.9758329	0.9914315	0.5664837	0.9110964	0.8117993	0.7673690	0.9375053	0.9223761	0.5043499	0.7716338	0.0971448	0.8022429	0.9720981	0.8402061	0.9070164	0.7773488	0.7109773	0.9772611	0.6844234	0.9220236	0.5845927	0.7564826	0.9912528	0.9667832	0.9890488	0.8328195	0.9790791	0.6990366	0.3901722	0.3900809	0.0664548
0.7155066	0.4693170	0.9098865	0.1535533	0.9529283	0.4765461	0.8606196	0.7645544	0.9999781	0.9927191	0.9881931	0.9361688	0.7559577	0.9974725	0.5840466	0.4632876	0.9307826	0.1707136	0.8429781	0.9368238	0.9825006	0.5577130	0.8355855	0.7427876	0.7598490	0.8514620	0.7964196	0.6664360	0.9508112	0.1175701	0.5860966	0.9750502	0.9142980	0.8362579	0.7346107	0.5519920	0.9771934	0.4782623	0.9762918	0.6261355	0.7018627	0.9917992	0.9667493	0.9904818	0.5926276	0.9790033	0.8061184	0.4230658	0.5704029	0.2978544
0.8188179	0.5116228	1.0000000	0.1959435	0.9995997	0.6815245	0.8831348	0.8078134	0.9999826	0.9843473	0.9934144	0.9416190	0.7774257	0.9983254	0.7185508	0.3915811	0.9898103	0.1093635	0.9718991	0.9177239	0.9879090	0.8298317	0.8711725	0.7541422	0.7191993	0.9460090	0.9438956	0.6699492	0.9771642	0.1101326	0.5966491	0.9206385	0.9409855	0.8501720	0.8996993	0.8396545	0.9772210	0.5163694	0.9219775	0.6392219	0.7844771	0.9730519	0.9999482	0.9645724	0.6432853	0.9944505	0.7765159	0.3901659	0.3089710	0.2810191
