pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.3583109	0.4149397	0.6702287	0.1580449	0.8037113	0.4450851	0.5284609	0.4036885	0.6251798	0.6197123	0.7484593	0.6471038	0.4666788	0.7649112	0.3220922	0.4630381	0.6156470	0.1051026	0.6670747	0.5665063	0.6851923	0.4756317	0.5255421	0.4896767	0.5247375	0.8190874	0.4549395	0.4381715	0.6408491	0.0796170	0.4019700	0.7288386	0.7196760	0.6151215	0.5521754	0.5727453	0.5656570	0.3252307	0.5666193	0.5154361	0.5427379	0.6049097	0.8112677	0.7786897	0.5852312	0.6230515	0.5050164	0.3431173	0.3279209	0.2145774
0.6603942	0.1815443	0.5796431	0.1290502	0.5583729	0.3071058	0.5997542	0.4871011	0.7945685	0.6473472	0.8121561	0.5765516	0.4419264	0.6554904	0.7270342	0.3897689	0.7947322	0.1055406	0.7398337	0.7326496	0.5984393	0.2961441	0.6503941	0.4926415	0.5077704	0.5828696	0.6066696	0.3785369	0.7432452	0.0810346	0.5292675	0.6012084	0.7088349	0.5541969	0.5899886	0.4086533	0.7032618	0.3644633	0.6668197	0.4003165	0.5715963	0.7649369	0.4956086	0.6813239	0.5389472	0.6827365	0.5215697	0.2279041	0.4259486	0.2162818
0.7608193	0.2416068	0.4375347	0.2631330	0.6912116	0.2062927	0.3456674	0.2611732	0.7022904	0.7535122	0.4657040	0.6465404	0.2130957	0.7592231	0.5771525	0.3487676	0.6002020	0.2499025	0.7390732	0.6226532	0.5298942	0.0342671	0.5863904	0.4715362	0.5468679	0.3423934	0.7815435	0.1807054	0.5344625	0.1375355	0.1222672	0.5170573	0.2555390	0.2408446	0.2933401	0.1339210	0.8464074	0.2723013	0.6312680	0.1796255	0.1851192	0.6439472	0.6833637	0.8433429	0.3866910	0.5530957	0.5876777	0.3655676	0.4140702	0.2755348
0.7881716	0.3744897	0.7515865	0.0453734	0.6769408	0.2944400	0.7015270	0.4883389	0.6801193	0.6979712	0.6774244	0.7587675	0.3874050	0.7733688	0.5983878	0.6896550	0.5706156	0.1965071	0.6414660	0.6710821	0.6981281	0.4241421	0.7880306	0.5457702	0.5257985	0.5902161	0.5682011	0.3410979	0.7531499	0.0576751	0.4335172	0.6814435	0.5989275	0.6549321	0.4763778	0.3828153	0.5827145	0.4206360	0.7020655	0.3968208	0.5016584	0.7073789	0.6639807	0.8339594	0.4769801	0.6910182	0.5303441	0.2406589	0.3932192	0.1589756
0.8474310	0.3530684	0.6653491	0.2115422	0.3341886	0.3279051	0.5298307	0.5040863	0.7451556	0.8232515	0.6998256	0.6572776	0.5306448	0.8249862	0.5582318	0.5091832	0.6373435	0.1404583	0.6215045	0.6161263	0.6377200	0.3871861	0.6065068	0.5649931	0.0583057	0.6549873	0.7580621	0.3907373	0.6464775	0.0947432	0.4237774	0.7845186	0.5511779	0.6110008	0.6276454	0.3516253	0.6701287	0.3079638	0.7507418	0.4951249	0.4462418	0.7586859	0.6985592	0.5421170	0.1145549	0.6564255	0.2437215	0.6178484	0.4654294	0.1801342
0.7796154	0.3917785	0.7001840	0.1577891	0.8222886	0.1686125	0.6044841	0.5311246	0.6649197	0.6591512	0.6167743	0.7129239	0.4681675	0.6470853	0.6610815	0.4302404	0.4835352	0.1004082	0.6389666	0.6126576	0.6205483	0.3249316	0.6229967	0.5550368	0.4736367	0.7621048	0.6715619	0.3814754	0.6314645	0.0783857	0.4090321	0.6589275	0.5859543	0.5052921	0.6395163	0.5188335	0.8017048	0.4951198	0.7322143	0.4307881	0.5288477	0.7617772	0.6704817	0.7066184	0.4456239	0.6340249	0.4775432	0.3148578	0.3630664	0.1944647
0.6249949	0.3894941	0.5593212	0.1041052	0.8078764	0.4403220	0.3452200	0.5189180	0.8593025	0.7321341	0.7655000	0.7132208	0.4639890	0.8601003	0.5694076	0.4253185	0.6763743	0.0707902	0.7393821	0.6725000	0.6265081	0.3957481	0.6076014	0.5345262	0.6161121	0.6601346	0.6637740	0.3818383	0.7445604	0.0910976	0.4963566	0.6164683	0.6295123	0.5796486	0.6679276	0.4454238	0.7698657	0.4393480	0.5963895	0.3672227	0.6511049	0.7252101	0.7542010	0.7763659	0.5498162	0.6306275	0.4801093	0.2516176	0.4178031	0.2207524
0.7826351	0.3656158	0.7996926	0.1505465	0.6916536	0.4205728	0.5634237	0.2467722	0.6003504	0.7238755	0.7190640	0.6255984	0.6296581	0.6955159	0.6420659	0.5231316	0.6680815	0.0577821	0.6488220	0.7045669	0.6397610	0.4909427	0.7803682	0.4429640	0.4800932	0.5494034	0.6556598	0.4446318	0.6932797	0.0828445	0.4504193	0.7255729	0.6832123	0.5592262	0.5794653	0.5927655	0.7191809	0.3471735	0.6998570	0.4796708	0.6337653	0.4984035	0.7444812	0.6959002	0.4307391	0.9091117	0.4916864	0.3092738	0.3035230	0.2075761
0.6283722	0.3703285	0.7005929	0.1481281	0.7123194	0.4043424	0.6053443	0.4050048	0.4138648	0.7630506	0.6069057	0.6230546	0.5412975	0.6238478	0.5958303	0.4324304	0.6511987	0.1198450	0.7750622	0.6070328	0.6129669	0.4298814	0.7686455	0.5960074	0.4069755	0.6305385	0.7508067	0.3551040	0.7246560	0.0438734	0.4699595	0.6938779	0.7148216	0.5511476	0.5265166	0.3874123	0.6847886	0.2770397	0.6596101	0.4323933	0.5815555	0.6098546	0.6586640	0.5757031	0.4200688	0.7429553	0.4399443	0.2531934	0.3915081	0.2153695
0.7552322	0.3968329	0.6703478	0.1259054	0.7995654	0.3258163	0.5356815	0.5543305	0.6314223	0.4128028	0.6184246	0.6881908	0.5107247	0.7784870	0.5533274	0.4407682	0.6451245	0.0796669	0.6413132	0.6723618	0.6926706	0.4679572	0.6122959	0.5728743	0.4255391	0.6972235	0.6649724	0.4459060	0.6963807	0.1024342	0.5034957	0.6168977	0.7755695	0.5001520	0.5753231	0.5604048	0.5796308	0.4810627	0.6806349	0.4059369	0.4693314	0.5989070	0.7165779	0.7076632	0.5271546	0.6664122	0.5559414	0.2298513	0.3222901	0.2004405
