pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.0000000	0.4213549	0.6883833	0.1825583	0.6753779	0.3575996	0.5971313	0.4861126	0.7105556	0.7479933	0.6694789	0.7939321	0.4623631	0.6495755	0.0671187	0.4923514	0.5898982	0.1543110	0.1030327	0.0263552	0.6434043	0.5069917	0.0018199	0.0800637	0.4526551	0.6769798	0.0153777	0.3196552	0.4798677	0.1198287	0.3855425	0.8706601	0.6687341	0.4532706	0.6244197	0.5903500	0.6684763	0.4148880	0.7525269	0.3457299	0.5288001	0.6733451	0.6913473	0.6341667	0.4301528	0.8131041	0.5381868	0.2803226	0.3355490	0.1931969
0.5968446	0.0000000	0.6745645	0.1279053	0.5525990	0.4041469	0.6416205	0.4739253	0.7416110	0.7587423	0.6941124	0.6507808	0.5337258	0.7420661	0.5921271	0.4992690	0.7450026	0.0758923	0.6517459	0.7159317	0.7102651	0.3543851	0.6341548	0.4568542	0.4831119	0.4765270	0.6831356	0.3883822	0.7114224	0.0607860	0.4765478	0.6569299	0.6557104	0.5893972	0.5367678	0.5062217	0.7397269	0.5863631	0.6885838	0.3806094	0.5303156	0.6956484	0.7306602	0.6774623	0.5070720	0.7795920	0.4512386	0.1954093	0.4330029	0.2106570
0.7293871	0.0313466	0.0000000	0.6645133	0.0402753	0.0073093	0.0172360	0.0087351	0.0127946	0.0041435	0.0130083	0.0763835	0.0576315	0.0138414	0.6275208	0.1341183	0.0293119	0.5858178	0.5921577	0.6824038	0.0064343	0.0051417	0.5868230	0.3969569	0.0045213	0.0475159	0.7160976	0.0365012	0.1192920	0.7411451	0.0265647	0.0337932	0.0225988	0.0349094	0.0191765	0.0712782	0.0097746	0.0589269	0.0599052	0.0527776	0.0053185	0.0085246	0.0324099	0.0210100	0.0445936	0.0320218	0.0189032	0.6910485	0.5868940	0.7435496
0.6905135	0.2930391	0.6338417	0.0000000	0.8770026	0.3112768	0.6513739	0.4506717	0.6788746	0.7525006	0.6837739	0.7362660	0.4721889	0.7098456	0.4939267	0.6739961	0.5767059	0.1248990	0.7543069	0.6608099	0.7475820	0.4931577	0.7012377	0.6274383	0.5805524	0.6088182	0.5597297	0.4002566	0.5779442	0.0646052	0.4587060	0.6068454	0.6084925	0.6551399	0.6688146	0.4833592	0.6771235	0.3616271	0.7354821	0.5596303	0.4910905	0.7175300	0.7587657	0.7557686	0.4172748	0.7836240	0.5354197	0.2537507	0.3460103	0.2377072
0.6340129	0.3196435	0.6593348	0.1256858	0.0000000	0.4220340	0.6290794	0.5561488	0.6795174	0.7082116	0.8976066	0.8081433	0.3965139	0.7840838	0.5182828	0.5085280	0.7715340	0.1411967	0.7126020	0.7260709	0.6995094	0.3841331	0.6060594	0.5451195	0.0066960	0.6903857	0.6211011	0.4781822	0.7662203	0.0853009	0.4210217	0.7030479	0.6609736	0.5777679	0.5301638	0.5531401	0.6880305	0.4406081	0.7157067	0.4116643	0.4732463	0.6283615	0.6544992	0.0331161	0.0561439	0.0241084	0.0352237	0.6176660	0.7491613	0.1597247
0.6654356	0.4377618	0.5746388	0.1338249	0.8262820	0.0000000	0.6071305	0.5256802	0.7423112	0.6147826	0.6260583	0.6165445	0.5122511	0.6962833	0.5302562	0.3774328	0.6363806	0.1086794	0.6765311	0.7378269	0.5831923	0.3908407	0.7196264	0.5897981	0.4430588	0.7507549	0.7300355	0.4210306	0.6765344	0.0902559	0.3333898	0.5020443	0.5824671	0.5840269	0.6089046	0.5029024	0.8298344	0.4563427	0.7130761	0.4602750	0.5958445	0.7148075	0.7685183	0.6516024	0.5355133	0.6030735	0.5163374	0.2571320	0.2899989	0.2223620
0.7683641	0.3171422	0.6364526	0.1949749	0.7746976	0.3167629	0.0000000	0.3237991	0.6765504	0.7079338	0.7567495	0.6835621	0.4374886	0.6588952	0.6555667	0.4439411	0.6146351	0.0629650	0.8399924	0.6828291	0.7205319	0.3371925	0.6252628	0.5802189	0.5645338	0.5657704	0.5864993	0.4582994	0.5296931	0.0915425	0.5162805	0.7688556	0.5619622	0.5418964	0.4837037	0.4056770	0.7811091	0.3630728	0.6665951	0.3759275	0.4601020	0.7906549	0.6177834	0.7155941	0.5570130	0.6581207	0.4511109	0.2522406	0.4309691	0.1828308
0.5877082	0.2992525	0.5728254	0.1412161	0.7009105	0.2866856	0.6893491	0.0000000	0.6653265	0.7673397	0.7423520	0.4966567	0.4470190	0.7763555	0.6911827	0.5028443	0.6687901	0.1039186	0.7196504	0.5511936	0.8100943	0.4018673	0.7014115	0.5372014	0.5026886	0.5391018	0.6672352	0.3450269	0.7676958	0.1013892	0.3834652	0.6944939	0.6185325	0.6266883	0.5546865	0.3895660	0.6423159	0.3327555	0.7068421	0.3486513	0.5984612	0.6896783	0.6618109	0.6519724	0.5849237	0.6482647	0.4671304	0.2557068	0.3907727	0.1922731
0.6610561	0.4059392	0.7659170	0.1633320	0.6254872	0.2814149	0.7017471	0.4757369	0.0030028	0.6365170	0.7287824	0.4960210	0.5731612	0.6033453	0.6719622	0.4467998	0.9198180	0.0842382	0.7425418	0.7154436	0.6153074	0.5691592	0.7340666	0.5321897	0.5853909	0.5551166	0.7740789	0.4232069	0.7399922	0.1284902	0.4310236	0.5493211	0.6220034	0.5021316	0.7325660	0.5197300	0.6520575	0.5430514	0.7847055	0.4736306	0.5330896	0.5570521	0.6214966	0.7850267	0.4103391	0.5519446	0.4365498	0.2723432	0.3009800	0.1488991
0.8042258	0.3777102	0.6732988	0.1958810	0.9144881	0.3274180	0.6341563	0.5608801	0.7668489	0.0000000	0.7304655	0.5784494	0.5111129	0.6618087	0.4700162	0.6071743	0.7162968	0.1095772	0.6927427	0.7500371	0.6350754	0.3390115	0.5688338	0.4966196	0.4329348	0.7073117	0.5725440	0.3680209	0.4995855	0.0621833	0.4698379	0.6123666	0.4971251	0.7018001	0.6207416	0.3792612	0.6195345	0.4151516	0.6813941	0.4617007	0.4936447	0.5893958	0.6747300	0.8674819	0.4693031	0.6264593	0.4931304	0.3496584	0.4065394	0.1998396
0.7409661	0.3654426	0.7306148	0.1244927	0.5217724	0.3799395	0.6272004	0.6610705	0.6553231	0.8150513	0.0000000	0.5243830	0.5149800	0.6953821	0.6673758	0.4497333	0.6726396	0.0581923	0.7075396	0.7952014	0.6957486	0.5223728	0.5291593	0.7327500	0.5014684	0.6002063	0.6328895	0.4064561	0.5603323	0.0778632	0.4267303	0.7455225	0.7754881	0.7023159	0.6237324	0.5032729	0.7268421	0.3841933	0.8250337	0.4139904	0.4599060	0.6809625	0.8447331	0.7334389	0.4213297	0.7397132	0.4864019	0.2975159	0.3595749	0.1218737
0.6373664	0.4106248	0.6576064	0.1631765	0.7053723	0.3006004	0.6088966	0.4169125	0.7419300	0.6579068	0.6359522	0.0000000	0.4173988	0.7881407	0.6596212	0.3424326	0.7229806	0.1492851	0.6483529	0.7114699	0.8494717	0.4351024	0.6917244	0.5257203	0.5478913	0.6579268	0.6517325	0.4516846	0.7141419	0.0431290	0.4240127	0.6660913	0.5941619	0.5473214	0.6131467	0.4017040	0.7780858	0.4131022	0.6705468	0.3900353	0.5701897	0.7085111	0.8404179	0.6476745	0.4069776	0.6985110	0.5274977	0.3075466	0.4217002	0.1809192
0.7026736	0.4399410	0.7138494	0.1400398	0.8627523	0.3777518	0.7728253	0.4556388	0.8668751	0.6943406	0.6875728	0.5498777	0.0000000	0.7004966	0.4747403	0.4915050	0.6632307	0.0651388	0.7236151	0.7452049	0.6941383	0.3837985	0.5807927	0.5918155	0.5084290	0.7362233	0.6287719	0.4685644	0.7199518	0.1272597	0.4643599	0.8042328	0.6910133	0.5235115	0.5973814	0.4026424	0.6778761	0.4070814	0.6295166	0.4016744	0.7567468	0.6545220	0.6380011	0.7468410	0.3887432	0.6962428	0.5814239	0.2762862	0.5014231	0.2378808
0.7124109	0.3982944	0.7053309	0.1489274	0.6751088	0.4364344	0.6823088	0.4934244	0.6062927	0.6735448	0.6497156	0.7562960	0.4996947	0.0000000	0.6256873	0.5032107	0.7552615	0.0768208	0.6130651	0.7537107	0.6926902	0.3227451	0.5914154	0.5174073	0.4534181	0.5927827	0.5930631	0.3649585	0.6459063	0.0591169	0.4042632	0.7295071	0.7737155	0.4676249	0.6331533	0.5052552	0.7773776	0.3959218	0.6348983	0.3526235	0.5510703	0.7906005	0.8600793	0.6607555	0.4438322	0.7740911	0.5147720	0.3019559	0.4692408	0.2089227
0.6656126	0.3366869	0.5747887	0.1543225	0.6884733	0.4324940	0.5827072	0.5408703	0.6449665	0.6508330	0.6744359	0.6514806	0.4321271	0.6762114	0.0000000	0.4151242	0.7488909	0.0656919	0.7273604	0.8930232	0.6802888	0.3327728	0.7411481	0.5095127	0.4615909	0.5993716	0.5341612	0.3646305	0.6054416	0.0871185	0.4245899	0.7372905	0.6127359	0.5653027	0.5899696	0.5573174	0.7469766	0.4647661	0.8260925	0.3241050	0.4589533	0.7582318	0.7184367	0.5585855	0.4579147	0.5471127	0.5032713	0.3580521	0.3721594	0.2513752
0.7145962	0.3893800	0.6615118	0.0598085	0.7215612	0.4024091	0.6892155	0.5091354	0.7287107	0.5889020	0.6587133	0.6424619	0.5624245	0.8247242	0.7061991	0.0000000	0.6788525	0.0973684	0.6562037	0.6734968	0.7097603	0.4923740	0.7790272	0.5028902	0.4740709	0.5096661	0.7189916	0.2887159	0.6248000	0.1023789	0.4718379	0.7066318	0.4355075	0.6615942	0.4392791	0.4340531	0.6384791	0.4268593	0.7230700	0.5120498	0.4979920	0.6202853	0.6451630	0.7198372	0.6516116	0.7071381	0.4832889	0.1953493	0.3650466	0.1948138
0.7661578	0.3998809	0.6796536	0.1944051	0.7385065	0.3880038	0.6523773	0.5237141	0.6782865	0.7075292	0.6198427	0.6722815	0.4942226	0.6791372	0.5466750	0.4515639	0.0000000	0.0853194	0.5897749	0.6355976	0.6614974	0.5299229	0.6971645	0.6010195	0.4946648	0.5335308	0.7275161	0.4162463	0.7761273	0.0484440	0.4064379	0.6188151	0.6372639	0.6352165	0.4683493	0.4847569	0.5998484	0.5641636	0.5466976	0.4931428	0.4942867	0.7192415	0.8618888	0.7835206	0.4969486	0.7738314	0.5800121	0.2931109	0.4082143	0.2222464
