pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.5922070	0.3494610	0.6275688	0.1226349	0.8199789	0.3345225	0.8888667	0.5776836	0.6948591	0.6782832	0.7244457	0.6479109	0.5706573	0.6706908	0.8473132	0.4162098	0.7515061	0.0186582	0.6703067	0.7620500	0.6533696	0.4292604	0.6083078	0.6496514	0.4714993	0.6342717	0.5609961	0.5215459	0.6578532	0.0715430	0.4252282	0.6590029	0.6333585	0.5656453	0.5008329	0.4649635	0.6804638	0.3323698	0.6603596	0.4996832	0.5107852	0.7842754	0.6104423	0.7169860	0.5743829	0.6854162	0.4418606	0.3178172	0.3979383	0.1538296
0.7141785	0.5537562	0.6700526	0.1476437	0.7574023	0.3613179	0.6204075	0.4885286	0.7385952	0.7207176	0.8003195	0.7125583	0.5259840	0.6375899	0.5833954	0.5887256	0.7222888	0.0735281	0.7845899	0.5779936	0.6784589	0.4613226	0.6371113	0.6663437	0.5907771	0.5120850	0.6315844	0.5954111	0.7186467	0.0572002	0.4798157	0.7086318	0.6341656	0.5295398	0.6081263	0.4514289	0.7802618	0.4399590	0.6529303	0.5154793	0.4638274	0.7277321	0.6049411	0.6722328	0.6880595	0.8616039	0.5359669	0.2070152	0.2771236	0.2287909
0.7343725	0.3927255	0.7076122	0.1523718	0.6021129	0.6049492	0.7402871	0.5512605	0.7329804	0.7465147	0.6931874	0.6932203	0.4770697	0.6580037	0.6005541	0.3535146	0.5728956	0.1169354	0.6706234	0.5890528	0.6268056	0.3796057	0.5458684	0.6154520	0.6356124	0.6872160	0.5499400	0.3673700	0.2689569	0.0748390	0.4581258	0.7206821	0.6188082	0.6008021	0.5740345	0.4744212	0.5614638	0.4544927	0.6381882	0.3039733	0.5681587	0.7629686	0.7312706	0.6229383	0.3646556	0.7771195	0.5481712	0.1813656	0.3816325	0.0495293
0.6640482	0.3945234	0.6212399	0.0998095	0.6711888	0.5103225	0.6918314	0.6842999	0.7092538	0.7165098	0.6535900	0.6632957	0.4541498	0.7501328	0.5754960	0.5626321	0.6387068	0.0435994	0.7270350	0.7012811	0.7162438	0.4539574	0.5987282	0.5834218	0.5537809	0.6540407	0.6371799	0.4741743	0.3524438	0.0120778	0.4628799	0.5553823	0.7056388	0.5851183	0.5740540	0.6053590	0.7185009	0.5473442	0.7663225	0.4918580	0.6030822	0.6975834	0.6153580	0.4983129	0.4872933	0.7130695	0.5497128	0.2079791	0.2858505	0.1402000
0.8164263	0.3374163	0.6468991	0.0933712	0.6607181	0.3804743	0.5078218	0.4350950	0.6003633	0.6573548	0.5468986	0.6104983	0.5622379	0.6595910	0.4919488	0.6256642	0.5944282	0.1370029	0.5317328	0.5373286	0.9447078	0.3745613	0.5801013	0.6388408	0.4155880	0.6927420	0.5915369	0.3654727	0.6352239	0.0152479	0.3419564	0.7567080	0.5218957	0.5624674	0.6153287	0.4264191	0.8061683	0.4736770	0.7265722	0.3980618	0.5446496	0.6880751	0.6058763	0.6872196	0.4803557	0.7568861	0.4350635	0.2762542	0.5138086	0.2341664
0.6569673	0.3367332	0.5928531	0.0992286	0.7082632	0.6155259	0.5215462	0.5514292	0.6524667	0.7260256	0.5929395	0.5426993	0.5811460	0.6819370	0.6088870	0.3367389	0.7631635	0.1035264	0.7194444	0.6944395	0.7796461	0.4699461	0.5663253	0.4901724	0.5829782	0.5784417	0.7125613	0.3556928	0.6781304	0.0154163	0.4299937	0.6026120	0.5890977	0.6642535	0.5147281	0.6538132	0.7025407	0.3779274	0.7362414	0.4052412	0.5344111	0.5426046	0.7879911	0.6436847	0.5980012	0.6231397	0.5679174	0.0919780	0.3325829	0.1986705
0.6894435	0.5377296	0.6558974	0.1247878	0.7887580	0.4901017	0.7212129	0.6948611	0.7433681	0.7986505	0.7141401	0.6131409	0.4882652	0.6470322	0.5454757	0.4342296	0.7242607	0.0698051	0.6888174	0.6280190	0.6805188	0.4811354	0.6469515	0.6776953	0.4431530	0.5671190	0.5814721	0.3722698	0.6617398	0.0533598	0.5380106	0.6861750	0.6923124	0.5743509	0.6150363	0.5048798	0.7961592	0.5267010	0.6113397	0.4558609	0.6100218	0.7348312	0.6983000	0.6855842	0.3414438	0.6085634	0.4325062	0.4086713	0.4195333	0.1942840
0.6659079	0.4717015	0.7081964	0.0579001	0.6931207	0.4405414	0.6377820	0.5049406	0.7153908	0.5887979	0.7929774	0.6693745	0.6049056	0.6216966	0.5266669	0.6644452	0.7641015	0.0670423	0.7338721	0.6494209	0.7830815	0.3846345	0.6549621	0.5761698	0.5548378	0.6483633	0.6314036	0.4411745	0.3885103	0.0196125	0.6029213	0.6614628	0.6167816	0.5597799	0.5742820	0.6012080	0.6621112	0.3140984	0.7137827	0.4298503	0.6379556	0.6637226	0.7433481	0.7810365	0.4940895	0.7171968	0.5391045	0.3400246	0.2580265	0.0648256
0.7425434	0.3720568	0.6135227	0.1010541	0.6723694	0.3518666	0.6486722	0.5279001	0.5375722	0.6348679	0.6581775	0.7472728	0.6497341	0.6063177	0.6267950	0.6254971	0.6521972	0.0849385	0.6762665	0.6725293	0.6673828	0.4841701	0.5638983	0.5480801	0.6096403	0.7256850	0.6253131	0.4797528	0.6283440	0.0275698	0.4365180	0.6406538	0.6255777	0.6031402	0.5080091	0.5144361	0.5742304	0.4216382	0.8222416	0.4725128	0.5824988	0.6607292	0.6325600	0.5758633	0.4408961	0.7627037	0.4100578	0.2047402	0.2390888	0.1429130
0.7516552	0.2829349	0.6185161	0.1099856	0.7139881	0.4858926	0.5960514	0.4545712	0.7240301	0.7129972	0.6695476	0.5771931	0.4017718	0.6794877	0.4371137	0.3910457	0.6730979	0.1452913	0.6302032	0.7055540	0.7316263	0.3117308	0.7700845	0.4712227	0.5095990	0.6396654	0.7218853	0.3209298	0.5884529	0.0316392	0.3517231	0.5188582	0.8437923	0.4643431	0.5105214	0.4336039	0.8131766	0.3728467	0.5941338	0.2338211	0.7034464	0.7225403	0.6695658	0.6924325	0.5260660	0.6333159	0.4855794	0.2282243	0.2296420	0.1898994
0.8310664	0.2851789	0.5631826	0.1338660	0.8851182	0.4108454	0.6219404	0.5397805	0.7499162	0.5705573	0.6428590	0.7139522	0.3865798	0.7366342	0.5431265	0.2548315	0.6673156	0.2450944	0.7155643	0.6650344	0.5800932	0.1743208	0.5881641	0.5903309	0.4745172	0.7012085	0.6836363	0.3465047	0.5781712	0.1567648	0.4216558	0.8486453	0.5287519	0.3634054	0.5013385	0.3558141	0.6299197	0.4759844	0.7441061	0.2868068	0.3990155	0.8675019	0.7503106	0.5651467	0.5081043	0.5720811	0.4901509	0.2708197	0.3538083	0.0425135
